Step,rho_g,rho_p,id,p,deltaG,deltaP
1,2.04348,0.559006,1986,2530,329,90
2,2.27481,2.27481,3044,3044,298,298
3,2.84211,3,5279,1986,90,95
1,2.04348,1.96894,1986,3044,329,317
2,1.69481,1.42208,758,2530,87,73
3,2.91045,2.86567,937,2530,65,64
1,2.04348,2.04348,1986,1986,329,329
2,1.69481,1.67532,758,3044,87,86
3,3,3,2530,2530,68,68
1,2.04348,0.559006,1986,2530,329,90
2,1.69481,1.42208,758,2530,87,73
3,2.91045,2.86567,937,2530,65,64
1,2.04348,0.559006,1986,2530,329,90
2,1.69481,1.67532,758,3044,87,86
3,2.91045,2.37313,937,3044,65,53
1,2.04348,2.04348,1986,1986,329,329
2,1.69481,1.42208,758,2530,87,73
3,2.91045,2.37313,937,3044,65,53
1,2.04348,2.04348,1986,1986,329,329
2,1.69481,1.42208,758,2530,87,73
3,3,3,3044,3044,81,81
1,2.04348,2.04348,1986,1986,329,329
2,1.69481,1.42208,758,2530,87,73
3,3,3,3044,3044,81,81
1,2.04348,0.559006,1986,2530,329,90
2,2.27481,2.38168,3044,1986,298,312
3,2.92593,3,5279,3044,79,81
1,2.04348,2.04348,1986,1986,329,329
2,1.69481,1.67532,758,3044,87,86
3,3,3,2530,2530,68,68
1,2.04348,2.04348,1986,1986,329,329
2,1.69481,1.42208,758,2530,87,73
3,2.91045,2.86567,937,2530,65,64
1,2.04348,1.96894,1986,3044,329,317
2,1.69481,1.42208,758,2530,87,73
3,3,3,3044,3044,81,81
1,2.04348,2.04348,1986,1986,329,329
2,1.69481,1.67532,758,3044,87,86
3,3,3,2530,2530,68,68
1,2.04348,1.96894,1986,3044,329,317
2,1.69481,1.67532,758,3044,87,86
3,2.91045,2.37313,937,3044,65,53
1,2.04348,1.96894,1986,3044,329,317
2,1.69481,1.42208,758,2530,87,73
3,2.91045,2.86567,937,2530,65,64
1,2.04348,0.559006,1986,2530,329,90
2,1.69481,1.67532,758,3044,87,86
3,3,3,2530,2530,68,68
1,2.04348,2.04348,1986,1986,329,329
2,1.69481,1.67532,758,3044,87,86
3,2.91045,2.37313,937,3044,65,53
1,2.04348,1.96894,1986,3044,329,317
2,1.69481,1.42208,758,2530,87,73
3,2.91045,2.37313,937,3044,65,53
1,2.04348,0.559006,1986,2530,329,90
2,1.69481,1.42208,758,2530,87,73
3,2.91045,2.86567,937,2530,65,64
1,2.04348,2.04348,1986,1986,329,329
2,1.69481,1.42208,758,2530,87,73
3,3,3,3044,3044,81,81
1,2.04348,1.96894,1986,3044,329,317
2,1.69481,1.42208,758,2530,87,73
3,2.91045,2.86567,937,2530,65,64
1,2.04348,0.559006,1986,2530,329,90
2,1.69481,1.42208,758,2530,87,73
3,3,3,3044,3044,81,81
1,2.04348,1.96894,1986,3044,329,317
2,1.75301,1.77108,5279,1986,97,98
3,2.82609,2.21739,6452,1986,65,51
1,2.04348,0.559006,1986,2530,329,90
2,2.27481,2.38168,3044,1986,298,312
3,2.92593,3,5279,3044,79,81
1,2.04348,0.559006,1986,2530,329,90
2,1.69481,1.42208,758,2530,87,73
3,3,3,3044,3044,81,81
1,2.04348,0.559006,1986,2530,329,90
2,2.27481,2.38168,3044,1986,298,312
3,2.84211,3,5279,1986,90,95
1,2.04348,0.559006,1986,2530,329,90
2,2.27481,2.27481,3044,3044,298,298
3,2.84211,3,5279,1986,90,95
1,2.04348,0.559006,1986,2530,329,90
2,1.69481,1.67532,758,3044,87,86
3,3,3,2530,2530,68,68
1,2.04348,2.04348,1986,1986,329,329
2,1.69481,1.42208,758,2530,87,73
3,2.91045,2.37313,937,3044,65,53
1,2.04348,0.559006,1986,2530,329,90
2,2.27481,2.27481,3044,3044,298,298
3,2.84211,3,5279,1986,90,95
1,2.04348,0.559006,1986,2530,329,90
2,1.69481,1.42208,758,2530,87,73
3,2.91045,2.86567,937,2530,65,64
1,2.04348,0.559006,1986,2530,329,90
2,1.69481,1.42208,758,2530,87,73
3,3,3,3044,3044,81,81
1,2.04348,2.04348,1986,1986,329,329
2,1.69481,1.42208,758,2530,87,73
3,2.91045,2.86567,937,2530,65,64
