2625 100000
0 1682 1
0 1690 1
0 1691 1
0 1701 1
0 1709 1
0 1717 1
0 1723 1
0 1727 1
0 1740 1
0 1757 1
0 1758 1
0 1762 1
0 1765 1
0 1796 1
0 1800 1
0 1803 1
0 1819 1
0 1828 1
0 1832 1
0 1836 1
0 1838 1
0 1840 1
0 1850 1
0 1851 1
0 1857 1
0 1866 1
0 1871 1
0 1881 1
0 1883 1
0 1900 1
0 1901 1
0 1902 1
0 1911 1
0 1912 1
0 1921 1
0 1941 1
0 1942 1
0 1944 1
0 1956 1
0 1959 1
0 1962 1
0 1968 1
0 1972 1
0 1975 1
0 1986 1
0 1987 1
0 1999 1
0 2002 1
0 2003 1
0 2016 1
0 2030 1
0 2034 1
0 2036 1
0 2091 1
0 2092 1
0 2095 1
0 2104 1
0 2120 1
0 2126 1
0 2127 1
0 2140 1
0 2141 1
0 2147 1
0 2154 1
0 2160 1
0 2164 1
0 2173 1
0 2178 1
0 2193 1
0 2202 1
0 2205 1
0 2211 1
0 2212 1
0 2216 1
0 2222 1
0 2240 1
0 2253 1
0 2260 1
0 2266 1
0 2275 1
0 2276 1
0 2289 1
0 2302 1
0 2306 1
0 2313 1
0 2329 1
0 2332 1
0 2347 1
0 2349 1
0 2369 1
0 2373 1
0 2378 1
0 2381 1
0 2382 1
0 2395 1
0 2401 1
0 2405 1
0 2414 1
0 2417 1
0 2419 1
0 2420 1
0 2434 1
0 2439 1
0 2442 1
0 2445 1
0 2448 1
0 2470 1
0 2480 1
0 2535 1
0 2541 1
0 2548 1
0 2550 1
0 2554 1
0 2559 1
0 2574 1
0 2584 1
0 2617 1
1 1683 1
1 1688 1
1 1690 1
1 1691 1
1 1692 1
1 1695 1
1 1697 1
1 1704 1
1 1708 1
1 1709 1
1 1710 1
1 1717 1
1 1718 1
1 1719 1
1 1721 1
1 1722 1
1 1723 1
1 1727 1
1 1729 1
1 1740 1
1 1748 1
1 1750 1
1 1752 1
1 1758 1
1 1762 1
1 1763 1
1 1765 1
1 1772 1
1 1780 1
1 1782 1
1 1787 1
1 1792 1
1 1797 1
1 1802 1
1 1803 1
1 1804 1
1 1805 1
1 1811 1
1 1812 1
1 1813 1
1 1816 1
1 1819 1
1 1822 1
1 1823 1
1 1824 1
1 1826 1
1 1833 1
1 1838 1
1 1845 1
1 1848 1
1 1849 1
1 1850 1
1 1851 1
1 1852 1
1 1855 1
1 1858 1
1 1859 1
1 1871 1
1 1872 1
1 1874 1
1 1881 1
1 1883 1
1 1885 1
1 1894 1
1 1898 1
1 1899 1
1 1902 1
1 1903 1
1 1907 1
1 1910 1
1 1911 1
1 1916 1
1 1917 1
1 1923 1
1 1926 1
1 1927 1
1 1933 1
1 1943 1
1 1944 1
1 1948 1
1 1951 1
1 1957 1
1 1958 1
1 1960 1
1 1962 1
1 1963 1
1 1964 1
1 1974 1
1 1979 1
1 1981 1
1 1987 1
1 1993 1
1 1995 1
1 1996 1
1 1999 1
1 2000 1
1 2001 1
1 2003 1
1 2007 1
1 2008 1
1 2015 1
1 2021 1
1 2022 1
1 2023 1
1 2024 1
1 2033 1
1 2034 1
1 2035 1
1 2037 1
1 2043 1
1 2047 1
1 2051 1
1 2054 1
1 2057 1
1 2062 1
1 2064 1
1 2066 1
1 2067 1
1 2068 1
1 2069 1
1 2070 1
1 2075 1
1 2076 1
1 2078 1
1 2080 1
1 2084 1
1 2089 1
1 2090 1
1 2091 1
1 2092 1
1 2095 1
1 2097 1
1 2098 1
1 2099 1
1 2102 1
1 2104 1
1 2105 1
1 2106 1
1 2109 1
1 2111 1
1 2114 1
1 2118 1
1 2121 1
1 2124 1
1 2125 1
1 2127 1
1 2129 1
1 2131 1
1 2134 1
1 2137 1
1 2140 1
1 2141 1
1 2142 1
1 2144 1
1 2147 1
1 2149 1
1 2151 1
1 2154 1
1 2156 1
1 2160 1
1 2166 1
1 2167 1
1 2175 1
1 2185 1
1 2186 1
1 2189 1
1 2190 1
1 2192 1
1 2195 1
1 2198 1
1 2202 1
1 2205 1
1 2207 1
1 2211 1
1 2213 1
1 2215 1
1 2216 1
1 2223 1
1 2224 1
1 2225 1
1 2228 1
1 2229 1
1 2235 1
1 2237 1
1 2238 1
1 2243 1
1 2247 1
1 2248 1
1 2253 1
1 2254 1
1 2259 1
1 2266 1
1 2272 1
1 2281 1
1 2288 1
1 2289 1
1 2293 1
1 2294 1
1 2297 1
1 2302 1
1 2306 1
1 2312 1
1 2317 1
1 2318 1
1 2322 1
1 2329 1
1 2330 1
1 2332 1
1 2335 1
1 2340 1
1 2341 1
1 2343 1
1 2348 1
1 2349 1
1 2351 1
1 2352 1
1 2359 1
1 2360 1
1 2368 1
1 2369 1
1 2377 1
1 2378 1
1 2381 1
1 2386 1
1 2389 1
1 2395 1
1 2397 1
1 2399 1
1 2401 1
1 2405 1
1 2414 1
1 2417 1
1 2418 1
1 2419 1
1 2421 1
1 2430 1
1 2433 1
1 2434 1
1 2436 1
1 2437 1
1 2444 1
1 2449 1
1 2460 1
1 2462 1
1 2463 1
1 2464 1
1 2467 1
1 2471 1
1 2476 1
1 2477 1
1 2481 1
1 2485 1
1 2488 1
1 2489 1
1 2493 1
1 2495 1
1 2498 1
1 2504 1
1 2505 1
1 2506 1
1 2508 1
1 2509 1
1 2511 1
1 2519 1
1 2522 1
1 2527 1
1 2529 1
1 2532 1
1 2535 1
1 2536 1
1 2540 1
1 2541 1
1 2542 1
1 2545 1
1 2549 1
1 2550 1
1 2551 1
1 2554 1
1 2555 1
1 2557 1
1 2562 1
1 2567 1
1 2568 1
1 2574 1
1 2575 1
1 2579 1
1 2582 1
1 2583 1
1 2584 1
1 2594 1
1 2597 1
1 2598 1
1 2605 1
1 2609 1
1 2613 1
1 2618 1
1 2623 1
2 1684 1
2 1740 1
2 1752 1
2 1793 1
2 1946 1
2 2069 1
2 2084 1
2 2143 1
2 2315 1
2 2326 1
2 2374 1
2 2475 1
2 2519 1
3 1685 1
3 1696 1
3 1699 1
3 1706 1
3 1712 1
3 1719 1
3 1720 1
3 1723 1
3 1729 1
3 1734 1
3 1735 1
3 1740 1
3 1747 1
3 1750 1
3 1752 1
3 1754 1
3 1758 1
3 1765 1
3 1767 1
3 1772 1
3 1780 1
3 1782 1
3 1784 1
3 1792 1
3 1799 1
3 1800 1
3 1801 1
3 1811 1
3 1813 1
3 1844 1
3 1861 1
3 1869 1
3 1884 1
3 1889 1
3 1908 1
3 1991 1
3 1995 1
3 1997 1
3 2023 1
3 2051 1
3 2069 1
3 2084 1
3 2091 1
3 2095 1
3 2116 1
3 2124 1
3 2129 1
3 2135 1
3 2143 1
3 2145 1
3 2159 1
3 2181 1
3 2205 1
3 2228 1
3 2238 1
3 2258 1
3 2261 1
3 2269 1
3 2287 1
3 2304 1
3 2310 1
3 2313 1
3 2315 1
3 2332 1
3 2356 1
3 2364 1
3 2385 1
3 2387 1
3 2395 1
3 2464 1
3 2466 1
3 2519 1
3 2547 1
3 2549 1
3 2558 1
3 2560 1
3 2575 1
3 2578 1
3 2589 1
3 2599 1
3 2619 1
4 1686 1
4 1704 1
4 1719 1
4 1722 1
4 1723 1
4 1724 1
4 1728 1
4 1740 1
4 1748 1
4 1750 1
4 1758 1
4 1765 1
4 1772 1
4 1782 1
4 1787 1
4 1798 1
4 1808 1
4 1812 1
4 1815 1
4 1822 1
4 1824 1
4 1845 1
4 1846 1
4 1849 1
4 1854 1
4 1858 1
4 1872 1
4 1874 1
4 1876 1
4 1877 1
4 1885 1
4 1888 1
4 1898 1
4 1916 1
4 1918 1
4 1920 1
4 1933 1
4 1944 1
4 1948 1
4 1951 1
4 1960 1
4 1981 1
4 1987 1
4 1996 1
4 2007 1
4 2015 1
4 2035 1
4 2059 1
4 2063 1
4 2066 1
4 2070 1
4 2075 1
4 2082 1
4 2091 1
4 2099 1
4 2106 1
4 2121 1
4 2131 1
4 2136 1
4 2137 1
4 2138 1
4 2144 1
4 2149 1
4 2162 1
4 2167 1
4 2188 1
4 2203 1
4 2205 1
4 2211 1
4 2215 1
4 2216 1
4 2220 1
4 2225 1
4 2226 1
4 2228 1
4 2229 1
4 2238 1
4 2241 1
4 2253 1
4 2266 1
4 2277 1
4 2283 1
4 2288 1
4 2294 1
4 2297 1
4 2302 1
4 2311 1
4 2317 1
4 2332 1
4 2335 1
4 2338 1
4 2341 1
4 2342 1
4 2356 1
4 2360 1
4 2381 1
4 2386 1
4 2394 1
4 2401 1
4 2406 1
4 2433 1
4 2434 1
4 2446 1
4 2460 1
4 2462 1
4 2468 1
4 2484 1
4 2493 1
4 2504 1
4 2505 1
4 2506 1
4 2508 1
4 2518 1
4 2527 1
4 2535 1
4 2541 1
4 2550 1
4 2557 1
4 2562 1
4 2568 1
4 2574 1
4 2579 1
4 2597 1
4 2598 1
4 2621 1
4 2623 1
5 1687 1
5 1690 1
5 1691 1
5 1692 1
5 1697 1
5 1699 1
5 1701 1
5 1704 1
5 1706 1
5 1710 1
5 1712 1
5 1714 1
5 1719 1
5 1720 1
5 1721 1
5 1733 1
5 1734 1
5 1740 1
5 1741 1
5 1742 1
5 1745 1
5 1747 1
5 1750 1
5 1753 1
5 1756 1
5 1757 1
5 1762 1
5 1764 1
5 1765 1
5 1767 1
5 1770 1
5 1771 1
5 1772 1
5 1774 1
5 1776 1
5 1777 1
5 1782 1
5 1784 1
5 1785 1
5 1792 1
5 1796 1
5 1804 1
5 1807 1
5 1808 1
5 1810 1
5 1811 1
5 1814 1
5 1819 1
5 1825 1
5 1826 1
5 1838 1
5 1839 1
5 1847 1
5 1851 1
5 1865 1
5 1866 1
5 1873 1
5 1875 1
5 1877 1
5 1896 1
5 1900 1
5 1906 1
5 1913 1
5 1930 1
5 1932 1
5 1936 1
5 1945 1
5 1967 1
5 1977 1
5 1990 1
5 1992 1
5 1993 1
5 1995 1
5 2007 1
5 2014 1
5 2015 1
5 2021 1
5 2034 1
5 2035 1
5 2046 1
5 2056 1
5 2057 1
5 2059 1
5 2060 1
5 2061 1
5 2066 1
5 2067 1
5 2073 1
5 2074 1
5 2075 1
5 2086 1
5 2087 1
5 2088 1
5 2095 1
5 2099 1
5 2109 1
5 2110 1
5 2111 1
5 2112 1
5 2122 1
5 2124 1
5 2128 1
5 2129 1
5 2135 1
5 2136 1
5 2137 1
5 2146 1
5 2149 1
5 2150 1
5 2158 1
5 2161 1
5 2164 1
5 2174 1
5 2175 1
5 2176 1
5 2186 1
5 2187 1
5 2196 1
5 2198 1
5 2201 1
5 2210 1
5 2212 1
5 2214 1
5 2216 1
5 2218 1
5 2221 1
5 2224 1
5 2230 1
5 2238 1
5 2247 1
5 2260 1
5 2282 1
5 2286 1
5 2299 1
5 2317 1
5 2319 1
5 2325 1
5 2326 1
5 2328 1
5 2331 1
5 2332 1
5 2336 1
5 2337 1
5 2343 1
5 2351 1
5 2366 1
5 2371 1
5 2372 1
5 2390 1
5 2402 1
5 2410 1
5 2416 1
5 2421 1
5 2425 1
5 2432 1
5 2434 1
5 2450 1
5 2456 1
5 2457 1
5 2464 1
5 2471 1
5 2472 1
5 2479 1
5 2496 1
5 2501 1
5 2508 1
5 2513 1
5 2517 1
5 2519 1
5 2523 1
5 2524 1
5 2538 1
5 2544 1
5 2546 1
5 2547 1
5 2549 1
5 2551 1
5 2558 1
5 2560 1
5 2565 1
5 2567 1
5 2570 1
5 2575 1
5 2578 1
5 2587 1
5 2589 1
5 2590 1
5 2591 1
5 2597 1
5 2604 1
5 2607 1
5 2609 1
5 2610 1
5 2613 1
6 1684 1
6 1685 1
6 1687 1
6 1688 1
6 1694 1
6 1699 1
6 1701 1
6 1705 1
6 1706 1
6 1708 1
6 1712 1
6 1714 1
6 1719 1
6 1720 1
6 1723 1
6 1725 1
6 1728 1
6 1729 1
6 1730 1
6 1733 1
6 1734 1
6 1735 1
6 1737 1
6 1738 1
6 1740 1
6 1742 1
6 1747 1
6 1749 1
6 1750 1
6 1752 1
6 1753 1
6 1757 1
6 1758 1
6 1760 1
6 1765 1
6 1767 1
6 1772 1
6 1773 1
6 1776 1
6 1777 1
6 1781 1
6 1792 1
6 1799 1
6 1800 1
6 1801 1
6 1803 1
6 1806 1
6 1809 1
6 1811 1
6 1814 1
6 1818 1
6 1819 1
6 1820 1
6 1825 1
6 1826 1
6 1829 1
6 1831 1
6 1839 1
6 1840 1
6 1848 1
6 1858 1
6 1861 1
6 1862 1
6 1863 1
6 1864 1
6 1867 1
6 1873 1
6 1876 1
6 1884 1
6 1887 1
6 1906 1
6 1908 1
6 1919 1
6 1921 1
6 1930 1
6 1936 1
6 1938 1
6 1965 1
6 1967 1
6 1992 1
6 1993 1
6 1994 1
6 1995 1
6 2000 1
6 2007 1
6 2015 1
6 2018 1
6 2021 1
6 2024 1
6 2035 1
6 2042 1
6 2045 1
6 2046 1
6 2047 1
6 2048 1
6 2051 1
6 2056 1
6 2057 1
6 2061 1
6 2069 1
6 2072 1
6 2076 1
6 2084 1
6 2087 1
6 2091 1
6 2094 1
6 2095 1
6 2099 1
6 2103 1
6 2110 1
6 2113 1
6 2116 1
6 2122 1
6 2124 1
6 2128 1
6 2132 1
6 2135 1
6 2136 1
6 2144 1
6 2145 1
6 2149 1
6 2156 1
6 2158 1
6 2159 1
6 2161 1
6 2165 1
6 2171 1
6 2173 1
6 2174 1
6 2175 1
6 2182 1
6 2186 1
6 2190 1
6 2191 1
6 2198 1
6 2201 1
6 2212 1
6 2213 1
6 2214 1
6 2216 1
6 2218 1
6 2220 1
6 2221 1
6 2224 1
6 2228 1
6 2230 1
6 2233 1
6 2236 1
6 2240 1
6 2251 1
6 2254 1
6 2258 1
6 2261 1
6 2266 1
6 2270 1
6 2280 1
6 2284 1
6 2285 1
6 2290 1
6 2307 1
6 2308 1
6 2321 1
6 2326 1
6 2328 1
6 2330 1
6 2331 1
6 2332 1
6 2336 1
6 2339 1
6 2342 1
6 2343 1
6 2350 1
6 2352 1
6 2356 1
6 2358 1
6 2366 1
6 2374 1
6 2384 1
6 2385 1
6 2386 1
6 2388 1
6 2390 1
6 2402 1
6 2410 1
6 2421 1
6 2426 1
6 2429 1
6 2432 1
6 2447 1
6 2450 1
6 2451 1
6 2459 1
6 2461 1
6 2466 1
6 2472 1
6 2473 1
6 2475 1
6 2479 1
6 2485 1
6 2486 1
6 2490 1
6 2501 1
6 2502 1
6 2517 1
6 2519 1
6 2524 1
6 2538 1
6 2544 1
6 2546 1
6 2549 1
6 2558 1
6 2560 1
6 2562 1
6 2563 1
6 2565 1
6 2567 1
6 2569 1
6 2570 1
6 2575 1
6 2576 1
6 2578 1
6 2589 1
6 2597 1
6 2599 1
6 2610 1
6 2616 1
6 2622 1
7 1687 1
7 1689 1
7 1691 1
7 1693 1
7 1694 1
7 1695 1
7 1699 1
7 1701 1
7 1703 1
7 1706 1
7 1707 1
7 1712 1
7 1714 1
7 1720 1
7 1729 1
7 1734 1
7 1749 1
7 1752 1
7 1757 1
7 1772 1
7 1773 1
7 1784 1
7 1787 1
7 1798 1
7 1809 1
7 1820 1
7 1826 1
7 1827 1
7 1862 1
7 1887 1
7 1908 1
7 1930 1
7 1997 1
7 2025 1
7 2046 1
7 2048 1
7 2051 1
7 2057 1
7 2069 1
7 2076 1
7 2084 1
7 2095 1
7 2110 1
7 2124 1
7 2128 1
7 2129 1
7 2132 1
7 2145 1
7 2148 1
7 2171 1
7 2173 1
7 2181 1
7 2183 1
7 2218 1
7 2240 1
7 2251 1
7 2295 1
7 2314 1
7 2315 1
7 2356 1
7 2370 1
7 2387 1
7 2390 1
7 2402 1
7 2412 1
7 2423 1
7 2424 1
7 2450 1
7 2461 1
7 2473 1
7 2475 1
7 2486 1
7 2490 1
7 2507 1
7 2513 1
7 2517 1
7 2544 1
7 2560 1
7 2563 1
7 2569 1
7 2572 1
7 2576 1
7 2577 1
7 2590 1
7 2597 1
8 1684 1
8 1685 1
8 1690 1
8 1692 1
8 1693 1
8 1694 1
8 1695 1
8 1697 1
8 1699 1
8 1701 1
8 1702 1
8 1706 1
8 1707 1
8 1712 1
8 1719 1
8 1720 1
8 1725 1
8 1734 1
8 1736 1
8 1737 1
8 1740 1
8 1747 1
8 1749 1
8 1750 1
8 1752 1
8 1754 1
8 1757 1
8 1765 1
8 1769 1
8 1772 1
8 1773 1
8 1775 1
8 1778 1
8 1779 1
8 1782 1
8 1784 1
8 1793 1
8 1796 1
8 1799 1
8 1801 1
8 1808 1
8 1811 1
8 1818 1
8 1820 1
8 1829 1
8 1835 1
8 1844 1
8 1847 1
8 1863 1
8 1864 1
8 1884 1
8 1887 1
8 1889 1
8 1908 1
8 1915 1
8 1921 1
8 1925 1
8 1967 1
8 1992 1
8 1993 1
8 1995 1
8 1997 1
8 2000 1
8 2011 1
8 2015 1
8 2022 1
8 2023 1
8 2030 1
8 2035 1
8 2040 1
8 2046 1
8 2051 1
8 2056 1
8 2059 1
8 2066 1
8 2069 1
8 2076 1
8 2078 1
8 2084 1
