2020 4715
179 1195 1
198 1195 1
237 1195 1
560 1195 1
569 1195 1
0 1306 1
341 1306 1
472 1306 1
551 1306 1
606 1306 1
98 1346 1
184 1346 1
248 1346 1
618 1346 1
839 1346 1
95 1344 1
241 1344 1
341 1344 1
491 1344 1
635 1344 1
92 1188 1
197 1188 1
219 1188 1
307 1188 1
611 1188 1
31 1086 1
133 1086 1
330 1086 1
416 1086 1
612 1086 1
105 1115 1
113 1115 1
276 1115 1
399 1115 1
416 1115 1
161 1150 1
340 1150 1
341 1150 1
409 1150 1
483 1150 1
153 1370 1
282 1370 1
540 1370 1
698 1370 1
792 1370 1
49 1116 1
137 1116 1
362 1116 1
462 1116 1
537 1116 1
139 1149 1
455 1149 1
479 1149 1
552 1149 1
572 1149 1
56 1381 1
120 1381 1
245 1381 1
507 1381 1
731 1381 1
52 1135 1
214 1135 1
242 1135 1
299 1135 1
553 1135 1
101 1214 1
214 1214 1
270 1214 1
503 1214 1
656 1214 1
621 1197 1
688 1197 1
727 1197 1
787 1197 1
831 1197 1
34 1208 1
236 1208 1
237 1208 1
267 1208 1
417 1208 1
24 1324 1
95 1324 1
103 1324 1
148 1324 1
354 1324 1
99 1191 1
133 1191 1
180 1191 1
311 1191 1
569 1191 1
157 1186 1
219 1186 1
702 1186 1
365 1186 1
545 1186 1
579 1134 1
99 1134 1
409 1134 1
494 1134 1
511 1134 1
31 1252 1
150 1252 1
153 1252 1
283 1252 1
463 1252 1
157 1079 1
304 1079 1
312 1079 1
408 1079 1
542 1079 1
66 1230 1
157 1230 1
468 1230 1
483 1230 1
671 1230 1
66 1323 1
237 1323 1
258 1323 1
334 1323 1
539 1323 1
52 1128 1
86 1128 1
157 1128 1
186 1128 1
655 1128 1
490 1192 1
1 1192 1
49 1192 1
189 1192 1
606 1192 1
153 1393 1
360 1393 1
374 1393 1
49 1393 1
818 1393 1
31 1154 1
49 1154 1
78 1154 1
101 1154 1
208 1154 1
797 1312 1
139 1312 1
282 1312 1
290 1312 1
399 1312 1
0 1363 1
282 1363 1
322 1363 1
545 1363 1
577 1363 1
108 1359 1
137 1359 1
236 1359 1
239 1359 1
785 1359 1
652 1156 1
660 1156 1
139 1156 1
153 1156 1
339 1156 1
98 1232 1
157 1232 1
249 1232 1
389 1232 1
606 1232 1
0 1354 1
48 1354 1
282 1354 1
517 1354 1
665 1354 1
262 1351 1
327 1351 1
367 1351 1
469 1351 1
563 1351 1
205 1212 1
644 1212 1
648 1212 1
803 1212 1
897 1212 1
82 1314 1
214 1314 1
272 1314 1
409 1314 1
419 1314 1
7 1102 1
26 1102 1
54 1102 1
219 1102 1
419 1102 1
1 1403 1
60 1403 1
175 1403 1
469 1403 1
706 1403 1
139 1382 1
241 1382 1
274 1382 1
621 1382 1
650 1382 1
5 1171 1
252 1171 1
281 1171 1
350 1171 1
566 1171 1
17 1132 1
57 1132 1
102 1132 1
112 1132 1
397 1132 1
64 1175 1
91 1175 1
237 1175 1
377 1175 1
538 1175 1
112 1169 1
154 1169 1
298 1169 1
421 1169 1
428 1169 1
24 1277 1
49 1277 1
189 1277 1
197 1277 1
660 1277 1
72 1365 1
189 1365 1
274 1365 1
606 1365 1
726 1365 1
389 1318 1
1 1318 1
481 1318 1
618 1318 1
659 1318 1
101 1302 1
342 1302 1
399 1302 1
450 1302 1
688 1302 1
103 1182 1
214 1182 1
325 1182 1
350 1182 1
614 1182 1
240 1106 1
339 1106 1
504 1106 1
560 1106 1
722 1106 1
22 1356 1
161 1356 1
312 1356 1
341 1356 1
590 1356 1
91 1200 1
322 1200 1
444 1200 1
587 1200 1
682 1200 1
49 1326 1
101 1326 1
237 1326 1
269 1326 1
746 1326 1
43 1207 1
139 1207 1
347 1207 1
558 1207 1
660 1207 1
22 1422 1
23 1422 1
141 1422 1
156 1422 1
215 1422 1
12 1196 1
161 1196 1
242 1196 1
374 1196 1
421 1196 1
40 1138 1
156 1138 1
312 1138 1
371 1138 1
567 1138 1
49 1165 1
130 1165 1
139 1165 1
270 1165 1
312 1165 1
53 1129 1
94 1129 1
314 1129 1
453 1129 1
470 1129 1
66 1137 1
96 1137 1
252 1137 1
320 1137 1
594 1137 1
157 1248 1
745 1248 1
98 1248 1
184 1248 1
563 1248 1
100 1087 1
157 1087 1
340 1087 1
468 1087 1
555 1087 1
49 1104 1
298 1104 1
375 1104 1
570 1104 1
577 1104 1
58 1259 1
236 1259 1
342 1259 1
566 1259 1
576 1259 1
53 1263 1
66 1263 1
267 1263 1
507 1263 1
558 1263 1
52 1190 1
120 1190 1
341 1190 1
347 1190 1
563 1190 1
136 1378 1
208 1378 1
237 1378 1
382 1378 1
775 1378 1
77 1184 1
157 1184 1
185 1184 1
282 1184 1
341 1184 1
101 1243 1
139 1243 1
214 1243 1
257 1243 1
290 1243 1
57 1213 1
135 1213 1
153 1213 1
182 1213 1
397 1213 1
214 1355 1
215 1355 1
292 1355 1
339 1355 1
646 1355 1
66 1130 1
112 1130 1
237 1130 1
340 1130 1
748 1130 1
5 1270 1
189 1270 1
238 1270 1
290 1270 1
587 1270 1
657 1374 1
130 1374 1
316 1374 1
606 1374 1
618 1374 1
99 1287 1
263 1287 1
280 1287 1
339 1287 1
808 1287 1
5 1340 1
49 1340 1
118 1340 1
660 1340 1
704 1340 1
5 1234 1
91 1234 1
112 1234 1
239 1234 1
319 1234 1
464 1290 1
77 1290 1
375 1290 1
653 1290 1
677 1290 1
30 1286 1
49 1286 1
282 1286 1
446 1286 1
662 1286 1
49 1189 1
96 1189 1
138 1189 1
242 1189 1
679 1189 1
31 1126 1
86 1126 1
199 1126 1
203 1126 1
567 1126 1
101 1172 1
237 1172 1
350 1172 1
397 1172 1
742 1172 1
6 1204 1
151 1204 1
229 1204 1
333 1204 1
490 1204 1
6 1176 1
290 1176 1
343 1176 1
663 1176 1
672 1176 1
270 1179 1
342 1179 1
458 1179 1
527 1179 1
662 1179 1
157 1397 1
512 1397 1
701 1397 1
765 1397 1
784 1397 1
53 1131 1
145 1131 1
229 1131 1
330 1131 1
333 1131 1
583 1369 1
595 1369 1
634 1369 1
782 1369 1
809 1369 1
30 1320 1
166 1320 1
267 1320 1
349 1320 1
727 1320 1
31 1157 1
86 1157 1
92 1157 1
405 1157 1
437 1157 1
6 1209 1
57 1209 1
112 1209 1
534 1209 1
716 1209 1
31 1142 1
303 1142 1
374 1142 1
508 1142 1
606 1142 1
173 1309 1
295 1309 1
24 1309 1
68 1309 1
477 1309 1
184 1167 1
330 1167 1
350 1167 1
366 1167 1
550 1167 1
24 1101 1
101 1101 1
120 1101 1
133 1101 1
312 1101 1
237 1268 1
239 1268 1
365 1268 1
476 1268 1
740 1268 1
12 1110 1
182 1110 1
215 1110 1
541 1110 1
592 1110 1
108 1380 1
527 1380 1
533 1380 1
570 1380 1
879 1380 1
47 1123 1
52 1123 1
87 1123 1
341 1123 1
347 1123 1
535 1219 1
698 1219 1
316 1219 1
551 1219 1
606 1219 1
341 1238 1
374 1238 1
377 1238 1
546 1238 1
77 1238 1
104 1103 1
112 1103 1
179 1103 1
215 1103 1
304 1103 1
177 1361 1
214 1361 1
341 1361 1
364 1361 1
565 1361 1
1 1244 1
52 1244 1
115 1244 1
354 1244 1
446 1244 1
451 1353 1
1 1353 1
157 1353 1
606 1353 1
701 1353 1
34 1330 1
53 1330 1
71 1330 1
166 1330 1
507 1330 1
157 1294 1
481 1294 1
446 1294 1
618 1294 1
770 1294 1
58 1317 1
89 1317 1
133 1317 1
148 1317 1
188 1317 1
112 1258 1
157 1258 1
351 1258 1
436 1258 1
585 1258 1
229 1164 1
310 1164 1
523 1164 1
419 1164 1
606 1164 1
606 1266 1
618 1266 1
1 1266 1
316 1266 1
446 1266 1
343 1240 1
551 1240 1
584 1240 1
632 1240 1
676 1240 1
43 1223 1
226 1223 1
364 1223 1
657 1223 1
793 1223 1
49 1260 1
251 1260 1
281 1260 1
447 1260 1
741 1260 1
29 1083 1
138 1083 1
189 1083 1
365 1083 1
656 1083 1
139 1269 1
212 1269 1
342 1269 1
508 1269 1
606 1269 1
52 1262 1
68 1262 1
136 1262 1
139 1262 1
341 1262 1
101 1291 1
113 1291 1
339 1291 1
439 1291 1
450 1291 1
12 1097 1
77 1097 1
90 1097 1
92 1097 1
601 1097 1
712 1364 1
58 1364 1
86 1364 1
157 1364 1
282 1364 1
9 1181 1
31 1181 1
133 1181 1
423 1181 1
455 1181 1
16 1093 1
256 1093 1
314 1093 1
391 1093 1
619 1093 1
71 1227 1
110 1227 1
118 1227 1
462 1227 1
661 1227 1
801 1327 1
88 1327 1
227 1327 1
350 1327 1
752 1327 1
199 1203 1
254 1203 1
296 1203 1
459 1203 1
496 1203 1
573 1280 1
606 1280 1
694 1280 1
697 1280 1
784 1280 1
76 1146 1
175 1146 1
563 1146 1
573 1146 1
671 1146 1
36 1168 1
56 1168 1
452 1168 1
528 1168 1
590 1168 1
1 1276 1
