6175 133953
0 281 1
1 281 1
2 281 1
3 281 1
4 281 1
5 282 1
6 282 1
7 282 1
8 282 1
9 282 1
10 282 1
11 282 1
12 282 1
13 282 1
14 282 1
15 282 1
16 282 1
17 282 1
18 282 1
19 282 1
20 282 1
21 282 1
22 282 1
23 282 1
5 283 1
24 283 1
8 283 1
25 283 1
26 283 1
10 283 1
27 283 1
28 283 1
29 283 1
4 283 1
30 283 1
31 283 1
32 283 1
13 283 1
33 283 1
16 283 1
15 283 1
0 283 1
19 283 1
34 283 1
35 283 1
36 283 1
23 283 1
37 283 1
38 283 1
8 284 1
4 284 1
13 284 1
16 284 1
19 284 1
39 284 1
40 285 1
7 285 1
33 285 1
41 285 1
42 285 1
43 285 1
29 285 1
2 285 1
44 285 1
45 286 1
46 286 1
15 286 1
3 286 1
23 286 1
8 286 1
12 286 1
47 286 1
5 287 1
7 287 1
33 287 1
16 287 1
21 287 1
29 287 1
13 287 1
22 287 1
7 288 1
33 288 1
48 288 1
49 288 1
23 288 1
8 288 1
29 288 1
13 288 1
22 288 1
17 289 1
15 289 1
50 289 1
8 289 1
51 289 1
13 289 1
22 289 1
5 290 1
6 290 1
52 290 1
53 290 1
10 290 1
27 290 1
54 290 1
55 290 1
56 290 1
57 290 1
16 290 1
15 290 1
0 290 1
19 290 1
58 290 1
59 290 1
60 290 1
61 290 1
50 290 1
1 290 1
62 290 1
63 290 1
64 290 1
26 290 1
65 290 1
66 290 1
4 290 1
67 290 1
14 290 1
68 290 1
69 290 1
70 290 1
71 290 1
2 290 1
72 290 1
73 290 1
74 290 1
75 290 1
76 290 1
77 290 1
46 290 1
78 290 1
11 290 1
79 290 1
41 290 1
80 290 1
3 290 1
81 290 1
82 290 1
23 290 1
83 290 1
84 290 1
8 290 1
85 290 1
86 290 1
29 290 1
87 290 1
12 290 1
13 290 1
88 290 1
89 290 1
34 290 1
36 290 1
90 290 1
91 290 1
92 290 1
38 290 1
93 290 1
94 290 1
95 290 1
10 291 1
15 291 1
0 291 1
19 291 1
96 291 1
51 291 1
97 291 1
13 291 1
19 292 1
2 292 1
98 292 1
40 293 1
5 293 1
6 293 1
52 293 1
10 293 1
54 293 1
55 293 1
57 293 1
99 293 1
16 293 1
15 293 1
0 293 1
18 293 1
19 293 1
58 293 1
59 293 1
100 293 1
61 293 1
50 293 1
1 293 1
62 293 1
101 293 1
63 293 1
26 293 1
65 293 1
66 293 1
102 293 1
103 293 1
4 293 1
14 293 1
68 293 1
69 293 1
70 293 1
71 293 1
2 293 1
104 293 1
22 293 1
105 293 1
106 293 1
75 293 1
7 293 1
9 293 1
107 293 1
108 293 1
11 293 1
30 293 1
109 293 1
41 293 1
80 293 1
21 293 1
110 293 1
81 293 1
111 293 1
23 293 1
82 293 1
37 293 1
112 293 1
84 293 1
8 293 1
113 293 1
86 293 1
114 293 1
29 293 1
115 293 1
87 293 1
12 293 1
32 293 1
13 293 1
116 293 1
89 293 1
117 293 1
34 293 1
36 293 1
38 293 1
95 293 1
5 294 1
27 294 1
33 294 1
16 294 1
19 294 1
58 294 1
118 294 1
119 294 1
63 294 1
26 294 1
4 294 1
74 294 1
7 294 1
9 294 1
25 294 1
21 294 1
23 294 1
8 294 1
51 294 1
29 294 1
13 294 1
36 294 1
38 294 1
40 295 1
120 295 1
121 295 1
42 295 1
84 295 1
16 296 1
15 296 1
58 296 1
122 296 1
49 296 1
61 296 1
50 296 1
62 296 1
64 296 1
4 296 1
123 296 1
68 296 1
70 296 1
73 296 1
124 296 1
7 296 1
107 296 1
41 296 1
80 296 1
111 296 1
84 296 1
8 296 1
51 296 1
85 296 1
125 296 1
114 296 1
29 296 1
12 296 1
13 296 1
116 296 1
89 296 1
117 296 1
126 296 1
127 296 1
95 296 1
40 297 1
5 297 1
6 297 1
52 297 1
10 297 1
27 297 1
54 297 1
55 297 1
128 297 1
56 297 1
129 297 1
16 297 1
15 297 1
0 297 1
18 297 1
19 297 1
59 297 1
130 297 1
131 297 1
49 297 1
132 297 1
133 297 1
42 297 1
134 297 1
119 297 1
24 297 1
63 297 1
64 297 1
26 297 1
28 297 1
102 297 1
103 297 1
4 297 1
71 297 1
2 297 1
74 297 1
44 297 1
135 297 1
105 297 1
106 297 1
75 297 1
136 297 1
77 297 1
7 297 1
9 297 1
137 297 1
108 297 1
11 297 1
138 297 1
30 297 1
139 297 1
140 297 1
17 297 1
21 297 1
141 297 1
142 297 1
81 297 1
23 297 1
83 297 1
112 297 1
84 297 1
143 297 1
8 297 1
85 297 1
86 297 1
144 297 1
145 297 1
29 297 1
146 297 1
115 297 1
147 297 1
32 297 1
148 297 1
116 297 1
89 297 1
34 297 1
36 297 1
90 297 1
91 297 1
38 297 1
127 297 1
40 298 1
5 298 1
6 298 1
10 298 1
31 298 1
99 298 1
33 298 1
16 298 1
0 298 1
19 298 1
58 298 1
59 298 1
132 298 1
133 298 1
121 298 1
50 298 1
119 298 1
62 298 1
26 298 1
65 298 1
103 298 1
4 298 1
67 298 1
14 298 1
149 298 1
68 298 1
69 298 1
70 298 1
2 298 1
108 298 1
138 298 1
17 298 1
41 298 1
21 298 1
39 298 1
150 298 1
84 298 1
8 298 1
85 298 1
86 298 1
29 298 1
13 298 1
151 298 1
38 298 1
5 299 1
100 299 1
67 299 1
69 299 1
40 300 1
152 300 1
49 300 1
111 300 1
8 300 1
40 301 1
5 301 1
6 301 1
52 301 1
10 301 1
56 301 1
31 301 1
33 301 1
16 301 1
0 301 1
18 301 1
19 301 1
59 301 1
20 301 1
61 301 1
153 301 1
63 301 1
26 301 1
103 301 1
71 301 1
2 301 1
154 301 1
75 301 1
45 301 1
136 301 1
155 301 1
77 301 1
7 301 1
156 301 1
9 301 1
11 301 1
17 301 1
41 301 1
21 301 1
3 301 1
81 301 1
8 301 1
85 301 1
125 301 1
86 301 1
144 301 1
145 301 1
