4913 43293
0 105 1
1 105 1
2 105 1
3 105 1
4 105 1
5 105 1
6 105 1
7 105 1
8 105 1
9 105 1
10 105 1
11 105 1
12 105 1
13 105 1
14 105 1
15 105 1
16 105 1
17 105 1
17 106 1
1 106 1
18 106 1
19 107 1
20 107 1
21 107 1
1 107 1
22 108 1
23 108 1
24 108 1
7 108 1
11 108 1
15 108 1
3 108 1
10 108 1
18 108 1
25 109 1
15 109 1
26 109 1
27 109 1
6 110 1
15 110 1
1 110 1
8 110 1
9 110 1
28 110 1
29 110 1
30 110 1
17 110 1
6 111 1
11 111 1
15 111 1
31 111 1
32 111 1
2 111 1
3 111 1
33 111 1
34 111 1
8 111 1
35 111 1
18 111 1
36 111 1
37 111 1
38 111 1
39 111 1
40 111 1
17 111 1
14 111 1
41 111 1
42 111 1
22 111 1
43 111 1
24 111 1
7 111 1
1 111 1
9 111 1
10 111 1
28 111 1
5 111 1
29 111 1
30 111 1
44 111 1
1 112 1
19 113 1
45 113 1
24 114 1
46 114 1
19 115 1
47 115 1
1 115 1
46 115 1
6 116 1
3 116 1
26 116 1
27 116 1
17 116 1
1 116 1
45 116 1
28 116 1
48 116 1
49 116 1
19 117 1
23 117 1
50 117 1
12 117 1
11 117 1
15 117 1
31 117 1
51 117 1
2 117 1
3 117 1
33 117 1
52 117 1
53 117 1
26 117 1
27 117 1
34 117 1
54 117 1
35 117 1
18 117 1
36 117 1
55 117 1
37 117 1
56 117 1
38 117 1
39 117 1
40 117 1
13 117 1
14 117 1
42 117 1
16 117 1
43 117 1
57 117 1
24 117 1
7 117 1
1 117 1
9 117 1
58 117 1
28 117 1
5 117 1
59 117 1
46 117 1
49 117 1
19 118 1
6 118 1
21 118 1
11 118 1
15 118 1
31 118 1
51 118 1
2 118 1
3 118 1
33 118 1
27 118 1
34 118 1
35 118 1
18 118 1
36 118 1
55 118 1
37 118 1
56 118 1
40 118 1
17 118 1
4 118 1
47 118 1
14 118 1
42 118 1
16 118 1
25 118 1
24 118 1
1 118 1
29 118 1
46 118 1
19 119 1
21 119 1
11 119 1
60 119 1
15 119 1
33 119 1
26 119 1
61 119 1
47 119 1
1 119 1
9 119 1
45 119 1
5 119 1
46 119 1
19 120 1
62 120 1
32 120 1
51 120 1
52 120 1
18 120 1
36 120 1
63 120 1
10 120 1
64 120 1
48 120 1
6 121 1
60 121 1
15 121 1
0 121 1
3 121 1
26 121 1
8 121 1
47 121 1
1 121 1
28 121 1
48 121 1
29 121 1
30 121 1
19 122 1
60 122 1
18 122 1
24 122 1
19 123 1
21 123 1
11 123 1
65 123 1
17 123 1
1 123 1
45 123 1
64 123 1
28 123 1
66 124 1
21 124 1
11 124 1
15 124 1
31 124 1
3 124 1
67 124 1
18 124 1
17 124 1
24 124 1
7 124 1
1 124 1
19 125 1
32 125 1
36 125 1
60 126 1
15 126 1
35 126 1
44 126 1
48 127 1
6 128 1
34 129 1
35 129 1
1 129 1
68 130 1
8 130 1
69 130 1
28 130 1
2 131 1
3 131 1
35 131 1
24 131 1
21 132 1
15 132 1
8 132 1
18 132 1
29 132 1
3 133 1
34 133 1
35 133 1
18 133 1
37 133 1
16 133 1
22 133 1
70 133 1
28 133 1
29 133 1
19 134 1
21 134 1
12 134 1
11 134 1
15 134 1
62 134 1
31 134 1
3 134 1
26 134 1
34 134 1
65 134 1
18 134 1
17 134 1
4 134 1
47 134 1
25 134 1
1 134 1
9 134 1
45 134 1
48 134 1
35 135 1
18 135 1
69 135 1
23 136 1
11 136 1
15 136 1
40 136 1
71 136 1
24 136 1
7 136 1
1 136 1
21 137 1
17 137 1
1 137 1
45 137 1
28 137 1
19 138 1
23 139 1
57 139 1
17 140 1
45 140 1
48 140 1
49 140 1
17 141 1
46 141 1
19 142 1
60 142 1
15 142 1
2 142 1
33 142 1
26 142 1
27 142 1
8 142 1
35 142 1
36 142 1
14 142 1
22 142 1
45 142 1
58 142 1
28 142 1
5 142 1
29 142 1
30 142 1
21 143 1
11 143 1
15 143 1
18 143 1
17 143 1
7 143 1
1 143 1
10 143 1
19 144 1
11 144 1
15 144 1
62 144 1
2 144 1
3 144 1
33 144 1
52 144 1
26 144 1
34 144 1
67 144 1
18 144 1
36 144 1
37 144 1
56 144 1
38 144 1
40 144 1
17 144 1
13 144 1
25 144 1
1 144 1
9 144 1
10 144 1
46 144 1
12 144 1
72 144 1
65 144 1
73 144 1
74 144 1
4 144 1
14 144 1
47 144 1
16 144 1
24 144 1
7 144 1
75 144 1
45 144 1
64 144 1
60 145 1
15 145 1
0 145 1
2 145 1
3 145 1
26 145 1
27 145 1
18 145 1
17 145 1
13 145 1
25 145 1
1 145 1
9 145 1
10 145 1
46 145 1
21 145 1
12 145 1
73 145 1
71 145 1
4 145 1
47 145 1
24 145 1
28 145 1
29 145 1
36 146 1
74 146 1
28 146 1
11 147 1
15 147 1
17 147 1
69 147 1
9 147 1
19 148 1
11 148 1
32 148 1
0 148 1
2 148 1
3 148 1
26 148 1
27 148 1
34 148 1
8 148 1
35 148 1
18 148 1
36 148 1
37 148 1
40 148 1
17 148 1
13 148 1
1 148 1
10 148 1
46 148 1
23 148 1
65 148 1
47 148 1
14 148 1
16 148 1
22 148 1
43 148 1
24 148 1
7 148 1
45 148 1
64 148 1
28 148 1
48 148 1
49 148 1
17 149 1
17 150 1
4 150 1
47 150 1
11 151 1
15 151 1
17 151 1
1 151 1
24 151 1
20 152 1
0 152 1
26 152 1
68 152 1
28 152 1
44 152 1
6 153 1
31 153 1
51 153 1
0 153 1
2 153 1
3 153 1
33 153 1
26 153 1
27 153 1
34 153 1
36 153 1
55 153 1
56 153 1
17 153 1
14 153 1
75 153 1
64 153 1
28 153 1
5 153 1
48 153 1
49 153 1
0 154 1
35 154 1
36 154 1
15 155 1
1 155 1
73 156 1
19 157 1
2 157 1
33 157 1
36 157 1
16 157 1
75 157 1
5 157 1
19 158 1
17 158 1
21 158 1
47 158 1
28 158 1
21 159 1
19 160 1
11 160 1
15 160 1
3 160 1
17 160 1
0 161 1
15 162 1
34 162 1
8 162 1
1 162 1
28 162 1
19 163 1
17 163 1
1 163 1
46 163 1
21 163 1
28 163 1
6 164 1
15 164 1
18 164 1
40 164 1
1 164 1
21 164 1
64 164 1
28 164 1
29 164 1
50 165 1
11 165 1
15 165 1
62 165 1
31 165 1
0 165 1
2 165 1
3 165 1
33 165 1
52 165 1
53 165 1
34 165 1
8 165 1
67 165 1
35 165 1
18 165 1
36 165 1
55 165 1
37 165 1
56 165 1
38 165 1
39 165 1
76 165 1
40 165 1
17 165 1
77 165 1
13 165 1
78 165 1
1 165 1
69 165 1
79 165 1
9 165 1
10 165 1
80 165 1
46 165 1
81 165 1
23 165 1
12 165 1
72 165 1
65 165 1
71 165 1
74 165 1
4 165 1
47 165 1
14 165 1
42 165 1
16 165 1
22 165 1
43 165 1
57 165 1
24 165 1
7 165 1
58 165 1
28 165 1
5 165 1
29 165 1
59 165 1
30 165 1
82 165 1
83 165 1
84 165 1
85 165 1
6 166 1
15 166 1
8 166 1
1 166 1
21 166 1
29 166 1
30 166 1
21 167 1
28 167 1
11 168 1
15 168 1
0 168 1
2 168 1
34 168 1
8 168 1
35 168 1
18 168 1
37 168 1
40 168 1
17 168 1
13 168 1
1 168 1
69 168 1
10 168 1
14 168 1
86 168 1
16 168 1
22 168 1
43 168 1
24 168 1
32 169 1
69 169 1
74 169 1
15 170 1
0 170 1
17 170 1
1 170 1
9 170 1
10 170 1
4 170 1
24 170 1
7 170 1
26 171 1
19 172 1
32 172 1
67 172 1
17 172 1
1 172 1
69 172 1
46 172 1
21 172 1
83 172 1
36 173 1
23 174 1
12 174 1
24 174 1
43 175 1
15 176 1
17 176 1
46 176 1
21 176 1
45 176 1
28 176 1
19 177 1
50 177 1
11 177 1
15 177 1
62 177 1
31 177 1
51 177 1
0 177 1
2 177 1
3 177 1
33 177 1
52 177 1
53 177 1
34 177 1
67 177 1
35 177 1
18 177 1
36 177 1
55 177 1
37 177 1
56 177 1
38 177 1
39 177 1
76 177 1
40 177 1
17 177 1
13 177 1
1 177 1
9 177 1
10 177 1
46 177 1
81 177 1
23 177 1
21 177 1
12 177 1
87 177 1
72 177 1
65 177 1
61 177 1
73 177 1
74 177 1
88 177 1
4 177 1
14 177 1
41 177 1
86 177 1
16 177 1
22 177 1
43 177 1
57 177 1
24 177 1
7 177 1
45 177 1
89 177 1
58 177 1
28 177 1
5 177 1
59 177 1
83 177 1
90 177 1
44 177 1
91 177 1
85 177 1
92 177 1
19 178 1
6 178 1
11 178 1
62 178 1
31 178 1
51 178 1
3 178 1
26 178 1
27 178 1
67 178 1
77 178 1
25 178 1
1 178 1
23 178 1
12 178 1
24 178 1
7 178 1
28 178 1
48 178 1
55 179 1
1 180 1
15 181 1
34 181 1
17 181 1
12 181 1
28 181 1
2 182 1
36 182 1
5 182 1
82 182 1
11 183 1
15 183 1
35 183 1
17 183 1
73 183 1
24 183 1
5 183 1
85 183 1
19 184 1
3 184 1
1 184 1
21 184 1
47 184 1
45 184 1
28 184 1
93 184 1
36 185 1
69 185 1
45 185 1
28 185 1
19 186 1
1 186 1
35 187 1
18 187 1
2 188 1
16 188 1
36 189 1
21 189 1
15 190 1
2 190 1
35 190 1
36 190 1
1 190 1
65 190 1
24 190 1
28 190 1
9 191 1
24 191 1
29 191 1
19 192 1
11 192 1
60 192 1
15 192 1
32 192 1
51 192 1
2 192 1
3 192 1
33 192 1
27 192 1
34 192 1
8 192 1
35 192 1
36 192 1
55 192 1
37 192 1
38 192 1
40 192 1
17 192 1
25 192 1
1 192 1
69 192 1
68 192 1
21 192 1
12 192 1
4 192 1
47 192 1
14 192 1
86 192 1
43 192 1
24 192 1
29 192 1
30 192 1
82 192 1
90 192 1
20 193 1
45 193 1
11 194 1
15 194 1
31 194 1
32 194 1
0 194 1
2 194 1
3 194 1
33 194 1
52 194 1
34 194 1
35 194 1
18 194 1
36 194 1
55 194 1
37 194 1
56 194 1
38 194 1
39 194 1
40 194 1
94 194 1
78 194 1
1 194 1
9 194 1
10 194 1
80 194 1
66 194 1
87 194 1
71 194 1
47 194 1
41 194 1
42 194 1
16 194 1
22 194 1
43 194 1
24 194 1
7 194 1
28 194 1
5 194 1
59 194 1
82 194 1
44 194 1
49 194 1
69 195 1
45 195 1
28 195 1
19 196 1
26 196 1
19 197 1
50 197 1
6 197 1
11 197 1
60 197 1
15 197 1
62 197 1
31 197 1
32 197 1
51 197 1
2 197 1
3 197 1
33 197 1
52 197 1
26 197 1
27 197 1
34 197 1
8 197 1
67 197 1
35 197 1
18 197 1
36 197 1
37 197 1
39 197 1
76 197 1
40 197 1
17 197 1
77 197 1
25 197 1
9 197 1
10 197 1
46 197 1
66 197 1
23 197 1
21 197 1
12 197 1
65 197 1
73 197 1
4 197 1
41 197 1
22 197 1
43 197 1
24 197 1
45 197 1
64 197 1
58 197 1
28 197 1
93 197 1
5 197 1
48 197 1
29 197 1
49 197 1
19 198 1
15 198 1
17 198 1
45 198 1
28 198 1
19 199 1
11 199 1
15 199 1
31 199 1
2 199 1
3 199 1
33 199 1
36 199 1
55 199 1
37 199 1
56 199 1
38 199 1
40 199 1
17 199 1
13 199 1
78 199 1
1 199 1
9 199 1
12 199 1
65 199 1
73 199 1
74 199 1
47 199 1
14 199 1
42 199 1
43 199 1
24 199 1
89 199 1
28 199 1
59 199 1
85 199 1
92 199 1
36 200 1
15 201 1
2 201 1
1 201 1
28 201 1
48 201 1
21 202 1
19 203 1
15 203 1
1 203 1
66 203 1
24 203 1
28 203 1
60 204 1
8 204 1
28 204 1
93 204 1
36 205 1
69 205 1
28 205 1
19 206 1
21 206 1
48 206 1
36 207 1
45 207 1
19 208 1
11 208 1
15 208 1
3 208 1
8 208 1
18 208 1
13 208 1
68 208 1
24 208 1
64 208 1
28 208 1
29 208 1
30 208 1
11 209 1
15 209 1
21 209 1
28 209 1
24 210 1
11 211 1
15 211 1
36 211 1
17 211 1
28 211 1
19 212 1
17 212 1
1 212 1
69 212 1
46 212 1
21 212 1
28 212 1
19 213 1
11 213 1
15 213 1
62 213 1
32 213 1
51 213 1
2 213 1
3 213 1
52 213 1
34 213 1
35 213 1
18 213 1
36 213 1
37 213 1
40 213 1
13 213 1
1 213 1
69 213 1
14 213 1
16 213 1
22 213 1
43 213 1
57 213 1
24 213 1
7 213 1
75 213 1
5 213 1
84 213 1
49 213 1
19 214 1
3 214 1
1 214 1
46 214 1
65 214 1
6 215 1
28 215 1
29 215 1
19 216 1
6 216 1
11 216 1
15 216 1
31 216 1
32 216 1
51 216 1
0 216 1
2 216 1
3 216 1
26 216 1
34 216 1
35 216 1
36 216 1
55 216 1
56 216 1
38 216 1
39 216 1
17 216 1
1 216 1
21 216 1
95 216 1
14 216 1
41 216 1
86 216 1
16 216 1
57 216 1
24 216 1
75 216 1
5 216 1
48 216 1
29 216 1
59 216 1
90 216 1
49 216 1
36 217 1
28 217 1
28 218 1
15 219 1
0 219 1
3 219 1
47 219 1
57 219 1
24 219 1
45 219 1
17 220 1
21 220 1
11 221 1
21 222 1
19 223 1
11 223 1
15 223 1
31 223 1
2 223 1
3 223 1
33 223 1
34 223 1
35 223 1
18 223 1
36 223 1
55 223 1
40 223 1
77 223 1
13 223 1
69 223 1
10 223 1
12 223 1
74 223 1
