5533 72186
0 250 1
1 250 1
2 250 1
3 250 1
4 250 1
5 250 1
6 250 1
7 250 1
8 250 1
9 250 1
10 250 1
11 250 1
12 250 1
13 250 1
14 250 1
15 250 1
16 250 1
17 250 1
18 250 1
19 250 1
19 251 1
1 251 1
20 251 1
8 252 1
21 253 1
1 253 1
22 253 1
23 253 1
3 253 1
24 253 1
25 254 1
26 254 1
27 254 1
7 254 1
11 254 1
15 254 1
4 254 1
10 254 1
20 254 1
28 254 1
29 254 1
30 254 1
31 254 1
32 254 1
16 254 1
24 254 1
33 255 1
15 255 1
34 255 1
15 256 1
1 256 1
9 256 1
35 256 1
19 256 1
36 257 1
37 257 1
38 257 1
11 257 1
39 257 1
15 257 1
40 257 1
41 257 1
42 257 1
2 257 1
4 257 1
43 257 1
44 257 1
45 257 1
46 257 1
47 257 1
48 257 1
20 257 1
28 257 1
49 257 1
50 257 1
51 257 1
52 257 1
53 257 1
54 257 1
55 257 1
56 257 1
57 257 1
19 257 1
3 257 1
58 257 1
59 257 1
60 257 1
61 257 1
14 257 1
62 257 1
63 257 1
16 257 1
64 257 1
25 257 1
65 257 1
66 257 1
27 257 1
7 257 1
1 257 1
9 257 1
10 257 1
67 257 1
35 257 1
68 257 1
6 257 1
69 257 1
70 257 1
71 257 1
23 257 1
72 257 1
73 257 1
8 257 1
74 257 1
75 257 1
76 257 1
77 257 1
78 257 1
79 257 1
37 258 1
80 258 1
1 258 1
18 258 1
81 258 1
23 258 1
3 259 1
36 260 1
40 260 1
52 260 1
57 260 1
3 260 1
82 260 1
64 260 1
83 260 1
67 260 1
69 260 1
8 260 1
78 260 1
52 261 1
27 261 1
84 261 1
85 262 1
86 262 1
87 262 1
1 262 1
4 263 1
44 263 1
55 263 1
19 263 1
61 263 1
24 263 1
1 263 1
35 263 1
8 263 1
88 263 1
78 263 1
26 264 1
89 264 1
90 264 1
36 264 1
37 264 1
38 264 1
12 264 1
11 264 1
39 264 1
15 264 1
40 264 1
91 264 1
41 264 1
92 264 1
93 264 1
2 264 1
4 264 1
43 264 1
44 264 1
94 264 1
95 264 1
46 264 1
96 264 1
48 264 1
20 264 1
28 264 1
97 264 1
49 264 1
98 264 1
50 264 1
99 264 1
80 264 1
100 264 1
101 264 1
102 264 1
51 264 1
52 264 1
53 264 1
55 264 1
56 264 1
103 264 1
104 264 1
105 264 1
3 264 1
106 264 1
13 264 1
14 264 1
63 264 1
82 264 1
16 264 1
17 264 1
64 264 1
24 264 1
66 264 1
107 264 1
27 264 1
7 264 1
1 264 1
84 264 1
9 264 1
67 264 1
108 264 1
18 264 1
35 264 1
109 264 1
110 264 1
6 264 1
69 264 1
111 264 1
112 264 1
113 264 1
70 264 1
22 264 1
23 264 1
114 264 1
8 264 1
115 264 1
88 264 1
11 265 1
15 265 1
41 265 1
92 265 1
2 265 1
4 265 1
43 265 1
46 265 1
85 265 1
48 265 1
20 265 1
49 265 1
98 265 1
50 265 1
99 265 1
56 265 1
19 265 1
3 265 1
5 265 1
87 265 1
14 265 1
63 265 1
17 265 1
24 265 1
33 265 1
27 265 1
1 265 1
69 265 1
116 265 1
8 265 1
11 266 1
15 266 1
43 266 1
117 266 1
87 266 1
1 266 1
9 266 1
6 266 1
36 267 1
37 267 1
38 267 1
42 267 1
92 267 1
94 267 1
20 267 1
49 267 1
52 267 1
3 267 1
64 267 1
10 267 1
67 267 1
118 267 1
69 267 1
112 267 1
113 267 1
8 267 1
78 267 1
36 268 1
15 268 1
40 268 1
0 268 1
4 268 1
44 268 1
47 268 1
80 268 1
54 268 1
57 268 1
61 268 1
87 268 1
64 268 1
24 268 1
1 268 1
83 268 1
67 268 1
35 268 1
69 268 1
22 268 1
23 268 1
8 268 1
20 269 1
3 269 1
27 269 1
69 269 1
119 270 1
11 270 1
120 270 1
19 270 1
1 270 1
118 270 1
35 270 1
112 270 1
121 271 1
122 271 1
36 271 1
123 271 1
37 271 1
11 271 1
15 271 1
41 271 1
4 271 1
124 271 1
47 271 1
20 271 1
28 271 1
19 271 1
106 271 1
59 271 1
125 271 1
16 271 1
27 271 1
7 271 1
1 271 1
34 271 1
126 271 1
127 271 1
128 271 1
109 271 1
110 271 1
69 271 1
129 271 1
8 271 1
115 271 1
40 272 1
42 272 1
49 272 1
67 272 1
69 272 1
8 272 1
15 273 1
48 273 1
3 273 1
23 273 1
73 273 1
8 273 1
8 274 1
46 275 1
48 275 1
80 275 1
100 275 1
1 275 1
69 275 1
130 276 1
35 276 1
23 276 1
37 277 1
2 277 1
4 277 1
48 277 1
80 277 1
100 277 1
101 277 1
103 277 1
3 277 1
58 277 1
131 277 1
61 277 1
16 277 1
24 277 1
27 277 1
22 277 1
8 277 1
32 277 1
36 278 1
15 278 1
20 278 1
132 278 1
3 278 1
16 278 1
24 278 1
126 278 1
8 278 1
4 279 1
46 279 1
48 279 1
20 279 1
50 279 1
3 279 1
106 279 1
16 279 1
17 279 1
25 279 1
35 279 1
12 280 1
11 280 1
15 280 1
41 280 1
4 280 1
46 280 1
120 280 1
20 280 1
19 280 1
5 280 1
87 280 1
24 280 1
33 280 1
1 280 1
9 280 1
23 280 1
8 280 1
48 281 1
20 281 1
102 281 1
130 281 1
26 282 1
123 282 1
37 282 1
11 282 1
15 282 1
28 282 1
56 282 1
133 282 1
24 282 1
27 282 1
7 282 1
1 282 1
126 282 1
18 282 1
19 283 1
134 283 1
1 283 1
35 283 1
36 284 1
40 284 1
135 284 1
52 284 1
3 284 1
131 284 1
82 284 1
83 284 1
136 284 1
69 284 1
26 285 1
107 285 1
18 285 1
44 286 1
47 286 1
52 286 1
19 286 1
3 286 1
61 286 1
24 286 1
68 286 1
69 286 1
8 286 1
88 286 1
19 287 1
36 288 1
119 288 1
15 288 1
40 288 1
2 288 1
43 288 1
44 288 1
45 288 1
47 288 1
48 288 1
97 288 1
49 288 1
80 288 1
100 288 1
101 288 1
52 288 1
137 288 1
3 288 1
14 288 1
16 288 1
64 288 1
24 288 1
25 288 1
138 288 1
108 288 1
139 288 1
35 288 1
29 288 1
6 288 1
69 288 1
23 288 1
72 288 1
8 288 1
76 288 1
78 288 1
90 289 1
36 289 1
37 289 1
11 289 1
15 289 1
47 289 1
20 289 1
19 289 1
140 289 1
60 289 1
141 289 1
16 289 1
142 289 1
24 289 1
7 289 1
1 289 1
10 289 1
68 289 1
143 289 1
24 290 1
144 291 1
145 291 1
122 291 1
36 291 1
123 291 1
37 291 1
11 291 1
15 291 1
40 291 1
2 291 1
4 291 1
43 291 1
44 291 1
94 291 1
46 291 1
124 291 1
146 291 1
20 291 1
28 291 1
97 291 1
49 291 1
50 291 1
147 291 1
99 291 1
51 291 1
52 291 1
55 291 1
56 291 1
19 291 1
3 291 1
13 291 1
33 291 1
148 291 1
1 291 1
84 291 1
9 291 1
10 291 1
139 291 1
113 291 1
72 291 1
38 291 1
12 291 1
39 291 1
91 291 1
149 291 1
85 291 1
120 291 1
47 291 1
80 291 1
100 291 1
101 291 1
150 291 1
104 291 1
30 291 1
57 291 1
151 291 1
152 291 1
106 291 1
153 291 1
59 291 1
60 291 1
131 291 1
61 291 1
5 291 1
125 291 1
14 291 1
87 291 1
16 291 1
17 291 1
142 291 1
24 291 1
27 291 1
7 291 1
154 291 1
155 291 1
83 291 1
67 291 1
118 291 1
68 291 1
156 291 1
110 291 1
69 291 1
112 291 1
8 291 1
32 291 1
115 291 1
78 291 1
15 292 1
0 292 1
2 292 1
4 292 1
20 292 1
19 292 1
13 292 1
33 292 1
1 292 1
9 292 1
10 292 1
38 292 1
12 292 1
150 292 1
133 292 1
5 292 1
87 292 1
27 292 1
35 292 1
49 293 1
153 293 1
35 293 1
11 294 1
15 294 1
19 294 1
130 294 1
9 294 1
24 294 1
36 295 1
11 295 1
40 295 1
42 295 1
0 295 1
2 295 1
4 295 1
44 295 1
46 295 1
48 295 1
20 295 1
49 295 1
50 295 1
52 295 1
157 295 1
54 295 1
55 295 1
56 295 1
19 295 1
3 295 1
13 295 1
134 295 1
1 295 1
10 295 1
113 295 1
158 295 1
26 295 1
38 295 1
159 295 1
85 295 1
120 295 1
57 295 1
106 295 1
61 295 1
87 295 1
14 295 1
16 295 1
17 295 1
64 295 1
24 295 1
25 295 1
65 295 1
66 295 1
27 295 1
7 295 1
67 295 1
118 295 1
35 295 1
68 295 1
29 295 1
69 295 1
23 295 1
160 295 1
8 295 1
75 295 1
88 295 1
76 295 1
78 295 1
19 296 1
60 296 1
24 296 1
19 297 1
5 297 1
87 297 1
161 297 1
11 298 1
15 298 1
19 298 1
1 298 1
24 298 1
27 298 1
21 299 1
0 299 1
146 299 1
162 299 1
35 299 1
23 299 1
73 299 1
36 300 1
163 300 1
41 300 1
92 300 1
0 300 1
2 300 1
4 300 1
43 300 1
44 300 1
46 300 1
49 300 1
98 300 1
99 300 1
19 300 1
3 300 1
113 300 1
22 300 1
38 300 1
151 300 1
61 300 1
14 300 1
24 300 1
138 300 1
67 300 1
118 300 1
164 300 1
35 300 1
6 300 1
69 300 1
160 300 1
8 300 1
88 300 1
0 301 1
48 301 1
49 301 1
3 301 1
134 301 1
16 301 1
8 301 1
15 302 1
40 302 1
1 302 1
81 302 1
91 302 1
83 302 1
77 302 1
78 302 1
150 303 1
165 303 1
36 304 1
40 304 1
2 304 1
43 304 1
166 304 1
49 304 1
17 304 1
126 304 1
6 304 1
69 304 1
8 304 1
19 305 1
167 305 1
87 305 1
35 305 1
11 306 1
15 306 1
4 306 1
19 306 1
134 306 1
113 306 1
24 306 1
8 306 1
0 307 1
72 307 1
168 307 1
23 307 1
15 308 1
46 308 1
1 308 1
80 308 1
35 308 1
69 308 1
19 309 1
134 309 1
1 309 1
86 309 1
35 309 1
23 309 1
122 310 1
36 310 1
15 310 1
169 310 1
20 310 1
56 310 1
1 310 1
72 310 1
38 310 1
39 310 1
93 310 1
59 310 1
16 310 1
24 310 1
118 310 1
35 310 1
112 310 1
78 310 1
16 311 1
24 311 1
144 312 1
170 312 1
89 312 1
90 312 1
122 312 1
36 312 1
163 312 1
123 312 1
37 312 1
11 312 1
15 312 1
40 312 1
169 312 1
171 312 1
41 312 1
0 312 1
2 312 1
4 312 1
43 312 1
94 312 1
95 312 1
46 312 1
124 312 1
146 312 1
48 312 1
20 312 1
28 312 1
97 312 1
49 312 1
98 312 1
50 312 1
147 312 1
99 312 1
51 312 1
52 312 1
157 312 1
53 312 1
172 312 1
56 312 1
103 312 1
132 312 1
19 312 1
3 312 1
173 312 1
13 312 1
174 312 1
148 312 1
175 312 1
176 312 1
134 312 1
1 312 1
34 312 1
130 312 1
177 312 1
178 312 1
136 312 1
84 312 1
167 312 1
9 312 1
10 312 1
179 312 1
128 312 1
139 312 1
70 312 1
22 312 1
180 312 1
129 312 1
81 312 1
181 312 1
31 312 1
182 312 1
183 312 1
26 312 1
184 312 1
38 312 1
119 312 1
12 312 1
91 312 1
168 312 1
159 312 1
185 312 1
149 312 1
186 312 1
85 312 1
120 312 1
47 312 1
187 312 1
135 312 1
105 312 1
133 312 1
106 312 1
153 312 1
59 312 1
86 312 1
141 312 1
5 312 1
125 312 1
87 312 1
14 312 1
63 312 1
16 312 1
17 312 1
64 312 1
142 312 1
24 312 1
25 312 1
66 312 1
107 312 1
138 312 1
188 312 1
189 312 1
27 312 1
7 312 1
126 312 1
83 312 1
67 312 1
108 312 1
18 312 1
127 312 1
35 312 1
110 312 1
6 312 1
69 312 1
111 312 1
112 312 1
190 312 1
23 312 1
191 312 1
192 312 1
193 312 1
194 312 1
8 312 1
195 312 1
196 312 1
15 313 1
1 313 1
35 314 1
11 315 1
15 315 1
0 315 1
2 315 1
46 315 1
48 315 1
20 315 1
50 315 1
56 315 1
19 315 1
3 315 1
13 315 1
1 315 1
130 315 1
10 315 1
139 315 1
22 315 1
14 315 1
197 315 1
17 315 1
24 315 1
25 315 1
65 315 1
66 315 1
27 315 1
29 315 1
23 315 1
42 316 1
130 316 1
153 316 1
123 317 1
15 317 1
0 317 1
19 317 1
134 317 1
1 317 1
9 317 1
10 317 1
129 317 1
5 317 1
27 317 1
7 317 1
36 318 1
40 318 1
42 318 1
44 318 1
124 318 1
52 318 1
157 318 1
55 318 1
19 318 1
1 318 1
130 318 1
84 318 1
70 318 1
47 318 1
64 318 1
83 318 1
67 318 1
69 318 1
192 318 1
8 318 1
49 319 1
198 320 1
180 320 1
26 320 1
12 320 1
91 320 1
106 320 1
59 320 1
189 320 1
27 320 1
155 320 1
67 320 1
127 320 1
66 321 1
161 321 1
37 322 1
15 322 1
19 322 1
129 322 1
81 322 1
24 322 1
83 322 1
164 322 1
35 322 1
23 322 1
89 323 1
36 323 1
11 323 1
15 323 1
40 323 1
169 323 1
41 323 1
92 323 1
0 323 1
2 323 1
4 323 1
43 323 1
44 323 1
94 323 1
95 323 1
199 323 1
45 323 1
46 323 1
124 323 1
48 323 1
20 323 1
97 323 1
200 323 1
49 323 1
98 323 1
50 323 1
147 323 1
99 323 1
51 323 1
52 323 1
157 323 1
53 323 1
172 323 1
55 323 1
56 323 1
19 323 1
3 323 1
13 323 1
1 323 1
136 323 1
84 323 1
9 323 1
10 323 1
139 323 1
180 323 1
201 323 1
158 323 1
202 323 1
183 323 1
26 323 1
38 323 1
119 323 1
12 323 1
203 323 1
91 323 1
159 323 1
149 323 1
186 323 1
85 323 1
120 323 1
47 323 1
117 323 1
80 323 1
100 323 1
101 323 1
135 323 1
150 323 1
57 323 1
153 323 1
204 323 1
61 323 1
5 323 1
14 323 1
62 323 1
197 323 1
16 323 1
17 323 1
64 323 1
24 323 1
25 323 1
65 323 1
66 323 1
107 323 1
189 323 1
27 323 1
7 323 1
126 323 1
83 323 1
67 323 1
205 323 1
108 323 1
35 323 1
68 323 1
29 323 1
6 323 1
69 323 1
111 323 1
112 323 1
23 323 1
192 323 1
206 323 1
73 323 1
207 323 1
160 323 1
8 323 1
195 323 1
32 323 1
76 323 1
78 323 1
208 323 1
36 324 1
11 324 1
41 324 1
92 324 1
4 324 1
124 324 1
52 324 1
157 324 1
173 324 1
33 324 1
1 324 1
84 324 1
26 324 1
12 324 1
39 324 1
93 324 1
64 324 1
188 324 1
27 324 1
7 324 1
67 324 1
35 324 1
68 324 1
69 324 1
8 324 1
98 325 1
23 325 1
1 326 1
15 327 1
46 327 1
19 327 1
3 327 1
12 327 1
16 327 1
35 327 1
69 327 1
2 328 1
49 328 1
3 328 1
6 328 1
191 328 1
76 328 1
11 329 1
15 329 1
48 329 1
19 329 1
3 329 1
150 329 1
58 329 1
24 329 1
27 329 1
6 329 1
69 329 1
8 329 1
195 329 1
3 330 1
38 331 1
93 331 1
100 331 1
152 331 1
112 331 1
36 332 1
4 332 1
134 332 1
1 332 1
87 332 1
35 332 1
209 332 1
8 332 1
74 332 1
49 333 1
130 333 1
72 333 1
125 333 1
35 333 1
112 333 1
23 333 1
1 334 1
160 334 1
37 335 1
48 335 1
20 335 1
2 336 1
3 336 1
17 336 1
49 337 1
23 337 1
36 338 1
15 338 1
40 338 1
2 338 1
48 338 1
49 338 1
147 338 1
210 338 1
3 338 1
1 338 1
84 338 1
120 338 1
47 338 1
141 338 1
16 338 1
27 338 1
35 338 1
68 338 1
69 338 1
23 338 1
8 338 1
9 339 1
81 339 1
27 339 1
11 340 1
15 340 1
42 340 1
92 340 1
2 340 1
4 340 1
43 340 1
46 340 1
48 340 1
49 340 1
98 340 1
50 340 1
51 340 1
56 340 1
19 340 1
33 340 1
1 340 1
130 340 1
12 340 1
5 340 1
87 340 1
14 340 1
197 340 1
66 340 1
27 340 1
191 340 1
206 340 1
21 341 1
37 342 1
11 342 1
15 342 1
40 342 1
41 342 1
42 342 1
0 342 1
2 342 1
4 342 1
43 342 1
94 342 1
45 342 1
46 342 1
48 342 1
20 342 1
49 342 1
98 342 1
50 342 1
99 342 1
51 342 1
52 342 1
53 342 1
56 342 1
103 342 1
211 342 1
3 342 1
176 342 1
1 342 1
9 342 1
10 342 1
139 342 1
22 342 1
129 342 1
181 342 1
121 342 1
119 342 1
203 342 1
159 342 1
100 342 1
101 342 1
57 342 1
133 342 1
58 342 1
140 342 1
131 342 1
141 342 1
61 342 1
87 342 1
62 342 1
63 342 1
16 342 1
17 342 1
24 342 1
25 342 1
65 342 1
66 342 1
189 342 1
27 342 1
7 342 1
126 342 1
83 342 1
67 342 1
18 342 1
35 342 1
6 342 1
69 342 1
111 342 1
191 342 1
73 342 1
8 342 1
88 342 1
130 343 1
35 343 1
44 344 1
52 344 1
47 344 1
61 344 1
64 344 1
67 344 1
69 344 1
8 344 1
89 345 1
122 345 1
36 345 1
11 345 1
15 345 1
41 345 1
42 345 1
92 345 1
2 345 1
4 345 1
43 345 1
44 345 1
94 345 1
46 345 1
124 345 1
48 345 1
20 345 1
49 345 1
50 345 1
52 345 1
157 345 1
53 345 1
172 345 1
56 345 1
137 345 1
19 345 1
3 345 1
173 345 1
33 345 1
9 345 1
10 345 1
113 345 1
121 345 1
26 345 1
38 345 1
12 345 1
93 345 1
85 345 1
120 345 1
150 345 1
57 345 1
61 345 1
5 345 1
62 345 1
16 345 1
64 345 1
24 345 1
25 345 1
65 345 1
66 345 1
27 345 1
67 345 1
118 345 1
108 345 1
35 345 1
209 345 1
6 345 1
69 345 1
112 345 1
23 345 1
8 345 1
88 345 1
76 345 1
78 345 1
15 346 1
19 346 1
80 346 1
35 346 1
8 346 1
90 347 1
122 347 1
123 347 1
37 347 1
11 347 1
15 347 1
40 347 1
169 347 1
41 347 1
2 347 1
4 347 1
43 347 1
49 347 1
98 347 1
50 347 1
99 347 1
51 347 1
56 347 1
103 347 1
137 347 1
132 347 1
19 347 1
13 347 1
176 347 1
134 347 1
1 347 1
34 347 1
84 347 1
167 347 1
9 347 1
129 347 1
81 347 1
12 347 1
91 347 1
168 347 1
85 347 1
120 347 1
212 347 1
135 347 1
150 347 1
106 347 1
153 347 1
59 347 1
125 347 1
87 347 1
14 347 1
63 347 1
16 347 1
24 347 1
66 347 1
27 347 1
205 347 1
35 347 1
69 347 1
111 347 1
8 347 1
195 347 1
208 347 1
49 348 1
15 349 1
2 349 1
1 349 1
67 349 1
35 349 1
8 349 1
36 350 1
15 350 1
3 350 1
134 350 1
1 350 1
34 350 1
113 350 1
72 350 1
121 350 1
58 350 1
86 350 1
131 350 1
27 350 1
35 350 1
8 350 1
24 351 1
18 351 1
40 352 1
91 352 1
126 352 1
35 352 1
209 352 1
8 352 1
49 353 1
130 353 1
35 353 1
134 354 1
69 354 1
49 355 1
11 356 1
15 356 1
4 356 1
20 356 1
3 356 1
13 356 1
27 356 1
118 356 1
35 356 1
23 356 1
8 356 1
11 357 1
15 357 1
132 357 1
134 357 1
80 357 1
100 357 1
101 357 1
24 357 1
35 357 1
69 357 1
23 357 1
27 358 1
67 358 1
69 358 1
8 358 1
11 359 1
15 359 1
49 359 1
19 359 1
38 359 1
35 359 1
112 359 1
23 359 1
19 360 1
1 360 1
130 360 1
119 360 1
60 360 1
35 360 1
36 361 1
37 361 1
11 361 1
15 361 1
40 361 1
42 361 1
92 361 1
2 361 1
4 361 1
44 361 1
94 361 1
46 361 1
48 361 1
20 361 1
97 361 1
49 361 1
50 361 1
52 361 1
55 361 1
56 361 1
3 361 1
13 361 1
1 361 1
130 361 1
70 361 1
