7194 356580
0 1163 1
1 1163 1
2 1163 1
3 1163 1
4 1163 1
5 1163 1
6 1163 1
7 1163 1
8 1163 1
9 1163 1
10 1163 1
11 1163 1
12 1163 1
13 1163 1
14 1164 1
15 1164 1
16 1164 1
17 1164 1
18 1164 1
19 1164 1
20 1164 1
21 1164 1
22 1164 1
23 1164 1
24 1164 1
25 1164 1
26 1164 1
27 1164 1
28 1164 1
29 1164 1
6 1164 1
30 1164 1
31 1164 1
32 1164 1
33 1164 1
34 1164 1
35 1164 1
36 1164 1
37 1164 1
38 1165 1
39 1165 1
40 1165 1
41 1165 1
42 1165 1
43 1165 1
44 1165 1
45 1165 1
46 1165 1
47 1165 1
19 1165 1
48 1165 1
49 1165 1
22 1165 1
13 1165 1
50 1165 1
51 1165 1
23 1165 1
0 1165 1
1 1165 1
52 1165 1
53 1165 1
54 1165 1
55 1165 1
7 1165 1
56 1165 1
57 1165 1
34 1165 1
58 1165 1
59 1165 1
60 1166 1
61 1166 1
62 1166 1
63 1166 1
64 1166 1
47 1166 1
65 1166 1
66 1166 1
67 1166 1
22 1166 1
68 1166 1
69 1166 1
0 1166 1
70 1166 1
24 1166 1
71 1166 1
72 1166 1
25 1166 1
73 1166 1
74 1166 1
75 1166 1
76 1166 1
77 1166 1
78 1166 1
79 1166 1
80 1166 1
81 1166 1
48 1166 1
82 1166 1
83 1166 1
84 1166 1
85 1166 1
86 1166 1
87 1166 1
88 1166 1
89 1166 1
90 1166 1
91 1166 1
92 1166 1
93 1166 1
94 1166 1
95 1166 1
96 1166 1
97 1166 1
98 1166 1
99 1166 1
100 1166 1
101 1166 1
102 1166 1
103 1166 1
104 1166 1
105 1166 1
106 1166 1
107 1166 1
36 1166 1
108 1166 1
109 1167 1
110 1167 1
111 1167 1
18 1167 1
20 1167 1
10 1167 1
11 1167 1
22 1167 1
112 1167 1
113 1167 1
114 1167 1
9 1167 1
115 1167 1
59 1167 1
116 1167 1
117 1167 1
41 1167 1
118 1167 1
119 1167 1
120 1167 1
121 1167 1
122 1167 1
123 1167 1
124 1167 1
26 1167 1
125 1167 1
6 1167 1
126 1167 1
127 1167 1
128 1167 1
12 1167 1
107 1167 1
30 1168 1
7 1168 1
48 1168 1
61 1169 1
129 1169 1
130 1169 1
11 1169 1
131 1169 1
22 1169 1
23 1169 1
132 1169 1
133 1169 1
134 1169 1
135 1169 1
48 1169 1
136 1169 1
26 1169 1
137 1169 1
138 1169 1
100 1169 1
139 1169 1
140 1170 1
141 1170 1
11 1170 1
22 1170 1
142 1170 1
23 1170 1
0 1170 1
112 1170 1
143 1170 1
144 1170 1
8 1170 1
76 1170 1
33 1170 1
145 1170 1
146 1170 1
80 1170 1
147 1170 1
81 1170 1
148 1170 1
149 1170 1
21 1170 1
120 1170 1
150 1170 1
13 1170 1
151 1170 1
152 1170 1
138 1170 1
153 1171 1
154 1171 1
155 1171 1
156 1171 1
45 1171 1
157 1171 1
158 1171 1
129 1171 1
159 1171 1
110 1171 1
47 1171 1
19 1171 1
160 1171 1
161 1171 1
162 1171 1
10 1171 1
141 1171 1
163 1171 1
11 1171 1
164 1171 1
165 1171 1
166 1171 1
167 1171 1
142 1171 1
168 1171 1
169 1171 1
23 1171 1
170 1171 1
1 1171 1
71 1171 1
25 1171 1
112 1171 1
171 1171 1
172 1171 1
7 1171 1
173 1171 1
174 1171 1
175 1171 1
176 1171 1
177 1171 1
8 1171 1
31 1171 1
178 1171 1
76 1171 1
179 1171 1
180 1171 1
33 1171 1
181 1171 1
182 1171 1
183 1171 1
59 1171 1
116 1171 1
2 1171 1
184 1171 1
185 1171 1
186 1171 1
187 1171 1
80 1171 1
147 1171 1
16 1171 1
17 1171 1
188 1171 1
189 1171 1
190 1171 1
191 1171 1
192 1171 1
193 1171 1
194 1171 1
195 1171 1
196 1171 1
197 1171 1
13 1171 1
