5863 79541
0 201 1
1 201 1
2 202 1
3 202 1
4 202 1
5 202 1
6 202 1
7 202 1
8 202 1
9 202 1
10 202 1
11 202 1
12 202 1
13 202 1
0 203 1
3 204 1
14 204 1
15 204 1
16 204 1
17 204 1
18 204 1
19 204 1
20 204 1
21 204 1
22 204 1
23 204 1
1 204 1
24 204 1
25 204 1
4 204 1
26 204 1
27 204 1
28 204 1
29 204 1
30 204 1
0 204 1
31 205 1
17 205 1
19 206 1
32 206 1
3 207 1
14 207 1
33 207 1
17 207 1
7 207 1
1 207 1
34 207 1
4 207 1
35 207 1
36 207 1
37 207 1
38 207 1
0 207 1
3 208 1
14 208 1
31 208 1
39 208 1
16 208 1
18 208 1
7 208 1
20 208 1
21 208 1
40 208 1
1 208 1
4 208 1
26 208 1
32 208 1
28 208 1
0 208 1
41 209 1
42 209 1
43 209 1
44 209 1
45 209 1
46 209 1
39 209 1
18 209 1
47 209 1
48 209 1
13 209 1
49 209 1
32 209 1
9 209 1
50 209 1
22 210 1
16 210 1
20 210 1
1 210 1
4 210 1
28 210 1
29 210 1
51 211 1
46 211 1
32 211 1
38 211 1
52 211 1
53 211 1
41 212 1
42 212 1
44 212 1
5 212 1
17 212 1
20 212 1
13 212 1
53 212 1
0 213 1
17 213 1
1 213 1
6 214 1
19 214 1
26 214 1
54 214 1
55 214 1
3 214 1
14 214 1
56 214 1
31 214 1
5 214 1
39 214 1
16 214 1
17 214 1
18 214 1
7 214 1
20 214 1
40 214 1
47 214 1
48 214 1
13 214 1
57 214 1
49 214 1
58 214 1
4 214 1
27 214 1
59 214 1
60 214 1
61 214 1
62 214 1
63 214 1
29 214 1
64 214 1
65 215 1
66 216 1
67 216 1
68 216 1
45 216 1
69 216 1
3 216 1
56 216 1
70 216 1
15 216 1
31 216 1
71 216 1
17 216 1
18 216 1
72 216 1
20 216 1
23 216 1
4 216 1
27 216 1
10 216 1
73 216 1
74 216 1
75 216 1
41 217 1
42 217 1
43 217 1
26 217 1
44 217 1
55 217 1
2 217 1
3 217 1
56 217 1
5 217 1
39 217 1
16 217 1
17 217 1
18 217 1
7 217 1
20 217 1
76 217 1
47 217 1
48 217 1
13 217 1
77 217 1
34 217 1
49 217 1
37 217 1
28 217 1
62 217 1
63 217 1
29 217 1
64 217 1
50 217 1
78 217 1
74 217 1
53 217 1
65 218 1
42 218 1
43 218 1
68 218 1
45 218 1
46 218 1
0 218 1
31 218 1
16 218 1
47 218 1
48 218 1
13 218 1
23 218 1
58 218 1
50 218 1
21 219 1
31 219 1
16 219 1
18 219 1
57 219 1
58 220 1
42 221 1
79 221 1
80 221 1
81 221 1
44 221 1
12 221 1
46 221 1
82 221 1
5 221 1
16 221 1
17 221 1
77 221 1
1 221 1
57 221 1
49 221 1
83 221 1
84 221 1
37 221 1
28 221 1
29 221 1
64 221 1
74 221 1
53 221 1
75 221 1
85 222 1
66 222 1
86 222 1
87 222 1
19 222 1
42 222 1
21 222 1
88 222 1
89 222 1
90 222 1
26 222 1
68 222 1
12 222 1
45 222 1
46 222 1
0 222 1
3 222 1
56 222 1
70 222 1
15 222 1
91 222 1
92 222 1
71 222 1
39 222 1
16 222 1
17 222 1
18 222 1
7 222 1
20 222 1
93 222 1
47 222 1
94 222 1
1 222 1
95 222 1
57 222 1
58 222 1
25 222 1
4 222 1
27 222 1
32 222 1
96 222 1
97 222 1
37 222 1
28 222 1
63 222 1
38 222 1
30 222 1
64 222 1
98 222 1
50 222 1
78 222 1
74 222 1
99 222 1
75 222 1
41 223 1
42 223 1
