2353 7910
0 110 1
1 110 1
2 110 1
3 110 1
4 110 1
5 110 1
3 111 1
6 111 1
7 112 1
8 112 1
9 113 1
10 113 1
3 114 1
11 115 1
11 116 1
12 117 1
11 117 1
3 117 1
13 117 1
14 117 1
11 118 1
7 119 1
3 120 1
15 120 1
11 121 1
0 122 1
12 122 1
11 122 1
16 123 1
0 123 1
12 123 1
11 123 1
1 123 1
9 123 1
7 123 1
17 123 1
18 123 1
13 123 1
19 124 1
11 125 1
20 126 1
17 127 1
21 127 1
6 127 1
13 128 1
0 129 1
9 130 1
9 131 1
11 132 1
3 132 1
22 133 1
11 134 1
17 134 1
23 134 1
24 135 1
7 135 1
21 136 1
11 137 1
9 138 1
9 139 1
25 140 1
4 141 1
18 142 1
26 143 1
9 144 1
18 144 1
27 145 1
25 146 1
28 147 1
12 148 1
11 148 1
4 148 1
10 148 1
16 148 1
3 148 1
9 148 1
19 148 1
13 148 1
6 148 1
0 149 1
24 149 1
11 149 1
1 149 1
29 149 1
30 149 1
31 149 1
19 149 1
32 149 1
33 149 1
25 149 1
0 150 1
11 150 1
17 150 1
34 150 1
3 150 1
31 150 1
35 150 1
36 150 1
10 151 1
24 152 1
21 153 1
9 154 1
17 155 1
37 155 1
28 156 1
24 156 1
11 156 1
1 156 1
29 156 1
38 156 1
39 156 1
10 156 1
16 156 1
3 156 1
9 156 1
35 156 1
19 156 1
40 156 1
7 156 1
41 156 1
42 156 1
43 156 1
44 156 1
33 156 1
25 156 1
2 157 1
45 157 1
3 157 1
24 158 1
11 158 1
12 159 1
24 159 1
11 159 1
46 159 1
47 159 1
39 159 1
3 159 1
9 159 1
19 159 1
42 159 1
48 159 1
33 159 1
13 159 1
3 160 1
11 161 1
11 162 1
2 162 1
4 162 1
31 162 1
24 163 1
11 163 1
22 163 1
27 163 1
16 163 1
7 163 1
18 163 1
24 164 1
4 164 1
34 164 1
3 164 1
9 164 1
21 164 1
19 164 1
32 164 1
49 164 1
11 165 1
3 165 1
9 165 1
28 166 1
12 166 1
50 166 1
24 166 1
11 166 1
29 166 1
46 166 1
5 166 1
17 166 1
4 166 1
27 166 1
10 166 1
51 166 1
16 166 1
3 166 1
52 166 1
9 166 1
35 166 1
53 166 1
54 166 1
41 166 1
23 166 1
55 166 1
18 166 1
33 166 1
56 166 1
26 166 1
6 166 1
11 167 1
1 167 1
45 167 1
57 167 1
3 167 1
31 167 1
21 167 1
19 167 1
19 168 1
46 169 1
11 170 1
49 171 1
18 172 1
12 173 1
24 173 1
11 173 1
1 173 1
2 173 1
39 173 1
4 173 1
57 173 1
3 173 1
31 173 1
9 173 1
19 173 1
54 173 1
7 173 1
23 173 1
18 173 1
13 173 1
18 174 1
0 175 1
11 175 1
58 175 1
3 175 1
24 176 1
11 176 1
46 176 1
27 176 1
16 176 1
19 176 1
54 176 1
49 176 1
11 177 1
11 178 1
54 178 1
59 179 1
60 180 1
11 180 1
27 180 1
24 181 1
11 181 1
4 181 1
3 181 1
9 181 1
