7530 354529
0 1493 1
1 1493 1
2 1493 1
3 1493 1
4 1493 1
5 1493 1
6 1493 1
7 1493 1
8 1493 1
9 1493 1
10 1493 1
11 1493 1
12 1493 1
13 1493 1
14 1493 1
15 1493 1
16 1493 1
17 1493 1
18 1493 1
19 1493 1
20 1493 1
21 1494 1
22 1494 1
23 1494 1
24 1494 1
25 1494 1
26 1494 1
27 1494 1
28 1494 1
29 1494 1
30 1494 1
31 1494 1
6 1494 1
32 1494 1
33 1494 1
34 1494 1
35 1494 1
36 1494 1
37 1494 1
38 1494 1
39 1494 1
40 1494 1
41 1494 1
42 1494 1
43 1494 1
44 1494 1
45 1494 1
46 1494 1
47 1494 1
48 1494 1
49 1494 1
50 1494 1
51 1494 1
52 1494 1
53 1494 1
54 1494 1
17 1494 1
55 1494 1
56 1494 1
57 1494 1
58 1494 1
59 1494 1
60 1494 1
61 1494 1
0 1494 1
62 1494 1
63 1494 1
64 1494 1
65 1494 1
66 1494 1
67 1494 1
68 1494 1
69 1494 1
70 1494 1
71 1494 1
72 1494 1
73 1494 1
74 1494 1
75 1494 1
76 1494 1
77 1494 1
78 1494 1
79 1494 1
80 1494 1
81 1494 1
82 1494 1
83 1494 1
84 1494 1
85 1494 1
15 1494 1
86 1494 1
87 1494 1
88 1494 1
16 1494 1
89 1494 1
90 1494 1
91 1494 1
92 1494 1
20 1494 1
93 1494 1
40 1495 1
53 1495 1
66 1495 1
65 1495 1
67 1495 1
94 1495 1
14 1495 1
89 1495 1
27 1496 1
17 1496 1
66 1496 1
70 1496 1
8 1496 1
80 1496 1
95 1497 1
96 1497 1
97 1497 1
98 1497 1
25 1497 1
99 1497 1
100 1497 1
101 1497 1
102 1497 1
103 1497 1
104 1497 1
29 1497 1
105 1497 1
106 1497 1
107 1497 1
108 1497 1
109 1497 1
110 1497 1
111 1497 1
112 1497 1
13 1497 1
113 1497 1
114 1497 1
115 1497 1
53 1497 1
116 1497 1
55 1497 1
117 1497 1
118 1497 1
119 1497 1
64 1497 1
120 1497 1
121 1497 1
122 1497 1
123 1497 1
67 1497 1
124 1497 1
125 1497 1
126 1497 1
127 1497 1
128 1497 1
129 1497 1
130 1497 1
131 1497 1
132 1497 1
133 1497 1
134 1497 1
135 1497 1
136 1497 1
88 1497 1
137 1497 1
19 1497 1
138 1497 1
139 1497 1
140 1497 1
141 1497 1
142 1497 1
143 1497 1
28 1497 1
144 1497 1
6 1497 1
145 1497 1
146 1497 1
9 1497 1
147 1497 1
148 1497 1
149 1497 1
150 1497 1
151 1497 1
17 1497 1
152 1497 1
57 1497 1
153 1497 1
154 1497 1
155 1497 1
1 1497 1
156 1497 1
157 1497 1
158 1497 1
159 1497 1
160 1497 1
4 1497 1
161 1497 1
162 1497 1
163 1497 1
164 1497 1
165 1497 1
166 1497 1
167 1497 1
168 1497 1
169 1497 1
170 1497 1
171 1497 1
172 1497 1
80 1497 1
173 1497 1
174 1497 1
175 1497 1
176 1497 1
177 1497 1
178 1497 1
179 1497 1
180 1497 1
181 1497 1
29 1498 1
109 1498 1
182 1498 1
53 1498 1
65 1498 1
183 1498 1
184 1498 1
