4918 36301
0 68 1
1 68 1
2 68 1
3 69 1
4 70 1
2 70 1
2 71 1
1 71 1
5 72 1
6 72 1
7 73 1
8 74 1
3 74 1
9 74 1
4 74 1
10 74 1
11 74 1
12 74 1
13 74 1
14 74 1
15 74 1
16 74 1
17 74 1
18 74 1
19 74 1
20 74 1
2 74 1
21 74 1
22 74 1
23 74 1
24 74 1
25 74 1
7 74 1
26 74 1
0 74 1
27 74 1
28 74 1
29 74 1
30 74 1
31 74 1
32 74 1
33 74 1
34 74 1
35 74 1
6 74 1
36 74 1
37 74 1
1 74 1
38 74 1
21 75 1
39 75 1
3 76 1
9 76 1
12 76 1
18 76 1
20 76 1
40 76 1
2 76 1
24 76 1
41 76 1
27 76 1
30 76 1
35 76 1
37 76 1
1 76 1
4 77 1
18 77 1
2 77 1
23 77 1
39 77 1
7 77 1
42 77 1
14 78 1
43 78 1
19 78 1
2 78 1
44 78 1
22 78 1
34 78 1
37 78 1
1 78 1
8 79 1
3 79 1
9 79 1
4 79 1
10 79 1
11 79 1
12 79 1
45 79 1
46 79 1
14 79 1
47 79 1
48 79 1
16 79 1
18 79 1
19 79 1
40 79 1
2 79 1
23 79 1
49 79 1
24 79 1
25 79 1
7 79 1
50 79 1
0 79 1
42 79 1
27 79 1
28 79 1
30 79 1
32 79 1
34 79 1
6 79 1
37 79 1
1 79 1
8 80 1
3 80 1
48 80 1
16 80 1
2 80 1
30 80 1
34 80 1
1 80 1
3 81 1
9 81 1
10 81 1
13 81 1
18 81 1
21 81 1
24 81 1
25 81 1
0 81 1
27 81 1
30 81 1
6 81 1
1 81 1
3 82 1
9 82 1
12 82 1
45 82 1
14 82 1
15 82 1
20 82 1
40 82 1
2 82 1
21 82 1
22 82 1
23 82 1
49 82 1
39 82 1
24 82 1
25 82 1
7 82 1
0 82 1
41 82 1
27 82 1
28 82 1
30 82 1
34 82 1
35 82 1
6 82 1
37 82 1
1 82 1
51 82 1
3 83 1
2 83 1
21 83 1
0 83 1
30 83 1
6 83 1
3 84 1
52 84 1
2 84 1
44 84 1
49 84 1
39 84 1
8 85 1
3 85 1
9 85 1
53 85 1
15 85 1
2 85 1
21 85 1
23 85 1
39 85 1
50 85 1
0 85 1
30 85 1
6 85 1
1 85 1
12 86 1
13 86 1
2 86 1
21 86 1
27 86 1
28 86 1
30 86 1
6 86 1
1 86 1
2 87 1
21 87 1
0 87 1
1 87 1
2 88 1
25 88 1
28 88 1
1 89 1
21 90 1
30 90 1
43 91 1
4 92 1
2 92 1
21 92 1
22 92 1
25 92 1
0 92 1
1 92 1
9 93 1
21 93 1
6 93 1
1 93 1
16 94 1
39 94 1
6 94 1
3 95 1
52 95 1
43 95 1
2 95 1
39 95 1
0 95 1
6 95 1
37 95 1
1 95 1
39 96 1
6 96 1
9 97 1
4 97 1
12 97 1
54 97 1
18 97 1
41 97 1
30 97 1
35 97 1
37 97 1
3 98 1
2 98 1
3 99 1
4 99 1
14 99 1
47 99 1
15 99 1
18 99 1
40 99 1
2 99 1
21 99 1
22 99 1
39 99 1
25 99 1
7 99 1
26 99 1
0 99 1
28 99 1
29 99 1
30 99 1
34 99 1
35 99 1
6 99 1
37 99 1
1 99 1
8 100 1
3 100 1
9 100 1
12 100 1
14 100 1
15 100 1
17 100 1
18 100 1
2 100 1
21 100 1
23 100 1
49 100 1
24 100 1
25 100 1
26 100 1
0 100 1
28 100 1
5 100 1
30 100 1
34 100 1
35 100 1
36 100 1
37 100 1
1 100 1
38 100 1
8 101 1
9 101 1
15 101 1
17 101 1
21 101 1
29 101 1
6 101 1
3 102 1
9 103 1
4 103 1
12 103 1
45 103 1
14 103 1
53 103 1
16 103 1
18 103 1
19 103 1
21 103 1
39 103 1
25 103 1
42 103 1
36 103 1
3 103 1
10 103 1
11 103 1
52 103 1
15 103 1
20 103 1
40 103 1
2 103 1
22 103 1
23 103 1
7 103 1
0 103 1
41 103 1
27 103 1
29 103 1
30 103 1
34 103 1
35 103 1
6 103 1
37 103 1
1 103 1
3 104 1
10 104 1
37 104 1
3 105 1
9 106 1
4 106 1
12 106 1
45 106 1
13 106 1
14 106 1
47 106 1
16 106 1
18 106 1
55 106 1
19 106 1
21 106 1
49 106 1
39 106 1
25 106 1
26 106 1
56 106 1
3 106 1
10 106 1
57 106 1
52 106 1
43 106 1
58 106 1
20 106 1
40 106 1
2 106 1
22 106 1
23 106 1
24 106 1
50 106 1
0 106 1
27 106 1
28 106 1
29 106 1
5 106 1
30 106 1
34 106 1
35 106 1
6 106 1
37 106 1
1 106 1
38 106 1
2 107 1
9 108 1
14 108 1
21 108 1
39 108 1
25 108 1
26 108 1
3 108 1
10 108 1
2 108 1
22 108 1
7 108 1
27 108 1
28 108 1
30 108 1
34 108 1
35 108 1
37 108 1
1 108 1
2 109 1
1 109 1
12 110 1
3 110 1
23 110 1
41 110 1
48 111 1
9 112 1
4 112 1
12 112 1
21 112 1
8 112 1
3 112 1
2 112 1
0 112 1
30 112 1
34 112 1
1 112 1
3 113 1
2 113 1
1 113 1
36 114 1
0 115 1
30 115 1
2 116 1
48 117 1
9 118 1
4 118 1
48 118 1
21 118 1
25 118 1
36 118 1
3 118 1
10 118 1
11 118 1
46 118 1
37 118 1
9 119 1
12 119 1
53 119 1
16 119 1
18 119 1
55 119 1
39 119 1
59 119 1
42 119 1
32 119 1
3 119 1
10 119 1
57 119 1
52 119 1
15 119 1
54 119 1
24 119 1
41 119 1
27 119 1
30 119 1
60 119 1
1 119 1
16 120 1
8 120 1
7 120 1
5 120 1
13 121 1
3 122 1
2 123 1
39 124 1
9 125 1
4 125 1
12 125 1
45 125 1
13 125 1
14 125 1
47 125 1
53 125 1
18 125 1
55 125 1
19 125 1
21 125 1
25 125 1
42 125 1
31 125 1
32 125 1
8 125 1
3 125 1
15 125 1
43 125 1
40 125 1
2 125 1
23 125 1
24 125 1
7 125 1
0 125 1
41 125 1
27 125 1
28 125 1
30 125 1
34 125 1
35 125 1
60 125 1
6 125 1
37 125 1
1 125 1
3 126 1
2 126 1
3 127 1
2 127 1
23 127 1
27 127 1
2 128 1
39 129 1
3 129 1
2 129 1
7 129 1
41 129 1
21 130 1
9 131 1
4 131 1
12 131 1
