4194 18261
0 44 1
1 45 1
2 45 1
3 45 1
2 46 1
4 47 1
3 47 1
2 47 1
5 47 1
4 48 1
1 49 1
6 50 1
2 50 1
1 51 1
7 52 1
8 52 1
9 52 1
3 52 1
10 52 1
2 52 1
11 52 1
12 52 1
5 52 1
0 52 1
13 52 1
14 52 1
1 53 1
15 53 1
2 53 1
1 54 1
2 55 1
1 56 1
1 57 1
14 57 1
16 58 1
7 58 1
4 58 1
17 58 1
18 58 1
19 58 1
2 58 1
5 58 1
14 58 1
1 59 1
1 60 1
7 61 1
1 62 1
16 62 1
4 62 1
17 62 1
20 62 1
21 62 1
18 62 1
3 62 1
22 62 1
23 62 1
24 62 1
2 62 1
25 62 1
5 62 1
7 63 1
9 63 1
24 63 1
2 63 1
0 63 1
14 63 1
4 64 1
5 64 1
2 65 1
2 66 1
4 67 1
17 67 1
20 67 1
18 67 1
15 67 1
26 67 1
23 67 1
24 67 1
25 67 1
27 67 1
0 67 1
4 68 1
23 68 1
1 69 1
8 69 1
28 69 1
2 69 1
5 69 1
2 70 1
1 71 1
5 72 1
1 73 1
14 73 1
1 74 1
3 74 1
2 74 1
5 74 1
4 75 1
18 75 1
2 76 1
1 77 1
16 77 1
7 77 1
3 77 1
22 77 1
23 77 1
2 77 1
14 77 1
8 77 1
5 77 1
2 78 1
18 79 1
3 79 1
2 79 1
14 79 1
5 79 1
4 80 1
18 80 1
9 80 1
3 80 1
24 80 1
2 80 1
0 80 1
17 80 1
5 80 1
2 81 1
8 81 1
1 82 1
4 82 1
18 82 1
15 82 1
9 82 1
3 82 1
22 82 1
23 82 1
24 82 1
2 82 1
0 82 1
17 82 1
8 82 1
6 82 1
28 82 1
29 82 1
5 82 1
13 82 1
1 83 1
5 83 1
1 84 1
0 85 1
1 86 1
2 87 1
4 88 1
18 88 1
9 88 1
3 88 1
2 88 1
8 88 1
2 89 1
2 90 1
8 90 1
4 91 1
30 91 1
18 91 1
9 91 1
3 91 1
23 91 1
2 91 1
11 91 1
0 91 1
17 91 1
25 91 1
2 92 1
1 93 1
3 93 1
15 94 1
9 95 1
0 95 1
5 95 1
9 96 1
3 96 1
2 96 1
8 96 1
6 96 1
1 97 1
1 98 1
7 99 1
2 100 1
16 101 1
4 101 1
31 101 1
9 101 1
3 101 1
22 101 1
23 101 1
24 101 1
2 101 1
11 101 1
0 101 1
17 101 1
12 101 1
5 102 1
1 103 1
7 103 1
3 103 1
22 103 1
24 103 1
17 103 1
1 104 1
16 105 1
4 105 1
18 105 1
3 105 1
23 105 1
2 105 1
25 105 1
5 105 1
24 106 1
2 107 1
2 108 1
1 109 1
16 109 1
7 109 1
4 109 1
31 109 1
30 109 1
21 109 1
15 109 1
9 109 1
3 109 1
32 109 1
22 109 1
23 109 1
24 109 1
2 109 1
11 109 1
0 109 1
17 109 1
28 109 1
29 109 1
12 109 1
25 109 1
5 109 1
1 110 1
1 111 1
14 111 1
5 111 1
1 112 1
25 112 1
5 112 1
1 113 1
5 114 1
1 115 1
7 115 1
4 115 1
18 115 1
15 115 1
3 115 1
23 115 1
2 115 1
0 115 1
8 115 1
6 115 1
28 115 1
25 115 1
13 115 1
7 116 1
16 117 1
7 118 1
24 118 1
4 119 1
2 119 1
14 119 1
1 120 1
7 120 1
4 120 1
18 120 1
2 120 1
25 120 1
5 120 1
2 121 1
1 122 1
16 122 1
23 122 1
24 122 1
2 122 1
14 122 1
25 122 1
2 123 1
1 124 1
8 124 1
1 125 1
4 125 1
22 125 1
24 125 1
2 125 1
14 125 1
5 125 1
1 126 1
3 126 1
2 126 1
8 126 1
16 127 1
7 127 1
30 127 1
2 127 1
11 127 1
17 127 1
20 127 1
8 127 1
1 128 1
2 128 1
0 128 1
14 128 1
5 128 1
9 129 1
3 129 1
24 129 1
11 129 1
0 129 1
17 129 1
29 129 1
31 130 1
3 130 1
11 130 1
2 131 1
1 132 1
16 132 1
7 132 1
4 132 1
31 132 1
21 132 1
18 132 1
15 132 1
9 132 1
3 132 1
24 132 1
2 132 1
11 132 1
0 132 1
14 132 1
17 132 1
20 132 1
33 132 1
28 132 1
29 132 1
25 132 1
5 132 1
2 133 1
1 134 1
5 134 1
13 134 1
7 135 1
4 135 1
15 135 1
2 135 1
14 135 1
8 135 1
6 135 1
34 135 1
25 135 1
5 135 1
13 135 1
1 136 1
7 136 1
4 136 1
2 136 1
2 137 1
14 137 1
5 137 1
16 138 1
24 139 1
2 139 1
1 140 1
7 140 1
4 140 1
18 140 1
9 140 1
3 140 1
22 140 1
24 140 1
2 140 1
0 140 1
17 140 1
8 140 1
25 140 1
5 140 1
4 141 1
18 141 1
9 141 1
22 141 1
17 141 1
1 142 1
7 143 1
4 143 1
2 143 1
25 143 1
5 143 1
1 144 1
1 145 1
2 145 1
14 145 1
14 146 1
5 146 1
1 147 1
16 147 1
7 147 1
4 147 1
22 147 1
23 147 1
1 148 1
4 148 1
18 148 1
15 148 1
3 148 1
22 148 1
2 148 1
14 148 1
17 148 1
5 148 1
2 149 1
14 149 1
5 149 1
7 150 1
2 150 1
8 150 1
1 151 1
7 151 1
31 151 1
18 151 1
9 151 1
3 151 1
22 151 1
23 151 1
24 151 1
0 151 1
17 151 1
28 151 1
25 151 1
1 152 1
16 152 1
7 152 1
4 152 1
31 152 1
30 152 1
21 152 1
18 152 1
15 152 1
9 152 1
3 152 1
32 152 1
22 152 1
23 152 1
24 152 1
2 152 1
11 152 1
0 152 1
14 152 1
17 152 1
20 152 1
8 152 1
19 152 1
6 152 1
28 152 1
35 152 1
12 152 1
25 152 1
5 152 1
13 152 1
1 153 1
15 153 1
2 153 1
28 153 1
5 153 1
1 154 1
2 154 1
1 155 1
5 155 1
1 156 1
2 156 1
5 157 1
31 158 1
2 158 1
25 158 1
1 159 1
2 159 1
5 159 1
1 160 1
16 160 1
7 160 1
4 160 1
15 160 1
9 160 1
3 160 1
23 160 1
24 160 1
11 160 1
0 160 1
17 160 1
28 160 1
12 160 1
5 160 1
7 161 1
1 162 1
7 163 1
2 163 1
1 164 1
3 164 1
1 165 1
4 165 1
15 165 1
2 165 1
5 165 1
1 166 1
2 166 1
14 166 1
8 166 1
6 166 1
1 167 1
31 167 1
9 167 1
3 167 1
22 167 1
23 167 1
2 167 1
11 167 1
0 167 1
14 167 1
17 167 1
1 168 1
16 168 1
7 168 1
4 168 1
30 168 1
18 168 1
2 168 1
11 168 1
14 168 1
28 168 1
25 168 1
5 168 1
4 169 1
18 169 1
2 169 1
1 170 1
5 171 1
1 172 1
7 172 1
2 172 1
13 172 1
1 173 1
15 173 1
1 174 1
16 174 1
4 174 1
18 174 1
23 174 1
24 174 1
2 174 1
17 174 1
1 175 1
23 175 1
24 175 1
2 175 1
14 175 1
28 175 1
5 175 1
1 176 1
16 176 1
3 176 1
24 176 1
2 176 1
14 176 1
25 176 1
5 176 1
2 177 1
1 178 1
4 178 1
18 178 1
3 178 1
0 178 1
20 178 1
5 178 1
2 179 1
1 180 1
3 180 1
1 181 1
2 181 1
5 181 1
2 182 1
6 182 1
1 183 1
2 183 1
5 183 1
1 184 1
14 185 1
1 186 1
7 186 1
22 186 1
2 186 1
8 186 1
25 186 1
5 186 1
1 187 1
5 187 1
1 188 1
14 188 1
5 188 1
4 189 1
1 190 1
16 190 1
7 190 1
4 190 1
30 190 1
18 190 1
3 190 1
22 190 1
23 190 1
2 190 1
0 190 1
36 190 1
25 190 1
5 190 1
13 190 1
14 191 1
25 191 1
5 191 1
7 192 1
18 193 1
2 194 1
5 194 1
4 195 1
9 195 1
14 195 1
5 195 1
2 196 1
14 196 1
5 196 1
2 197 1
5 197 1
