5639 76386
0 339 1
1 339 1
2 340 1
3 340 1
4 340 1
5 341 1
6 341 1
7 341 1
8 342 1
9 342 1
10 342 1
11 342 1
1 342 1
12 342 1
13 342 1
14 342 1
15 342 1
16 342 1
17 343 1
18 344 1
19 345 1
20 346 1
21 346 1
0 346 1
22 346 1
11 346 1
1 346 1
23 346 1
24 346 1
25 346 1
18 346 1
26 346 1
27 346 1
7 346 1
28 346 1
5 346 1
29 346 1
30 346 1
4 346 1
31 346 1
32 347 1
24 347 1
26 347 1
16 347 1
33 348 1
0 349 1
34 349 1
4 349 1
27 350 1
35 350 1
9 350 1
36 350 1
37 351 1
38 351 1
27 351 1
16 351 1
9 351 1
39 351 1
40 351 1
41 351 1
42 351 1
4 351 1
43 352 1
12 352 1
44 353 1
45 353 1
46 353 1
25 353 1
47 353 1
48 353 1
49 353 1
50 353 1
51 353 1
52 353 1
17 353 1
13 353 1
53 353 1
5 353 1
29 353 1
54 353 1
55 353 1
56 353 1
57 353 1
58 353 1
0 354 1
2 354 1
27 354 1
7 354 1
59 354 1
29 354 1
4 354 1
20 355 1
60 355 1
61 355 1
62 355 1
63 355 1
64 355 1
65 355 1
66 355 1
67 355 1
3 355 1
22 355 1
32 355 1
43 355 1
11 355 1
1 355 1
68 355 1
37 355 1
69 355 1
70 355 1
71 355 1
72 355 1
73 355 1
23 355 1
24 355 1
74 355 1
75 355 1
76 355 1
26 355 1
77 355 1
78 355 1
7 355 1
79 355 1
80 355 1
81 355 1
82 355 1
35 355 1
83 355 1
9 355 1
10 355 1
84 355 1
85 355 1
17 355 1
6 355 1
86 355 1
87 355 1
88 355 1
40 355 1
41 355 1
5 355 1
29 355 1
89 355 1
55 355 1
56 355 1
90 355 1
30 355 1
36 355 1
91 355 1
31 355 1
39 356 1
41 357 1
92 358 1
3 358 1
11 358 1
1 358 1
12 358 1
93 358 1
94 358 1
24 358 1
38 358 1
95 358 1
26 358 1
77 358 1
27 358 1
79 358 1
96 358 1
80 358 1
10 358 1
97 358 1
98 358 1
99 358 1
85 358 1
28 358 1
87 358 1
59 358 1
39 358 1
19 358 1
5 358 1
29 358 1
54 358 1
100 358 1
4 358 1
44 359 1
45 359 1
21 359 1
63 359 1
0 359 1
66 359 1
101 359 1
102 359 1
25 359 1
76 359 1
103 359 1
49 359 1
104 359 1
105 359 1
50 359 1
51 359 1
85 359 1
17 359 1
13 359 1
39 359 1
41 359 1
5 359 1
29 359 1
54 359 1
89 359 1
55 359 1
56 359 1
4 359 1
106 359 1
107 359 1
11 360 1
25 360 1
9 360 1
11 361 1
7 361 1
108 361 1
109 362 1
11 362 1
94 362 1
26 362 1
7 362 1
104 362 1
85 362 1
17 362 1
28 362 1
87 362 1
40 362 1
41 362 1
110 362 1
17 363 1
28 363 1
111 364 1
24 364 1
25 364 1
7 364 1
17 364 1
5 364 1
111 365 1
7 365 1
6 365 1
5 365 1
29 365 1
54 365 1
4 365 1
81 366 1
11 367 1
25 367 1
112 367 1
113 367 1
114 367 1
6 367 1
111 368 1
44 368 1
45 368 1
115 368 1
61 368 1
63 368 1
64 368 1
116 368 1
65 368 1
117 368 1
22 368 1
11 368 1
68 368 1
69 368 1
70 368 1
71 368 1
72 368 1
12 368 1
73 368 1
118 368 1
23 368 1
119 368 1
24 368 1
120 368 1
75 368 1
14 368 1
47 368 1
76 368 1
26 368 1
15 368 1
112 368 1
7 368 1
16 368 1
50 368 1
121 368 1
35 368 1
122 368 1
51 368 1
123 368 1
85 368 1
17 368 1
6 368 1
124 368 1
108 368 1
88 368 1
5 368 1
89 368 1
56 368 1
110 368 1
125 368 1
126 368 1
127 368 1
106 368 1
63 369 1
32 369 1
11 369 1
24 369 1
75 369 1
76 369 1
112 369 1
