4867 41533
0 113 1
1 113 1
2 113 1
3 113 1
4 113 1
5 113 1
6 113 1
7 113 1
8 113 1
9 113 1
10 113 1
11 113 1
12 113 1
13 113 1
14 114 1
15 115 1
3 115 1
16 115 1
17 116 1
18 116 1
6 116 1
19 116 1
7 116 1
9 116 1
4 116 1
8 116 1
14 116 1
20 116 1
21 116 1
22 116 1
23 116 1
24 116 1
25 116 1
26 116 1
1 116 1
27 116 1
12 116 1
28 117 1
9 118 1
29 118 1
2 118 1
4 118 1
30 118 1
31 118 1
32 118 1
14 118 1
33 118 1
34 118 1
35 118 1
36 118 1
37 118 1
24 118 1
1 118 1
38 118 1
3 118 1
27 118 1
11 118 1
12 118 1
5 118 1
17 118 1
39 118 1
40 118 1
6 118 1
19 118 1
7 118 1
41 118 1
8 118 1
42 118 1
43 118 1
44 118 1
45 118 1
46 118 1
15 118 1
25 118 1
47 118 1
48 119 1
37 119 1
15 119 1
3 120 1
29 121 1
3 121 1
19 122 1
49 122 1
28 122 1
50 122 1
50 123 1
4 124 1
31 124 1
18 125 1
9 125 1
2 125 1
4 125 1
30 125 1
32 125 1
14 125 1
51 125 1
33 125 1
34 125 1
52 125 1
36 125 1
3 125 1
10 125 1
11 125 1
12 125 1
13 125 1
40 125 1
19 125 1
7 125 1
15 125 1
50 125 1
9 126 1
2 126 1
4 126 1
53 126 1
30 126 1
32 126 1
14 126 1
33 126 1
34 126 1
36 126 1
37 126 1
3 126 1
11 126 1
13 126 1
19 126 1
46 126 1
50 126 1
9 127 1
50 127 1
14 128 1
33 128 1
48 128 1
37 128 1
3 128 1
8 128 1
0 129 1
4 129 1
31 129 1
52 129 1
15 129 1
31 130 1
14 130 1
48 130 1
3 130 1
19 130 1
54 130 1
46 130 1
9 131 1
9 132 1
4 132 1
14 132 1
55 132 1
37 132 1
24 132 1
27 132 1
56 132 1
12 132 1
6 132 1
19 132 1
7 132 1
46 132 1
25 132 1
33 133 1
31 134 1
32 134 1
57 134 1
3 134 1
45 134 1
15 134 1
46 135 1
48 136 1
29 137 1
30 137 1
31 137 1
32 137 1
35 137 1
57 137 1
43 137 1
58 138 1
15 138 1
25 138 1
59 139 1
2 139 1
4 139 1
32 139 1
60 139 1
61 139 1
37 139 1
24 139 1
1 139 1
3 139 1
27 139 1
12 139 1
6 139 1
19 139 1
62 139 1
63 139 1
25 139 1
14 140 1
3 140 1
56 140 1
12 140 1
64 141 1
4 141 1
30 141 1
32 141 1
14 141 1
34 141 1
65 141 1
48 141 1
35 141 1
60 141 1
66 141 1
1 141 1
38 141 1
3 141 1
27 141 1
12 141 1
13 141 1
67 141 1
5 141 1
17 141 1
6 141 1
68 141 1
69 141 1
41 141 1
43 141 1
45 141 1
46 141 1
70 141 1
9 142 1
4 142 1
30 142 1
14 142 1
37 142 1
71 142 1
70 142 1
15 142 1
32 143 1
14 143 1
24 143 1
27 143 1
58 143 1
45 143 1
25 143 1
18 144 1
9 144 1
36 144 1
27 144 1
19 144 1
7 144 1
25 144 1
65 145 1
3 145 1
63 145 1
18 146 1
48 147 1
3 147 1
46 147 1
50 148 1
29 149 1
2 149 1
53 149 1
31 149 1
32 149 1
51 149 1
33 149 1
72 149 1
3 149 1
11 149 1
12 149 1
17 149 1
73 149 1
22 149 1
46 149 1
15 149 1
9 150 1
31 150 1
14 150 1
74 150 1
72 150 1
1 150 1
27 150 1
12 150 1
67 150 1
7 150 1
54 150 1
8 150 1
63 150 1
45 150 1
75 150 1
9 151 1
29 151 1
2 151 1
4 151 1
30 151 1
14 151 1
51 151 1
33 151 1
34 151 1
65 151 1
48 151 1
76 151 1
57 151 1
36 151 1
1 151 1
3 151 1
27 151 1
10 151 1
71 151 1
8 151 1
45 151 1
73 151 1
50 151 1
53 151 1
37 151 1
77 151 1
11 151 1
12 151 1
13 151 1
6 151 1
19 151 1
7 151 1
78 151 1
41 151 1
43 151 1
44 151 1
46 151 1
0 152 1
2 152 1
4 152 1
14 152 1
10 152 1
8 152 1
50 152 1
19 152 1
29 153 1
33 153 1
9 154 1
58 154 1
9 155 1
0 155 1
2 155 1
4 155 1
30 155 1
32 155 1
14 155 1
33 155 1
34 155 1
65 155 1
76 155 1
57 155 1
36 155 1
1 155 1
3 155 1
27 155 1
10 155 1
49 155 1
8 155 1
42 155 1
50 155 1
18 155 1
64 155 1
53 155 1
31 155 1
79 155 1
20 155 1
80 155 1
52 155 1
37 155 1
26 155 1
11 155 1
12 155 1
13 155 1
17 155 1
39 155 1
40 155 1
6 155 1
19 155 1
7 155 1
54 155 1
22 155 1
15 155 1
25 155 1
16 155 1
35 156 1
9 157 1
19 157 1
29 158 1
0 158 1
31 158 1
15 158 1
0 159 1
2 159 1
4 159 1
30 159 1
33 159 1
48 159 1
35 159 1
55 159 1
3 159 1
64 159 1
31 159 1
52 159 1
37 159 1
11 159 1
78 159 1
46 159 1
0 160 1
32 160 1
33 160 1
48 160 1
35 160 1
74 160 1
57 160 1
1 160 1
3 160 1
27 160 1
67 160 1
5 160 1
68 160 1
45 160 1
59 160 1
31 160 1
81 160 1
66 160 1
24 160 1
26 160 1
82 160 1
12 160 1
6 160 1
63 160 1
43 160 1
83 160 1
46 160 1
70 160 1
25 160 1
84 160 1
2 161 1
33 161 1
35 161 1
27 161 1
71 161 1
45 161 1
31 161 1
20 161 1
85 161 1
81 161 1
37 161 1
24 161 1
13 161 1
6 161 1
78 161 1
41 161 1
44 161 1
46 161 1
70 161 1
25 161 1
86 162 1
9 163 1
4 163 1
65 163 1
55 163 1
46 163 1
29 164 1
0 164 1
31 164 1
15 164 1
29 165 1
30 166 1
35 166 1
87 166 1
31 166 1
24 166 1
41 166 1
50 167 1
15 167 1
16 168 1
14 169 1
65 169 1
36 169 1
55 169 1
31 169 1
12 169 1
35 170 1
12 170 1
41 170 1
83 170 1
9 171 1
0 171 1
2 171 1
4 171 1
30 171 1
32 171 1
14 171 1
51 171 1
33 171 1
34 171 1
88 171 1
36 171 1
3 171 1
10 171 1
58 171 1
89 171 1
8 171 1
73 171 1
50 171 1
18 171 1
11 171 1
12 171 1
13 171 1
17 171 1
40 171 1
19 171 1
7 171 1
15 171 1
90 171 1
9 172 1
29 172 1
0 172 1
2 172 1
86 172 1
30 172 1
32 172 1
14 172 1
34 172 1
74 172 1
57 172 1
36 172 1
1 172 1
38 172 1
3 172 1
10 172 1
5 172 1
68 172 1
58 172 1
8 172 1
45 172 1
73 172 1
20 172 1
91 172 1
81 172 1
66 172 1
24 172 1
26 172 1
82 172 1
11 172 1
92 172 1
13 172 1
17 172 1
39 172 1
40 172 1
6 172 1
19 172 1
54 172 1
62 172 1
22 172 1
70 172 1
15 172 1
93 172 1
58 173 1
0 174 1
86 174 1
8 174 1
19 174 1
7 174 1
60 175 1
93 175 1
58 176 1
50 176 1
33 177 1
18 178 1
64 178 1
6 178 1
19 178 1
25 178 1
40 179 1
86 180 1
49 180 1
50 180 1
15 180 1
41 181 1
9 182 1
29 182 1
0 182 1
2 182 1
4 182 1
30 182 1
32 182 1
14 182 1
51 182 1
94 182 1
33 182 1
34 182 1
76 182 1
74 182 1
57 182 1
88 182 1
36 182 1
55 182 1
1 182 1
3 182 1
27 182 1
56 182 1
10 182 1
8 182 1
45 182 1
73 182 1
50 182 1
18 182 1
64 182 1
59 182 1
31 182 1
21 182 1
52 182 1
24 182 1
82 182 1
11 182 1
92 182 1
12 182 1
13 182 1
17 182 1
39 182 1
40 182 1
6 182 1
19 182 1
7 182 1
54 182 1
63 182 1
43 182 1
28 182 1
22 182 1
15 182 1
25 182 1
95 182 1
96 182 1
9 183 1
4 183 1
18 183 1
19 183 1
7 183 1
15 184 1
28 185 1
30 186 1
3 186 1
12 186 1
2 187 1
33 187 1
60 187 1
61 187 1
38 187 1
3 187 1
67 187 1
68 187 1
45 187 1
59 187 1
81 187 1
83 187 1
31 188 1
9 189 1
86 189 1
32 189 1
3 189 1
19 189 1
3 190 1
4 191 1
41 191 1
97 191 1
33 192 1
58 192 1
31 192 1
15 192 1
46 193 1
32 194 1
14 194 1
1 194 1
68 194 1
45 194 1
37 194 1
2 195 1
35 195 1
3 195 1
45 195 1
81 195 1
24 195 1
13 195 1
6 195 1
41 195 1
33 196 1
31 196 1
43 196 1
15 196 1
29 197 1
2 197 1
32 197 1
33 197 1
3 197 1
67 197 1
12 197 1
6 197 1
19 197 1
41 197 1
43 197 1
44 197 1
15 197 1
19 198 1
9 199 1
2 199 1
4 199 1
30 199 1
32 199 1
33 199 1
34 199 1
36 199 1
58 199 1
11 199 1
92 199 1
40 199 1
19 199 1
95 199 1
31 200 1
9 201 1
0 201 1
2 201 1
4 201 1
30 201 1
32 201 1
14 201 1
33 201 1
34 201 1
48 201 1
74 201 1
36 201 1
98 201 1
1 201 1
3 201 1
8 201 1
45 201 1
73 201 1
24 201 1
12 201 1
13 201 1
17 201 1
39 201 1
40 201 1
19 201 1
7 201 1
28 201 1
29 202 1
58 202 1
31 202 1
9 203 1
29 203 1
2 203 1
4 203 1
30 203 1
32 203 1
14 203 1
33 203 1
34 203 1
65 203 1
76 203 1
88 203 1
36 203 1
55 203 1
1 203 1
3 203 1
27 203 1
56 203 1
8 203 1
45 203 1
50 203 1
18 203 1
59 203 1
31 203 1
52 203 1
37 203 1
82 203 1
12 203 1
17 203 1
39 203 1
40 203 1
19 203 1
