5237 40178
0 104 1
1 104 1
2 104 1
0 105 1
3 106 1
4 106 1
5 106 1
6 106 1
7 106 1
8 106 1
9 106 1
10 106 1
0 107 1
6 108 1
11 108 1
12 108 1
13 108 1
3 109 1
0 110 1
14 110 1
15 110 1
6 110 1
16 110 1
9 110 1
17 110 1
3 110 1
18 111 1
7 111 1
10 111 1
14 112 1
0 113 1
13 113 1
19 113 1
20 113 1
13 114 1
0 115 1
1 115 1
4 115 1
21 115 1
6 115 1
22 115 1
23 115 1
24 115 1
25 115 1
3 115 1
20 115 1
26 115 1
27 115 1
7 115 1
28 115 1
29 115 1
10 115 1
2 115 1
30 115 1
15 116 1
4 117 1
31 117 1
32 117 1
33 117 1
9 117 1
34 117 1
17 117 1
3 117 1
35 117 1
0 118 1
18 118 1
13 118 1
19 118 1
3 118 1
11 118 1
29 118 1
10 118 1
0 119 1
4 119 1
36 119 1
19 119 1
27 119 1
7 119 1
28 119 1
2 119 1
37 119 1
0 120 1
3 120 1
28 121 1
0 122 1
38 122 1
39 122 1
4 122 1
24 122 1
36 122 1
40 122 1
26 122 1
7 122 1
10 122 1
2 122 1
0 123 1
14 123 1
4 123 1
15 123 1
41 123 1
16 123 1
33 123 1
42 123 1
43 123 1
17 123 1
3 123 1
26 123 1
28 123 1
44 123 1
29 123 1
0 124 1
4 125 1
0 126 1
39 126 1
21 126 1
23 126 1
45 126 1
20 126 1
26 126 1
46 126 1
11 126 1
27 126 1
28 126 1
2 126 1
30 126 1
14 127 1
9 127 1
3 127 1
47 127 1
0 128 1
32 128 1
16 128 1
48 128 1
3 128 1
14 129 1
13 130 1
3 130 1
0 131 1
49 131 1
15 131 1
3 132 1
14 133 1
50 133 1
15 133 1
18 133 1
6 133 1
41 133 1
16 133 1
8 133 1
42 133 1
17 133 1
25 133 1
51 133 1
52 133 1
26 133 1
53 133 1
54 133 1
30 133 1
40 134 1
28 134 1
2 134 1
14 135 1
5 135 1
55 135 1
15 135 1
16 135 1
43 135 1
56 135 1
7 135 1
10 135 1
57 135 1
58 135 1
0 136 1
4 136 1
55 136 1
31 136 1
17 136 1
59 136 1
3 136 1
7 136 1
28 136 1
29 136 1
2 136 1
30 136 1
0 137 1
0 138 1
3 139 1
7 139 1
10 139 1
19 140 1
36 141 1
27 141 1
0 142 1
4 142 1
33 142 1
17 142 1
60 142 1
0 143 1
38 143 1
6 143 1
16 143 1
33 143 1
42 143 1
17 143 1
46 143 1
28 143 1
61 143 1
15 144 1
42 144 1
43 144 1
62 144 1
63 144 1
36 145 1
27 145 1
37 145 1
0 146 1
1 146 1
23 146 1
41 146 1
33 146 1
9 146 1
17 146 1
64 146 1
40 146 1
19 146 1
3 146 1
26 146 1
27 146 1
2 146 1
39 146 1
4 146 1
21 146 1
6 146 1
8 146 1
25 146 1
45 146 1
65 146 1
63 146 1
0 147 1
14 147 1
33 147 1
0 148 1
36 148 1
3 149 1
0 150 1
1 150 1
12 150 1
20 150 1
0 151 1
41 151 1
16 151 1
33 151 1
42 151 1
9 151 1
17 151 1
64 151 1
40 151 1
3 151 1
26 151 1
66 151 1
67 151 1
11 151 1
28 151 1
12 151 1
29 151 1
10 151 1
60 151 1
54 151 1
57 151 1
2 151 1
38 151 1
39 151 1
4 151 1
68 151 1
21 151 1
31 151 1
8 151 1
69 151 1
70 151 1
65 151 1
46 151 1
44 151 1
30 151 1
63 151 1
15 152 1
3 153 1
0 154 1
55 155 1
18 155 1
41 155 1
16 155 1
71 155 1
33 155 1
9 155 1
72 155 1
17 155 1
3 155 1
7 155 1
60 155 1
54 155 1
2 155 1
4 155 1
21 155 1
8 155 1
20 155 1
14 156 1
15 156 1
32 156 1
41 156 1
16 156 1
9 156 1
17 156 1
3 156 1
67 156 1
13 156 1
44 156 1
0 157 1
23 157 1
42 157 1
64 157 1
3 157 1
26 157 1
11 157 1
7 157 1
28 157 1
73 157 1
12 157 1
2 157 1
38 157 1
31 157 1
74 157 1
6 157 1
8 157 1
25 157 1
45 157 1
65 157 1
30 157 1
37 158 1
14 159 1
50 159 1
15 159 1
32 159 1
16 159 1
48 159 1
9 159 1
17 159 1
52 159 1
40 159 1
3 159 1
26 159 1
7 159 1
61 159 1
12 159 1
54 159 1
31 159 1
6 159 1
22 159 1
34 159 1
69 159 1
59 159 1
56 159 1
45 159 1
75 159 1
44 159 1
53 159 1
30 159 1
7 160 1
37 160 1
69 160 1
37 161 1
38 161 1
0 162 1
6 162 1
63 163 1
7 164 1
37 164 1
0 165 1
3 165 1
0 166 1
1 166 1
10 166 1
60 166 1
2 166 1
4 166 1
14 167 1
5 167 1
32 167 1
42 167 1
9 167 1
3 167 1
7 167 1
12 167 1
10 167 1
57 167 1
31 167 1
74 167 1
17 168 1
76 168 1
62 168 1
5 169 1
3 169 1
13 169 1
63 170 1
0 171 1
1 171 1
5 171 1
42 171 1
3 171 1
7 171 1
2 171 1
4 171 1
31 171 1
8 171 1
13 171 1
45 171 1
77 171 1
78 171 1
14 172 1
32 172 1
41 172 1
16 172 1
9 172 1
17 172 1
3 172 1
35 172 1
47 172 1
0 173 1
42 173 1
64 173 1
3 173 1
26 173 1
27 173 1
7 173 1
28 173 1
10 173 1
60 173 1
37 173 1
21 173 1
8 173 1
25 173 1
45 173 1
75 173 1
30 173 1
9 174 1
7 174 1
0 175 1
37 175 1
0 176 1
41 176 1
16 176 1
72 176 1
32 177 1
17 177 1
47 177 1
58 177 1
0 178 1
32 178 1
41 178 1
9 178 1
64 178 1
3 178 1
26 178 1
66 178 1
11 178 1
28 178 1
29 178 1
4 178 1
31 178 1
6 178 1
22 178 1
24 178 1
25 178 1
45 178 1
6 179 1
63 179 1
0 180 1
1 180 1
40 180 1
19 180 1
7 180 1
60 180 1
2 180 1
37 180 1
38 180 1
21 180 1
0 181 1
60 181 1
0 182 1
10 182 1
2 182 1
3 183 1
26 183 1
14 184 1
49 184 1
15 184 1
32 184 1
16 184 1
48 184 1
9 184 1
3 184 1
35 184 1
67 184 1
56 184 1
47 184 1
44 184 1
0 185 1
26 186 1
0 187 1
5 187 1
17 187 1
2 187 1
0 188 1
50 189 1
15 189 1
48 189 1
9 189 1
17 189 1
52 189 1
7 189 1
13 189 1
0 190 1
60 190 1
38 190 1
21 190 1
20 190 1
42 191 1
43 191 1
14 192 1
9 192 1
17 192 1
3 192 1
67 192 1
53 192 1
58 192 1
0 193 1
15 194 1
41 194 1
17 194 1
62 194 1
0 195 1
1 195 1
3 195 1
66 195 1
11 195 1
28 195 1
29 195 1
10 195 1
3 196 1
26 196 1
11 196 1
12 196 1
13 196 1
14 197 1
32 197 1
9 197 1
3 197 1
35 197 1
59 197 1
0 198 1
62 199 1
13 199 1
0 200 1
17 201 1
13 201 1
0 202 1
33 202 1
17 202 1
60 202 1
4 202 1
21 202 1
8 202 1
0 203 1
15 203 1
42 203 1
7 204 1
39 204 1
4 204 1
21 204 1
41 205 1
16 205 1
17 206 1
0 207 1
14 207 1
15 207 1
18 207 1
41 207 1
16 207 1
48 207 1
42 207 1
9 207 1
17 207 1
64 207 1
79 207 1
3 207 1
26 207 1
11 207 1
28 207 1
29 207 1
4 207 1
31 207 1
6 207 1
22 207 1
80 207 1
69 207 1
59 207 1
25 207 1
45 207 1
75 207 1
46 207 1
30 207 1
0 208 1
0 209 1
43 209 1
0 210 1
14 210 1
42 210 1
17 210 1
3 210 1
29 210 1
25 210 1
81 210 1
0 211 1
14 211 1
3 211 1
66 211 1
11 211 1
28 211 1
12 211 1
29 211 1
10 211 1
0 212 1
3 212 1
5 213 1
18 213 1
41 213 1
17 213 1
3 213 1
26 213 1
27 213 1
10 213 1
46 213 1
44 213 1
10 214 1
3 215 1
7 215 1
28 215 1
6 215 1
8 215 1
13 215 1
25 215 1
45 215 1
30 215 1
0 216 1
11 216 1
60 216 1
4 216 1
21 216 1
7 217 1
37 217 1
31 217 1
13 217 1
14 218 1
15 218 1
41 218 1
16 218 1
33 218 1
42 218 1
17 218 1
51 218 1
40 218 1
3 218 1
10 218 1
4 218 1
6 218 1
8 218 1
53 218 1
63 218 1
0 219 1
23 219 1
9 219 1
51 219 1
3 219 1
11 219 1
7 219 1
28 219 1
10 219 1
60 219 1
2 219 1
4 219 1
31 219 1
74 219 1
6 219 1
77 219 1
30 219 1
0 220 1
5 220 1
3 220 1
35 220 1
31 220 1
17 221 1
19 221 1
3 221 1
67 221 1
54 221 1
8 221 1
0 222 1
15 222 1
32 222 1
48 222 1
9 222 1
35 222 1
44 222 1
0 223 1
16 223 1
9 223 1
35 223 1
67 223 1
69 223 1
82 223 1
44 223 1
3 224 1
0 225 1
13 225 1
33 226 1
17 226 1
26 226 1
28 226 1
13 226 1
33 227 1
13 227 1
14 228 1
50 228 1
15 228 1
32 228 1
41 228 1
16 228 1
43 228 1
9 228 1
52 228 1
40 228 1
3 228 1
35 228 1
67 228 1
61 228 1
54 228 1
2 228 1
59 228 1
47 228 1
44 228 1
53 228 1
0 229 1
3 229 1
66 229 1
28 229 1
29 229 1
2 229 1
37 229 1
20 229 1
0 230 1
1 230 1
41 230 1
42 230 1
43 230 1
19 230 1
67 230 1
11 230 1
7 230 1
60 230 1
54 230 1
2 230 1
39 230 1
4 230 1
21 230 1
6 230 1
24 230 1
80 230 1
34 230 1
69 230 1
45 230 1
47 230 1
0 231 1
1 231 1
14 231 1
42 231 1
17 231 1
3 231 1
26 231 1
66 231 1
11 231 1
7 231 1
28 231 1
12 231 1
57 231 1
2 231 1
38 231 1
4 231 1
31 231 1
22 231 1
8 231 1
13 231 1
81 231 1
20 231 1
47 231 1
30 231 1
0 232 1
14 232 1
17 232 1
3 232 1
11 232 1
7 232 1
10 232 1
6 232 1
13 232 1
0 233 1
42 233 1
17 233 1
3 233 1
10 233 1
2 233 1
70 233 1
17 234 1
0 235 1
23 235 1
42 235 1
64 235 1
3 235 1
26 235 1
11 235 1
7 235 1
61 235 1
2 235 1
6 235 1
80 235 1
25 235 1
45 235 1
46 235 1
53 235 1
30 235 1
63 235 1
0 236 1
14 236 1
5 236 1
15 236 1
32 236 1
33 236 1
9 236 1
17 236 1
19 236 1
3 236 1
11 236 1
10 236 1
31 236 1
14 237 1
32 237 1
0 238 1
