6420 147523
0 459 1
1 459 1
2 459 1
3 459 1
4 459 1
5 459 1
6 460 1
7 460 1
8 460 1
9 460 1
10 460 1
11 460 1
12 460 1
13 460 1
14 460 1
15 460 1
16 460 1
17 460 1
18 460 1
19 460 1
20 460 1
21 460 1
22 460 1
23 460 1
24 460 1
25 460 1
26 460 1
27 460 1
28 460 1
29 460 1
7 461 1
16 461 1
1 461 1
26 461 1
30 461 1
7 462 1
5 462 1
31 463 1
32 463 1
33 463 1
34 463 1
35 463 1
36 463 1
37 463 1
38 463 1
39 463 1
40 463 1
41 463 1
42 463 1
43 463 1
44 463 1
45 463 1
46 463 1
47 463 1
4 463 1
48 463 1
12 463 1
49 463 1
50 463 1
51 463 1
52 463 1
53 463 1
5 463 1
54 463 1
55 463 1
28 463 1
56 463 1
57 464 1
58 464 1
59 464 1
3 464 1
10 464 1
60 464 1
41 464 1
61 464 1
62 464 1
63 464 1
64 464 1
26 464 1
30 464 1
65 464 1
66 464 1
7 464 1
67 464 1
68 464 1
69 464 1
70 464 1
71 464 1
72 464 1
14 464 1
73 464 1
74 464 1
75 464 1
0 464 1
76 464 1
19 464 1
77 464 1
78 464 1
79 464 1
23 464 1
80 464 1
41 465 1
22 465 1
48 465 1
31 466 1
81 466 1
82 466 1
16 466 1
41 466 1
83 466 1
84 466 1
21 466 1
85 466 1
86 466 1
44 466 1
87 466 1
88 466 1
89 466 1
26 466 1
6 466 1
90 466 1
7 466 1
4 466 1
11 466 1
91 466 1
12 466 1
71 466 1
72 466 1
92 466 1
17 466 1
93 466 1
19 466 1
94 466 1
5 466 1
81 467 1
16 467 1
41 467 1
43 467 1
61 467 1
95 467 1
96 467 1
87 467 1
7 467 1
97 467 1
4 467 1
69 467 1
75 467 1
98 467 1
99 467 1
94 467 1
23 467 1
5 467 1
100 468 1
101 468 1
59 468 1
102 468 1
103 468 1
104 468 1
105 468 1
13 468 1
106 468 1
107 468 1
15 468 1
16 468 1
108 468 1
1 468 1
61 468 1
109 468 1
30 468 1
6 468 1
110 468 1
8 468 1
9 468 1
70 468 1
111 468 1
112 468 1
73 468 1
75 468 1
0 468 1
113 468 1
114 468 1
78 468 1
79 468 1
23 468 1
115 468 1
28 468 1
56 468 1
116 468 1
117 468 1
58 468 1
3 468 1
118 468 1
119 468 1
83 468 1
120 468 1
85 468 1
44 468 1
121 468 1
87 468 1
122 468 1
26 468 1
123 468 1
124 468 1
125 468 1
126 468 1
127 468 1
7 468 1
128 468 1
4 468 1
91 468 1
14 468 1
74 468 1
19 468 1
77 468 1
129 468 1
130 468 1
99 468 1
131 468 1
29 468 1
10 469 1
102 469 1
16 469 1
1 469 1
61 469 1
95 469 1
132 469 1
