6185 157294
0 274 1
1 274 1
2 274 1
3 275 1
4 275 1
5 275 1
6 275 1
7 275 1
8 275 1
9 275 1
10 275 1
11 275 1
12 275 1
13 275 1
14 275 1
15 275 1
16 275 1
17 275 1
18 275 1
19 275 1
5 276 1
20 276 1
2 276 1
13 276 1
15 276 1
0 276 1
5 277 1
21 277 1
2 277 1
13 277 1
15 277 1
1 277 1
22 277 1
23 277 1
24 277 1
25 278 1
4 278 1
26 278 1
27 278 1
28 278 1
16 278 1
29 278 1
30 278 1
31 278 1
20 278 1
32 278 1
33 278 1
34 278 1
18 278 1
35 278 1
5 279 1
12 279 1
4 280 1
26 280 1
9 280 1
11 280 1
15 280 1
16 280 1
0 280 1
36 280 1
20 280 1
13 280 1
4 281 1
9 281 1
16 281 1
37 281 1
38 281 1
36 281 1
5 281 1
32 281 1
20 281 1
39 281 1
13 281 1
33 281 1
40 281 1
26 282 1
16 282 1
30 282 1
41 282 1
5 282 1
42 282 1
32 282 1
43 282 1
13 282 1
3 283 1
44 283 1
45 283 1
6 283 1
46 283 1
9 283 1
10 283 1
47 283 1
15 283 1
48 283 1
16 283 1
49 283 1
0 283 1
50 283 1
30 283 1
51 283 1
52 283 1
41 283 1
53 283 1
54 283 1
55 283 1
56 283 1
57 283 1
58 283 1
8 283 1
2 283 1
59 283 1
14 283 1
60 283 1
61 283 1
62 283 1
63 283 1
33 283 1
64 283 1
65 283 1
22 283 1
19 283 1
66 283 1
67 283 1
35 283 1
68 283 1
69 283 1
7 283 1
70 283 1
29 283 1
71 283 1
72 283 1
73 283 1
74 283 1
36 283 1
75 283 1
5 283 1
76 283 1
21 283 1
77 283 1
78 283 1
20 283 1
32 283 1
79 283 1
43 283 1
80 283 1
81 283 1
12 283 1
13 283 1
82 283 1
83 283 1
84 283 1
1 283 1
85 283 1
24 283 1
86 283 1
87 284 1
69 284 1
36 284 1
13 284 1
88 285 1
3 286 1
45 286 1
9 286 1
10 286 1
15 286 1
48 286 1
89 286 1
16 286 1
52 286 1
41 286 1
55 286 1
58 286 1
2 286 1
14 286 1
60 286 1
61 286 1
62 286 1
18 286 1
19 286 1
4 286 1
90 286 1
7 286 1
29 286 1
71 286 1
91 286 1
74 286 1
5 286 1
92 286 1
20 286 1
81 286 1
12 286 1
13 286 1
93 286 1
84 286 1
1 286 1
94 286 1
86 286 1
95 287 1
96 287 1
95 288 1
27 288 1
15 288 1
48 288 1
16 288 1
97 288 1
98 288 1
2 288 1
18 288 1
19 288 1
87 288 1
35 288 1
99 288 1
4 288 1
11 288 1
5 288 1
20 288 1
13 288 1
100 289 1
101 289 1
102 289 1
40 289 1
74 289 1
103 290 1
104 290 1
105 290 1
106 290 1
26 290 1
6 290 1
107 290 1
9 290 1
27 290 1
15 290 1
48 290 1
16 290 1
108 290 1
109 290 1
49 290 1
0 290 1
37 290 1
38 290 1
30 290 1
23 290 1
51 290 1
52 290 1
41 290 1
53 290 1
110 290 1
111 290 1
54 290 1
112 290 1
113 290 1
114 290 1
115 290 1
116 290 1
55 290 1
96 290 1
57 290 1
8 290 1
2 290 1
117 290 1
118 290 1
119 290 1
60 290 1
62 290 1
63 290 1
33 290 1
18 290 1
120 290 1
64 290 1
65 290 1
22 290 1
19 290 1
66 290 1
121 290 1
67 290 1
122 290 1
35 290 1
68 290 1
99 290 1
4 290 1
123 290 1
90 290 1
124 290 1
88 290 1
125 290 1
126 290 1
127 290 1
128 290 1
29 290 1
71 290 1
129 290 1
72 290 1
91 290 1
31 290 1
130 290 1
73 290 1
131 290 1
74 290 1
36 290 1
132 290 1
133 290 1
75 290 1
5 290 1
134 290 1
21 290 1
77 290 1
135 290 1
78 290 1
136 290 1
137 290 1
138 290 1
139 290 1
92 290 1
140 290 1
32 290 1
20 290 1
79 290 1
43 290 1
80 290 1
141 290 1
12 290 1
39 290 1
13 290 1
142 290 1
93 290 1
143 290 1
84 290 1
1 290 1
144 290 1
94 290 1
145 290 1
146 290 1
147 290 1
24 290 1
148 290 1
149 290 1
86 290 1
150 290 1
3 291 1
26 291 1
45 291 1
100 291 1
9 291 1
10 291 1
15 291 1
151 291 1
49 291 1
37 291 1
38 291 1
23 291 1
152 291 1
153 291 1
57 291 1
154 291 1
155 291 1
2 291 1
156 291 1
34 291 1
18 291 1
19 291 1
66 291 1
67 291 1
157 291 1
99 291 1
4 291 1
7 291 1
72 291 1
74 291 1
5 291 1
77 291 1
158 291 1
159 291 1
20 291 1
80 291 1
160 291 1
161 291 1
93 291 1
84 291 1
1 291 1
85 291 1
24 291 1
148 291 1
3 292 1
106 292 1
26 292 1
9 292 1
27 292 1
162 292 1
15 292 1
48 292 1
16 292 1
0 292 1
38 292 1
23 292 1
41 292 1
54 292 1
55 292 1
58 292 1
8 292 1
154 292 1
2 292 1
59 292 1
119 292 1
14 292 1
163 292 1
60 292 1
61 292 1
62 292 1
18 292 1
65 292 1
122 292 1
40 292 1
35 292 1
28 292 1
29 292 1
72 292 1
130 292 1
131 292 1
74 292 1
36 292 1
5 292 1
21 292 1
77 292 1
138 292 1
139 292 1
140 292 1
20 292 1
79 292 1
43 292 1
80 292 1
39 292 1
13 292 1
83 292 1
143 292 1
1 292 1
24 292 1
106 293 1
9 293 1
89 293 1
16 293 1
23 293 1
59 293 1
61 293 1
18 293 1
24 293 1
100 294 1
37 294 1
67 294 1
91 294 1
5 294 1
3 295 1
45 295 1
6 295 1
9 295 1
27 295 1
15 295 1
16 295 1
17 295 1
0 295 1
50 295 1
30 295 1
23 295 1
52 295 1
164 295 1
165 295 1
96 295 1
166 295 1
155 295 1
167 295 1
156 295 1
18 295 1
19 295 1
40 295 1
