6474 189680
0 485 1
1 485 1
2 485 1
3 486 1
4 486 1
5 486 1
6 486 1
7 486 1
8 486 1
9 486 1
10 486 1
11 486 1
12 486 1
13 486 1
14 486 1
15 486 1
16 486 1
17 486 1
18 486 1
19 486 1
20 486 1
21 486 1
22 486 1
23 486 1
24 486 1
25 486 1
26 486 1
27 486 1
28 486 1
29 486 1
30 486 1
31 486 1
32 486 1
33 486 1
34 487 1
35 487 1
23 487 1
36 487 1
37 487 1
38 488 1
39 488 1
40 488 1
41 488 1
42 489 1
43 489 1
44 489 1
3 489 1
8 489 1
45 489 1
46 489 1
47 489 1
48 489 1
49 489 1
50 489 1
51 489 1
52 489 1
35 489 1
53 489 1
19 489 1
54 489 1
23 489 1
25 489 1
55 489 1
56 489 1
2 489 1
57 489 1
58 489 1
59 489 1
60 489 1
61 489 1
62 489 1
63 489 1
64 489 1
65 489 1
66 489 1
67 489 1
68 489 1
69 489 1
70 489 1
71 489 1
1 489 1
72 489 1
53 490 1
73 490 1
74 490 1
75 491 1
3 491 1
8 491 1
17 491 1
51 491 1
35 491 1
53 491 1
19 491 1
25 491 1
32 491 1
76 491 1
77 491 1
62 491 1
12 491 1
31 491 1
42 492 1
3 492 1
10 492 1
14 492 1
15 492 1
17 492 1
35 492 1
53 492 1
25 492 1
78 492 1
79 492 1
80 492 1
29 492 1
81 492 1
82 492 1
2 492 1
76 492 1
12 492 1
63 492 1
13 492 1
64 492 1
83 492 1
67 492 1
84 492 1
71 492 1
85 492 1
86 492 1
31 492 1
87 492 1
75 493 1
46 493 1
10 493 1
47 493 1
14 493 1
52 493 1
88 493 1
53 493 1
21 493 1
54 493 1
23 493 1
25 493 1
89 493 1
32 493 1
0 493 1
56 493 1
2 493 1
90 493 1
91 493 1
92 493 1
64 493 1
67 493 1
68 493 1
93 493 1
94 493 1
31 493 1
1 493 1
95 494 1
96 494 1
97 494 1
98 494 1
17 494 1
99 494 1
25 494 1
0 494 1
56 494 1
100 494 1
101 494 1
102 494 1
1 494 1
9 494 1
11 494 1
47 494 1
55 494 1
103 494 1
104 494 1
105 494 1
76 494 1
38 494 1
106 494 1
64 494 1
107 494 1
36 494 1
41 494 1
98 495 1
23 495 1
90 495 1
60 495 1
108 495 1
1 495 1
46 495 1
52 495 1
81 495 1
2 495 1
58 495 1
59 495 1
76 495 1
92 495 1
106 495 1
109 495 1
68 495 1
70 495 1
96 496 1
23 496 1
83 496 1
17 497 1
22 497 1
23 497 1
25 497 1
30 497 1
110 497 1
18 497 1
31 497 1
3 497 1
8 497 1
11 497 1
111 497 1
52 497 1
55 497 1
103 497 1
32 497 1
37 497 1
62 497 1
12 497 1
36 497 1
93 498 1
101 498 1
1 498 1
2 498 1
7 499 1
45 499 1
112 499 1
113 499 1
98 499 1
15 499 1
48 499 1
114 499 1
51 499 1
35 499 1
88 499 1
23 499 1
25 499 1
115 499 1
80 499 1
89 499 1
116 499 1
117 499 1
118 499 1
119 499 1
120 499 1
121 499 1
122 499 1
123 499 1
66 499 1
18 499 1
93 499 1
101 499 1
85 499 1
1 499 1
124 499 1
125 499 1
126 499 1
127 499 1
128 499 1
129 499 1
3 499 1
8 499 1
46 499 1
34 499 1
10 499 1
130 499 1
47 499 1
14 499 1
52 499 1
131 499 1
32 499 1
132 499 1
133 499 1
59 499 1
134 499 1
92 499 1
6 499 1
12 499 1
135 499 1
136 499 1
137 499 1
138 499 1
70 499 1
139 499 1
28 499 1
140 499 1
36 499 1
99 500 1
141 500 1
142 500 1
87 500 1
143 500 1
144 501 1
145 501 1
146 501 1
45 501 1
17 501 1
48 501 1
88 501 1
23 501 1
25 501 1
147 501 1
29 501 1
148 501 1
89 501 1
82 501 1
56 501 1
40 501 1
149 501 1
150 501 1
90 501 1
18 501 1
94 501 1
102 501 1
1 501 1
44 501 1
3 501 1
8 501 1
151 501 1
10 501 1
152 501 1
47 501 1
52 501 1
153 501 1
154 501 1
155 501 1
55 501 1
103 501 1
81 501 1
32 501 1
104 501 1
105 501 1
156 501 1
157 501 1
76 501 1
92 501 1
38 501 1
12 501 1
158 501 1
64 501 1
84 501 1
136 501 1
20 501 1
71 501 1
159 501 1
160 501 1
161 501 1
41 501 1
43 502 1
17 502 1
22 502 1
29 502 1
162 502 1
82 502 1
40 502 1
119 502 1
163 502 1
110 502 1
164 502 1
93 502 1
101 502 1
165 502 1
124 502 1
125 502 1
72 502 1
42 502 1
3 502 1
39 502 1
166 502 1
9 502 1
46 502 1
47 502 1
11 502 1
14 502 1
52 502 1
53 502 1
21 502 1
81 502 1
104 502 1
167 502 1
13 502 1
68 502 1
138 502 1
70 502 1
139 502 1
24 502 1
168 502 1
160 502 1
36 502 1
41 502 1
146 503 1
113 503 1
15 503 1
17 503 1
48 503 1
169 503 1
35 503 1
88 503 1
141 503 1
23 503 1
25 503 1
115 503 1
30 503 1
40 503 1
119 503 1
4 503 1
170 503 1
110 503 1
18 503 1
93 503 1
1 503 1
87 503 1
127 503 1
171 503 1
129 503 1
39 503 1
8 503 1
46 503 1
53 503 1
172 503 1
19 503 1
21 503 1
55 503 1
173 503 1
32 503 1
104 503 1
157 503 1
174 503 1
133 503 1
59 503 1
134 503 1
76 503 1
38 503 1
175 503 1
62 503 1
158 503 1
83 503 1
84 503 1
69 503 1
28 503 1
176 503 1
41 503 1
146 504 1
17 504 1
25 504 1
40 504 1
46 504 1
47 504 1
32 504 1
132 504 1
41 504 1
82 505 1
134 505 1
177 506 1
178 506 1
5 506 1
179 506 1
98 506 1
15 506 1
17 506 1
48 506 1
35 506 1
22 506 1
25 506 1
26 506 1
79 506 1
80 506 1
29 506 1
30 506 1
56 506 1
40 506 1
180 506 1
181 506 1
90 506 1
120 506 1
4 506 1
121 506 1
182 506 1
183 506 1
63 506 1
110 506 1
164 506 1
66 506 1
67 506 1
18 506 1
184 506 1
101 506 1
27 506 1
86 506 1
185 506 1
1 506 1
124 506 1
72 506 1
87 506 1
186 506 1
42 506 1
127 506 1
171 506 1
3 506 1
187 506 1
39 506 1
188 506 1
9 506 1
46 506 1
130 506 1
11 506 1
111 506 1
189 506 1
53 506 1
131 506 1
21 506 1
190 506 1
191 506 1
55 506 1
173 506 1
81 506 1
32 506 1
104 506 1
192 506 1
2 506 1
132 506 1
59 506 1
76 506 1
91 506 1
38 506 1
106 506 1
77 506 1
13 506 1
64 506 1
83 506 1
193 506 1
68 506 1
70 506 1
139 506 1
24 506 1
71 506 1
28 506 1
160 506 1
36 506 1
161 506 1
41 506 1
194 507 1
195 507 1
196 507 1
144 507 1
145 507 1
95 507 1
96 507 1
197 507 1
198 507 1
17 507 1
48 507 1
199 507 1
51 507 1
169 507 1
88 507 1
200 507 1
99 507 1
23 507 1
25 507 1
201 507 1
80 507 1
202 507 1
89 507 1
82 507 1
0 507 1
142 507 1
116 507 1
40 507 1
149 507 1
108 507 1
170 507 1
203 507 1
100 507 1
63 507 1
204 507 1
164 507 1
67 507 1
205 507 1
206 507 1
207 507 1
208 507 1
27 507 1
209 507 1
102 507 1
210 507 1
211 507 1
1 507 1
87 507 1
44 507 1
3 507 1
212 507 1
39 507 1
8 507 1
151 507 1
46 507 1
10 507 1
213 507 1
47 507 1
11 507 1
14 507 1
52 507 1
53 507 1
131 507 1
154 507 1
55 507 1
214 507 1
103 507 1
173 507 1
32 507 1
104 507 1
37 507 1
105 507 1
2 507 1
132 507 1
157 507 1
134 507 1
76 507 1
215 507 1
61 507 1
38 507 1
216 507 1
175 507 1
12 507 1
158 507 1
64 507 1
83 507 1
217 507 1
218 507 1
84 507 1
68 507 1
138 507 1
139 507 1
219 507 1
160 507 1
36 507 1
74 507 1
161 507 1
41 507 1
220 507 1
23 508 1
90 508 1
52 508 1
2 508 1
74 508 1
112 509 1
97 509 1
15 509 1
48 509 1
25 509 1
26 509 1
56 509 1
123 509 1
164 509 1
93 509 1
8 509 1
11 509 1
103 509 1
192 509 1
76 509 1
64 509 1
221 510 1
222 510 1
98 510 1
17 510 1
22 510 1
23 510 1
26 510 1
80 510 1
147 510 1
118 510 1
73 510 1
108 510 1
182 510 1
122 510 1
223 510 1
164 510 1
67 510 1
18 510 1
224 510 1
165 510 1
225 510 1
226 510 1
127 510 1
3 510 1
227 510 1
11 510 1
228 510 1
53 510 1
172 510 1
131 510 1
229 510 1
173 510 1
81 510 1
230 510 1
133 510 1
58 510 1
134 510 1
6 510 1
231 510 1
232 510 1
62 510 1
13 510 1
193 510 1
136 510 1
24 510 1
28 510 1
140 510 1
41 510 1
194 511 1
96 511 1
200 511 1
63 511 1
233 511 1
234 511 1
47 511 1
62 511 1
195 512 1
235 512 1
23 512 1
25 512 1
108 512 1
100 512 1
236 512 1
237 512 1
1 512 1
234 512 1
151 512 1
46 512 1
47 512 1
52 512 1
81 512 1
104 512 1
2 512 1
38 512 1
6 512 1
20 512 1
161 512 1
41 512 1
235 513 1
96 513 1
45 513 1
15 513 1
17 513 1
35 513 1
238 513 1
25 513 1
29 513 1
40 513 1
239 513 1
18 513 1
27 513 1
31 513 1
1 513 1
72 513 1
42 513 1
3 513 1
39 513 1
8 513 1
240 513 1
52 513 1
53 513 1
55 513 1
103 513 1
32 513 1
104 513 1
38 513 1
77 513 1
12 513 1
158 513 1
241 513 1
36 513 1
41 513 1
17 514 1
23 514 1
25 514 1
1 514 1
