5910 68527
0 141 1
1 141 1
2 142 1
3 142 1
4 142 1
5 142 1
6 142 1
7 142 1
1 142 1
8 142 1
9 142 1
10 142 1
11 142 1
12 142 1
13 142 1
14 142 1
15 142 1
3 143 1
11 143 1
3 144 1
1 144 1
11 144 1
16 145 1
17 145 1
10 145 1
18 145 1
1 145 1
15 145 1
3 146 1
19 146 1
20 146 1
21 146 1
13 146 1
11 147 1
19 147 1
6 147 1
1 147 1
22 148 1
10 148 1
23 148 1
24 148 1
0 148 1
25 148 1
3 148 1
6 148 1
1 148 1
20 148 1
0 149 1
3 149 1
18 149 1
1 149 1
21 149 1
26 149 1
13 149 1
16 150 1
27 150 1
8 150 1
9 150 1
11 150 1
28 150 1
29 150 1
30 150 1
5 150 1
31 150 1
21 150 1
13 150 1
14 150 1
15 150 1
32 150 1
0 150 1
33 150 1
34 150 1
35 150 1
3 150 1
6 150 1
36 150 1
26 150 1
37 150 1
38 151 1
15 151 1
6 151 1
39 151 1
26 152 1
40 153 1
11 153 1
14 153 1
0 153 1
34 153 1
3 153 1
6 153 1
1 153 1
26 153 1
41 154 1
11 155 1
24 155 1
20 155 1
14 155 1
15 155 1
42 155 1
10 155 1
0 155 1
3 155 1
19 155 1
6 155 1
36 155 1
1 155 1
20 156 1
8 157 1
11 157 1
29 157 1
30 157 1
14 157 1
15 157 1
43 157 1
0 157 1
33 157 1
3 157 1
6 157 1
1 157 1
8 158 1
11 158 1
38 158 1
20 158 1
13 158 1
14 158 1
44 158 1
45 158 1
46 158 1
47 158 1
0 158 1
33 158 1
35 158 1
48 158 1
3 158 1
19 158 1
6 158 1
1 158 1
49 158 1
37 158 1
50 158 1
40 159 1
11 159 1
30 159 1
15 159 1
0 159 1
33 159 1
3 159 1
6 159 1
1 159 1
12 159 1
19 160 1
6 160 1
1 160 1
51 161 1
3 161 1
8 162 1
11 162 1
24 162 1
14 162 1
47 162 1
33 162 1
52 162 1
48 162 1
3 162 1
19 162 1
53 162 1
6 162 1
54 162 1
37 162 1
55 163 1
11 163 1
24 163 1
29 163 1
56 163 1
14 163 1
33 163 1
34 163 1
54 163 1
12 163 1
37 163 1
41 164 1
