4167 20683
0 67 1
1 67 1
2 67 1
3 68 1
2 68 1
4 68 1
5 68 1
6 68 1
7 68 1
8 69 1
9 69 1
10 70 1
1 71 1
11 71 1
12 71 1
2 71 1
13 71 1
14 71 1
15 71 1
16 71 1
16 72 1
2 73 1
2 74 1
17 74 1
18 74 1
1 74 1
9 74 1
7 74 1
19 74 1
6 74 1
2 75 1
2 76 1
20 76 1
1 76 1
16 77 1
1 77 1
21 77 1
22 78 1
16 78 1
2 79 1
23 79 1
22 80 1
2 80 1
16 80 1
4 80 1
5 80 1
20 80 1
1 80 1
9 80 1
8 80 1
1 81 1
23 81 1
22 82 1
18 83 1
1 83 1
19 83 1
24 83 1
19 84 1
23 84 1
2 85 1
25 85 1
16 85 1
19 86 1
22 87 1
25 87 1
26 87 1
27 87 1
1 87 1
9 87 1
19 87 1
28 87 1
0 88 1
18 88 1
3 89 1
16 89 1
7 89 1
8 90 1
23 90 1
6 90 1
18 91 1
1 91 1
29 91 1
7 91 1
6 91 1
16 92 1
3 93 1
2 93 1
17 93 1
20 93 1
30 93 1
29 93 1
9 93 1
7 93 1
8 93 1
31 93 1
14 93 1
6 93 1
24 94 1
12 95 1
32 95 1
33 95 1
3 95 1
17 95 1
34 95 1
0 95 1
11 95 1
30 95 1
29 95 1
9 95 1
7 95 1
8 95 1
31 95 1
24 95 1
3 96 1
17 96 1
18 96 1
1 96 1
9 96 1
7 96 1
19 96 1
8 96 1
23 96 1
21 96 1
2 97 1
25 97 1
9 98 1
19 98 1
23 98 1
6 98 1
2 99 1
6 99 1
35 100 1
18 100 1
16 100 1
7 100 1
19 100 1
6 100 1
3 101 1
2 101 1
36 101 1
17 101 1
4 101 1
5 101 1
37 101 1
38 101 1
24 101 1
22 101 1
25 101 1
15 101 1
16 101 1
1 101 1
30 101 1
13 101 1
9 101 1
7 101 1
19 101 1
8 101 1
31 101 1
39 101 1
21 101 1
6 101 1
16 102 1
5 103 1
38 103 1
1 103 1
3 104 1
2 104 1
0 104 1
4 104 1
24 104 1
27 104 1
1 104 1
9 104 1
7 104 1
19 104 1
35 105 1
18 105 1
7 105 1
6 105 1
3 106 1
4 107 1
23 107 1
22 107 1
1 107 1
7 107 1
19 107 1
6 107 1
33 108 1
3 108 1
2 108 1
17 108 1
9 108 1
6 108 1
2 109 1
1 109 1
33 110 1
3 110 1
2 110 1
17 110 1
18 110 1
11 110 1
23 110 1
12 110 1
32 110 1
1 110 1
7 110 1
40 110 1
6 110 1
34 111 1
0 112 1
34 112 1
7 112 1
40 112 1
6 112 1
2 113 1
6 114 1
2 115 1
24 115 1
22 115 1
19 115 1
6 116 1
19 117 1
1 118 1
2 119 1
41 120 1
30 120 1
9 120 1
6 120 1
2 121 1
22 121 1
22 122 1
22 123 1
23 124 1
9 124 1
3 125 1
13 125 1
19 125 1
21 125 1
7 126 1
22 127 1
25 127 1
