6678 301087
0 649 1
1 649 1
2 649 1
3 649 1
4 649 1
5 649 1
6 649 1
7 650 1
8 650 1
9 650 1
10 650 1
11 650 1
12 650 1
13 650 1
14 650 1
15 650 1
16 650 1
17 650 1
18 650 1
19 650 1
20 650 1
21 650 1
22 650 1
23 650 1
24 650 1
25 650 1
26 650 1
27 650 1
28 650 1
29 650 1
30 650 1
31 650 1
6 650 1
32 650 1
33 650 1
34 650 1
35 650 1
36 650 1
37 650 1
38 650 1
39 650 1
40 650 1
41 650 1
42 650 1
43 650 1
44 650 1
45 650 1
46 650 1
47 650 1
48 650 1
49 650 1
50 650 1
51 650 1
52 650 1
53 650 1
54 650 1
55 650 1
56 650 1
57 650 1
58 650 1
59 650 1
60 650 1
61 650 1
62 650 1
63 650 1
64 650 1
8 651 1
65 651 1
11 651 1
66 651 1
67 651 1
68 651 1
22 651 1
69 651 1
70 651 1
71 651 1
5 651 1
72 651 1
73 651 1
74 651 1
35 651 1
75 651 1
42 651 1
41 651 1
0 651 1
45 651 1
76 651 1
77 651 1
78 651 1
79 651 1
80 651 1
81 651 1
64 651 1
82 651 1
83 651 1
11 652 1
84 652 1
85 652 1
86 652 1
5 652 1
6 652 1
35 652 1
42 652 1
45 652 1
51 652 1
60 652 1
87 652 1
88 652 1
89 652 1
90 652 1
91 652 1
4 652 1
92 652 1
93 652 1
94 653 1
95 653 1
10 653 1
14 653 1
96 653 1
19 653 1
97 653 1
98 653 1
75 653 1
99 653 1
39 653 1
40 653 1
100 653 1
47 653 1
101 653 1
102 653 1
103 653 1
104 653 1
105 653 1
106 653 1
107 653 1
108 653 1
71 653 1
109 653 1
6 653 1
110 653 1
111 653 1
2 653 1
112 653 1
113 653 1
59 653 1
60 653 1
4 653 1
114 653 1
115 654 1
116 654 1
117 654 1
118 654 1
14 654 1
21 654 1
99 654 1
41 654 1
3 654 1
64 654 1
119 654 1
11 654 1
120 654 1
34 654 1
121 654 1
112 654 1
8 655 1
122 655 1
10 655 1
14 655 1
96 655 1
19 655 1
29 655 1
98 655 1
32 655 1
75 655 1
99 655 1
39 655 1
42 655 1
47 655 1
55 655 1
57 655 1
123 655 1
120 655 1
18 655 1
124 655 1
108 655 1
24 655 1
71 655 1
26 655 1
125 655 1
6 655 1
35 655 1
56 655 1
60 655 1
95 656 1
10 656 1
126 656 1
27 656 1
28 656 1
29 656 1
75 656 1
99 656 1
40 656 1
127 656 1
47 656 1
128 656 1
129 656 1
52 656 1
130 656 1
131 656 1
64 656 1
132 656 1
133 656 1
123 656 1
11 656 1
