6624 299421
0 596 1
1 596 1
2 596 1
3 596 1
4 596 1
5 596 1
6 596 1
7 596 1
8 596 1
9 596 1
10 596 1
11 596 1
12 596 1
13 596 1
14 596 1
15 596 1
16 596 1
17 596 1
18 596 1
19 596 1
20 596 1
21 596 1
22 596 1
23 597 1
24 597 1
25 597 1
26 597 1
27 597 1
28 597 1
29 597 1
30 597 1
31 597 1
32 597 1
33 597 1
34 597 1
35 597 1
36 597 1
37 597 1
38 597 1
39 597 1
40 597 1
41 597 1
42 597 1
43 597 1
44 597 1
45 597 1
46 597 1
21 597 1
47 597 1
48 597 1
49 597 1
50 597 1
51 597 1
52 597 1
53 597 1
54 597 1
55 597 1
56 597 1
57 597 1
58 597 1
59 597 1
60 597 1
61 597 1
62 597 1
63 597 1
64 597 1
65 597 1
66 597 1
67 597 1
68 597 1
69 597 1
70 597 1
71 597 1
72 597 1
73 597 1
74 597 1
75 597 1
76 597 1
77 597 1
24 598 1
78 598 1
27 598 1
79 598 1
80 598 1
81 598 1
82 598 1
83 598 1
19 598 1
22 598 1
84 598 1
85 598 1
86 598 1
49 598 1
87 598 1
55 598 1
1 598 1
2 598 1
58 598 1
88 598 1
89 598 1
90 598 1
91 598 1
77 598 1
92 598 1
93 598 1
27 599 1
94 599 1
95 599 1
96 599 1
19 599 1
21 599 1
49 599 1
55 599 1
58 599 1
64 599 1
73 599 1
97 599 1
98 599 1
99 599 1
100 599 1
101 599 1
18 599 1
102 599 1
103 599 1
104 600 1
105 600 1
26 600 1
30 600 1
106 600 1
35 600 1
107 600 1
108 600 1
109 600 1
110 600 1
87 600 1
111 600 1
53 600 1
54 600 1
1 600 1
112 600 1
60 600 1
113 600 1
114 600 1
115 600 1
116 600 1
117 600 1
118 600 1
119 600 1
120 600 1
83 600 1
121 600 1
21 600 1
122 600 1
123 600 1
124 600 1
72 600 1
73 600 1
18 600 1
125 600 1
126 601 1
127 601 1
128 601 1
129 601 1
130 601 1
30 601 1
131 601 1
37 601 1
9 601 1
13 601 1
17 601 1
111 601 1
5 601 1
12 601 1
77 601 1
93 601 1
132 601 1
27 601 1
133 601 1
124 601 1
24 602 1
134 602 1
26 602 1
30 602 1
106 602 1
35 602 1
44 602 1
110 602 1
47 602 1
87 602 1
111 602 1
53 602 1
55 602 1
60 602 1
68 602 1
70 602 1
135 602 1
133 602 1
34 602 1
136 602 1
120 602 1
39 602 1
83 602 1
41 602 1
137 602 1
21 602 1
49 602 1
69 602 1
73 602 1
105 603 1
26 603 1
138 603 1
139 603 1
42 603 1
43 603 1
44 603 1
17 603 1
87 603 1
111 603 1
54 603 1
60 603 1
140 603 1
141 603 1
65 603 1
142 603 1
143 603 1
144 603 1
77 603 1
145 603 1
146 603 1
135 603 1
27 603 1
34 603 1
39 603 1
40 603 1
83 603 1
41 603 1
147 603 1
21 603 1
148 603 1
49 603 1
149 603 1
51 603 1
150 603 1
123 603 1
69 603 1
73 603 1
18 603 1
151 603 1
134 604 1
128 604 1
106 604 1
8 604 1
42 604 1
