6761 327053
0 732 1
1 732 1
2 732 1
3 732 1
4 732 1
5 732 1
6 732 1
7 732 1
8 732 1
9 732 1
10 732 1
11 732 1
12 732 1
13 732 1
14 732 1
15 732 1
16 732 1
17 732 1
18 732 1
19 732 1
20 732 1
21 732 1
22 732 1
23 732 1
24 732 1
25 733 1
26 733 1
27 733 1
28 733 1
29 733 1
30 733 1
31 733 1
32 733 1
33 733 1
34 733 1
35 733 1
36 733 1
37 733 1
38 733 1
39 733 1
40 733 1
41 733 1
42 733 1
43 733 1
44 733 1
45 733 1
46 733 1
47 733 1
48 733 1
22 733 1
49 733 1
50 733 1
51 733 1
52 733 1
53 733 1
54 733 1
55 733 1
56 733 1
57 733 1
58 733 1
59 733 1
60 733 1
61 733 1
62 733 1
63 733 1
64 733 1
65 733 1
66 733 1
67 733 1
68 733 1
69 733 1
70 733 1
71 733 1
72 733 1
73 733 1
74 733 1
75 733 1
76 733 1
77 733 1
78 733 1
79 733 1
26 734 1
80 734 1
29 734 1
81 734 1
82 734 1
83 734 1
84 734 1
85 734 1
19 734 1
24 734 1
86 734 1
87 734 1
88 734 1
51 734 1
89 734 1
57 734 1
1 734 1
2 734 1
60 734 1
90 734 1
91 734 1
92 734 1
93 734 1
79 734 1
94 734 1
95 734 1
29 735 1
96 735 1
97 735 1
98 735 1
19 735 1
22 735 1
51 735 1
57 735 1
60 735 1
66 735 1
10 735 1
75 735 1
99 735 1
100 735 1
101 735 1
102 735 1
103 735 1
18 735 1
104 735 1
105 735 1
106 736 1
28 736 1
32 736 1
107 736 1
37 736 1
108 736 1
109 736 1
110 736 1
89 736 1
111 736 1
55 736 1
56 736 1
1 736 1
112 736 1
62 736 1
113 736 1
114 736 1
115 736 1
116 736 1
117 736 1
118 736 1
119 736 1
120 736 1
85 736 1
121 736 1
122 736 1
22 736 1
123 736 1
124 736 1
125 736 1
5 736 1
126 736 1
74 736 1
75 736 1
18 736 1
127 736 1
128 736 1
129 737 1
130 737 1
131 737 1
132 737 1
133 737 1
32 737 1
134 737 1
39 737 1
9 737 1
13 737 1
17 737 1
111 737 1
6 737 1
12 737 1
79 737 1
95 737 1
135 737 1
136 737 1
29 737 1
137 737 1
138 737 1
139 737 1
140 737 1
126 737 1
141 737 1
20 737 1
128 737 1
26 738 1
142 738 1
28 738 1
32 738 1
107 738 1
37 738 1
46 738 1
110 738 1
49 738 1
89 738 1
111 738 1
55 738 1
57 738 1
62 738 1
70 738 1
72 738 1
143 738 1
137 738 1
36 738 1
144 738 1
120 738 1
41 738 1
85 738 1
43 738 1
145 738 1
22 738 1
51 738 1
71 738 1
75 738 1
106 739 1
28 739 1
146 739 1
147 739 1
44 739 1
45 739 1
46 739 1
17 739 1
89 739 1
111 739 1
56 739 1
148 739 1
62 739 1
149 739 1
150 739 1
67 739 1
151 739 1
79 739 1
152 739 1
153 739 1
143 739 1
29 739 1
36 739 1
41 739 1
42 739 1
85 739 1
43 739 1
154 739 1
22 739 1
155 739 1
51 739 1
156 739 1
53 739 1
157 739 1
125 739 1
71 739 1
75 739 1
18 739 1
158 739 1
142 740 1
131 740 1
107 740 1
44 740 1
17 740 1
111 740 1
58 740 1
1 740 1
112 740 1
62 740 1
72 740 1
159 740 1
11 740 1
160 740 1
161 740 1
29 740 1
162 740 1
145 740 1
22 740 1
24 740 1
51 740 1
163 740 1
164 740 1
71 740 1
18 740 1
26 741 1
27 741 1
165 741 1
166 741 1
83 741 1
167 741 1
168 741 1
169 741 1
13 741 1
170 741 1
46 741 1
47 741 1
17 741 1
171 741 1
172 741 1
173 741 1
50 741 1
174 741 1
