6619 265367
0 605 1
1 605 1
2 605 1
3 605 1
4 605 1
5 606 1
6 606 1
7 606 1
8 606 1
9 606 1
10 606 1
11 606 1
12 606 1
13 606 1
14 606 1
15 606 1
16 606 1
17 606 1
18 606 1
19 606 1
20 606 1
21 606 1
22 606 1
23 606 1
24 606 1
25 606 1
26 606 1
27 606 1
28 606 1
4 606 1
29 606 1
30 606 1
31 606 1
32 606 1
33 606 1
34 606 1
35 606 1
36 606 1
37 606 1
38 606 1
39 606 1
40 606 1
41 606 1
42 606 1
43 606 1
44 606 1
45 606 1
46 606 1
47 606 1
48 606 1
49 606 1
50 606 1
51 606 1
52 606 1
53 606 1
54 606 1
55 606 1
56 606 1
57 606 1
58 606 1
59 606 1
6 607 1
60 607 1
9 607 1
61 607 1
62 607 1
63 607 1
64 607 1
65 607 1
3 607 1
66 607 1
67 607 1
68 607 1
31 607 1
69 607 1
37 607 1
0 607 1
40 607 1
70 607 1
71 607 1
72 607 1
73 607 1
59 607 1
74 607 1
9 608 1
75 608 1
76 608 1
77 608 1
3 608 1
4 608 1
31 608 1
37 608 1
40 608 1
46 608 1
55 608 1
78 608 1
79 608 1
80 608 1
81 608 1
82 608 1
2 608 1
83 608 1
84 608 1
85 609 1
8 609 1
12 609 1
86 609 1
17 609 1
87 609 1
88 609 1
89 609 1
90 609 1
91 609 1
69 609 1
92 609 1
35 609 1
36 609 1
93 609 1
42 609 1
94 609 1
95 609 1
96 609 1
97 609 1
98 609 1
99 609 1
100 609 1
101 609 1
102 609 1
103 609 1
65 609 1
104 609 1
4 609 1
105 609 1
106 609 1
107 609 1
108 609 1
54 609 1
55 609 1
2 609 1
109 609 1
110 610 1
111 610 1
112 610 1
12 610 1
19 610 1
92 610 1
59 610 1
113 610 1
9 610 1
114 610 1
107 610 1
6 611 1
115 611 1
8 611 1
12 611 1
86 611 1
17 611 1
26 611 1
89 611 1
29 611 1
69 611 1
92 611 1
35 611 1
37 611 1
42 611 1
50 611 1
52 611 1
116 611 1
114 611 1
16 611 1
117 611 1
103 611 1
21 611 1
65 611 1
23 611 1
118 611 1
4 611 1
31 611 1
51 611 1
55 611 1
85 612 1
8 612 1
119 612 1
24 612 1
25 612 1
26 612 1
69 612 1
92 612 1
36 612 1
42 612 1
120 612 1
121 612 1
47 612 1
122 612 1
59 612 1
123 612 1
124 612 1
116 612 1
9 612 1
16 612 1
21 612 1
22 612 1
65 612 1
23 612 1
125 612 1
4 612 1
126 612 1
31 612 1
127 612 1
33 612 1
128 612 1
106 612 1
51 612 1
55 612 1
2 612 1
129 612 1
115 613 1
112 613 1
86 613 1
24 613 1
92 613 1
38 613 1
93 613 1
42 613 1
94 613 1
52 613 1
130 613 1
131 613 1
9 613 1
132 613 1
118 613 1
4 613 1
31 613 1
133 613 1
134 613 1
51 613 1
2 613 1
135 613 1
6 614 1
7 614 1
136 614 1
63 614 1
137 614 1
138 614 1
139 614 1
26 614 1
27 614 1
140 614 1
30 614 1
37 614 1
0 614 1
40 614 1
141 614 1
142 614 1
42 614 1
143 614 1
144 614 1
131 614 1
1 614 1
145 614 1
146 614 1
62 614 1
147 614 1
3 614 1
148 614 1
34 614 1
149 614 1
150 614 1
151 614 1
152 614 1
153 614 1
46 614 1
78 614 1
57 614 1
154 614 1
80 614 1
155 614 1
156 614 1
157 614 1
158 614 1
159 614 1
111 614 1
18 614 1
19 614 1
20 614 1
160 614 1
161 614 1
95 614 1
162 614 1
163 614 1
164 614 1
165 614 1
58 614 1
82 614 1
59 614 1
166 614 1
167 614 1
168 614 1
116 614 1
9 614 1
76 614 1
169 614 1
23 614 1
65 614 1
170 614 1
171 614 1
172 614 1
173 614 1
118 614 1
31 614 1
174 614 1
175 614 1
176 614 1
72 614 1
134 614 1
73 614 1
177 614 1
178 614 1
179 614 1
74 614 1
84 614 1
0 615 1
40 615 1
120 615 1
180 615 1
16 615 1
116 615 1
132 615 1
181 615 1
23 615 1
31 615 1
55 615 1
40 616 1
156 616 1
118 616 1
128 616 1
134 616 1
182 616 1
6 617 1
7 617 1
26 617 1
27 617 1
140 617 1
37 617 1
0 617 1
39 617 1
40 617 1
141 617 1
142 617 1
183 617 1
42 617 1
49 617 1
144 617 1
100 617 1
131 617 1
1 617 1
146 617 1
62 617 1
147 617 1
184 617 1
3 617 1
32 617 1
34 617 1
149 617 1
150 617 1
151 617 1
152 617 1
48 617 1
51 617 1
54 617 1
57 617 1
8 617 1
14 617 1
17 617 1
185 617 1
19 617 1
20 617 1
186 617 1
66 617 1
187 617 1
95 617 1
162 617 1
50 617 1
52 617 1
53 617 1
58 617 1
59 617 1
188 617 1
9 617 1
103 617 1
21 617 1
189 617 1
65 617 1
23 617 1
190 617 1
4 617 1
68 617 1
31 617 1
176 617 1
134 617 1
