6833 319144
0 809 1
1 809 1
2 809 1
3 809 1
4 809 1
5 810 1
6 810 1
7 810 1
8 810 1
9 810 1
10 810 1
11 810 1
12 810 1
13 810 1
14 810 1
15 810 1
16 810 1
17 810 1
18 810 1
19 810 1
20 810 1
21 810 1
22 810 1
23 810 1
24 810 1
25 810 1
26 810 1
27 810 1
28 810 1
4 810 1
29 810 1
30 810 1
31 810 1
32 810 1
33 810 1
34 810 1
35 810 1
36 810 1
37 810 1
38 810 1
39 810 1
40 810 1
41 810 1
42 810 1
43 810 1
44 810 1
45 810 1
46 810 1
47 810 1
48 810 1
49 810 1
50 810 1
51 810 1
52 810 1
53 810 1
54 810 1
55 810 1
56 810 1
57 810 1
58 810 1
59 810 1
60 810 1
6 811 1
61 811 1
9 811 1
62 811 1
63 811 1
64 811 1
65 811 1
66 811 1
3 811 1
67 811 1
68 811 1
69 811 1
31 811 1
70 811 1
37 811 1
0 811 1
40 811 1
71 811 1
72 811 1
73 811 1
74 811 1
60 811 1
75 811 1
9 812 1
76 812 1
77 812 1
78 812 1
3 812 1
4 812 1
31 812 1
37 812 1
40 812 1
47 812 1
56 812 1
79 812 1
80 812 1
81 812 1
82 812 1
83 812 1
2 812 1
84 812 1
85 812 1
86 813 1
8 813 1
12 813 1
87 813 1
17 813 1
88 813 1
89 813 1
90 813 1
70 813 1
91 813 1
92 813 1
35 813 1
36 813 1
93 813 1
94 813 1
95 813 1
42 813 1
43 813 1
96 813 1
97 813 1
98 813 1
99 813 1
100 813 1
101 813 1
102 813 1
103 813 1
104 813 1
105 813 1
106 813 1
66 813 1
107 813 1
108 813 1
4 813 1
109 813 1
110 813 1
111 813 1
55 813 1
56 813 1
2 813 1
112 813 1
113 813 1
114 814 1
115 814 1
116 814 1
12 814 1
19 814 1
92 814 1
60 814 1
117 814 1
9 814 1
118 814 1
111 814 1
6 815 1
119 815 1
8 815 1
12 815 1
87 815 1
17 815 1
26 815 1
90 815 1
29 815 1
70 815 1
92 815 1
35 815 1
37 815 1
43 815 1
51 815 1
120 815 1
53 815 1
121 815 1
118 815 1
16 815 1
122 815 1
106 815 1
21 815 1
66 815 1
23 815 1
123 815 1
4 815 1
31 815 1
52 815 1
56 815 1
86 816 1
8 816 1
124 816 1
24 816 1
25 816 1
26 816 1
70 816 1
92 816 1
36 816 1
43 816 1
125 816 1
126 816 1
48 816 1
127 816 1
60 816 1
128 816 1
129 816 1
121 816 1
9 816 1
130 816 1
16 816 1
21 816 1
22 816 1
66 816 1
23 816 1
131 816 1
4 816 1
132 816 1
31 816 1
133 816 1
33 816 1
134 816 1
110 816 1
52 816 1
56 816 1
2 816 1
135 816 1
119 817 1
116 817 1
87 817 1
24 817 1
92 817 1
38 817 1
94 817 1
43 817 1
53 817 1
136 817 1
137 817 1
9 817 1
138 817 1
139 817 1
123 817 1
