6634 297061
0 605 1
1 605 1
2 605 1
3 605 1
4 605 1
5 605 1
6 605 1
7 605 1
8 605 1
9 605 1
10 605 1
11 605 1
12 605 1
13 605 1
14 605 1
15 605 1
16 605 1
17 605 1
18 605 1
19 606 1
20 606 1
21 606 1
22 606 1
23 606 1
24 606 1
25 606 1
26 606 1
27 606 1
28 606 1
29 606 1
30 606 1
31 606 1
32 606 1
33 606 1
34 606 1
35 606 1
36 606 1
37 606 1
38 606 1
39 606 1
40 606 1
41 606 1
42 606 1
18 606 1
43 606 1
44 606 1
45 606 1
46 606 1
47 606 1
48 606 1
49 606 1
50 606 1
51 606 1
52 606 1
53 606 1
54 606 1
55 606 1
56 606 1
57 606 1
58 606 1
59 606 1
60 606 1
61 606 1
62 606 1
63 606 1
64 606 1
65 606 1
66 606 1
67 606 1
68 606 1
69 606 1
70 606 1
71 606 1
72 606 1
73 606 1
20 607 1
74 607 1
23 607 1
75 607 1
76 607 1
77 607 1
78 607 1
79 607 1
15 607 1
80 607 1
81 607 1
82 607 1
45 607 1
83 607 1
51 607 1
2 607 1
54 607 1
84 607 1
85 607 1
86 607 1
87 607 1
73 607 1
88 607 1
89 607 1
23 608 1
90 608 1
91 608 1
92 608 1
15 608 1
18 608 1
45 608 1
51 608 1
54 608 1
60 608 1
69 608 1
93 608 1
94 608 1
95 608 1
96 608 1
97 608 1
14 608 1
98 608 1
99 608 1
100 609 1
22 609 1
26 609 1
101 609 1
31 609 1
102 609 1
103 609 1
83 609 1
104 609 1
49 609 1
50 609 1
105 609 1
56 609 1
106 609 1
107 609 1
108 609 1
109 609 1
110 609 1
111 609 1
112 609 1
113 609 1
79 609 1
114 609 1
18 609 1
115 609 1
116 609 1
117 609 1
5 609 1
118 609 1
119 609 1
68 609 1
69 609 1
14 609 1
120 609 1
121 610 1
122 610 1
123 610 1
124 610 1
125 610 1
8 610 1
26 610 1
126 610 1
33 610 1
9 610 1
11 610 1
104 610 1
6 610 1
10 610 1
73 610 1
89 610 1
127 610 1
128 610 1
129 610 1
23 610 1
130 610 1
131 610 1
132 610 1
133 610 1
134 610 1
135 610 1
1 610 1
118 610 1
136 610 1
16 610 1
20 611 1
137 611 1
22 611 1
26 611 1
101 611 1
31 611 1
40 611 1
103 611 1
43 611 1
83 611 1
104 611 1
49 611 1
51 611 1
56 611 1
64 611 1
66 611 1
138 611 1
130 611 1
30 611 1
139 611 1
113 611 1
35 611 1
79 611 1
37 611 1
140 611 1
18 611 1
45 611 1
65 611 1
69 611 1
100 612 1
22 612 1
141 612 1
38 612 1
39 612 1
40 612 1
83 612 1
104 612 1
50 612 1
56 612 1
142 612 1
143 612 1
61 612 1
144 612 1
73 612 1
145 612 1
146 612 1
147 612 1
138 612 1
23 612 1
30 612 1
35 612 1
36 612 1
79 612 1
37 612 1
148 612 1
18 612 1
149 612 1
45 612 1
150 612 1
47 612 1
151 612 1
117 612 1
65 612 1
69 612 1
14 612 1
152 612 1
137 613 1
123 613 1
101 613 1
38 613 1
104 613 1
52 613 1
105 613 1
56 613 1
66 613 1
153 613 1
154 613 1
23 613 1
155 613 1
140 613 1
18 613 1
45 613 1
156 613 1
157 613 1
65 613 1
14 613 1
20 614 1
21 614 1
158 614 1
77 614 1
159 614 1
160 614 1
11 614 1
161 614 1
40 614 1
41 614 1
162 614 1
163 614 1
44 614 1
51 614 1
2 614 1
54 614 1
164 614 1
165 614 1
4 614 1
6 614 1
56 614 1
166 614 1
167 614 1
168 614 1
169 614 1
170 614 1
89 614 1
171 614 1
154 614 1
172 614 1
3 614 1
173 614 1
174 614 1
175 614 1
76 614 1
176 614 1
177 614 1
178 614 1
133 614 1
15 614 1
179 614 1
48 614 1
180 614 1
1 614 1
181 614 1
182 614 1
183 614 1
184 614 1
5 614 1
185 614 1
60 614 1
136 614 1
93 614 1
71 614 1
186 614 1
95 614 1
187 614 1
188 614 1
13 614 1
16 614 1
189 614 1
190 614 1
7 614 1
122 614 1
124 614 1
191 614 1
192 614 1
8 614 1
126 614 1
32 614 1
33 614 1
9 614 1
34 614 1
193 614 1
194 614 1
195 614 1
106 614 1
196 614 1
10 614 1
197 614 1
198 614 1
199 614 1
200 614 1
72 614 1
97 614 1
73 614 1
201 614 1
202 614 1
203 614 1
204 614 1
205 614 1
206 614 1
138 614 1
23 614 1
91 614 1
207 614 1
37 614 1
79 614 1
208 614 1
209 614 1
210 614 1
140 614 1
115 614 1
45 614 1
134 614 1
211 614 1
212 614 1
213 614 1
86 614 1
157 614 1
87 614 1
214 614 1
215 614 1
216 614 1
88 614 1
99 614 1
217 614 1
2 615 1
54 615 1
142 615 1
218 615 1
30 615 1
178 615 1
138 615 1
155 615 1
37 615 1
115 615 1
45 615 1
69 615 1
54 616 1
5 616 1
188 616 1
