6616 291937
0 587 1
1 587 1
2 587 1
3 587 1
4 587 1
5 588 1
6 588 1
7 588 1
8 588 1
9 588 1
10 588 1
11 588 1
12 588 1
13 588 1
14 588 1
15 588 1
16 588 1
17 588 1
18 588 1
19 588 1
20 588 1
21 588 1
22 588 1
23 588 1
24 588 1
25 588 1
26 588 1
27 588 1
28 588 1
4 588 1
29 588 1
30 588 1
31 588 1
32 588 1
33 588 1
34 588 1
35 588 1
36 588 1
37 588 1
38 588 1
39 588 1
40 588 1
41 588 1
42 588 1
43 588 1
44 588 1
45 588 1
46 588 1
47 588 1
48 588 1
49 588 1
50 588 1
51 588 1
52 588 1
53 588 1
54 588 1
55 588 1
56 588 1
57 588 1
58 588 1
59 588 1
6 589 1
60 589 1
9 589 1
61 589 1
62 589 1
63 589 1
64 589 1
65 589 1
3 589 1
66 589 1
67 589 1
68 589 1
31 589 1
69 589 1
37 589 1
0 589 1
40 589 1
70 589 1
71 589 1
72 589 1
73 589 1
59 589 1
74 589 1
9 590 1
75 590 1
76 590 1
77 590 1
3 590 1
4 590 1
31 590 1
37 590 1
40 590 1
46 590 1
55 590 1
78 590 1
79 590 1
80 590 1
81 590 1
82 590 1
2 590 1
83 590 1
84 590 1
85 591 1
8 591 1
12 591 1
86 591 1
17 591 1
87 591 1
88 591 1
89 591 1
90 591 1
91 591 1
69 591 1
92 591 1
35 591 1
36 591 1
93 591 1
42 591 1
94 591 1
95 591 1
96 591 1
97 591 1
98 591 1
99 591 1
100 591 1
101 591 1
102 591 1
103 591 1
65 591 1
104 591 1
105 591 1
4 591 1
106 591 1
107 591 1
108 591 1
109 591 1
110 591 1
54 591 1
55 591 1
2 591 1
111 591 1
112 592 1
113 592 1
114 592 1
12 592 1
19 592 1
92 592 1
59 592 1
115 592 1
9 592 1
116 592 1
110 592 1
6 593 1
117 593 1
8 593 1
12 593 1
86 593 1
17 593 1
26 593 1
90 593 1
29 593 1
69 593 1
92 593 1
35 593 1
37 593 1
42 593 1
50 593 1
52 593 1
118 593 1
116 593 1
16 593 1
119 593 1
103 593 1
21 593 1
65 593 1
23 593 1
120 593 1
4 593 1
31 593 1
51 593 1
55 593 1
85 594 1
8 594 1
121 594 1
24 594 1
25 594 1
26 594 1
69 594 1
92 594 1
36 594 1
42 594 1
122 594 1
123 594 1
47 594 1
124 594 1
96 594 1
59 594 1
125 594 1
126 594 1
127 594 1
118 594 1
9 594 1
16 594 1
21 594 1
22 594 1
65 594 1
23 594 1
128 594 1
129 594 1
4 594 1
130 594 1
31 594 1
131 594 1
33 594 1
132 594 1
109 594 1
133 594 1
51 594 1
55 594 1
2 594 1
134 594 1
117 595 1
114 595 1
86 595 1
88 595 1
24 595 1
92 595 1
38 595 1
93 595 1
42 595 1
52 595 1
135 595 1
136 595 1
9 595 1
137 595 1
120 595 1
4 595 1
31 595 1
138 595 1
139 595 1
51 595 1
2 595 1
6 596 1
7 596 1
140 596 1
141 596 1
63 596 1
142 596 1
143 596 1
144 596 1
26 596 1
27 596 1
145 596 1
30 596 1
146 596 1
37 596 1
0 596 1
40 596 1
147 596 1
148 596 1
42 596 1
149 596 1
96 596 1
150 596 1
136 596 1
1 596 1
151 596 1
152 596 1
62 596 1
153 596 1
154 596 1
3 596 1
155 596 1
34 596 1
106 596 1
156 596 1
157 596 1
158 596 1
159 596 1
160 596 1
46 596 1
161 596 1
78 596 1
57 596 1
162 596 1
80 596 1
163 596 1
164 596 1
165 596 1
166 596 1
113 596 1
18 596 1
19 596 1
20 596 1
88 596 1
167 596 1
168 596 1
94 596 1
169 596 1
170 596 1
171 596 1
172 596 1
58 596 1
82 596 1
59 596 1
173 596 1
174 596 1
175 596 1
118 596 1
9 596 1
76 596 1
176 596 1
23 596 1
65 596 1
177 596 1
178 596 1
179 596 1
120 596 1
31 596 1
180 596 1
181 596 1
182 596 1
72 596 1
139 596 1
73 596 1
183 596 1
184 596 1
185 596 1
74 596 1
84 596 1
0 597 1
40 597 1
122 597 1
186 597 1
16 597 1
101 597 1
118 597 1
137 597 1
23 597 1
31 597 1
107 597 1
55 597 1
141 598 1
40 598 1
164 598 1
120 598 1
132 598 1
139 598 1
187 598 1
6 599 1
7 599 1
26 599 1
27 599 1
145 599 1
