6954 377525
0 919 1
1 919 1
2 919 1
3 919 1
4 919 1
5 919 1
6 919 1
7 919 1
8 919 1
9 920 1
10 920 1
11 920 1
12 920 1
13 920 1
14 920 1
15 920 1
16 920 1
17 920 1
18 920 1
19 920 1
20 920 1
21 920 1
22 920 1
23 920 1
24 920 1
25 920 1
26 920 1
27 920 1
28 920 1
29 920 1
30 920 1
31 920 1
32 920 1
33 920 1
34 920 1
35 920 1
36 920 1
8 920 1
37 920 1
38 920 1
39 920 1
40 920 1
41 920 1
42 920 1
43 920 1
44 920 1
45 920 1
46 920 1
47 920 1
48 920 1
49 920 1
50 920 1
51 920 1
52 920 1
53 920 1
54 920 1
55 920 1
56 920 1
57 920 1
58 920 1
59 920 1
60 920 1
61 920 1
62 920 1
63 920 1
64 920 1
65 920 1
66 920 1
67 920 1
68 920 1
69 920 1
70 920 1
71 920 1
72 920 1
73 920 1
74 920 1
75 920 1
76 920 1
77 920 1
78 920 1
11 921 1
79 921 1
14 921 1
80 921 1
81 921 1
82 921 1
83 921 1
84 921 1
7 921 1
85 921 1
86 921 1
87 921 1
41 921 1
43 921 1
88 921 1
49 921 1
1 921 1
52 921 1
89 921 1
90 921 1
91 921 1
92 921 1
75 921 1
93 921 1
94 921 1
14 922 1
95 922 1
96 922 1
97 922 1
7 922 1
8 922 1
41 922 1
49 922 1
52 922 1
59 922 1
69 922 1
98 922 1
99 922 1
100 922 1
101 922 1
102 922 1
6 922 1
103 922 1
104 922 1
105 923 1
106 923 1
107 923 1
108 923 1
109 923 1
110 923 1
13 923 1
111 923 1
17 923 1
112 923 1
113 923 1
23 923 1
114 923 1
115 923 1
116 923 1
117 923 1
88 923 1
118 923 1
119 923 1
47 923 1
48 923 1
120 923 1
121 923 1
54 923 1
122 923 1
123 923 1
124 923 1
125 923 1
126 923 1
127 923 1
128 923 1
129 923 1
130 923 1
131 923 1
132 923 1
5 923 1
133 923 1
84 923 1
134 923 1
8 923 1
38 923 1
135 923 1
136 923 1
137 923 1
138 923 1
139 923 1
140 923 1
68 923 1
69 923 1
141 923 1
142 923 1
6 923 1
143 923 1
144 923 1
77 923 1
145 923 1
146 924 1
147 924 1
148 924 1
17 924 1
149 924 1
26 924 1
4 924 1
28 924 1
150 924 1
119 924 1
151 924 1
152 924 1
153 924 1
154 924 1
75 924 1
94 924 1
155 924 1
156 924 1
14 924 1
157 924 1
158 924 1
159 924 1
160 924 1
161 924 1
162 924 1
163 924 1
40 924 1
164 924 1
165 924 1
166 924 1
0 924 1
140 924 1
167 924 1
56 924 1
168 924 1
169 924 1
170 924 1
66 924 1
171 924 1
11 925 1
172 925 1
13 925 1
17 925 1
112 925 1
23 925 1
34 925 1
116 925 1
37 925 1
88 925 1
119 925 1
47 925 1
49 925 1
54 925 1
63 925 1
65 925 1
173 925 1
157 925 1
21 925 1
174 925 1
133 925 1
29 925 1
84 925 1
31 925 1
175 925 1
8 925 1
41 925 1
64 925 1
69 925 1
105 926 1
106 926 1
176 926 1
13 926 1
177 926 1
32 926 1
33 926 1
34 926 1
178 926 1
43 926 1
88 926 1
119 926 1
179 926 1
48 926 1
180 926 1
54 926 1
181 926 1
182 926 1
60 926 1
183 926 1
184 926 1
123 926 1
185 926 1
186 926 1
187 926 1
75 926 1
188 926 1
189 926 1
9 926 1
173 926 1
190 926 1
14 926 1
21 926 1
5 926 1
29 926 1
30 926 1
84 926 1
31 926 1
191 926 1
192 926 1
8 926 1
38 926 1
162 926 1
163 926 1
193 926 1
41 926 1
194 926 1
45 926 1
195 926 1
196 926 1
139 926 1
56 926 1
197 926 1
64 926 1
69 926 1
6 926 1
198 926 1
176 927 1
172 927 1
148 927 1
112 927 1
32 927 1
43 927 1
119 927 1
50 927 1
121 927 1
54 927 1
151 927 1
199 927 1
65 927 1
200 927 1
185 927 1
201 927 1
14 927 1
202 927 1
203 927 1
5 927 1
160 927 1
175 927 1
8 927 1
41 927 1
166 927 1
204 927 1
205 927 1
206 927 1
207 927 1
197 927 1
64 927 1
66 927 1
6 927 1
11 928 1
12 928 1
208 928 1
209 928 1
210 928 1
149 928 1
82 928 1
211 928 1
212 928 1
213 928 1
214 928 1
34 928 1
35 928 1
215 928 1
216 928 1
217 928 1
218 928 1
39 928 1
219 928 1
220 928 1
42 928 1
43 928 1
221 928 1
49 928 1
1 928 1
52 928 1
222 928 1
223 928 1
54 928 1
151 928 1
224 928 1
225 928 1
226 928 1
94 928 1
201 928 1
9 928 1
227 928 1
2 928 1
228 928 1
229 928 1
22 928 1
25 928 1
81 928 1
230 928 1
161 928 1
7 928 1
231 928 1
232 928 1
164 928 1
233 928 1
46 928 1
166 928 1
234 928 1
0 928 1
235 928 1
236 928 1
237 928 1
238 928 1
239 928 1
240 928 1
59 928 1
169 928 1
170 928 1
66 928 1
98 928 1
71 928 1
241 928 1
100 928 1
242 928 1
243 928 1
244 928 1
77 928 1
145 928 1
245 928 1
246 928 1
247 928 1
147 928 1
24 928 1
26 928 1
4 928 1
27 928 1
248 928 1
249 928 1
250 928 1
179 928 1
251 928 1
252 928 1
122 928 1
253 928 1
183 928 1
123 928 1
254 928 1
185 928 1
255 928 1
256 928 1
257 928 1
258 928 1
73 928 1
102 928 1
75 928 1
259 928 1
260 928 1
261 928 1
262 928 1
263 928 1
264 928 1
173 928 1
14 928 1
96 928 1
265 928 1
266 928 1
5 928 1
31 928 1
84 928 1
267 928 1
191 928 1
268 928 1
269 928 1
175 928 1
40 928 1
41 928 1
165 928 1
270 928 1
271 928 1
56 928 1
168 928 1
272 928 1
273 928 1
91 928 1
206 928 1
274 928 1
207 928 1
92 928 1
275 928 1
276 928 1
277 928 1
93 928 1
104 928 1
278 928 1
78 928 1
28 929 1
212 929 1
43 929 1
1 929 1
52 929 1
181 929 1
151 929 1
199 929 1
279 929 1
21 929 1
280 929 1
164 929 1
281 929 1
282 929 1
77 929 1
145 929 1
283 929 1
183 929 1
284 929 1
173 929 1
202 929 1
266 929 1
285 929 1
31 929 1
41 929 1
56 929 1
207 929 1
286 929 1
69 929 1
76 929 1
52 930 1
243 930 1
175 930 1
195 930 1
206 930 1
287 930 1
78 930 1
11 931 1
12 931 1
34 931 1
35 931 1
217 931 1
49 931 1
1 931 1
51 931 1
52 931 1
222 931 1
223 931 1
288 931 1
54 931 1
62 931 1
225 931 1
130 931 1
201 931 1
2 931 1
229 931 1
81 931 1
230 931 1
289 931 1
290 931 1
7 931 1
44 931 1
46 931 1
234 931 1
235 931 1
237 931 1
238 931 1
291 931 1
61 931 1
64 931 1
68 931 1
71 931 1
176 931 1
13 931 1
19 931 1
23 931 1
292 931 1
26 931 1
27 931 1
293 931 1
85 931 1
294 931 1
122 931 1
253 931 1
63 931 1
65 931 1
67 931 1
73 931 1
75 931 1
295 931 1
14 931 1
296 931 1
133 931 1
29 931 1
297 931 1
84 931 1
31 931 1
298 931 1
8 931 1
40 931 1
87 931 1
41 931 1
299 931 1
273 931 1
206 931 1
69 931 1
287 931 1
92 931 1
93 931 1
300 932 1
301 932 1
204 932 1
240 932 1
6 932 1
17 932 1
302 932 1
118 932 1
56 932 1
11 933 1
303 933 1
20 933 1
114 933 1
82 933 1
212 933 1
33 933 1
215 933 1
304 933 1
116 933 1
43 933 1
88 933 1
49 933 1
52 933 1
222 933 1
54 933 1
305 933 1
199 933 1
306 933 1
307 933 1
308 933 1
22 933 1
81 933 1
7 933 1
134 933 1
162 933 1
44 933 1
204 933 1
140 933 1
240 933 1
68 933 1
71 933 1
309 933 1
282 933 1
77 933 1
145 933 1
310 933 1
148 933 1
13 933 1
17 933 1
19 933 1
23 933 1
26 933 1
311 933 1
32 933 1
37 933 1
294 933 1
250 933 1
118 933 1
179 933 1
48 933 1
63 933 1
65 933 1
152 933 1
185 933 1
256 933 1
257 933 1
73 933 1
75 933 1
312 933 1
264 933 1
14 933 1
157 933 1
202 933 1
18 933 1
29 933 1
84 933 1
31 933 1
268 933 1
8 933 1
41 933 1
313 933 1
56 933 1
58 933 1
69 933 1
92 933 1
93 933 1
314 934 1
303 934 1
315 934 1
316 934 1
304 934 1
317 934 1
318 934 1
300 934 1
319 934 1
320 934 1
125 934 1
307 934 1
308 934 1
321 934 1
162 934 1
198 934 1
322 934 1
323 934 1
112 935 1
114 935 1
34 935 1
39 935 1
324 935 1
43 935 1
49 935 1
222 935 1
54 935 1
60 935 1
101 935 1
225 935 1
325 935 1
201 935 1
228 935 1
229 935 1
22 935 1
7 935 1
44 935 1
326 935 1
234 935 1
237 935 1
140 935 1
68 935 1
98 935 1
71 935 1
241 935 1
242 935 1
327 935 1
77 935 1
328 935 1
109 935 1
148 935 1
13 935 1
329 935 1
17 935 1
23 935 1
330 935 1
331 935 1
332 935 1
122 935 1
253 935 1
333 935 1
65 935 1
258 935 1
126 935 1
173 935 1
14 935 1
334 935 1
202 935 1
96 935 1
265 935 1
335 935 1
29 935 1
336 935 1
297 935 1
84 935 1
31 935 1
267 935 1
8 935 1
40 935 1
193 935 1
41 935 1
337 935 1
139 935 1
299 935 1
56 935 1
273 935 1
338 935 1
69 935 1
339 935 1
340 935 1
104 935 1
341 935 1
342 936 1
11 936 1
12 936 1
108 936 1
112 936 1
343 936 1
82 936 1
315 936 1
213 936 1
214 936 1
34 936 1
35 936 1
344 936 1
217 936 1
39 936 1
345 936 1
49 936 1
346 936 1
1 936 1
51 936 1
52 936 1
347 936 1
223 936 1
224 936 1
348 936 1
60 936 1
349 936 1
350 936 1
351 936 1
352 936 1
353 936 1
125 936 1
101 936 1
279 936 1
354 936 1
226 936 1
94 936 1
9 936 1
355 936 1
79 936 1
356 936 1
22 936 1
25 936 1
81 936 1
83 936 1
160 936 1
357 936 1
289 936 1
358 936 1
290 936 1
359 936 1
7 936 1
162 936 1
163 936 1
360 936 1
238 936 1
89 936 1
90 936 1
204 936 1
240 936 1
59 936 1
361 936 1
362 936 1
66 936 1
68 936 1
71 936 1
241 936 1
100 936 1
242 936 1
363 936 1
364 936 1
365 936 1
309 936 1
366 936 1
143 936 1
367 936 1
368 936 1
369 936 1
106 936 1
246 936 1
370 936 1
10 936 1
13 936 1
97 936 1
17 936 1
19 936 1
24 936 1
371 936 1
292 936 1
26 936 1
4 936 1
27 936 1
372 936 1
32 936 1
85 936 1
373 936 1
374 936 1
119 936 1
50 936 1
252 936 1
63 936 1
123 936 1
375 936 1
185 936 1
256 936 1
257 936 1
73 936 1
258 936 1
376 936 1
102 936 1
75 936 1
259 936 1
260 936 1
103 936 1
263 936 1
377 936 1
295 936 1
131 936 1
378 936 1
14 936 1
157 936 1
95 936 1
265 936 1
379 936 1
380 936 1
5 936 1
30 936 1
84 936 1
31 936 1
298 936 1
381 936 1
382 936 1
8 936 1
383 936 1
384 936 1
87 936 1
194 936 1
45 936 1
385 936 1
53 936 1
386 936 1
299 936 1
387 936 1
168 936 1
273 936 1
388 936 1
389 936 1
69 936 1
287 936 1
92 936 1
275 936 1
276 936 1
93 936 1
104 936 1
390 936 1
342 937 1
11 937 1
12 937 1
391 937 1
112 937 1
392 937 1
343 937 1
28 937 1
393 937 1
33 937 1
34 937 1
316 937 1
86 937 1
43 937 1
221 937 1
88 937 1
49 937 1
1 937 1
52 937 1
222 937 1
223 937 1
54 937 1
224 937 1
394 937 1
62 937 1
352 937 1
353 937 1
184 937 1
319 937 1
101 937 1
226 937 1
94 937 1
201 937 1
228 937 1
15 937 1
229 937 1
80 937 1
81 937 1
230 937 1
358 937 1
290 937 1
7 937 1
163 937 1
44 937 1
233 937 1
326 937 1
46 937 1
395 937 1
234 937 1
235 937 1
237 937 1
204 937 1
140 937 1
68 937 1
100 937 1
364 937 1
365 937 1
243 937 1
327 937 1
366 937 1
6 937 1
396 937 1
198 937 1
77 937 1
397 937 1
310 937 1
148 937 1
97 937 1
23 937 1
292 937 1
26 937 1
372 937 1
118 937 1
119 937 1
398 937 1
47 937 1
50 937 1
122 937 1
63 937 1
399 937 1
65 937 1
99 937 1
400 937 1
256 937 1
257 937 1
73 937 1
258 937 1
126 937 1
103 937 1
263 937 1
401 937 1
173 937 1
402 937 1
14 937 1
96 937 1
265 937 1
323 937 1
133 937 1
336 937 1
84 937 1
31 937 1
267 937 1
269 937 1
8 937 1
193 937 1
41 937 1
271 937 1
58 937 1
207 937 1
93 937 1
104 937 1
11 938 1
34 938 1
288 938 1
121 938 1
54 938 1
101 938 1
233 938 1
235 938 1
68 938 1
403 938 1
148 938 1
17 938 1
65 938 1
312 938 1
157 938 1
31 938 1
8 938 1
