6695 323461
0 662 1
1 662 1
2 662 1
3 662 1
4 662 1
5 662 1
6 662 1
7 663 1
8 663 1
9 663 1
10 663 1
11 663 1
12 663 1
13 663 1
14 663 1
15 663 1
16 663 1
17 663 1
18 663 1
19 663 1
20 663 1
21 663 1
22 663 1
23 663 1
24 663 1
25 663 1
26 663 1
27 663 1
28 663 1
29 663 1
30 663 1
31 663 1
32 663 1
6 663 1
33 663 1
34 663 1
35 663 1
36 663 1
37 663 1
38 663 1
39 663 1
40 663 1
41 663 1
42 663 1
43 663 1
44 663 1
45 663 1
46 663 1
47 663 1
48 663 1
49 663 1
50 663 1
51 663 1
52 663 1
53 663 1
54 663 1
55 663 1
56 663 1
57 663 1
58 663 1
59 663 1
60 663 1
61 663 1
62 663 1
63 663 1
64 663 1
8 664 1
65 664 1
11 664 1
66 664 1
67 664 1
68 664 1
69 664 1
70 664 1
5 664 1
71 664 1
72 664 1
73 664 1
36 664 1
74 664 1
42 664 1
0 664 1
45 664 1
75 664 1
76 664 1
77 664 1
2 664 1
78 664 1
64 664 1
79 664 1
11 665 1
80 665 1
81 665 1
82 665 1
5 665 1
6 665 1
36 665 1
42 665 1
45 665 1
51 665 1
3 665 1
60 665 1
83 665 1
84 665 1
85 665 1
86 665 1
87 665 1
4 665 1
88 665 1
89 665 1
90 666 1
91 666 1
10 666 1
14 666 1
92 666 1
20 666 1
93 666 1
94 666 1
95 666 1
74 666 1
96 666 1
40 666 1
41 666 1
97 666 1
98 666 1
47 666 1
99 666 1
100 666 1
101 666 1
102 666 1
103 666 1
104 666 1
105 666 1
106 666 1
107 666 1
108 666 1
70 666 1
109 666 1
110 666 1
6 666 1
111 666 1
112 666 1
113 666 1
114 666 1
115 666 1
59 666 1
60 666 1
4 666 1
116 666 1
117 666 1
118 667 1
119 667 1
120 667 1
14 667 1
22 667 1
96 667 1
64 667 1
121 667 1
11 667 1
122 667 1
35 667 1
113 667 1
8 668 1
123 668 1
10 668 1
14 668 1
92 668 1
20 668 1
30 668 1
95 668 1
33 668 1
74 668 1
96 668 1
40 668 1
42 668 1
47 668 1
55 668 1
2 668 1
57 668 1
124 668 1
122 668 1
18 668 1
125 668 1
108 668 1
24 668 1
70 668 1
26 668 1
126 668 1
6 668 1
36 668 1
56 668 1
60 668 1
91 669 1
10 669 1
127 669 1
27 669 1
28 669 1
30 669 1
74 669 1
96 669 1
41 669 1
47 669 1
128 669 1
129 669 1
52 669 1
130 669 1
131 669 1
132 669 1
64 669 1
133 669 1
134 669 1
124 669 1
