6886 363555
0 849 1
1 849 1
2 849 1
3 849 1
4 849 1
5 849 1
6 849 1
7 849 1
8 850 1
9 850 1
10 850 1
11 850 1
12 850 1
13 850 1
14 850 1
15 850 1
16 850 1
17 850 1
18 850 1
19 850 1
20 850 1
21 850 1
22 850 1
23 850 1
24 850 1
25 850 1
26 850 1
27 850 1
28 850 1
29 850 1
30 850 1
31 850 1
32 850 1
33 850 1
6 850 1
34 850 1
35 850 1
36 850 1
37 850 1
38 850 1
39 850 1
40 850 1
41 850 1
42 850 1
43 850 1
44 850 1
45 850 1
46 850 1
47 850 1
48 850 1
49 850 1
50 850 1
51 850 1
52 850 1
53 850 1
54 850 1
55 850 1
56 850 1
57 850 1
58 850 1
59 850 1
60 850 1
61 850 1
62 850 1
63 850 1
64 850 1
65 850 1
66 850 1
67 850 1
9 851 1
68 851 1
12 851 1
69 851 1
70 851 1
71 851 1
72 851 1
73 851 1
74 851 1
5 851 1
75 851 1
76 851 1
77 851 1
36 851 1
78 851 1
43 851 1
0 851 1
46 851 1
79 851 1
47 851 1
80 851 1
81 851 1
82 851 1
66 851 1
83 851 1
84 851 1
12 852 1
85 852 1
86 852 1
87 852 1
5 852 1
6 852 1
36 852 1
43 852 1
46 852 1
53 852 1
62 852 1
88 852 1
89 852 1
90 852 1
91 852 1
92 852 1
4 852 1
93 852 1
94 852 1
95 853 1
96 853 1
97 853 1
11 853 1
15 853 1
98 853 1
20 853 1
99 853 1
100 853 1
101 853 1
102 853 1
103 853 1
104 853 1
105 853 1
106 853 1
78 853 1
107 853 1
40 853 1
42 853 1
108 853 1
109 853 1
47 853 1
49 853 1
110 853 1
111 853 1
112 853 1
113 853 1
114 853 1
115 853 1
7 853 1
116 853 1
117 853 1
118 853 1
119 853 1
120 853 1
121 853 1
122 853 1
123 853 1
124 853 1
74 853 1
125 853 1
126 853 1
127 853 1
6 853 1
128 853 1
129 853 1
130 853 1
131 853 1
132 853 1
133 853 1
134 853 1
61 853 1
62 853 1
3 853 1
4 853 1
135 853 1
136 854 1
137 854 1
138 854 1
15 854 1
22 854 1
107 854 1
66 854 1
139 854 1
12 854 1
140 854 1
134 854 1
141 854 1
9 855 1
142 855 1
11 855 1
15 855 1
98 855 1
20 855 1
31 855 1
105 855 1
34 855 1
78 855 1
107 855 1
40 855 1
43 855 1
49 855 1
57 855 1
59 855 1
143 855 1
140 855 1
19 855 1
144 855 1
123 855 1
25 855 1
74 855 1
27 855 1
145 855 1
6 855 1
36 855 1
58 855 1
62 855 1
95 856 1
11 856 1
146 856 1
23 856 1
28 856 1
29 856 1
31 856 1
78 856 1
107 856 1
42 856 1
49 856 1
147 856 1
148 856 1
149 856 1
150 856 1
54 856 1
151 856 1
152 856 1
153 856 1
66 856 1
7 856 1
154 856 1
155 856 1
143 856 1
12 856 1
19 856 1
25 856 1
124 856 1
26 856 1
125 856 1
74 856 1
27 856 1
156 856 1
157 856 1
6 856 1
128 856 1
158 856 1
36 856 1
159 856 1
38 856 1
160 856 1
133 856 1
161 856 1
162 856 1
58 856 1
62 856 1
4 856 1
163 856 1
142 857 1
138 857 1
98 857 1
100 857 1
23 857 1
101 857 1
28 857 1
106 857 1
164 857 1
107 857 1
44 857 1
108 857 1
109 857 1
47 857 1
49 857 1
165 857 1
59 857 1
2 857 1
166 857 1
112 857 1
7 857 1
167 857 1
168 857 1
12 857 1
169 857 1
170 857 1
125 857 1
145 857 1
6 857 1
128 857 1
36 857 1
129 857 1
171 857 1
172 857 1
173 857 1
58 857 1
3 857 1
4 857 1
9 858 1
10 858 1
174 858 1
175 858 1
72 858 1
176 858 1
177 858 1
178 858 1
179 858 1
31 858 1
32 858 1
180 858 1
35 858 1
181 858 1
43 858 1
0 858 1
46 858 1
182 858 1
183 858 1
49 858 1
184 858 1
2 858 1
112 858 1
185 858 1
167 858 1
1 858 1
186 858 1
187 858 1
71 858 1
188 858 1
189 858 1
5 858 1
190 858 1
39 858 1
191 858 1
192 858 1
193 858 1
194 858 1
195 858 1
53 858 1
196 858 1
88 858 1
64 858 1
197 858 1
90 858 1
198 858 1
199 858 1
3 858 1
200 858 1
201 858 1
137 858 1
21 858 1
22 858 1
24 858 1
101 858 1
202 858 1
203 858 1
110 858 1
204 858 1
205 858 1
206 858 1
207 858 1
65 858 1
92 858 1
66 858 1
208 858 1
209 858 1
210 858 1
211 858 1
143 858 1
12 858 1
86 858 1
212 858 1
213 858 1
27 858 1
74 858 1
