6617 293335
0 590 1
1 590 1
2 590 1
3 590 1
4 590 1
5 590 1
6 591 1
7 591 1
8 591 1
9 591 1
10 591 1
11 591 1
12 591 1
13 591 1
14 591 1
15 591 1
16 591 1
17 591 1
18 591 1
19 591 1
20 591 1
21 591 1
22 591 1
23 591 1
24 591 1
25 591 1
26 591 1
27 591 1
28 591 1
29 591 1
30 591 1
31 591 1
32 591 1
5 591 1
33 591 1
34 591 1
35 591 1
36 591 1
37 591 1
38 591 1
39 591 1
40 591 1
41 591 1
42 591 1
43 591 1
44 591 1
45 591 1
46 591 1
47 591 1
48 591 1
49 591 1
50 591 1
51 591 1
52 591 1
53 591 1
54 591 1
55 591 1
56 591 1
57 591 1
58 591 1
59 591 1
60 591 1
61 591 1
62 591 1
63 591 1
64 591 1
65 591 1
66 591 1
67 591 1
8 592 1
68 592 1
11 592 1
69 592 1
70 592 1
71 592 1
72 592 1
73 592 1
4 592 1
74 592 1
75 592 1
76 592 1
35 592 1
77 592 1
42 592 1
0 592 1
45 592 1
78 592 1
79 592 1
80 592 1
81 592 1
66 592 1
82 592 1
11 593 1
83 593 1
84 593 1
85 593 1
4 593 1
5 593 1
35 593 1
42 593 1
45 593 1
51 593 1
62 593 1
86 593 1
87 593 1
88 593 1
89 593 1
90 593 1
3 593 1
91 593 1
92 593 1
93 594 1
10 594 1
14 594 1
94 594 1
95 594 1
96 594 1
21 594 1
97 594 1
98 594 1
77 594 1
99 594 1
40 594 1
41 594 1
100 594 1
47 594 1
101 594 1
102 594 1
103 594 1
104 594 1
105 594 1
106 594 1
107 594 1
108 594 1
73 594 1
109 594 1
110 594 1
5 594 1
111 594 1
112 594 1
113 594 1
61 594 1
62 594 1
3 594 1
114 594 1
67 594 1
115 595 1
116 595 1
117 595 1
14 595 1
23 595 1
99 595 1
66 595 1
118 595 1
11 595 1
119 595 1
120 595 1
121 595 1
113 595 1
59 595 1
8 596 1
122 596 1
10 596 1
14 596 1
95 596 1
21 596 1
30 596 1
98 596 1
33 596 1
77 596 1
99 596 1
40 596 1
42 596 1
47 596 1
56 596 1
58 596 1
123 596 1
119 596 1
