6426 187808
0 451 1
1 451 1
2 451 1
3 451 1
4 451 1
5 451 1
6 451 1
7 451 1
8 451 1
9 451 1
10 451 1
11 451 1
12 451 1
13 451 1
14 451 1
15 451 1
16 451 1
17 451 1
18 451 1
19 451 1
20 451 1
21 451 1
22 451 1
23 452 1
24 452 1
25 452 1
26 452 1
27 452 1
28 452 1
29 452 1
30 452 1
31 452 1
32 452 1
33 452 1
34 452 1
35 452 1
36 452 1
37 452 1
38 452 1
39 452 1
40 452 1
41 452 1
23 453 1
42 453 1
26 453 1
43 453 1
44 453 1
28 453 1
45 453 1
46 453 1
47 453 1
18 453 1
22 453 1
48 453 1
49 453 1
50 453 1
31 453 1
51 453 1
34 453 1
33 453 1
1 453 1
2 453 1
37 453 1
52 453 1
53 453 1
54 453 1
41 453 1
55 453 1
56 453 1
57 453 1
26 454 1
18 454 1
31 454 1
34 454 1
37 454 1
10 454 1
58 454 1
59 455 1
25 455 1
60 455 1
51 455 1
1 455 1
61 455 1
62 455 1
63 455 1
47 455 1
64 455 1
65 455 1
5 455 1
66 455 1
67 455 1
68 456 1
69 456 1
70 456 1
71 456 1
9 456 1
13 456 1
17 456 1
33 456 1
6 456 1
12 456 1
41 456 1
57 456 1
72 456 1
26 456 1
73 456 1
74 456 1
30 456 1
75 456 1
76 456 1
19 456 1
67 456 1
23 457 1
25 457 1
51 457 1
34 457 1
39 457 1
47 457 1
31 457 1
40 457 1
25 458 1
77 458 1
17 458 1
51 458 1
78 458 1
79 458 1
41 458 1
26 458 1
47 458 1
31 458 1
40 458 1
17 459 1
35 459 1
33 459 1
1 459 1
11 459 1
80 459 1
81 459 1
26 459 1
82 459 1
22 459 1
31 459 1
40 459 1
23 460 1
24 460 1
83 460 1
84 460 1
28 460 1
45 460 1
85 460 1
86 460 1
13 460 1
87 460 1
17 460 1
88 460 1
89 460 1
90 460 1
91 460 1
92 460 1
93 460 1
34 460 1
33 460 1
2 460 1
37 460 1
94 460 1
95 460 1
4 460 1
6 460 1
96 460 1
97 460 1
98 460 1
99 460 1
100 460 1
101 460 1
102 460 1
57 460 1
72 460 1
103 460 1
80 460 1
104 460 1
3 460 1
105 460 1
106 460 1
107 460 1
108 460 1
109 460 1
110 460 1
44 460 1
111 460 1
112 460 1
113 460 1
18 460 1
22 460 1
114 460 1
32 460 1
115 460 1
116 460 1
117 460 1
118 460 1
5 460 1
119 460 1
120 460 1
121 460 1
122 460 1
123 460 1
16 460 1
124 460 1
125 460 1
19 460 1
126 460 1
127 460 1
128 460 1
69 460 1
129 460 1
130 460 1
71 460 1
9 460 1
29 460 1
131 460 1
1 460 1
61 460 1
132 460 1
11 460 1
12 460 1
133 460 1
134 460 1
41 460 1
135 460 1
136 460 1
81 460 1
26 460 1
137 460 1
138 460 1
8 460 1
139 460 1
47 460 1
140 460 1
141 460 1
142 460 1
65 460 1
30 460 1
31 460 1
143 460 1
144 460 1
145 460 1
10 460 1
52 460 1
54 460 1
146 460 1
147 460 1
148 460 1
149 460 1
56 460 1
150 460 1
151 460 1
152 460 1
153 460 1
28 461 1
85 461 1
33 461 1
2 461 1
37 461 1
154 461 1
155 461 1
1 461 1
21 461 1
82 461 1
156 461 1
65 461 1
31 461 1
37 462 1
5 462 1
157 462 1
59 463 1
23 463 1
24 463 1
83 463 1
28 463 1
88 463 1
89 463 1
91 463 1
158 463 1
34 463 1
33 463 1
2 463 1
36 463 1
37 463 1
94 463 1
95 463 1
159 463 1
100 463 1
80 463 1
3 463 1
105 463 1
160 463 1
107 463 1
44 463 1
111 463 1
113 463 1
161 463 1
162 463 1
18 463 1
32 463 1
115 463 1
116 463 1
117 463 1
118 463 1
5 463 1
163 463 1
40 463 1
164 463 1
165 463 1
126 463 1
25 463 1
27 463 1
166 463 1
167 463 1
29 463 1
48 463 1
168 463 1
61 463 1
132 463 1
39 463 1
169 463 1
133 463 1
170 463 1
41 463 1
134 463 1
55 463 1
171 463 1
136 463 1
26 463 1
172 463 1
139 463 1
173 463 1
47 463 1
174 463 1
142 463 1
30 463 1
50 463 1
31 463 1
175 463 1
144 463 1
10 463 1
176 463 1
52 463 1
54 463 1
56 463 1
152 463 1
23 464 1
45 464 1
51 464 1
34 464 1
37 464 1
94 464 1
177 464 1
178 464 1
107 464 1
44 464 1
18 464 1
123 464 1
25 464 1
27 464 1
71 464 1
43 464 1
39 464 1
179 464 1
41 464 1
26 464 1
82 464 1
47 464 1
31 464 1
54 464 1
56 464 1
59 465 1
180 465 1
181 465 1
62 465 1
182 465 1
183 465 1
1 465 1
136 465 1
34 466 1
33 466 1
94 466 1
6 466 1
184 466 1
97 466 1
79 466 1
100 466 1
80 466 1
105 466 1
110 466 1
18 466 1
22 466 1
185 466 1
115 466 1
117 466 1
122 466 1
186 466 1
67 466 1
25 466 1
166 466 1
1 466 1
61 466 1
132 466 1
170 466 1
136 466 1
81 466 1
26 466 1
82 466 1
138 466 1
187 466 1
173 466 1
47 466 1
30 466 1
31 466 1
175 466 1
144 466 1
10 466 1
176 466 1
188 466 1
189 466 1
152 466 1
59 467 1
23 467 1
24 467 1
70 467 1
190 467 1
191 467 1
83 467 1
28 467 1
45 467 1
85 467 1
86 467 1
14 467 1
13 467 1
87 467 1
17 467 1
88 467 1
89 467 1
192 467 1
90 467 1
92 467 1
193 467 1
194 467 1
34 467 1
33 467 1
195 467 1
2 467 1
36 467 1
37 467 1
95 467 1
4 467 1
6 467 1
96 467 1
97 467 1
196 467 1
197 467 1
198 467 1
199 467 1
79 467 1
200 467 1
201 467 1
99 467 1
62 467 1
202 467 1
203 467 1
102 467 1
57 467 1
72 467 1
204 467 1
103 467 1
205 467 1
104 467 1
206 467 1
178 467 1
42 467 1
154 467 1
207 467 1
208 467 1
209 467 1
106 467 1
107 467 1
108 467 1
110 467 1
44 467 1
46 467 1
112 467 1
210 467 1
211 467 1
161 467 1
162 467 1
18 467 1
212 467 1
118 467 1
5 467 1
213 467 1
123 467 1
66 467 1
214 467 1
15 467 1
16 467 1
125 467 1
164 467 1
165 467 1
19 467 1
20 467 1
126 467 1
67 467 1
215 467 1
128 467 1
25 467 1
130 467 1
216 467 1
27 467 1
71 467 1
217 467 1
167 467 1
9 467 1
29 467 1
218 467 1
48 467 1
219 467 1
220 467 1
35 467 1
1 467 1
39 467 1
179 467 1
221 467 1
11 467 1
222 467 1
133 467 1
41 467 1
135 467 1
223 467 1
21 467 1
171 467 1
136 467 1
224 467 1
81 467 1
26 467 1
225 467 1
226 467 1
138 467 1
8 467 1
139 467 1
227 467 1
228 467 1
229 467 1
47 467 1
230 467 1
140 467 1
64 467 1
174 467 1
231 467 1
65 467 1
50 467 1
232 467 1
175 467 1
233 467 1
144 467 1
10 467 1
52 467 1
54 467 1
146 467 1
147 467 1
56 467 1
234 467 1
189 467 1
59 468 1
23 468 1
24 468 1
28 468 1
13 468 1
17 468 1
49 468 1
92 468 1
158 468 1
194 468 1
51 468 1
34 468 1
2 468 1
37 468 1
94 468 1
95 468 1
4 468 1
6 468 1
96 468 1
200 468 1
201 468 1
99 468 1
181 468 1
102 468 1
57 468 1
103 468 1
205 468 1
80 468 1
104 468 1
206 468 1
178 468 1
105 468 1
44 468 1
111 468 1
112 468 1
162 468 1
18 468 1
22 468 1
114 468 1
32 468 1
235 468 1
115 468 1
116 468 1
117 468 1
5 468 1
7 468 1
183 468 1
16 468 1
125 468 1
20 468 1
67 468 1
77 468 1
71 468 1
167 468 1
218 468 1
35 468 1
1 468 1
61 468 1
39 468 1
58 468 1
236 468 1
136 468 1
26 468 1
138 468 1
139 468 1
47 468 1
31 468 1
237 468 1
10 468 1
56 468 1
23 469 1
159 469 1
114 469 1
116 469 1
59 470 1
13 470 1
238 470 1
17 470 1
96 470 1
79 470 1
239 470 1
183 470 1
1 470 1
11 470 1
170 470 1
26 470 1
8 470 1
59 471 1
23 471 1
24 471 1
83 471 1
28 471 1
85 471 1
86 471 1
90 471 1
49 471 1
93 471 1
194 471 1
51 471 1
34 471 1
2 471 1
36 471 1
37 471 1
95 471 1
38 471 1
196 471 1
100 471 1
240 471 1
57 471 1
103 471 1
