6322 141863
0 391 1
1 391 1
2 391 1
3 391 1
4 391 1
5 392 1
6 392 1
7 392 1
8 392 1
9 392 1
10 392 1
11 392 1
12 392 1
13 392 1
14 392 1
15 392 1
16 392 1
17 392 1
18 392 1
19 392 1
20 392 1
21 392 1
22 392 1
23 392 1
5 393 1
24 393 1
8 393 1
25 393 1
26 393 1
10 393 1
27 393 1
28 393 1
29 393 1
4 393 1
30 393 1
31 393 1
32 393 1
13 393 1
33 393 1
16 393 1
15 393 1
0 393 1
19 393 1
34 393 1
35 393 1
36 393 1
23 393 1
37 393 1
38 393 1
8 394 1
4 394 1
13 394 1
16 394 1
19 394 1
39 394 1
40 395 1
7 395 1
41 395 1
42 395 1
43 395 1
33 395 1
44 395 1
45 395 1
46 395 1
47 395 1
48 395 1
29 395 1
2 395 1
49 395 1
50 395 1
51 396 1
52 396 1
15 396 1
3 396 1
23 396 1
8 396 1
12 396 1
53 396 1
5 397 1
7 397 1
33 397 1
16 397 1
21 397 1
29 397 1
13 397 1
22 397 1
7 398 1
33 398 1
54 398 1
55 398 1
23 398 1
8 398 1
29 398 1
13 398 1
22 398 1
17 399 1
15 399 1
44 399 1
56 399 1
8 399 1
57 399 1
13 399 1
22 399 1
58 399 1
5 400 1
6 400 1
59 400 1
60 400 1
10 400 1
27 400 1
61 400 1
62 400 1
63 400 1
64 400 1
16 400 1
15 400 1
0 400 1
19 400 1
65 400 1
66 400 1
67 400 1
68 400 1
56 400 1
1 400 1
69 400 1
70 400 1
71 400 1
26 400 1
72 400 1
73 400 1
4 400 1
74 400 1
14 400 1
75 400 1
76 400 1
77 400 1
78 400 1
2 400 1
79 400 1
80 400 1
81 400 1
82 400 1
83 400 1
84 400 1
85 400 1
52 400 1
86 400 1
11 400 1
87 400 1
45 400 1
88 400 1
3 400 1
89 400 1
90 400 1
23 400 1
91 400 1
92 400 1
8 400 1
93 400 1
94 400 1
29 400 1
95 400 1
96 400 1
12 400 1
13 400 1
97 400 1
98 400 1
34 400 1
36 400 1
99 400 1
100 400 1
101 400 1
38 400 1
102 400 1
103 400 1
104 400 1
10 401 1
15 401 1
0 401 1
19 401 1
105 401 1
106 401 1
57 401 1
107 401 1
108 401 1
13 401 1
19 402 1
2 402 1
109 402 1
40 403 1
5 403 1
6 403 1
59 403 1
10 403 1
61 403 1
62 403 1
64 403 1
110 403 1
16 403 1
15 403 1
0 403 1
18 403 1
19 403 1
65 403 1
66 403 1
111 403 1
68 403 1
56 403 1
1 403 1
69 403 1
112 403 1
70 403 1
26 403 1
72 403 1
73 403 1
113 403 1
114 403 1
4 403 1
14 403 1
