6244 150928
0 314 1
1 314 1
2 314 1
3 314 1
4 314 1
5 314 1
6 314 1
7 315 1
8 315 1
9 315 1
10 315 1
11 315 1
12 315 1
13 315 1
14 315 1
15 315 1
16 315 1
17 315 1
18 315 1
19 315 1
20 315 1
21 315 1
22 315 1
23 315 1
24 315 1
25 315 1
7 316 1
26 316 1
10 316 1
27 316 1
28 316 1
12 316 1
29 316 1
30 316 1
31 316 1
6 316 1
32 316 1
33 316 1
34 316 1
15 316 1
35 316 1
18 316 1
17 316 1
0 316 1
21 316 1
36 316 1
37 316 1
38 316 1
25 316 1
39 316 1
40 316 1
10 317 1
6 317 1
15 317 1
18 317 1
21 317 1
4 317 1
41 317 1
42 318 1
9 318 1
35 318 1
43 318 1
44 318 1
45 318 1
31 318 1
2 318 1
46 318 1
47 319 1
48 319 1
17 319 1
5 319 1
25 319 1
10 319 1
49 319 1
14 319 1
50 319 1
51 319 1
7 320 1
9 320 1
35 320 1
18 320 1
23 320 1
31 320 1
15 320 1
24 320 1
9 321 1
35 321 1
52 321 1
53 321 1
25 321 1
10 321 1
31 321 1
15 321 1
24 321 1
54 322 1
19 322 1
17 322 1
55 322 1
10 322 1
56 322 1
15 322 1
24 322 1
57 323 1
7 323 1
8 323 1
58 323 1
59 323 1
12 323 1
29 323 1
60 323 1
61 323 1
62 323 1
63 323 1
64 323 1
65 323 1
66 323 1
18 323 1
17 323 1
0 323 1
21 323 1
67 323 1
68 323 1
69 323 1
70 323 1
71 323 1
72 323 1
55 323 1
73 323 1
1 323 1
74 323 1
75 323 1
76 323 1
77 323 1
28 323 1
78 323 1
79 323 1
6 323 1
80 323 1
81 323 1
16 323 1
82 323 1
83 323 1
84 323 1
85 323 1
2 323 1
86 323 1
87 323 1
88 323 1
89 323 1
90 323 1
91 323 1
48 323 1
92 323 1
54 323 1
13 323 1
93 323 1
43 323 1
94 323 1
3 323 1
5 323 1
95 323 1
96 323 1
25 323 1
97 323 1
98 323 1
99 323 1
10 323 1
100 323 1
101 323 1
102 323 1
103 323 1
31 323 1
104 323 1
105 323 1
106 323 1
107 323 1
14 323 1
15 323 1
51 323 1
108 323 1
109 323 1
4 323 1
36 323 1
38 323 1
110 323 1
111 323 1
112 323 1
40 323 1
113 323 1
114 323 1
115 323 1
12 324 1
17 324 1
0 324 1
21 324 1
81 324 1
116 324 1
117 324 1
56 324 1
118 324 1
15 324 1
21 325 1
2 325 1
119 325 1
42 326 1
7 326 1
8 326 1
58 326 1
12 326 1
62 326 1
63 326 1
65 326 1
120 326 1
18 326 1
17 326 1
0 326 1
20 326 1
21 326 1
67 326 1
68 326 1
121 326 1
71 326 1
55 326 1
1 326 1
75 326 1
122 326 1
76 326 1
28 326 1
78 326 1
79 326 1
123 326 1
124 326 1
6 326 1
16 326 1
82 326 1
83 326 1
84 326 1
85 326 1
2 326 1
125 326 1
24 326 1
126 326 1
127 326 1
89 326 1
9 326 1
11 326 1
128 326 1
129 326 1
13 326 1
32 326 1
130 326 1
43 326 1
94 326 1
23 326 1
131 326 1
95 326 1
132 326 1
25 326 1
96 326 1
39 326 1
133 326 1
99 326 1
10 326 1
134 326 1
102 326 1
135 326 1
31 326 1
136 326 1
107 326 1
14 326 1
34 326 1
15 326 1
137 326 1
109 326 1
4 326 1
138 326 1
36 326 1
38 326 1
40 326 1
115 326 1
7 327 1
29 327 1
35 327 1
18 327 1
21 327 1
67 327 1
139 327 1
140 327 1
76 327 1
28 327 1
6 327 1
88 327 1
117 327 1
9 327 1
11 327 1
54 327 1
