6280 150415
0 324 1
1 324 1
2 324 1
3 324 1
4 324 1
5 325 1
6 325 1
7 325 1
8 325 1
9 325 1
10 325 1
11 325 1
12 325 1
13 325 1
14 325 1
15 325 1
16 325 1
17 325 1
18 325 1
19 325 1
20 325 1
21 325 1
22 325 1
23 325 1
24 325 1
5 326 1
25 326 1
8 326 1
26 326 1
27 326 1
10 326 1
28 326 1
29 326 1
30 326 1
4 326 1
31 326 1
32 326 1
33 326 1
13 326 1
34 326 1
17 326 1
16 326 1
0 326 1
20 326 1
35 326 1
36 326 1
37 326 1
24 326 1
38 326 1
39 326 1
8 327 1
4 327 1
13 327 1
17 327 1
20 327 1
40 327 1
41 328 1
7 328 1
42 328 1
34 328 1
43 328 1
44 328 1
45 328 1
30 328 1
46 328 1
2 328 1
47 328 1
48 329 1
49 329 1
16 329 1
3 329 1
24 329 1
8 329 1
12 329 1
50 329 1
5 330 1
7 330 1
34 330 1
17 330 1
22 330 1
30 330 1
13 330 1
23 330 1
7 331 1
34 331 1
51 331 1
52 331 1
24 331 1
8 331 1
30 331 1
13 331 1
23 331 1
42 332 1
18 332 1
16 332 1
53 332 1
8 332 1
54 332 1
13 332 1
23 332 1
5 333 1
6 333 1
55 333 1
56 333 1
57 333 1
10 333 1
28 333 1
58 333 1
59 333 1
60 333 1
61 333 1
17 333 1
16 333 1
0 333 1
20 333 1
62 333 1
63 333 1
64 333 1
65 333 1
53 333 1
1 333 1
66 333 1
67 333 1
68 333 1
27 333 1
69 333 1
70 333 1
4 333 1
71 333 1
14 333 1
46 333 1
72 333 1
73 333 1
74 333 1
75 333 1
2 333 1
76 333 1
77 333 1
78 333 1
79 333 1
80 333 1
81 333 1
49 333 1
82 333 1
11 333 1
42 333 1
83 333 1
43 333 1
84 333 1
3 333 1
85 333 1
86 333 1
24 333 1
87 333 1
88 333 1
8 333 1
89 333 1
90 333 1
91 333 1
30 333 1
92 333 1
12 333 1
13 333 1
93 333 1
94 333 1
35 333 1
37 333 1
95 333 1
96 333 1
97 333 1
39 333 1
98 333 1
99 333 1
100 333 1
10 334 1
16 334 1
0 334 1
20 334 1
101 334 1
54 334 1
102 334 1
13 334 1
56 335 1
20 335 1
2 335 1
103 335 1
41 336 1
5 336 1
6 336 1
55 336 1
10 336 1
58 336 1
59 336 1
61 336 1
104 336 1
17 336 1
16 336 1
0 336 1
19 336 1
20 336 1
62 336 1
63 336 1
105 336 1
65 336 1
53 336 1
1 336 1
66 336 1
106 336 1
67 336 1
27 336 1
69 336 1
70 336 1
107 336 1
108 336 1
4 336 1
14 336 1
72 336 1
73 336 1
74 336 1
75 336 1
2 336 1
109 336 1
23 336 1
110 336 1
111 336 1
79 336 1
7 336 1
9 336 1
112 336 1
113 336 1
11 336 1
31 336 1
114 336 1
43 336 1
84 336 1
22 336 1
115 336 1
85 336 1
116 336 1
24 336 1
86 336 1
38 336 1
117 336 1
88 336 1
8 336 1
118 336 1
90 336 1
119 336 1
30 336 1
120 336 1
92 336 1
12 336 1
33 336 1
13 336 1
121 336 1
94 336 1
122 336 1
35 336 1
37 336 1
39 336 1
100 336 1
5 337 1
28 337 1
34 337 1
17 337 1
20 337 1
62 337 1
123 337 1
124 337 1
125 337 1
67 337 1
27 337 1
4 337 1
78 337 1
7 337 1
9 337 1
26 337 1
42 337 1
22 337 1
24 337 1
8 337 1
54 337 1
30 337 1
13 337 1
37 337 1
39 337 1
41 338 1
126 338 1
127 338 1
44 338 1
88 338 1
128 339 1
17 339 1
16 339 1
62 339 1
129 339 1
130 339 1
52 339 1
65 339 1
53 339 1
131 339 1
66 339 1
68 339 1
4 339 1
132 339 1
46 339 1
72 339 1
74 339 1
77 339 1
133 339 1
134 339 1
7 339 1
112 339 1
42 339 1
135 339 1
43 339 1
84 339 1
116 339 1
136 339 1
88 339 1
8 339 1
54 339 1
89 339 1
137 339 1
91 339 1
119 339 1
30 339 1
12 339 1
13 339 1
15 339 1
121 339 1
94 339 1
138 339 1
122 339 1
139 339 1
140 339 1
141 339 1
100 339 1
41 340 1
5 340 1
6 340 1
55 340 1
10 340 1
28 340 1
58 340 1
59 340 1
142 340 1
60 340 1
143 340 1
17 340 1
16 340 1
0 340 1
19 340 1
20 340 1
63 340 1
144 340 1
145 340 1
146 340 1
52 340 1
147 340 1
148 340 1
44 340 1
149 340 1
125 340 1
25 340 1
67 340 1
68 340 1
27 340 1
29 340 1
107 340 1
108 340 1
4 340 1
75 340 1
2 340 1
78 340 1
47 340 1
150 340 1
110 340 1
111 340 1
79 340 1
151 340 1
81 340 1
7 340 1
9 340 1
152 340 1
113 340 1
42 340 1
11 340 1
153 340 1
31 340 1
154 340 1
155 340 1
18 340 1
22 340 1
156 340 1
157 340 1
85 340 1
24 340 1
87 340 1
117 340 1
88 340 1
158 340 1
8 340 1
89 340 1
90 340 1
159 340 1
160 340 1
30 340 1
161 340 1
120 340 1
162 340 1
33 340 1
163 340 1
121 340 1
94 340 1
35 340 1
37 340 1
95 340 1
96 340 1
39 340 1
141 340 1
41 341 1
5 341 1
6 341 1
10 341 1
32 341 1
104 341 1
34 341 1
17 341 1
0 341 1
20 341 1
62 341 1
63 341 1
147 341 1
148 341 1
127 341 1
53 341 1
125 341 1
66 341 1
27 341 1
69 341 1
108 341 1
4 341 1
71 341 1
14 341 1
164 341 1
72 341 1
73 341 1
74 341 1
2 341 1
113 341 1
153 341 1
18 341 1
43 341 1
22 341 1
40 341 1
165 341 1
88 341 1
8 341 1
89 341 1
90 341 1
30 341 1
13 341 1
166 341 1
39 341 1
5 342 1
105 342 1
71 342 1
73 342 1
42 342 1
41 343 1
167 343 1
52 343 1
116 343 1
8 343 1
41 344 1
5 344 1
6 344 1
55 344 1
10 344 1
60 344 1
32 344 1
34 344 1
17 344 1
0 344 1
19 344 1
20 344 1
63 344 1
21 344 1
65 344 1
168 344 1
67 344 1
27 344 1
108 344 1
75 344 1
2 344 1
169 344 1
79 344 1
48 344 1
151 344 1
170 344 1
81 344 1
7 344 1
171 344 1
9 344 1
11 344 1
18 344 1
43 344 1
22 344 1
3 344 1
85 344 1
8 344 1
89 344 1
137 344 1
90 344 1
159 344 1
160 344 1
30 344 1
172 344 1
162 344 1
13 344 1
35 344 1
37 344 1
139 344 1
95 344 1
96 344 1
100 344 1
173 345 1
128 345 1
5 345 1
6 345 1
55 345 1
56 345 1
174 345 1
167 345 1
58 345 1
143 345 1
175 345 1
17 345 1
62 345 1
63 345 1
105 345 1
176 345 1
126 345 1
52 345 1
177 345 1
178 345 1
65 345 1
53 345 1
179 345 1
66 345 1
70 345 1
107 345 1
4 345 1
14 345 1
73 345 1
74 345 1
77 345 1
78 345 1
180 345 1
47 345 1
79 345 1
81 345 1
7 345 1
112 345 1
42 345 1
11 345 1
43 345 1
84 345 1
115 345 1
85 345 1
86 345 1
38 345 1
88 345 1
89 345 1
137 345 1
90 345 1
91 345 1
119 345 1
30 345 1
92 345 1
162 345 1
12 345 1
13 345 1
181 345 1
94 345 1
37 345 1
139 345 1
95 345 1
41 346 1
5 346 1
6 346 1
10 346 1
167 346 1
59 346 1
16 346 1
0 346 1
20 346 1
62 346 1
63 346 1
182 346 1
44 346 1
179 346 1
66 346 1
27 346 1
4 346 1
75 346 1
2 346 1
48 346 1
22 346 1
88 346 1
90 346 1
30 346 1
12 346 1
96 346 1
41 347 1
6 347 1
17 347 1
20 347 1
21 347 1
53 347 1
183 347 1
66 347 1
27 347 1
69 347 1
4 347 1
132 347 1
71 347 1
14 347 1
164 347 1
72 347 1
73 347 1
74 347 1
11 347 1
84 347 1
116 347 1
88 347 1
8 347 1
159 347 1
30 347 1
13 347 1
95 347 1
128 348 1
5 348 1
6 348 1
55 348 1
10 348 1
17 348 1
19 348 1
20 348 1
63 348 1
21 348 1
182 348 1
123 348 1
129 348 1
144 348 1
184 348 1
27 348 1
4 348 1
74 348 1
109 348 1
76 348 1
78 348 1
150 348 1
48 348 1
7 348 1
11 348 1
51 348 1
22 348 1
185 348 1
186 348 1
187 348 1
90 348 1
119 348 1
13 348 1
121 348 1
35 348 1
96 348 1
41 349 1
173 349 1
56 349 1
57 349 1
174 349 1
188 349 1
58 349 1
104 349 1
189 349 1
175 349 1
20 349 1
4 349 1
46 349 1
190 349 1
191 349 1
192 349 1
42 349 1
85 349 1
86 349 1
193 349 1
90 349 1
91 349 1
128 350 1
5 350 1
167 350 1
17 350 1
0 350 1
20 350 1
131 350 1
27 350 1
4 350 1
2 350 1
192 350 1
42 350 1
8 350 1
13 350 1
15 350 1
139 350 1
56 351 1
194 351 1
104 351 1
34 351 1
17 351 1
20 351 1
53 351 1
1 351 1
179 351 1
27 351 1
4 351 1
72 351 1
74 351 1
23 351 1
48 351 1
81 351 1
7 351 1
43 351 1
84 351 1
40 351 1
86 351 1
87 351 1
8 351 1
89 351 1
137 351 1
91 351 1
30 351 1
195 351 1
13 351 1
37 351 1
39 351 1
42 352 1
118 352 1
5 353 1
10 353 1
61 353 1
0 353 1
179 353 1
84 353 1
40 353 1
8 353 1
90 353 1
30 353 1
13 353 1
7 354 1
42 354 1
13 354 1
56 355 1
10 355 1
28 355 1
174 355 1
188 355 1
34 355 1
175 355 1
17 355 1
16 355 1
20 355 1
62 355 1
63 355 1
146 355 1
65 355 1
53 355 1
1 355 1
125 355 1
27 355 1
4 355 1
14 355 1
72 355 1
2 355 1
196 355 1
77 355 1
197 355 1
23 355 1
191 355 1
110 355 1
48 355 1
192 355 1
81 355 1
7 355 1
198 355 1
26 355 1
114 355 1
43 355 1
36 355 1
40 355 1
38 355 1
87 355 1
8 355 1
193 355 1
199 355 1
12 355 1
195 355 1
13 355 1
15 355 1
39 355 1
55 356 1
10 356 1
60 356 1
17 356 1
0 356 1
25 356 1
179 356 1
2 356 1
48 356 1
22 356 1
185 356 1
121 356 1
200 356 1
56 357 1
17 357 1
0 357 1
20 357 1
63 357 1
201 357 1
125 357 1
2 357 1
191 357 1
49 357 1
87 357 1
8 357 1
41 358 1
5 358 1
6 358 1
10 358 1
34 358 1
17 358 1
0 358 1
20 358 1
62 358 1
63 358 1
130 358 1
52 358 1
65 358 1
53 358 1
179 358 1
66 358 1
27 358 1
29 358 1
69 358 1
108 358 1
4 358 1
14 358 1
72 358 1
74 358 1
23 358 1
202 358 1
48 358 1
7 358 1
42 358 1
11 358 1
43 358 1
22 358 1
116 358 1
38 358 1
87 358 1
88 358 1
8 358 1
45 358 1
137 358 1
91 358 1
30 358 1
13 358 1
94 358 1
37 358 1
95 358 1
39 358 1
5 359 1
203 359 1
0 359 1
48 359 1
8 359 1
13 359 1
5 360 1
21 360 1
204 360 1
185 360 1
44 361 1
42 361 1
43 361 1
116 361 1
88 361 1
161 361 1
41 362 1
55 362 1
57 362 1
28 362 1
58 362 1
104 362 1
34 362 1
17 362 1
16 362 1
0 362 1
19 362 1
20 362 1
63 362 1
182 362 1
177 362 1
168 362 1
201 362 1
1 362 1
125 362 1
183 362 1
66 362 1
205 362 1
67 362 1
27 362 1
69 362 1
206 362 1
72 362 1
73 362 1
74 362 1
2 362 1
196 362 1
111 362 1
48 362 1
113 362 1
114 362 1
43 362 1
84 362 1
115 362 1
207 362 1
40 362 1
86 362 1
38 362 1
87 362 1
208 362 1
8 362 1
45 362 1
54 362 1
90 362 1
30 362 1
92 362 1
195 362 1
209 362 1
210 362 1
121 362 1
94 362 1
211 362 1
122 362 1
200 362 1
95 362 1
140 362 1
39 362 1
6 363 1
17 363 1
4 363 1
8 363 1
5 364 1
6 364 1
28 364 1
34 364 1
17 364 1
0 364 1
20 364 1
62 364 1
105 364 1
176 364 1
21 364 1
129 364 1
145 364 1
148 364 1
65 364 1
168 364 1
53 364 1
1 364 1
179 364 1
66 364 1
67 364 1
27 364 1
69 364 1
107 364 1
108 364 1
4 364 1
71 364 1
14 364 1
164 364 1
72 364 1
73 364 1
74 364 1
75 364 1
2 364 1
77 364 1
23 364 1
48 364 1
81 364 1
7 364 1
112 364 1
11 364 1
31 364 1
83 364 1
212 364 1
43 364 1
84 364 1
40 364 1
116 364 1
87 364 1
88 364 1
8 364 1
45 364 1
137 364 1
90 364 1
91 364 1
119 364 1
30 364 1
92 364 1
162 364 1
12 364 1
13 364 1
163 364 1
121 364 1
181 364 1
94 364 1
140 364 1
39 364 1
141 364 1
0 365 1
41 366 1
5 366 1
6 366 1
55 366 1
167 366 1
58 366 1
60 366 1
61 366 1
34 366 1
17 366 1
16 366 1
