6576 205289
0 612 1
1 612 1
2 612 1
3 612 1
4 612 1
5 613 1
6 613 1
7 613 1
8 613 1
9 613 1
10 613 1
11 613 1
12 613 1
13 613 1
14 613 1
15 613 1
16 613 1
17 613 1
18 613 1
19 613 1
20 613 1
21 613 1
22 613 1
23 613 1
24 613 1
25 613 1
5 614 1
26 614 1
8 614 1
27 614 1
28 614 1
10 614 1
29 614 1
30 614 1
31 614 1
4 614 1
32 614 1
33 614 1
34 614 1
14 614 1
35 614 1
17 614 1
16 614 1
0 614 1
20 614 1
36 614 1
37 614 1
38 614 1
25 614 1
39 614 1
40 614 1
8 615 1
41 615 1
4 615 1
14 615 1
17 615 1
20 615 1
42 615 1
43 615 1
44 616 1
7 616 1
45 616 1
35 616 1
46 616 1
47 616 1
48 616 1
21 616 1
49 616 1
50 616 1
51 616 1
52 616 1
53 616 1
54 616 1
31 616 1
55 616 1
2 616 1
56 616 1
57 616 1
58 617 1
59 617 1
16 617 1
3 617 1
25 617 1
8 617 1
13 617 1
60 617 1
5 618 1
7 618 1
35 618 1
17 618 1
23 618 1
61 618 1
31 618 1
14 618 1
24 618 1
7 619 1
35 619 1
62 619 1
63 619 1
25 619 1
8 619 1
64 619 1
31 619 1
14 619 1
24 619 1
18 620 1
16 620 1
65 620 1
8 620 1
66 620 1
67 620 1
14 620 1
24 620 1
5 621 1
6 621 1
68 621 1
69 621 1
70 621 1
71 621 1
10 621 1
29 621 1
12 621 1
72 621 1
73 621 1
74 621 1
75 621 1
76 621 1
17 621 1
16 621 1
0 621 1
20 621 1
77 621 1
78 621 1
48 621 1
21 621 1
79 621 1
80 621 1
81 621 1
82 621 1
83 621 1
65 621 1
1 621 1
64 621 1
84 621 1
85 621 1
86 621 1
28 621 1
87 621 1
88 621 1
89 621 1
4 621 1
90 621 1
15 621 1
91 621 1
92 621 1
93 621 1
94 621 1
2 621 1
95 621 1
96 621 1
97 621 1
98 621 1
43 621 1
99 621 1
100 621 1
101 621 1
59 621 1
102 621 1
11 621 1
103 621 1
49 621 1
104 621 1
3 621 1
105 621 1
106 621 1
107 621 1
25 621 1
108 621 1
109 621 1
8 621 1
41 621 1
110 621 1
111 621 1
31 621 1
112 621 1
13 621 1
14 621 1
113 621 1
114 621 1
115 621 1
36 621 1
38 621 1
116 621 1
117 621 1
118 621 1
40 621 1
119 621 1
120 621 1
121 621 1
122 621 1
10 622 1
123 622 1
16 622 1
0 622 1
20 622 1
81 622 1
88 622 1
124 622 1
57 622 1
67 622 1
125 622 1
14 622 1
20 623 1
2 623 1
126 623 1
127 623 1
44 624 1
5 624 1
6 624 1
70 624 1
10 624 1
12 624 1
72 624 1
73 624 1
128 624 1
75 624 1
129 624 1
17 624 1
16 624 1
0 624 1
19 624 1
20 624 1
77 624 1
78 624 1
130 624 1
83 624 1
65 624 1
1 624 1
84 624 1
131 624 1
85 624 1
28 624 1
87 624 1
89 624 1
132 624 1
133 624 1
4 624 1
15 624 1
91 624 1
92 624 1
93 624 1
94 624 1
2 624 1
134 624 1
24 624 1
135 624 1
136 624 1
99 624 1
7 624 1
9 624 1
137 624 1
138 624 1
11 624 1
32 624 1
139 624 1
49 624 1
104 624 1
23 624 1
140 624 1
106 624 1
141 624 1
25 624 1
107 624 1
39 624 1
142 624 1
109 624 1
8 624 1
143 624 1
111 624 1
144 624 1
31 624 1
145 624 1
112 624 1
13 624 1
34 624 1
14 624 1
146 624 1
115 624 1
147 624 1
36 624 1
38 624 1
40 624 1
122 624 1
95 625 1
148 625 1
46 625 1
149 625 1
5 626 1
29 626 1
35 626 1
17 626 1
20 626 1
77 626 1
150 626 1
151 626 1
152 626 1
153 626 1
85 626 1
28 626 1
4 626 1
95 626 1
98 626 1
57 626 1
7 626 1
9 626 1
27 626 1
46 626 1
23 626 1
25 626 1
154 626 1
155 626 1
156 626 1
8 626 1
67 626 1
31 626 1
157 626 1
14 626 1
38 626 1
40 626 1
44 627 1
158 627 1
159 627 1
50 627 1
160 627 1
51 627 1
109 627 1
161 628 1
162 628 1
163 628 1
17 628 1
16 628 1
77 628 1
164 628 1
63 628 1
82 628 1
83 628 1
65 628 1
165 628 1
166 628 1
84 628 1
86 628 1
4 628 1
167 628 1
91 628 1
93 628 1
97 628 1
168 628 1
169 628 1
7 628 1
170 628 1
137 628 1
171 628 1
172 628 1
49 628 1
104 628 1
61 628 1
141 628 1
52 628 1
109 628 1
173 628 1
8 628 1
67 628 1
41 628 1
110 628 1
174 628 1
175 628 1
144 628 1
176 628 1
31 628 1
177 628 1
13 628 1
14 628 1
146 628 1
115 628 1
178 628 1
147 628 1
179 628 1
180 628 1
122 628 1
44 629 1
5 629 1
6 629 1
70 629 1
10 629 1
29 629 1
12 629 1
72 629 1
73 629 1
181 629 1
74 629 1
182 629 1
17 629 1
16 629 1
0 629 1
19 629 1
20 629 1
78 629 1
183 629 1
184 629 1
63 629 1
185 629 1
186 629 1
51 629 1
187 629 1
152 629 1
26 629 1
85 629 1
86 629 1
28 629 1
30 629 1
132 629 1
133 629 1
4 629 1
94 629 1
2 629 1
95 629 1
98 629 1
56 629 1
43 629 1
188 629 1
135 629 1
136 629 1
99 629 1
189 629 1
101 629 1
7 629 1
9 629 1
190 629 1
138 629 1
11 629 1
191 629 1
32 629 1
192 629 1
193 629 1
18 629 1
23 629 1
194 629 1
195 629 1
106 629 1
25 629 1
108 629 1
196 629 1
142 629 1
109 629 1
197 629 1
8 629 1
110 629 1
111 629 1
198 629 1
199 629 1
31 629 1
200 629 1
145 629 1
201 629 1
34 629 1
202 629 1
146 629 1
115 629 1
36 629 1
38 629 1
116 629 1
117 629 1
40 629 1
180 629 1
44 630 1
5 630 1
6 630 1
68 630 1
203 630 1
204 630 1
205 630 1
206 630 1
10 630 1
207 630 1
208 630 1
209 630 1
210 630 1
33 630 1
129 630 1
76 630 1
35 630 1
123 630 1
17 630 1
0 630 1
20 630 1
158 630 1
77 630 1
78 630 1
48 630 1
21 630 1
211 630 1
150 630 1
212 630 1
213 630 1
214 630 1
215 630 1
216 630 1
79 630 1
185 630 1
186 630 1
81 630 1
160 630 1
217 630 1
218 630 1
65 630 1
152 630 1
84 630 1
219 630 1
28 630 1
87 630 1
88 630 1
220 630 1
133 630 1
4 630 1
90 630 1
15 630 1
221 630 1
91 630 1
92 630 1
222 630 1
93 630 1
2 630 1
43 630 1
223 630 1
224 630 1
138 630 1
191 630 1
225 630 1
226 630 1
148 630 1
227 630 1
46 630 1
18 630 1
47 630 1
228 630 1
49 630 1
229 630 1
23 630 1
61 630 1
42 630 1
230 630 1
231 630 1
109 630 1
232 630 1
155 630 1
156 630 1
8 630 1
41 630 1
110 630 1
233 630 1
111 630 1
175 630 1
176 630 1
31 630 1
234 630 1
14 630 1
113 630 1
235 630 1
149 630 1
236 630 1
40 630 1
119 630 1
5 631 1
130 631 1
90 631 1
92 631 1
154 631 1
44 632 1
237 632 1
63 632 1
141 632 1
156 632 1
8 632 1
44 633 1
5 633 1
6 633 1
238 633 1
70 633 1
10 633 1
74 633 1
33 633 1
35 633 1
17 633 1
0 633 1
19 633 1
20 633 1
78 633 1
48 633 1
21 633 1
22 633 1
50 633 1
239 633 1
240 633 1
81 633 1
83 633 1
241 633 1
153 633 1
85 633 1
242 633 1
28 633 1
88 633 1
220 633 1
133 633 1
94 633 1
2 633 1
243 633 1
95 633 1
99 633 1
58 633 1
189 633 1
223 633 1
244 633 1
101 633 1
7 633 1
245 633 1
246 633 1
224 633 1
9 633 1
11 633 1
18 633 1
47 633 1
247 633 1
248 633 1
249 633 1
49 633 1
229 633 1
23 633 1
3 633 1
105 633 1
231 633 1
106 633 1
196 633 1
154 633 1
8 633 1
66 633 1
41 633 1
110 633 1
174 633 1
111 633 1
198 633 1
199 633 1
31 633 1
250 633 1
201 633 1
14 633 1
251 633 1
36 633 1
38 633 1
116 633 1
117 633 1
122 633 1
5 634 1
161 634 1
162 634 1
6 634 1
69 634 1
70 634 1
206 634 1
12 634 1
237 634 1
72 634 1
209 634 1
182 634 1
17 634 1
77 634 1
78 634 1
130 634 1
252 634 1
159 634 1
253 634 1
254 634 1
63 634 1
255 634 1
82 634 1
83 634 1
65 634 1
256 634 1
84 634 1
219 634 1
89 634 1
132 634 1
4 634 1
257 634 1
15 634 1
92 634 1
93 634 1
97 634 1
98 634 1
258 634 1
56 634 1
169 634 1
259 634 1
260 634 1
99 634 1
101 634 1
7 634 1
170 634 1
137 634 1
11 634 1
171 634 1
49 634 1
104 634 1
229 634 1
61 634 1
140 634 1
