6346 171441
0 385 1
1 385 1
2 385 1
3 385 1
4 385 1
5 385 1
6 385 1
7 385 1
8 385 1
9 385 1
10 385 1
11 385 1
12 385 1
13 385 1
14 385 1
15 385 1
16 385 1
17 386 1
18 386 1
19 386 1
20 386 1
21 386 1
22 386 1
23 386 1
24 386 1
25 386 1
26 386 1
27 386 1
28 386 1
29 386 1
30 386 1
31 386 1
32 386 1
33 386 1
34 386 1
35 386 1
17 387 1
36 387 1
20 387 1
37 387 1
38 387 1
22 387 1
39 387 1
40 387 1
41 387 1
14 387 1
42 387 1
43 387 1
44 387 1
25 387 1
45 387 1
28 387 1
27 387 1
2 387 1
31 387 1
46 387 1
47 387 1
48 387 1
35 387 1
49 387 1
50 387 1
51 387 1
20 388 1
14 388 1
25 388 1
28 388 1
31 388 1
52 388 1
53 389 1
19 389 1
45 389 1
54 389 1
55 389 1
56 389 1
41 389 1
57 389 1
5 389 1
58 389 1
59 389 1
60 390 1
61 390 1
62 390 1
8 390 1
63 390 1
9 390 1
11 390 1
27 390 1
6 390 1
10 390 1
35 390 1
51 390 1
64 390 1
65 390 1
20 390 1
66 390 1
67 390 1
68 390 1
24 390 1
69 390 1
70 390 1
1 390 1
71 390 1
72 390 1
15 390 1
17 391 1
19 391 1
45 391 1
28 391 1
33 391 1
41 391 1
25 391 1
34 391 1
19 392 1
45 392 1
73 392 1
74 392 1
35 392 1
75 392 1
20 392 1
41 392 1
25 392 1
34 392 1
29 393 1
27 393 1
76 393 1
20 393 1
77 393 1
25 393 1
34 393 1
17 394 1
18 394 1
78 394 1
79 394 1
22 394 1
39 394 1
11 394 1
80 394 1
81 394 1
82 394 1
83 394 1
28 394 1
27 394 1
2 394 1
31 394 1
84 394 1
85 394 1
4 394 1
6 394 1
86 394 1
87 394 1
88 394 1
89 394 1
90 394 1
51 394 1
91 394 1
76 394 1
92 394 1
3 394 1
93 394 1
94 394 1
95 394 1
96 394 1
38 394 1
97 394 1
98 394 1
99 394 1
100 394 1
68 394 1
14 394 1
101 394 1
26 394 1
102 394 1
1 394 1
103 394 1
104 394 1
105 394 1
106 394 1
5 394 1
107 394 1
108 394 1
109 394 1
72 394 1
13 394 1
15 394 1
110 394 1
111 394 1
112 394 1
7 394 1
61 394 1
113 394 1
114 394 1
8 394 1
63 394 1
9 394 1
23 394 1
115 394 1
116 394 1
54 394 1
117 394 1
10 394 1
118 394 1
119 394 1
120 394 1
35 394 1
121 394 1
122 394 1
123 394 1
124 394 1
125 394 1
20 394 1
126 394 1
127 394 1
41 394 1
128 394 1
129 394 1
57 394 1
24 394 1
25 394 1
69 394 1
130 394 1
131 394 1
46 394 1
48 394 1
132 394 1
133 394 1
134 394 1
50 394 1
135 394 1
136 394 1
137 394 1
138 394 1
22 395 1
27 395 1
2 395 1
31 395 1
139 395 1
99 395 1
140 395 1
77 395 1
141 395 1
57 395 1
25 395 1
31 396 1
5 396 1
142 396 1
53 397 1
17 397 1
18 397 1
78 397 1
22 397 1
80 397 1
81 397 1
83 397 1
143 397 1
28 397 1
27 397 1
2 397 1
30 397 1
31 397 1
84 397 1
85 397 1
144 397 1
89 397 1
76 397 1
3 397 1
94 397 1
145 397 1
95 397 1
38 397 1
97 397 1
100 397 1
146 397 1
147 397 1
14 397 1
26 397 1
102 397 1
103 397 1
104 397 1
105 397 1
5 397 1
148 397 1
34 397 1
149 397 1
150 397 1
110 397 1
19 397 1
21 397 1
151 397 1
152 397 1
23 397 1
42 397 1
153 397 1
54 397 1
117 397 1
33 397 1
154 397 1
119 397 1
155 397 1
35 397 1
120 397 1
49 397 1
156 397 1
125 397 1
20 397 1
157 397 1
127 397 1
158 397 1
41 397 1
159 397 1
129 397 1
24 397 1
44 397 1
25 397 1
160 397 1
131 397 1
161 397 1
46 397 1
48 397 1
50 397 1
137 397 1
17 398 1
39 398 1
45 398 1
28 398 1
31 398 1
84 398 1
162 398 1
163 398 1
95 398 1
38 398 1
14 398 1
109 398 1
19 398 1
21 398 1
63 398 1
37 398 1
164 398 1
33 398 1
35 398 1
75 398 1
20 398 1
77 398 1
41 398 1
25 398 1
165 398 1
48 398 1
50 398 1
53 399 1
166 399 1
167 399 1
55 399 1
125 399 1
165 399 1
28 400 1
27 400 1
84 400 1
6 400 1
168 400 1
74 400 1
88 400 1
89 400 1
76 400 1
94 400 1
96 400 1
14 400 1
169 400 1
102 400 1
104 400 1
108 400 1
170 400 1
19 400 1
151 400 1
54 400 1
117 400 1
155 400 1
125 400 1
20 400 1
77 400 1
126 400 1
171 400 1
158 400 1
41 400 1
24 400 1
25 400 1
160 400 1
131 400 1
161 400 1
172 400 1
173 400 1
137 400 1
53 401 1
17 401 1
18 401 1
62 401 1
78 401 1
22 401 1
39 401 1
11 401 1
80 401 1
81 401 1
174 401 1
82 401 1
175 401 1
28 401 1
27 401 1
2 401 1
30 401 1
31 401 1
85 401 1
4 401 1
6 401 1
176 401 1
177 401 1
74 401 1
178 401 1
179 401 1
