6380 171660
0 382 1
1 382 1
2 382 1
3 382 1
4 382 1
5 383 1
6 383 1
7 383 1
8 383 1
9 383 1
10 383 1
11 383 1
12 383 1
13 383 1
14 383 1
15 383 1
16 383 1
17 383 1
18 383 1
19 383 1
20 383 1
21 383 1
22 383 1
23 383 1
24 383 1
25 383 1
5 384 1
26 384 1
8 384 1
27 384 1
28 384 1
11 384 1
29 384 1
30 384 1
31 384 1
4 384 1
32 384 1
33 384 1
34 384 1
14 384 1
35 384 1
17 384 1
16 384 1
0 384 1
20 384 1
36 384 1
37 384 1
38 384 1
25 384 1
39 384 1
40 384 1
8 385 1
4 385 1
14 385 1
17 385 1
20 385 1
41 385 1
42 386 1
7 386 1
43 386 1
44 386 1
45 386 1
35 386 1
46 386 1
47 386 1
48 386 1
49 386 1
50 386 1
31 386 1
51 386 1
52 386 1
53 386 1
2 386 1
54 386 1
55 387 1
56 387 1
16 387 1
3 387 1
25 387 1
8 387 1
13 387 1
57 387 1
5 388 1
7 388 1
35 388 1
17 388 1
23 388 1
31 388 1
14 388 1
24 388 1
7 389 1
35 389 1
58 389 1
59 389 1
48 389 1
25 389 1
60 389 1
8 389 1
31 389 1
61 389 1
14 389 1
62 389 1
24 389 1
43 390 1
18 390 1
16 390 1
63 390 1
8 390 1
64 390 1
14 390 1
24 390 1
5 391 1
6 391 1
65 391 1
66 391 1
67 391 1
11 391 1
29 391 1
68 391 1
69 391 1
70 391 1
71 391 1
72 391 1
17 391 1
16 391 1
0 391 1
20 391 1
73 391 1
74 391 1
75 391 1
48 391 1
76 391 1
63 391 1
1 391 1
77 391 1
78 391 1
79 391 1
28 391 1
80 391 1
81 391 1
82 391 1
4 391 1
83 391 1
15 391 1
52 391 1
84 391 1
85 391 1
86 391 1
87 391 1
2 391 1
88 391 1
89 391 1
90 391 1
91 391 1
92 391 1
93 391 1
94 391 1
56 391 1
95 391 1
12 391 1
43 391 1
96 391 1
46 391 1
97 391 1
3 391 1
98 391 1
99 391 1
25 391 1
100 391 1
101 391 1
8 391 1
102 391 1
103 391 1
31 391 1
104 391 1
13 391 1
14 391 1
105 391 1
106 391 1
36 391 1
38 391 1
107 391 1
108 391 1
109 391 1
40 391 1
110 391 1
111 391 1
112 391 1
11 392 1
16 392 1
0 392 1
20 392 1
113 392 1
114 392 1
49 392 1
64 392 1
115 392 1
14 392 1
53 392 1
66 393 1
20 393 1
2 393 1
116 393 1
42 394 1
5 394 1
6 394 1
65 394 1
11 394 1
68 394 1
69 394 1
71 394 1
117 394 1
17 394 1
16 394 1
0 394 1
19 394 1
20 394 1
73 394 1
74 394 1
118 394 1
76 394 1
63 394 1
1 394 1
77 394 1
119 394 1
78 394 1
28 394 1
81 394 1
82 394 1
120 394 1
121 394 1
4 394 1
15 394 1
84 394 1
85 394 1
86 394 1
87 394 1
2 394 1
122 394 1
62 394 1
24 394 1
123 394 1
124 394 1
92 394 1
7 394 1
9 394 1
125 394 1
126 394 1
12 394 1
32 394 1
127 394 1
128 394 1
46 394 1
97 394 1
23 394 1
129 394 1
98 394 1
130 394 1
25 394 1
99 394 1
39 394 1
131 394 1
101 394 1
8 394 1
132 394 1
103 394 1
133 394 1
31 394 1
134 394 1
104 394 1
13 394 1
34 394 1
14 394 1
135 394 1
106 394 1
136 394 1
36 394 1
38 394 1
40 394 1
112 394 1
62 395 1
5 396 1
10 396 1
29 396 1
44 396 1
35 396 1
17 396 1
20 396 1
73 396 1
137 396 1
48 396 1
138 396 1
139 396 1
140 396 1
141 396 1
78 396 1
28 396 1
4 396 1
90 396 1
142 396 1
7 396 1
9 396 1
27 396 1
43 396 1
127 396 1
143 396 1
23 396 1
25 396 1
144 396 1
49 396 1
145 396 1
8 396 1
64 396 1
31 396 1
14 396 1
146 396 1
53 396 1
22 396 1
147 396 1
38 396 1
40 396 1
42 397 1
72 397 1
148 397 1
149 397 1
47 397 1
101 397 1
44 398 1
17 398 1
16 398 1
73 398 1
150 398 1
151 398 1
59 398 1
76 398 1
63 398 1
152 398 1
77 398 1
79 398 1
4 398 1
153 398 1
154 398 1
52 398 1
84 398 1
86 398 1
155 398 1
89 398 1
156 398 1
91 398 1
7 398 1
125 398 1
43 398 1
157 398 1
46 398 1
97 398 1
130 398 1
101 398 1
8 398 1
64 398 1
102 398 1
158 398 1
133 398 1
31 398 1
13 398 1
14 398 1
135 398 1
106 398 1
136 398 1
159 398 1
160 398 1
112 398 1
42 399 1
5 399 1
6 399 1
65 399 1
11 399 1
29 399 1
68 399 1
69 399 1
161 399 1
70 399 1
162 399 1
17 399 1
16 399 1
0 399 1
19 399 1
20 399 1
74 399 1
163 399 1
164 399 1
113 399 1
59 399 1
165 399 1
166 399 1
47 399 1
167 399 1
140 399 1
26 399 1
78 399 1
79 399 1
28 399 1
30 399 1
120 399 1
121 399 1
4 399 1
87 399 1
2 399 1
62 399 1
90 399 1
54 399 1
168 399 1
123 399 1
124 399 1
92 399 1
169 399 1
94 399 1
7 399 1
9 399 1
170 399 1
126 399 1
43 399 1
12 399 1
171 399 1
32 399 1
172 399 1
173 399 1
18 399 1
23 399 1
174 399 1
175 399 1
98 399 1
25 399 1
100 399 1
60 399 1
131 399 1
101 399 1
176 399 1
8 399 1
102 399 1
103 399 1
177 399 1
178 399 1
31 399 1
179 399 1
134 399 1
180 399 1
34 399 1
146 399 1
53 399 1
181 399 1
135 399 1
106 399 1
36 399 1
38 399 1
107 399 1
108 399 1
40 399 1
160 399 1
42 400 1
5 400 1
6 400 1
11 400 1
44 400 1
33 400 1
117 400 1
35 400 1
17 400 1
0 400 1
20 400 1
73 400 1
74 400 1
165 400 1
166 400 1
149 400 1
63 400 1
140 400 1
77 400 1
28 400 1
81 400 1
121 400 1
4 400 1
83 400 1
15 400 1
182 400 1
84 400 1
85 400 1
86 400 1
2 400 1
183 400 1
126 400 1
171 400 1
18 400 1
46 400 1
23 400 1
41 400 1
184 400 1
101 400 1
144 400 1
49 400 1
145 400 1
8 400 1
102 400 1
103 400 1
31 400 1
14 400 1
22 400 1
185 400 1
186 400 1
40 400 1
5 401 1
118 401 1
83 401 1
85 401 1
43 401 1
42 402 1
187 402 1
59 402 1
130 402 1
145 402 1
8 402 1
42 403 1
5 403 1
6 403 1
188 403 1
189 403 1
65 403 1
11 403 1
44 403 1
70 403 1
33 403 1
35 403 1
17 403 1
0 403 1
19 403 1
20 403 1
74 403 1
21 403 1
76 403 1
190 403 1
141 403 1
78 403 1
28 403 1
121 403 1
87 403 1
2 403 1
191 403 1
92 403 1
55 403 1
169 403 1
183 403 1
192 403 1
94 403 1
7 403 1
193 403 1
9 403 1
194 403 1
12 403 1
143 403 1
18 403 1
46 403 1
23 403 1
3 403 1
98 403 1
49 403 1
8 403 1
102 403 1
158 403 1
103 403 1
177 403 1
178 403 1
31 403 1
195 403 1
180 403 1
14 403 1
53 403 1
22 403 1
36 403 1
38 403 1
107 403 1
108 403 1
112 403 1
5 404 1
6 404 1
65 404 1
66 404 1
44 404 1
187 404 1
68 404 1
162 404 1
72 404 1
17 404 1
73 404 1
74 404 1
118 404 1
196 404 1
148 404 1
59 404 1
197 404 1
76 404 1
63 404 1
198 404 1
77 404 1
199 404 1
80 404 1
82 404 1
120 404 1
4 404 1
153 404 1
200 404 1
201 404 1
15 404 1
85 404 1
86 404 1
89 404 1
90 404 1
202 404 1
54 404 1
91 404 1
92 404 1
94 404 1
7 404 1
125 404 1
43 404 1
12 404 1
143 404 1
46 404 1
97 404 1
129 404 1
98 404 1
99 404 1
39 404 1
101 404 1
145 404 1
203 404 1
102 404 1
158 404 1
103 404 1
133 404 1
31 404 1
104 404 1
180 404 1
13 404 1
14 404 1
146 404 1
204 404 1
106 404 1
38 404 1
107 404 1
42 405 1
5 405 1
6 405 1
11 405 1
187 405 1
69 405 1
16 405 1
0 405 1
20 405 1
73 405 1
74 405 1
205 405 1
47 405 1
198 405 1
77 405 1
28 405 1
4 405 1
87 405 1
2 405 1
55 405 1
23 405 1
101 405 1
103 405 1
31 405 1
13 405 1
108 405 1
42 406 1
6 406 1
44 406 1
17 406 1
20 406 1
21 406 1
63 406 1
206 406 1
77 406 1
28 406 1
81 406 1
4 406 1
154 406 1
83 406 1
15 406 1
182 406 1
84 406 1
85 406 1
86 406 1
12 406 1
97 406 1
130 406 1
101 406 1
8 406 1
177 406 1
31 406 1
14 406 1
107 406 1
5 407 1
6 407 1
189 407 1
65 407 1
11 407 1
17 407 1
19 407 1
20 407 1
74 407 1
21 407 1
205 407 1
137 407 1
150 407 1
163 407 1
207 407 1
139 407 1
28 407 1
4 407 1
86 407 1
122 407 1
88 407 1
90 407 1
168 407 1
208 407 1
55 407 1
7 407 1
12 407 1
127 407 1
143 407 1
58 407 1
23 407 1
209 407 1
210 407 1
211 407 1
60 407 1
144 407 1
145 407 1
212 407 1
103 407 1
133 407 1
14 407 1
135 407 1
22 407 1
147 407 1
36 407 1
108 407 1
42 408 1
66 408 1
67 408 1
68 408 1
117 408 1
20 408 1
4 408 1
52 408 1
43 408 1
213 408 1
98 408 1
99 408 1
103 408 1
5 409 1
187 409 1
17 409 1
0 409 1
20 409 1
152 409 1
28 409 1
80 409 1
214 409 1
4 409 1
2 409 1
43 409 1
8 409 1
14 409 1
66 410 1
215 410 1
117 410 1
35 410 1
17 410 1
20 410 1
63 410 1
1 410 1
198 410 1
28 410 1
4 410 1
84 410 1
86 410 1
24 410 1
55 410 1
94 410 1
7 410 1
46 410 1
97 410 1
41 410 1
99 410 1
100 410 1
8 410 1
102 410 1
158 410 1
31 410 1
216 410 1
14 410 1
38 410 1
40 410 1
62 411 1
43 411 1
132 411 1
5 412 1
11 412 1
217 412 1
71 412 1
72 412 1
0 412 1
198 412 1
97 412 1
41 412 1
8 412 1
103 412 1
31 412 1
14 412 1
7 413 1
43 413 1
14 413 1
66 414 1
11 414 1
29 414 1
218 414 1
35 414 1
72 414 1
17 414 1
16 414 1
20 414 1
73 414 1
74 414 1
113 414 1
48 414 1
76 414 1
63 414 1
1 414 1
140 414 1
199 414 1
28 414 1
80 414 1
51 414 1
4 414 1
200 414 1
15 414 1
84 414 1
2 414 1
219 414 1
89 414 1
24 414 1
91 414 1
123 414 1
142 414 1
55 414 1
94 414 1
220 414 1
221 414 1
7 414 1
222 414 1
27 414 1
143 414 1
128 414 1
46 414 1
37 414 1
41 414 1
39 414 1
100 414 1
8 414 1
13 414 1
216 414 1
223 414 1
14 414 1
224 414 1
147 414 1
40 414 1
65 415 1
11 415 1
70 415 1
17 415 1
0 415 1
26 415 1
198 415 1
2 415 1
55 415 1
194 415 1
23 415 1
209 415 1
145 415 1
135 415 1
22 415 1
225 415 1
66 416 1
45 416 1
226 416 1
72 416 1
17 416 1
0 416 1
20 416 1
74 416 1
227 416 1
140 416 1
80 416 1
201 416 1
2 416 1
228 416 1
56 416 1
100 416 1
49 416 1
8 416 1
53 416 1
229 416 1
230 416 1
42 417 1
5 417 1
6 417 1
11 417 1
44 417 1
226 417 1
35 417 1
17 417 1
0 417 1
20 417 1
73 417 1
74 417 1
151 417 1
59 417 1
76 417 1
63 417 1
198 417 1
77 417 1
28 417 1
30 417 1
81 417 1
121 417 1
4 417 1
15 417 1
84 417 1
86 417 1
24 417 1
91 417 1
231 417 1
55 417 1
7 417 1
43 417 1
12 417 1
46 417 1
23 417 1
130 417 1
39 417 1
100 417 1
101 417 1
49 417 1
145 417 1
8 417 1
50 417 1
158 417 1
31 417 1
14 417 1
146 417 1
22 417 1
106 417 1
147 417 1
38 417 1
107 417 1
40 417 1
5 418 1
232 418 1
0 418 1
55 418 1
8 418 1
14 418 1
5 419 1
21 419 1
233 419 1
209 419 1
47 420 1
43 420 1
46 420 1
130 420 1
101 420 1
49 420 1
179 420 1
53 420 1
42 421 1
65 421 1
67 421 1
29 421 1
68 421 1
117 421 1
35 421 1
17 421 1
16 421 1
0 421 1
19 421 1
20 421 1
74 421 1
205 421 1
197 421 1
190 421 1
227 421 1
1 421 1
140 421 1
206 421 1
77 421 1
234 421 1
78 421 1
28 421 1
81 421 1
235 421 1
84 421 1
85 421 1
86 421 1
2 421 1
219 421 1
124 421 1
55 421 1
126 421 1
128 421 1
46 421 1
97 421 1
129 421 1
236 421 1
41 421 1
99 421 1
39 421 1
100 421 1
237 421 1
8 421 1
50 421 1
64 421 1
103 421 1
31 421 1
104 421 1
216 421 1
238 421 1
239 421 1
135 421 1
106 421 1
240 421 1
136 421 1
225 421 1
107 421 1
159 421 1
40 421 1
6 422 1
17 422 1
4 422 1
183 422 1
144 422 1
8 422 1
5 423 1
6 423 1
29 423 1
44 423 1
35 423 1
17 423 1
0 423 1
20 423 1
73 423 1
118 423 1
196 423 1
21 423 1
150 423 1
164 423 1
166 423 1
76 423 1
190 423 1
63 423 1
1 423 1
198 423 1
77 423 1
78 423 1
28 423 1
81 423 1
120 423 1
121 423 1
4 423 1
153 423 1
83 423 1
15 423 1
182 423 1
84 423 1
85 423 1
86 423 1
87 423 1
2 423 1
89 423 1
24 423 1
91 423 1
55 423 1
94 423 1
7 423 1
125 423 1
12 423 1
32 423 1
96 423 1
241 423 1
46 423 1
97 423 1
41 423 1
130 423 1
100 423 1
101 423 1
8 423 1
50 423 1
158 423 1
103 423 1
133 423 1
31 423 1
104 423 1
180 423 1
13 423 1
14 423 1
242 423 1
181 423 1
135 423 1
204 423 1
106 423 1
159 423 1
40 423 1
160 423 1
0 424 1
42 425 1
5 425 1
6 425 1
188 425 1
65 425 1
187 425 1
68 425 1
70 425 1
71 425 1
35 425 1
17 425 1
16 425 1
0 425 1
19 425 1
20 425 1
73 425 1
74 425 1
59 425 1
75 425 1
48 425 1
76 425 1
63 425 1
78 425 1
28 425 1
80 425 1
30 425 1
243 425 1
4 425 1
153 425 1
200 425 1
