6770 303361
0 735 1
1 735 1
2 735 1
3 735 1
4 735 1
5 735 1
6 735 1
7 735 1
8 736 1
9 736 1
10 736 1
11 736 1
12 736 1
13 736 1
14 736 1
15 736 1
16 736 1
17 736 1
18 736 1
19 736 1
20 736 1
21 736 1
22 736 1
23 736 1
24 736 1
25 736 1
26 736 1
27 736 1
28 736 1
29 736 1
30 736 1
31 736 1
32 736 1
33 736 1
34 736 1
35 736 1
36 736 1
37 736 1
38 736 1
39 736 1
40 736 1
41 736 1
42 736 1
43 736 1
44 736 1
45 736 1
46 736 1
47 736 1
48 736 1
49 736 1
50 736 1
51 736 1
8 737 1
52 737 1
11 737 1
53 737 1
54 737 1
19 737 1
55 737 1
56 737 1
57 737 1
6 737 1
58 737 1
59 737 1
60 737 1
29 737 1
61 737 1
35 737 1
34 737 1
0 737 1
38 737 1
39 737 1
62 737 1
63 737 1
64 737 1
50 737 1
65 737 1
66 737 1
11 738 1
67 738 1
68 738 1
6 738 1
29 738 1
35 738 1
38 738 1
69 738 1
70 738 1
71 738 1
72 739 1
73 739 1
74 739 1
75 739 1
10 739 1
17 739 1
76 739 1
77 739 1
78 739 1
79 739 1
80 739 1
81 739 1
82 739 1
83 739 1
61 739 1
84 739 1
32 739 1
85 739 1
39 739 1
41 739 1
86 739 1
87 739 1
88 739 1
7 739 1
89 739 1
90 739 1
91 739 1
92 739 1
93 739 1
94 739 1
95 739 1
96 739 1
57 739 1
97 739 1
98 739 1
99 739 1
100 739 1
101 739 1
102 739 1
103 739 1
104 739 1
2 739 1
105 739 1
5 739 1
106 739 1
107 740 1
108 740 1
84 740 1
34 740 1
4 740 1
50 740 1
109 740 1
11 740 1
28 740 1
110 740 1
111 740 1
8 741 1
112 741 1
10 741 1
17 741 1
27 741 1
82 741 1
61 741 1
84 741 1
32 741 1
35 741 1
41 741 1
47 741 1
49 741 1
113 741 1
114 741 1
95 741 1
22 741 1
57 741 1
29 741 1
48 741 1
73 742 1
10 742 1
20 742 1
24 742 1
25 742 1
27 742 1
61 742 1
84 742 1
115 742 1
41 742 1
116 742 1
117 742 1
118 742 1
45 742 1
119 742 1
120 742 1
50 742 1
7 742 1
113 742 1
11 742 1
22 742 1
96 742 1
23 742 1
97 742 1
57 742 1
121 742 1
100 742 1
122 742 1
29 742 1
104 742 1
123 742 1
124 742 1
48 742 1
125 742 1
112 743 1
77 743 1
20 743 1
78 743 1
24 743 1
83 743 1
126 743 1
84 743 1
36 743 1
34 743 1
85 743 1
39 743 1
41 743 1
127 743 1
49 743 1
3 743 1
88 743 1
7 743 1
128 743 1
129 743 1
11 743 1
130 743 1
131 743 1
97 743 1
100 743 1
29 743 1
101 743 1
132 743 1
133 743 1
48 743 1
5 743 1
8 744 1
9 744 1
134 744 1
135 744 1
136 744 1
137 744 1
19 744 1
55 744 1
138 744 1
139 744 1
27 744 1
140 744 1
141 744 1
142 744 1
143 744 1
144 744 1
35 744 1
34 744 1
0 744 1
38 744 1
145 744 1
146 744 1
41 744 1
147 744 1
3 744 1
88 744 1
148 744 1
128 744 1
1 744 1
149 744 1
150 744 1
151 744 1
54 744 1
152 744 1
153 744 1
154 744 1
6 744 1
155 744 1
31 744 1
156 744 1
157 744 1
158 744 1
159 744 1
2 744 1
160 744 1
161 744 1
162 744 1
163 744 1
164 744 1
5 744 1
165 744 1
166 744 1
167 744 1
108 744 1
168 744 1
18 744 1
21 744 1
78 744 1
169 744 1
86 744 1
170 744 1
4 744 1
171 744 1
172 744 1
173 744 1
50 744 1
174 744 1
175 744 1
176 744 1
113 744 1
11 744 1
67 744 1
177 744 1
178 744 1
179 744 1
57 744 1
97 744 1
180 744 1
181 744 1
28 744 1
29 744 1
182 744 1
183 744 1
62 744 1
64 744 1
184 744 1
185 744 1
186 744 1
66 744 1
71 744 1
187 744 1
188 744 1
189 744 1
19 745 1
139 745 1
34 745 1
0 745 1
38 745 1
39 745 1
129 745 1
92 745 1
190 745 1
191 745 1
5 745 1
77 745 1
83 745 1
119 745 1
7 745 1
90 745 1
91 745 1
113 745 1
131 745 1
179 745 1
192 745 1
29 745 1
193 745 1
101 745 1
103 745 1
136 746 1
38 746 1
39 746 1
2 746 1
121 746 1
194 746 1
