6418 191870
0 410 1
1 410 1
2 410 1
3 410 1
4 410 1
5 410 1
6 410 1
7 411 1
8 411 1
9 411 1
10 411 1
11 411 1
12 411 1
13 411 1
14 411 1
15 411 1
16 411 1
17 411 1
18 411 1
6 411 1
19 411 1
20 411 1
21 411 1
22 411 1
23 411 1
24 411 1
25 411 1
26 411 1
27 411 1
28 411 1
29 411 1
30 411 1
31 411 1
32 411 1
33 411 1
34 411 1
35 411 1
36 411 1
37 411 1
8 412 1
38 412 1
11 412 1
39 412 1
40 412 1
15 412 1
41 412 1
42 412 1
43 412 1
5 412 1
44 412 1
45 412 1
46 412 1
21 412 1
47 412 1
26 412 1
25 412 1
0 412 1
29 412 1
48 412 1
49 412 1
50 412 1
36 412 1
51 412 1
52 412 1
11 413 1
5 413 1
6 413 1
21 413 1
26 413 1
29 413 1
53 413 1
54 414 1
10 414 1
55 414 1
56 414 1
47 414 1
24 414 1
57 414 1
58 414 1
59 414 1
43 414 1
60 414 1
6 414 1
2 414 1
61 414 1
37 414 1
62 415 1
63 415 1
25 415 1
4 415 1
36 415 1
11 415 1
64 415 1
65 415 1
20 415 1
66 415 1
67 415 1
34 415 1
8 416 1
10 416 1
47 416 1
26 416 1
32 416 1
64 416 1
43 416 1
17 416 1
6 416 1
21 416 1
33 416 1
10 417 1
68 417 1
47 417 1
24 417 1
69 417 1
70 417 1
71 417 1
3 417 1
72 417 1
36 417 1
73 417 1
11 417 1
43 417 1
17 417 1
6 417 1
65 417 1
21 417 1
33 417 1
27 418 1
25 418 1
3 418 1
74 418 1
11 418 1
75 418 1
60 418 1
6 418 1
21 418 1
66 418 1
76 418 1
33 418 1
34 418 1
8 419 1
9 419 1
55 419 1
77 419 1
78 419 1
79 419 1
15 419 1
41 419 1
80 419 1
81 419 1
82 419 1
83 419 1
19 419 1
22 419 1
26 419 1
25 419 1
0 419 1
29 419 1
84 419 1
85 419 1
86 419 1
87 419 1
88 419 1
74 419 1
89 419 1
1 419 1
90 419 1
91 419 1
14 419 1
92 419 1
93 419 1
40 419 1
94 419 1
95 419 1
96 419 1
5 419 1
97 419 1
23 419 1
66 419 1
98 419 1
99 419 1
100 419 1
101 419 1
2 419 1
102 419 1
103 419 1
104 419 1
34 419 1
35 419 1
105 419 1
37 419 1
106 419 1
107 419 1
108 419 1
63 419 1
109 419 1
16 419 1
110 419 1
57 419 1
111 419 1
3 419 1
4 419 1
112 419 1
113 419 1
114 419 1
36 419 1
115 419 1
116 419 1
11 419 1
117 419 1
118 419 1
17 419 1
43 419 1
119 419 1
120 419 1
20 419 1
21 419 1
121 419 1
122 419 1
76 419 1
48 419 1
50 419 1
123 419 1
124 419 1
125 419 1
52 419 1
126 419 1
127 419 1
128 419 1
15 420 1
25 420 1
0 420 1
29 420 1
129 420 1
130 420 1
37 420 1
75 420 1
17 420 1
131 420 1
21 420 1
132 420 1
29 421 1
2 421 1
133 421 1
76 421 1
54 422 1
8 422 1
9 422 1
77 422 1
15 422 1
80 422 1
81 422 1
83 422 1
134 422 1
26 422 1
25 422 1
0 422 1
28 422 1
29 422 1
84 422 1
85 422 1
135 422 1
88 422 1
74 422 1
1 422 1
91 422 1
136 422 1
92 422 1
40 422 1
94 422 1
96 422 1
137 422 1
138 422 1
5 422 1
23 422 1
98 422 1
99 422 1
100 422 1
101 422 1
2 422 1
139 422 1
33 422 1
35 422 1
140 422 1
141 422 1
105 422 1
10 422 1
13 422 1
142 422 1
143 422 1
16 422 1
44 422 1
144 422 1
57 422 1
111 422 1
32 422 1
3 422 1
145 422 1
113 422 1
146 422 1
