5686 82006
0 271 1
1 271 1
2 271 1
3 271 1
4 271 1
5 271 1
6 271 1
7 271 1
8 271 1
9 271 1
10 271 1
11 271 1
12 271 1
13 271 1
14 271 1
15 271 1
16 271 1
17 271 1
18 271 1
19 271 1
20 271 1
21 271 1
21 272 1
1 272 1
22 272 1
9 273 1
23 274 1
24 274 1
25 274 1
1 274 1
26 274 1
27 274 1
3 274 1
28 274 1
29 275 1
30 275 1
31 275 1
8 275 1
13 275 1
17 275 1
4 275 1
12 275 1
22 275 1
32 275 1
33 275 1
34 275 1
35 275 1
36 275 1
18 275 1
28 275 1
37 276 1
17 276 1
38 276 1
39 276 1
40 276 1
7 277 1
17 277 1
1 277 1
10 277 1
11 277 1
41 277 1
42 277 1
43 277 1
21 277 1
44 278 1
7 278 1
45 278 1
46 278 1
13 278 1
47 278 1
17 278 1
48 278 1
49 278 1
50 278 1
2 278 1
4 278 1
51 278 1
52 278 1
53 278 1
54 278 1
10 278 1
55 278 1
56 278 1
22 278 1
32 278 1
57 278 1
58 278 1
59 278 1
60 278 1
61 278 1
62 278 1
63 278 1
64 278 1
65 278 1
21 278 1
3 278 1
66 278 1
67 278 1
68 278 1
69 278 1
16 278 1
70 278 1
71 278 1
18 278 1
72 278 1
29 278 1
73 278 1
74 278 1
31 278 1
8 278 1
1 278 1
11 278 1
12 278 1
75 278 1
41 278 1
76 278 1
6 278 1
77 278 1
42 278 1
78 278 1
79 278 1
43 278 1
27 278 1
80 278 1
81 278 1
9 278 1
82 278 1
83 278 1
84 278 1
85 278 1
86 278 1
87 278 1
45 279 1
88 279 1
1 279 1
20 279 1
89 279 1
27 279 1
3 280 1
23 281 1
44 281 1
48 281 1
60 281 1
65 281 1
3 281 1
90 281 1
72 281 1
91 281 1
75 281 1
92 281 1
77 281 1
9 281 1
86 281 1
60 282 1
31 282 1
93 282 1
94 282 1
23 283 1
95 283 1
96 283 1
97 283 1
1 283 1
94 283 1
7 284 1
4 284 1
52 284 1
39 284 1
40 284 1
63 284 1
21 284 1
69 284 1
28 284 1
1 284 1
92 284 1
41 284 1
98 284 1
9 284 1
99 284 1
86 284 1
23 285 1
30 285 1
100 285 1
101 285 1
44 285 1
45 285 1
46 285 1
14 285 1
13 285 1
47 285 1
17 285 1
48 285 1
102 285 1
49 285 1
103 285 1
104 285 1
2 285 1
4 285 1
51 285 1
52 285 1
105 285 1
106 285 1
39 285 1
40 285 1
54 285 1
107 285 1
56 285 1
22 285 1
32 285 1
108 285 1
57 285 1
109 285 1
58 285 1
110 285 1
88 285 1
111 285 1
112 285 1
113 285 1
59 285 1
60 285 1
61 285 1
63 285 1
64 285 1
114 285 1
115 285 1
116 285 1
3 285 1
117 285 1
15 285 1
16 285 1
71 285 1
90 285 1
18 285 1
19 285 1
72 285 1
28 285 1
74 285 1
118 285 1
31 285 1
8 285 1
1 285 1
93 285 1
11 285 1
75 285 1
119 285 1
20 285 1
41 285 1
120 285 1
121 285 1
6 285 1
77 285 1
122 285 1
123 285 1
124 285 1
78 285 1
26 285 1
27 285 1
94 285 1
125 285 1
9 285 1
126 285 1
99 285 1
23 286 1
7 286 1
25 286 1
13 286 1
17 286 1
49 286 1
103 286 1
2 286 1
4 286 1
51 286 1
40 286 1
54 286 1
95 286 1
56 286 1
22 286 1
57 286 1
109 286 1
58 286 1
110 286 1
64 286 1
21 286 1
3 286 1
5 286 1
97 286 1
16 286 1
71 286 1
19 286 1
28 286 1
37 286 1
31 286 1
1 286 1
77 286 1
42 286 1
94 286 1
127 286 1
9 286 1
23 287 1
25 287 1
13 287 1
128 287 1
17 287 1
51 287 1
39 287 1
129 287 1
97 287 1
1 287 1
11 287 1
92 287 1
6 287 1
94 287 1
23 288 1
44 288 1
45 288 1
46 288 1
130 288 1
50 288 1
103 288 1
105 288 1
22 288 1
57 288 1
60 288 1
3 288 1
131 288 1
72 288 1
12 288 1
75 288 1
132 288 1
98 288 1
77 288 1
123 288 1
124 288 1
9 288 1
86 288 1
44 289 1
7 289 1
128 289 1
17 289 1
48 289 1
0 289 1
4 289 1
52 289 1
39 289 1
10 289 1
55 289 1
88 289 1
62 289 1
65 289 1
69 289 1
97 289 1
72 289 1
28 289 1
1 289 1
91 289 1
75 289 1
41 289 1
98 289 1
77 289 1
42 289 1
26 289 1
43 289 1
27 289 1
9 289 1
23 290 1
128 290 1
22 290 1
3 290 1
31 290 1
77 290 1
23 291 1
25 291 1
133 291 1
13 291 1
134 291 1
21 291 1
1 291 1
92 291 1
132 291 1
41 291 1
123 291 1
135 292 1
136 292 1
44 292 1
137 292 1
25 292 1
45 292 1
13 292 1
17 292 1
49 292 1
4 292 1
138 292 1
55 292 1
22 292 1
32 292 1
21 292 1
117 292 1
67 292 1
139 292 1
18 292 1
31 292 1
8 292 1
1 292 1
38 292 1
140 292 1
141 292 1
142 292 1
120 292 1
121 292 1
77 292 1
143 292 1
9 292 1
126 292 1
23 293 1
48 293 1
50 293 1
57 293 1
75 293 1
77 293 1
9 293 1
128 294 1
17 294 1
56 294 1
3 294 1
27 294 1
81 294 1
9 294 1
98 295 1
7 296 1
9 296 1
54 297 1
56 297 1
88 297 1
111 297 1
1 297 1
77 297 1
144 298 1
10 298 1
145 298 1
41 298 1
27 298 1
45 299 1
2 299 1
4 299 1
56 299 1
88 299 1
111 299 1
112 299 1
114 299 1
3 299 1
66 299 1
146 299 1
69 299 1
18 299 1
28 299 1
31 299 1
26 299 1
9 299 1
36 299 1
44 300 1
25 300 1
17 300 1
10 300 1
22 300 1
147 300 1
3 300 1
18 300 1
28 300 1
140 300 1
42 300 1
9 300 1
4 301 1
54 301 1
56 301 1
22 301 1
58 301 1
3 301 1
117 301 1
18 301 1
19 301 1
29 301 1
148 301 1
41 301 1
42 301 1
23 302 1
25 302 1
14 302 1
13 302 1
17 302 1
130 302 1
49 302 1
4 302 1
39 302 1
54 302 1
134 302 1
22 302 1
21 302 1
5 302 1
97 302 1
28 302 1
37 302 1
1 302 1
11 302 1
92 302 1
98 302 1
27 302 1
9 302 1
56 303 1
22 303 1
113 303 1
145 303 1
30 304 1
137 304 1
45 304 1
13 304 1
17 304 1
32 304 1
64 304 1
149 304 1
28 304 1
31 304 1
8 304 1
1 304 1
140 304 1
20 304 1
25 305 1
21 305 1
150 305 1
1 305 1
92 305 1
41 305 1
23 306 1
44 306 1
48 306 1
151 306 1
60 306 1
3 306 1
146 306 1
90 306 1
91 306 1
152 306 1
77 306 1
30 307 1
118 307 1
20 307 1
52 308 1
55 308 1
60 308 1
21 308 1
3 308 1
69 308 1
28 308 1
92 308 1
76 308 1
98 308 1
77 308 1
9 308 1
99 308 1
21 309 1
94 309 1
23 310 1
44 310 1
133 310 1
128 310 1
17 310 1
48 310 1
2 310 1
51 310 1
52 310 1
39 310 1
40 310 1
53 310 1
10 310 1
55 310 1
56 310 1
108 310 1
57 310 1
88 310 1
111 310 1
112 310 1
60 310 1
153 310 1
3 310 1
16 310 1
18 310 1
72 310 1
28 310 1
29 310 1
154 310 1
92 310 1
119 310 1
155 310 1
41 310 1
33 310 1
6 310 1
77 310 1
42 310 1
43 310 1
27 310 1
80 310 1
9 310 1
84 310 1
86 310 1
101 311 1
44 311 1
25 311 1
45 311 1
13 311 1
17 311 1
55 311 1
22 311 1
21 311 1
156 311 1
68 311 1
157 311 1
18 311 1
158 311 1
28 311 1
