7275 382631
0 1243 1
1 1243 1
2 1243 1
3 1243 1
4 1243 1
5 1243 1
6 1243 1
7 1243 1
8 1243 1
9 1243 1
10 1243 1
11 1243 1
12 1243 1
13 1243 1
14 1243 1
15 1243 1
16 1243 1
17 1243 1
18 1243 1
19 1243 1
20 1243 1
21 1243 1
22 1243 1
23 1243 1
24 1243 1
25 1243 1
26 1244 1
27 1244 1
28 1244 1
29 1244 1
30 1244 1
31 1244 1
32 1244 1
33 1244 1
34 1244 1
35 1244 1
36 1244 1
37 1244 1
38 1244 1
39 1244 1
40 1244 1
41 1244 1
11 1244 1
42 1244 1
43 1244 1
44 1244 1
45 1244 1
46 1244 1
47 1244 1
48 1244 1
49 1244 1
50 1245 1
51 1245 1
52 1245 1
53 1245 1
54 1245 1
55 1245 1
56 1245 1
57 1245 1
58 1245 1
59 1245 1
31 1245 1
60 1245 1
61 1245 1
34 1245 1
25 1245 1
62 1245 1
63 1245 1
35 1245 1
1 1245 1
2 1245 1
64 1245 1
65 1245 1
66 1245 1
67 1245 1
13 1245 1
68 1245 1
69 1245 1
46 1245 1
70 1245 1
71 1245 1
72 1246 1
73 1246 1
74 1246 1
75 1246 1
76 1246 1
77 1246 1
78 1246 1
59 1246 1
79 1246 1
80 1246 1
81 1246 1
34 1246 1
82 1246 1
83 1246 1
1 1246 1
84 1246 1
36 1246 1
85 1246 1
86 1246 1
37 1246 1
87 1246 1
88 1246 1
89 1246 1
90 1246 1
91 1246 1
92 1246 1
93 1246 1
94 1246 1
95 1246 1
60 1246 1
96 1246 1
97 1246 1
98 1246 1
99 1246 1
100 1246 1
101 1246 1
102 1246 1
103 1246 1
104 1246 1
105 1246 1
106 1246 1
107 1246 1
108 1246 1
109 1246 1
110 1246 1
111 1246 1
112 1246 1
113 1246 1
114 1246 1
115 1246 1
116 1246 1
117 1246 1
118 1246 1
119 1246 1
120 1246 1
121 1246 1
48 1246 1
122 1246 1
123 1247 1
124 1247 1
125 1247 1
126 1247 1
127 1247 1
128 1247 1
30 1247 1
14 1247 1
32 1247 1
18 1247 1
22 1247 1
34 1247 1
5 1247 1
129 1247 1
130 1247 1
131 1247 1
17 1247 1
132 1247 1
71 1247 1
133 1247 1
134 1247 1
53 1247 1
135 1247 1
136 1247 1
137 1247 1
138 1247 1
139 1247 1
140 1247 1
141 1247 1
38 1247 1
142 1247 1
11 1247 1
143 1247 1
144 1247 1
145 1247 1
23 1247 1
121 1247 1
42 1248 1
13 1248 1
60 1248 1
74 1249 1
146 1249 1
147 1249 1
148 1249 1
22 1249 1
149 1249 1
34 1249 1
35 1249 1
150 1249 1
151 1249 1
152 1249 1
153 1249 1
154 1249 1
155 1249 1
60 1249 1
156 1249 1
38 1249 1
157 1249 1
158 1249 1
114 1249 1
159 1249 1
12 1250 1
160 1250 1
161 1250 1
22 1250 1
34 1250 1
162 1250 1
35 1250 1
1 1250 1
129 1250 1
163 1250 1
164 1250 1
15 1250 1
16 1250 1
90 1250 1
45 1250 1
165 1250 1
166 1250 1
94 1250 1
167 1250 1
95 1250 1
168 1250 1
169 1250 1
33 1250 1
137 1250 1
170 1250 1
25 1250 1
171 1250 1
172 1250 1
158 1250 1
173 1251 1
174 1251 1
175 1251 1
176 1251 1
12 1251 1
57 1251 1
177 1251 1
178 1251 1
147 1251 1
179 1251 1
127 1251 1
59 1251 1
31 1251 1
180 1251 1
181 1251 1
182 1251 1
18 1251 1
161 1251 1
183 1251 1
22 1251 1
184 1251 1
185 1251 1
186 1251 1
187 1251 1
162 1251 1
188 1251 1
189 1251 1
190 1251 1
191 1251 1
35 1251 1
192 1251 1
2 1251 1
4 1251 1
85 1251 1
5 1251 1
37 1251 1
193 1251 1
129 1251 1
194 1251 1
195 1251 1
13 1251 1
196 1251 1
197 1251 1
198 1251 1
199 1251 1
200 1251 1
15 1251 1
43 1251 1
201 1251 1
90 1251 1
202 1251 1
203 1251 1
45 1251 1
204 1251 1
205 1251 1
206 1251 1
71 1251 1
133 1251 1
207 1251 1
208 1251 1
3 1251 1
209 1251 1
210 1251 1
211 1251 1
212 1251 1
94 1251 1
167 1251 1
213 1251 1
28 1251 1
29 1251 1
214 1251 1
215 1251 1
216 1251 1
217 1251 1
218 1251 1
219 1251 1
220 1251 1
221 1251 1
222 1251 1
223 1251 1
