6234 122834
0 306 1
1 306 1
2 306 1
3 306 1
4 306 1
5 306 1
6 306 1
7 306 1
8 306 1
9 306 1
10 306 1
11 306 1
12 306 1
13 306 1
14 306 1
15 306 1
16 306 1
17 306 1
18 306 1
19 306 1
20 307 1
21 307 1
22 307 1
23 307 1
24 307 1
25 307 1
26 307 1
27 307 1
28 307 1
29 307 1
30 307 1
31 307 1
18 308 1
1 308 1
32 308 1
16 309 1
33 310 1
21 310 1
34 310 1
35 310 1
36 310 1
37 310 1
38 310 1
39 310 1
40 310 1
41 310 1
42 310 1
1 310 1
43 310 1
44 310 1
45 310 1
19 310 1
46 310 1
47 310 1
22 310 1
48 310 1
49 310 1
50 310 1
51 310 1
52 310 1
16 310 1
53 311 1
54 311 1
55 311 1
56 311 1
39 311 1
7 311 1
11 311 1
15 311 1
3 311 1
10 311 1
32 311 1
41 312 1
57 312 1
21 313 1
34 313 1
58 313 1
59 313 1
39 313 1
25 313 1
15 313 1
60 313 1
61 313 1
19 313 1
62 313 1
22 313 1
63 313 1
64 313 1
65 313 1
66 313 1
16 313 1
21 314 1
34 314 1
53 314 1
6 314 1
67 314 1
37 314 1
40 314 1
25 314 1
15 314 1
42 314 1
1 314 1
43 314 1
68 314 1
8 314 1
9 314 1
19 314 1
69 314 1
22 314 1
48 314 1
70 314 1
57 314 1
71 314 1
18 314 1
50 314 1
16 314 1
6 315 1
11 315 1
15 315 1
72 315 1
73 315 1
74 315 1
75 315 1
2 315 1
3 315 1
76 315 1
77 315 1
78 315 1
8 315 1
79 315 1
32 315 1
80 315 1
81 315 1
82 315 1
83 315 1
84 315 1
18 315 1
85 315 1
86 315 1
87 315 1
14 315 1
88 315 1
89 315 1
54 315 1
90 315 1
56 315 1
67 315 1
7 315 1
40 315 1
1 315 1
9 315 1
10 315 1
91 315 1
92 315 1
31 315 1
93 315 1
69 315 1
5 315 1
70 315 1
57 315 1
71 315 1
27 315 1
94 315 1
95 315 1
44 316 1
37 316 1
42 316 1
1 316 1
19 316 1
22 316 1
50 316 1
51 316 1
96 317 1
87 317 1
57 317 1
66 317 1
97 317 1
98 317 1
33 318 1
72 318 1
75 318 1
85 318 1
23 318 1
39 318 1
42 318 1
31 318 1
99 318 1
98 318 1
16 319 1
39 319 1
19 319 1
24 320 1
41 320 1
48 320 1
100 320 1
101 320 1
21 320 1
34 320 1
102 320 1
53 320 1
23 320 1
56 320 1
67 320 1
37 320 1
39 320 1
40 320 1
25 320 1
42 320 1
68 320 1
91 320 1
92 320 1
31 320 1
103 320 1
93 320 1
104 320 1
22 320 1
49 320 1
105 320 1
106 320 1
107 320 1
108 320 1
109 320 1
51 320 1
110 320 1
111 320 1
33 321 1
112 321 1
113 321 1
1 321 1
111 321 1
114 322 1
6 322 1
3 322 1
115 322 1
60 322 1
61 322 1
18 322 1
116 322 1
86 322 1
117 322 1
21 322 1
102 322 1
118 322 1
35 322 1
53 322 1
119 322 1
39 322 1
40 322 1
120 322 1
42 322 1
1 322 1
45 322 1
99 322 1
69 322 1
22 322 1
121 322 1
49 322 1
28 322 1
122 322 1
123 322 1
124 322 1
125 322 1
33 323 1
55 323 1
126 323 1
12 323 1
11 323 1
15 323 1
72 323 1
73 323 1
127 323 1
75 323 1
2 323 1
3 323 1
76 323 1
77 323 1
128 323 1
129 323 1
60 323 1
61 323 1
78 323 1
130 323 1
79 323 1
32 323 1
80 323 1
131 323 1
81 323 1
132 323 1
48 323 1
82 323 1
83 323 1
84 323 1
85 323 1
13 323 1
14 323 1
101 323 1
89 323 1
17 323 1
20 323 1
21 323 1
102 323 1
90 323 1
133 323 1
23 323 1
56 323 1
67 323 1
37 323 1
39 323 1
7 323 1
40 323 1
25 323 1
42 323 1
1 323 1
134 323 1
9 323 1
91 323 1
92 323 1
31 323 1
135 323 1
136 323 1
62 323 1
93 323 1
69 323 1
5 323 1
137 323 1
65 323 1
50 323 1
108 323 1
109 323 1
51 323 1
110 323 1
111 323 1
95 323 1
138 323 1
123 323 1
98 323 1
124 323 1
33 324 1
6 324 1
38 324 1
11 324 1
112 324 1
15 324 1
73 324 1
127 324 1
75 324 1
2 324 1
3 324 1
76 324 1
77 324 1
61 324 1
78 324 1
79 324 1
32 324 1
80 324 1
131 324 1
81 324 1
132 324 1
84 324 1
18 324 1
116 324 1
4 324 1
86 324 1
87 324 1
113 324 1
14 324 1
89 324 1
16 324 1
17 324 1
53 324 1
58 324 1
56 324 1
37 324 1
1 324 1
91 324 1
92 324 1
31 324 1
45 324 1
104 324 1
70 324 1
111 324 1
95 324 1
43 325 1
53 325 1
37 325 1
40 325 1
103 325 1
33 326 1
38 326 1
11 326 1
139 326 1
15 326 1
76 326 1
60 326 1
140 326 1
113 326 1
1 326 1
9 326 1
99 326 1
104 326 1
5 326 1
111 326 1
33 327 1
141 327 1
74 327 1
127 327 1
75 327 1
128 327 1
32 327 1
142 327 1
80 327 1
143 327 1
144 327 1
85 327 1
30 327 1
145 327 1
87 327 1
146 327 1
23 327 1
37 327 1
39 327 1
10 327 1
147 327 1
136 327 1
19 327 1
103 327 1
93 327 1
121 327 1
148 327 1
149 327 1
65 327 1
50 327 1
51 327 1
110 327 1
123 327 1
98 327 1
125 327 1
150 328 1
114 328 1
6 328 1
151 328 1
152 328 1
139 328 1
15 328 1
41 328 1
0 328 1
75 328 1
43 328 1
3 328 1
60 328 1
153 328 1
8 328 1
154 328 1
155 328 1
48 328 1
116 328 1
30 328 1
86 328 1
87 328 1
113 328 1
16 328 1
21 328 1
102 328 1
118 328 1
35 328 1
156 328 1
157 328 1
119 328 1
67 328 1
37 328 1
39 328 1
40 328 1
25 328 1
42 328 1
1 328 1
158 328 1
91 328 1
159 328 1
19 328 1
160 328 1
103 328 1
104 328 1
69 328 1
47 328 1
22 328 1
121 328 1
70 328 1
49 328 1
57 328 1
161 328 1
71 328 1
162 328 1
65 328 1
50 328 1
109 328 1
66 328 1
52 328 1
110 328 1
163 328 1
95 328 1
138 328 1
123 328 1
164 328 1
125 328 1
33 329 1
139 329 1
72 329 1
75 329 1
32 329 1
155 329 1
85 329 1
87 329 1
16 329 1
56 329 1
39 329 1
42 329 1
92 329 1
19 329 1
22 329 1
64 329 1
57 329 1
33 330 1
38 330 1
11 330 1
165 330 1
18 330 1
16 330 1
53 330 1
1 330 1
99 330 1
147 330 1
69 330 1
114 331 1
166 331 1
38 331 1
96 331 1
11 331 1
15 331 1
73 331 1
75 331 1
3 331 1
167 331 1
32 331 1
100 331 1
18 331 1
116 331 1
21 331 1
56 331 1
7 331 1
1 331 1
168 331 1
62 331 1
93 331 1
104 331 1
105 331 1
27 331 1
33 332 1
150 332 1
151 332 1
169 332 1
74 332 1
80 332 1
144 332 1
87 332 1
40 332 1
114 333 1
139 333 1
15 333 1
79 333 1
119 333 1
37 333 1
40 333 1
42 333 1
19 333 1
28 333 1
94 333 1
170 334 1
155 334 1
143 334 1
30 334 1
87 334 1
42 334 1
91 334 1
121 334 1
57 334 1
6 335 1
16 335 1
39 335 1
40 335 1
42 335 1
19 335 1
22 335 1
78 336 1
79 336 1
155 336 1
144 336 1
34 336 1
1 336 1
91 336 1
92 336 1
93 336 1
95 336 1
171 337 1
8 337 1
119 337 1
37 337 1
40 337 1
42 337 1
172 337 1
19 337 1
69 337 1
151 338 1
96 338 1
169 338 1
75 338 1
2 338 1
3 338 1
173 338 1
170 338 1
79 338 1
46 338 1
26 338 1
144 338 1
30 338 1
87 338 1
20 338 1
21 338 1
118 338 1
35 338 1
157 338 1
56 338 1
119 338 1
37 338 1
39 338 1
25 338 1
42 338 1
29 338 1
91 338 1
92 338 1
174 338 1
19 338 1
22 338 1
49 338 1
57 338 1
175 338 1
162 338 1
27 338 1
65 338 1
50 338 1
28 338 1
110 338 1
95 338 1
38 339 1
15 339 1
8 339 1
32 339 1
155 339 1
48 339 1
91 339 1
92 339 1
104 339 1
70 339 1
75 340 1
3 340 1
78 340 1
79 340 1
32 340 1
81 340 1
26 340 1
144 340 1
16 340 1
17 340 1
54 340 1
39 340 1
176 340 1
19 340 1
69 340 1
70 340 1
51 340 1
33 341 1
38 341 1
12 341 1
11 341 1
15 341 1
41 341 1
141 341 1
73 341 1
75 341 1
43 341 1
3 341 1
115 341 1
60 341 1
78 341 1
165 341 1
44 341 1
32 341 1
155 341 1
18 341 1
116 341 1
4 341 1
87 341 1
113 341 1
101 341 1
20 341 1
102 341 1
35 341 1
58 341 1
37 341 1
39 341 1
40 341 1
25 341 1
1 341 1
68 341 1
9 341 1
91 341 1
92 341 1
99 341 1
19 341 1
104 341 1
121 341 1
64 341 1
57 341 1
161 341 1
162 341 1
65 341 1
107 341 1
109 341 1
110 341 1
177 341 1
125 341 1
79 342 1
32 342 1
37 342 1
172 342 1
55 343 1
11 343 1
15 343 1
84 343 1
178 343 1
56 343 1
37 343 1
39 343 1
7 343 1
179 343 1
1 343 1
38 344 1
112 344 1
44 344 1
18 344 1
16 344 1
40 344 1
1 344 1
99 344 1
69 344 1
180 344 1
107 344 1
51 344 1
33 345 1
75 345 1
93 345 1
55 346 1
133 346 1
41 347 1
155 347 1
18 347 1
116 347 1
85 347 1
30 347 1
86 347 1
87 347 1
102 347 1
67 347 1
39 347 1
91 347 1
92 347 1
99 347 1
121 347 1
57 347 1
161 347 1
163 347 1
124 347 1
125 347 1
181 347 1
18 348 1
107 348 1
111 348 1
33 349 1
96 349 1
139 349 1
15 349 1
75 349 1
2 349 1
76 349 1
60 349 1
61 349 1
8 349 1
79 349 1
80 349 1
87 349 1
14 349 1
102 349 1
53 349 1
54 349 1
99 349 1
135 349 1
104 349 1
69 349 1
5 349 1
70 349 1
71 349 1
95 349 1
182 349 1
38 350 1
11 350 1
15 350 1
72 350 1
32 350 1
48 350 1
18 350 1
144 350 1
7 350 1
1 350 1
10 350 1
136 350 1
87 351 1
19 351 1
22 351 1
57 351 1
50 351 1
33 352 1
24 352 1
11 352 1
15 352 1
41 352 1
141 352 1
75 352 1
2 352 1
3 352 1
76 352 1
128 352 1
60 352 1
78 352 1
167 352 1
32 352 1
80 352 1
81 352 1
132 352 1
82 352 1
84 352 1
18 352 1
144 352 1
85 352 1
13 352 1
87 352 1
20 352 1
21 352 1
58 352 1
40 352 1
25 352 1
1 352 1
134 352 1
9 352 1
10 352 1
93 352 1
111 352 1
98 352 1
12 352 1
72 352 1
183 352 1
165 352 1
184 352 1
185 352 1
26 352 1
186 352 1
4 352 1
14 352 1
113 352 1
17 352 1
56 352 1
67 352 1
37 352 1
7 352 1
39 352 1
187 352 1
42 352 1
99 352 1
147 352 1
19 352 1
22 352 1
57 352 1
64 352 1
161 352 1
125 352 1
139 353 1
15 353 1
0 353 1
75 353 1
2 353 1
3 353 1
60 353 1
61 353 1
32 353 1
18 353 1
13 353 1
87 353 1
20 353 1
58 353 1
25 353 1
1 353 1
9 353 1
10 353 1
149 353 1
66 353 1
111 353 1
38 353 1
96 353 1
12 353 1
185 353 1
178 353 1
116 353 1
4 353 1
113 353 1
16 353 1
56 353 1
39 353 1
29 353 1
159 353 1
69 353 1
70 353 1
125 353 1
80 354 1
34 354 1
186 354 1
53 354 1
69 354 1
11 355 1
15 355 1
18 355 1
40 355 1
172 355 1
9 355 1
24 356 1
41 356 1
149 356 1
63 356 1
77 356 1
103 356 1
65 356 1
138 356 1
33 357 1
150 357 1
114 357 1
11 357 1
74 357 1
0 357 1
75 357 1
2 357 1
3 357 1
60 357 1
61 357 1
78 357 1
8 357 1
79 357 1
32 357 1
188 357 1
80 357 1
81 357 1
84 357 1
18 357 1
13 357 1
87 357 1
20 357 1
21 357 1
34 357 1
102 357 1
35 357 1
40 357 1
25 357 1
179 357 1
1 357 1
189 357 1
10 357 1
62 357 1
104 357 1
49 357 1
106 357 1
63 357 1
107 357 1
109 357 1
51 357 1
52 357 1
111 357 1
123 357 1
190 357 1
55 357 1
77 357 1
115 357 1
165 357 1
44 357 1
184 357 1
191 357 1
116 357 1
192 357 1
86 357 1
113 357 1
14 357 1
16 357 1
17 357 1
54 357 1
90 357 1
157 357 1
193 357 1
56 357 1
119 357 1
37 357 1
39 357 1
7 357 1
42 357 1
158 357 1
91 357 1
31 357 1
99 357 1
147 357 1
174 357 1
136 357 1
19 357 1
103 357 1
69 357 1
47 357 1
22 357 1
121 357 1
194 357 1
148 357 1
64 357 1
57 357 1
195 357 1
50 357 1
163 357 1
138 357 1
196 357 1
124 357 1
125 357 1
181 357 1
18 358 1
96 358 1
95 358 1
18 359 1
4 359 1
113 359 1
39 359 1
42 359 1
22 359 1
11 360 1
15 360 1
41 360 1
173 360 1
48 360 1
18 360 1
40 360 1
1 360 1
49 360 1
123 360 1
44 360 1
56 360 1
39 360 1
42 360 1
19 360 1
22 360 1
50 360 1
36 361 1
0 361 1
60 361 1
34 361 1
171 361 1
53 361 1
37 361 1
45 361 1
103 361 1
69 361 1
57 361 1
94 361 1
6 362 1
73 362 1
127 362 1
0 362 1
75 362 1
2 362 1
3 362 1
76 362 1
173 362 1
60 362 1
61 362 1
78 362 1
80 362 1
131 362 1
132 362 1
48 362 1
18 362 1
85 362 1
87 362 1
20 362 1
34 362 1
102 362 1
40 362 1
197 362 1
72 362 1
77 362 1
44 362 1
14 362 1
16 362 1
118 362 1
119 362 1
67 362 1
39 362 1
187 362 1
91 362 1
92 362 1
31 362 1
147 362 1
19 362 1
103 362 1
69 362 1
22 362 1
5 362 1
121 362 1
57 362 1
50 362 1
124 362 1
125 362 1
181 362 1
0 363 1
79 363 1
80 363 1
46 363 1
144 363 1
34 363 1
40 363 1
28 363 1
151 363 1
30 363 1
16 363 1
19 363 1
27 363 1
95 363 1
15 364 1
48 364 1
40 364 1
1 364 1
62 364 1
104 364 1
149 364 1
63 364 1
115 364 1
64 364 1
100 365 1
185 365 1
45 365 1
33 366 1
198 366 1
41 366 1
75 366 1
2 366 1
76 366 1
173 366 1
80 366 1
155 366 1
144 366 1
87 366 1
20 366 1
21 366 1
34 366 1
102 366 1
40 366 1
25 366 1
179 366 1
199 366 1
93 366 1
63 366 1
28 366 1
151 366 1
96 366 1
115 366 1
200 366 1
26 366 1
17 366 1
157 366 1
39 366 1
201 366 1
187 366 1
42 366 1
29 366 1
158 366 1
91 366 1
92 366 1
31 366 1
19 366 1
22 366 1
5 366 1
64 366 1
57 366 1
162 366 1
27 366 1
50 366 1
122 366 1
196 366 1
125 366 1
33 367 1
41 367 1
18 367 1
38 367 1
44 367 1
113 367 1
16 367 1
103 367 1
69 367 1
64 367 1
38 368 1
33 369 1
11 369 1
15 369 1
75 369 1
3 369 1
18 369 1
20 369 1
21 369 1
134 369 1
53 369 1
23 369 1
42 369 1
91 369 1
19 369 1
0 370 1
28 371 1
96 371 1
26 371 1
30 371 1
29 371 1
22 371 1
27 371 1
15 372 1
78 372 1
8 372 1
48 372 1
144 372 1
1 372 1
43 372 1
16 372 1
69 372 1
34 373 1
35 373 1
157 373 1
39 373 1
33 374 1
18 374 1
1 374 1
107 374 1
108 374 1
111 374 1
38 374 1
44 374 1
69 374 1
40 375 1
107 375 1
53 375 1
68 376 1
93 376 1
19 376 1
24 377 1
6 377 1
15 377 1
75 377 1
32 377 1
84 377 1
85 377 1
1 377 1
134 377 1
149 377 1
51 377 1
38 377 1
72 377 1
77 377 1
116 377 1
16 377 1
53 377 1
23 377 1
37 377 1
91 377 1
92 377 1
31 377 1
147 377 1
202 377 1
103 377 1
69 377 1
70 377 1
125 377 1
181 377 1
87 378 1
203 378 1
40 378 1
63 378 1
51 378 1
123 378 1
96 378 1
115 378 1
39 378 1
42 378 1
159 378 1
19 378 1
126 379 1
11 379 1
15 379 1
141 379 1
73 379 1
0 379 1
2 379 1
3 379 1
76 379 1
128 379 1
129 379 1
78 379 1
8 379 1
167 379 1
79 379 1
32 379 1
80 379 1
131 379 1
81 379 1
132 379 1
82 379 1
83 379 1
204 379 1
84 379 1
18 379 1
205 379 1
13 379 1
206 379 1
1 379 1
172 379 1
207 379 1
9 379 1
10 379 1
208 379 1
111 379 1
209 379 1
55 379 1
12 379 1
183 379 1
165 379 1
178 379 1
186 379 1
4 379 1
113 379 1
14 379 1
89 379 1
17 379 1
54 379 1
90 379 1
133 379 1
56 379 1
7 379 1
135 379 1
69 379 1
5 379 1
70 379 1
137 379 1
71 379 1
210 379 1
211 379 1
212 379 1
213 379 1
6 380 1
15 380 1
8 380 1
40 380 1
1 380 1
197 380 1
123 380 1
38 380 1
43 380 1
16 380 1
118 380 1
53 380 1
119 380 1
37 380 1
39 380 1
42 380 1
45 380 1
19 380 1
22 380 1
70 380 1
71 380 1
50 380 1
214 380 1
38 381 1
69 381 1
11 382 1
15 382 1
0 382 1
