5242 51203
0 215 1
1 215 1
2 215 1
3 215 1
4 215 1
5 215 1
6 215 1
7 215 1
8 215 1
9 215 1
10 215 1
11 215 1
12 215 1
13 215 1
14 215 1
15 215 1
16 215 1
17 215 1
17 216 1
1 216 1
18 216 1
19 217 1
20 217 1
21 217 1
22 217 1
23 217 1
24 217 1
1 217 1
25 217 1
26 217 1
27 217 1
28 218 1
29 218 1
30 218 1
7 218 1
11 218 1
15 218 1
3 218 1
10 218 1
18 218 1
31 219 1
15 219 1
32 219 1
33 219 1
6 220 1
15 220 1
1 220 1
25 220 1
8 220 1
9 220 1
34 220 1
35 220 1
36 220 1
17 220 1
37 220 1
6 221 1
11 221 1
15 221 1
38 221 1
39 221 1
2 221 1
3 221 1
40 221 1
41 221 1
8 221 1
42 221 1
18 221 1
43 221 1
44 221 1
45 221 1
46 221 1
47 221 1
17 221 1
14 221 1
48 221 1
49 221 1
50 221 1
28 221 1
51 221 1
30 221 1
7 221 1
1 221 1
9 221 1
10 221 1
34 221 1
5 221 1
35 221 1
52 221 1
36 221 1
53 221 1
54 222 1
1 222 1
55 222 1
19 223 1
56 223 1
30 224 1
57 224 1
19 225 1
58 225 1
1 225 1
57 225 1
6 226 1
3 226 1
25 226 1
32 226 1
33 226 1
17 226 1
1 226 1
56 226 1
34 226 1
59 226 1
60 226 1
19 227 1
29 227 1
61 227 1
12 227 1
11 227 1
15 227 1
38 227 1
62 227 1
2 227 1
3 227 1
40 227 1
63 227 1
64 227 1
32 227 1
33 227 1
41 227 1
65 227 1
42 227 1
18 227 1
43 227 1
66 227 1
44 227 1
67 227 1
45 227 1
46 227 1
47 227 1
13 227 1
14 227 1
49 227 1
16 227 1
51 227 1
68 227 1
30 227 1
7 227 1
1 227 1
9 227 1
69 227 1
34 227 1
5 227 1
70 227 1
57 227 1
60 227 1
19 228 1
6 228 1
21 228 1
11 228 1
15 228 1
38 228 1
71 228 1
62 228 1
2 228 1
3 228 1
40 228 1
33 228 1
41 228 1
42 228 1
18 228 1
43 228 1
66 228 1
44 228 1
67 228 1
47 228 1
17 228 1
4 228 1
58 228 1
14 228 1
49 228 1
16 228 1
31 228 1
30 228 1
1 228 1
35 228 1
57 228 1
19 229 1
21 229 1
11 229 1
72 229 1
15 229 1
40 229 1
32 229 1
73 229 1
58 229 1
1 229 1
9 229 1
56 229 1
5 229 1
57 229 1
19 230 1
74 230 1
71 230 1
39 230 1
62 230 1
63 230 1
18 230 1
43 230 1
75 230 1
10 230 1
76 230 1
59 230 1
6 231 1
77 231 1
72 231 1
15 231 1
71 231 1
0 231 1
3 231 1
25 231 1
32 231 1
8 231 1
58 231 1
1 231 1
34 231 1
59 231 1
35 231 1
36 231 1
78 231 1
79 231 1
19 232 1
72 232 1
71 232 1
18 232 1
30 232 1
19 233 1
21 233 1
11 233 1
80 233 1
17 233 1
50 233 1
1 233 1
56 233 1
76 233 1
34 233 1
81 234 1
21 234 1
11 234 1
15 234 1
38 234 1
3 234 1
82 234 1
18 234 1
17 234 1
30 234 1
7 234 1
1 234 1
19 235 1
39 235 1
43 235 1
72 236 1
15 236 1
42 236 1
53 236 1
59 237 1
6 238 1
25 238 1
83 238 1
71 239 1
41 239 1
42 239 1
1 239 1
84 240 1
8 240 1
85 240 1
34 240 1
22 241 1
77 241 1
71 241 1
2 241 1
3 241 1
42 241 1
30 241 1
21 242 1
15 242 1
8 242 1
18 242 1
35 242 1
3 243 1
41 243 1
42 243 1
18 243 1
44 243 1
16 243 1
28 243 1
86 243 1
34 243 1
35 243 1
