5723 77565
0 167 1
1 167 1
2 167 1
3 167 1
4 167 1
5 167 1
6 167 1
7 167 1
8 167 1
9 167 1
10 167 1
11 167 1
12 167 1
13 167 1
14 167 1
15 167 1
16 167 1
17 167 1
18 167 1
19 167 1
20 167 1
21 168 1
22 169 1
18 169 1
20 169 1
1 169 1
23 169 1
18 170 1
9 170 1
24 171 1
25 171 1
26 171 1
1 171 1
27 172 1
28 172 1
29 172 1
8 172 1
13 172 1
17 172 1
3 172 1
12 172 1
23 172 1
30 172 1
31 172 1
32 173 1
17 173 1
33 173 1
34 173 1
7 174 1
35 174 1
17 174 1
1 174 1
10 174 1
11 174 1
36 174 1
37 174 1
38 174 1
20 174 1
39 175 1
21 175 1
40 175 1
7 175 1
22 175 1
41 175 1
13 175 1
42 175 1
17 175 1
43 175 1
44 175 1
45 175 1
2 175 1
3 175 1
46 175 1
47 175 1
48 175 1
10 175 1
49 175 1
50 175 1
23 175 1
51 175 1
52 175 1
53 175 1
54 175 1
55 175 1
56 175 1
57 175 1
58 175 1
59 175 1
18 175 1
20 175 1
60 175 1
61 175 1
62 175 1
16 175 1
63 175 1
64 175 1
65 175 1
66 175 1
27 175 1
67 175 1
29 175 1
35 175 1
8 175 1
68 175 1
1 175 1
6 175 1
11 175 1
12 175 1
69 175 1
70 175 1
36 175 1
71 175 1
5 175 1
72 175 1
37 175 1
73 175 1
74 175 1
75 175 1
76 175 1
38 175 1
77 175 1
31 175 1
78 175 1
79 175 1
80 175 1
9 175 1
81 175 1
60 176 1
82 176 1
1 176 1
24 177 1
21 177 1
40 177 1
43 177 1
55 177 1
59 177 1
83 177 1
18 177 1
65 177 1
84 177 1
69 177 1
85 177 1
72 177 1
77 177 1
79 177 1
9 177 1
22 178 1
55 178 1
18 178 1
62 178 1
82 178 1
29 178 1
35 178 1
86 178 1
87 178 1
24 179 1
88 179 1
1 179 1
87 179 1
7 180 1
3 180 1
47 180 1
33 180 1
34 180 1
89 180 1
57 180 1
18 180 1
20 180 1
90 180 1
61 180 1
1 180 1
85 180 1
36 180 1
91 180 1
76 180 1
79 180 1
9 180 1
92 180 1
24 181 1
39 181 1
21 181 1
28 181 1
93 181 1
40 181 1
22 181 1
41 181 1
14 181 1
13 181 1
42 181 1
17 181 1
43 181 1
44 181 1
94 181 1
95 181 1
96 181 1
2 181 1
3 181 1
46 181 1
47 181 1
97 181 1
98 181 1
99 181 1
33 181 1
34 181 1
100 181 1
48 181 1
101 181 1
50 181 1
23 181 1
51 181 1
102 181 1
52 181 1
103 181 1
54 181 1
55 181 1
56 181 1
57 181 1
58 181 1
83 181 1
18 181 1
62 181 1
104 181 1
15 181 1
16 181 1
64 181 1
19 181 1
65 181 1
66 181 1
67 181 1
105 181 1
29 181 1
35 181 1
8 181 1
1 181 1
106 181 1
6 181 1
86 181 1
11 181 1
69 181 1
70 181 1
107 181 1
36 181 1
5 181 1
72 181 1
108 181 1
74 181 1
76 181 1
87 181 1
31 181 1
79 181 1
9 181 1
92 181 1
24 182 1
39 182 1
21 182 1
7 182 1
26 182 1
13 182 1
17 182 1
44 182 1
95 182 1
2 182 1
3 182 1
46 182 1
34 182 1
100 182 1
48 182 1
50 182 1
23 182 1
51 182 1
102 182 1
52 182 1
103 182 1
58 182 1
18 182 1
20 182 1
4 182 1
88 182 1
16 182 1
64 182 1
19 182 1
32 182 1
29 182 1
1 182 1
72 182 1
37 182 1
76 182 1
87 182 1
9 182 1
24 183 1
26 183 1
13 183 1
109 183 1
17 183 1
46 183 1
33 183 1
110 183 1
88 183 1
1 183 1
11 183 1
85 183 1
5 183 1
87 183 1
24 184 1
21 184 1
40 184 1
41 184 1
111 184 1
45 184 1
95 184 1
97 184 1
23 184 1
51 184 1
55 184 1
60 184 1
112 184 1
65 184 1
66 184 1
6 184 1
12 184 1
69 184 1
113 184 1
91 184 1
72 184 1
31 184 1
9 184 1
21 185 1
40 185 1
7 185 1
109 185 1
17 185 1
43 185 1
94 185 1
0 185 1
3 185 1
47 185 1
33 185 1
10 185 1
49 185 1
59 185 1
83 185 1
18 185 1
60 185 1
61 185 1
62 185 1
104 185 1
88 185 1
82 185 1
65 185 1
66 185 1
35 185 1
1 185 1
6 185 1
84 185 1
69 185 1
70 185 1
36 185 1
91 185 1
72 185 1
37 185 1
76 185 1
38 185 1
77 185 1
31 185 1
79 185 1
9 185 1
114 185 1
24 186 1
21 186 1
109 186 1
23 186 1
18 186 1
60 186 1
29 186 1
6 186 1
72 186 1
31 186 1
24 187 1
21 187 1
26 187 1
13 187 1
115 187 1
18 187 1
20 187 1
90 187 1
104 187 1
82 187 1
1 187 1
85 187 1
113 187 1
36 187 1
39 188 1
21 188 1
116 188 1
40 188 1
26 188 1
13 188 1
17 188 1
44 188 1
3 188 1
117 188 1
49 188 1
23 188 1
18 188 1
20 188 1
60 188 1
62 188 1
82 188 1
29 188 1
8 188 1
1 188 1
106 188 1
6 188 1
72 188 1
31 188 1
9 188 1
24 189 1
43 189 1
45 189 1
51 189 1
18 189 1
60 189 1
69 189 1
70 189 1
72 189 1
31 189 1
9 189 1
109 190 1
17 190 1
50 190 1
18 190 1
60 190 1
6 190 1
80 190 1
9 190 1
18 191 1
66 191 1
70 191 1
91 191 1
7 192 1
9 192 1
48 193 1
50 193 1
60 193 1
1 193 1
72 193 1
118 194 1
10 194 1
89 194 1
119 194 1
36 194 1
22 195 1
2 195 1
3 195 1
50 195 1
18 195 1
60 195 1
61 195 1
66 195 1
29 195 1
6 195 1
9 195 1
40 196 1
26 196 1
17 196 1
10 196 1
23 196 1
60 196 1
37 196 1
31 196 1
9 196 1
3 197 1
48 197 1
50 197 1
23 197 1
52 197 1
82 197 1
19 197 1
27 197 1
120 197 1
36 197 1
37 197 1
31 197 1
24 198 1
21 198 1
26 198 1
14 198 1
13 198 1
17 198 1
111 198 1
44 198 1
3 198 1
33 198 1
48 198 1
115 198 1
89 198 1
23 198 1
18 198 1
20 198 1
4 198 1
88 198 1
82 198 1
32 198 1
1 198 1
6 198 1
11 198 1
85 198 1
91 198 1
31 198 1
79 198 1
9 198 1
50 199 1
23 199 1
82 199 1
119 199 1
31 199 1
28 200 1
13 200 1
17 200 1
58 200 1
121 200 1
29 200 1
8 200 1
1 200 1
26 201 1
20 201 1
1 201 1
85 201 1
36 201 1
24 202 1
40 202 1
22 202 1
43 202 1
122 202 1
55 202 1
84 202 1
72 202 1
77 202 1
79 202 1
21 203 1
28 203 1
18 203 1
105 203 1
21 204 1
22 204 1
47 204 1
99 204 1
49 204 1
55 204 1
83 204 1
18 204 1
20 204 1
60 204 1
61 204 1
82 204 1
66 204 1
35 204 1
68 204 1
6 204 1
85 204 1
70 204 1
71 204 1
91 204 1
72 204 1
76 204 1
77 204 1
31 204 1
79 204 1
9 204 1
92 204 1
20 205 1
87 205 1
24 206 1
39 206 1
21 206 1
40 206 1
109 206 1
17 206 1
43 206 1
2 206 1
46 206 1
47 206 1
33 206 1
34 206 1
10 206 1
49 206 1
50 206 1
51 206 1
53 206 1
55 206 1
18 206 1
60 206 1
62 206 1
104 206 1
16 206 1
65 206 1
66 206 1
27 206 1
68 206 1
6 206 1
85 206 1
70 206 1
107 206 1
36 206 1
30 206 1
5 206 1
72 206 1
37 206 1
76 206 1
38 206 1
77 206 1
78 206 1
79 206 1
9 206 1
81 206 1
39 207 1
40 207 1
26 207 1
13 207 1
17 207 1
49 207 1
23 207 1
53 207 1
20 207 1
60 207 1
8 207 1
1 207 1
12 207 1
71 207 1
31 207 1
21 208 1
24 209 1
40 209 1
22 209 1
13 209 1
17 209 1
43 209 1
111 209 1
94 209 1
2 209 1
3 209 1
46 209 1
47 209 1
97 209 1
33 209 1
48 209 1
117 209 1
23 209 1
51 209 1
52 209 1
103 209 1
54 209 1
55 209 1
57 209 1
58 209 1
20 209 1
60 209 1
15 209 1
82 209 1
66 209 1
32 209 1
1 209 1
86 209 1
11 209 1
12 209 1
87 209 1
78 209 1
21 209 1
41 209 1
14 209 1
42 209 1
123 209 1
115 209 1
49 209 1
124 209 1
59 209 1
83 209 1
18 209 1
125 209 1
61 209 1
62 209 1
4 209 1
16 209 1
88 209 1
19 209 1
29 209 1
35 209 1
8 209 1
126 209 1
6 209 1
84 209 1
69 209 1
85 209 1
113 209 1
71 209 1
72 209 1
76 209 1
77 209 1
31 209 1
79 209 1
9 209 1
109 210 1
17 210 1
0 210 1
2 210 1
3 210 1
33 210 1
34 210 1
23 210 1
20 210 1
15 210 1
32 210 1
1 210 1
11 210 1
12 210 1
87 210 1
21 210 1
26 210 1
41 210 1
14 210 1
124 210 1
121 210 1
4 210 1
88 210 1
29 210 1
36 210 1
37 210 1
79 210 1
51 211 1
125 211 1
36 211 1
13 212 1
17 212 1
20 212 1
119 212 1
11 212 1
21 213 1
24 214 1
40 214 1
22 214 1
13 214 1
43 214 1
94 214 1
45 214 1
0 214 1
2 214 1
3 214 1
47 214 1
99 214 1
33 214 1
34 214 1
48 214 1
10 214 1
50 214 1
23 214 1
51 214 1
52 214 1
55 214 1
127 214 1
57 214 1
58 214 1
20 214 1
60 214 1
104 214 1
15 214 1
82 214 1
66 214 1
68 214 1
1 214 1
12 214 1
87 214 1
128 214 1
21 214 1
28 214 1
41 214 1
129 214 1
115 214 1
89 214 1
130 214 1
59 214 1
83 214 1
18 214 1
61 214 1
62 214 1
88 214 1
16 214 1
19 214 1
65 214 1
27 214 1
67 214 1
29 214 1
8 214 1
106 214 1
6 214 1
69 214 1
85 214 1
113 214 1
70 214 1
36 214 1
71 214 1
30 214 1
91 214 1
72 214 1
76 214 1
77 214 1
31 214 1
79 214 1
9 214 1
92 214 1
81 214 1
20 215 1
18 215 1
20 216 1
4 216 1
88 216 1
13 217 1
17 217 1
20 217 1
1 217 1
29 217 1
25 218 1
0 218 1
33 218 1
118 218 1
36 218 1
80 218 1
40 219 1
7 219 1
44 219 1
95 219 1
0 219 1
2 219 1
3 219 1
46 219 1
47 219 1
33 219 1
34 219 1
48 219 1
51 219 1
102 219 1
103 219 1
20 219 1
60 219 1
82 219 1
66 219 1
68 219 1
21 219 1
41 219 1
18 219 1
61 219 1
16 219 1
35 219 1
126 219 1
69 219 1
113 219 1
70 219 1
36 219 1
5 219 1
91 219 1
72 219 1
76 219 1
77 219 1
79 219 1
9 219 1
92 219 1
0 220 1
50 220 1
51 220 1
18 220 1
9 220 1
17 221 1
43 221 1
1 221 1
21 221 1
62 221 1
84 221 1
100 222 1
124 222 1
24 223 1
40 223 1
22 223 1
43 223 1
2 223 1
46 223 1
51 223 1
60 223 1
39 223 1
21 223 1
18 223 1
19 223 1
126 223 1
6 223 1
5 223 1
72 223 1
76 223 1
9 223 1
24 224 1
20 224 1
26 224 1
88 224 1
36 224 1
26 225 1
24 226 1
13 226 1
17 226 1
3 226 1
20 226 1
21 226 1
18 226 1
9 226 1
0 227 1
78 227 1
17 228 1
48 228 1
10 228 1
1 228 1
6 228 1
36 228 1
72 228 1
24 229 1
20 229 1
1 229 1
87 229 1
26 229 1
18 229 1
36 229 1
100 230 1
40 231 1
7 231 1
22 231 1
17 231 1
100 231 1
23 231 1
58 231 1
60 231 1
66 231 1
1 231 1
78 231 1
21 231 1
26 231 1
41 231 1
42 231 1
96 231 1
113 231 1
36 231 1
37 231 1
79 231 1
93 232 1
40 232 1
13 232 1
17 232 1
43 232 1
111 232 1
44 232 1
0 232 1
2 232 1
3 232 1
46 232 1
97 232 1
98 232 1
48 232 1
10 232 1
117 232 1
50 232 1
23 232 1
51 232 1
102 232 1
52 232 1
103 232 1
54 232 1
55 232 1
127 232 1
56 232 1
131 232 1
58 232 1
20 232 1
132 232 1
15 232 1
82 232 1
133 232 1
1 232 1
119 232 1
134 232 1
135 232 1
86 232 1
11 232 1
12 232 1
74 232 1
136 232 1
87 232 1
21 232 1
137 232 1
28 232 1
41 232 1
14 232 1
129 232 1
123 232 1
115 232 1
49 232 1
122 232 1
121 232 1
125 232 1
4 232 1
88 232 1
16 232 1
64 232 1
19 232 1
65 232 1
27 232 1
67 232 1
105 232 1
29 232 1
8 232 1
84 232 1
69 232 1
107 232 1
36 232 1
5 232 1
72 232 1
37 232 1
108 232 1
38 232 1
138 232 1
139 232 1
140 232 1
9 232 1
141 232 1
7 233 1
17 233 1
10 233 1
1 233 1
26 233 1
37 233 1
38 233 1
26 234 1
36 234 1
13 235 1
17 235 1
0 235 1
2 235 1
48 235 1
10 235 1
50 235 1
23 235 1
52 235 1
58 235 1
20 235 1
15 235 1
1 235 1
119 235 1
12 235 1
39 235 1
16 235 1
142 235 1
19 235 1
27 235 1
67 235 1
29 235 1
35 235 1
30 235 1
45 236 1
119 236 1
125 236 1
17 237 1
0 237 1
20 237 1
1 237 1
11 237 1
12 237 1
21 237 1
4 237 1
29 237 1
8 237 1
33 238 1
18 238 1
82 239 1
24 240 1
40 240 1
22 240 1
43 240 1
94 240 1
45 240 1
47 240 1
99 240 1
117 240 1
55 240 1
127 240 1
57 240 1
20 240 1
60 240 1
66 240 1
1 240 1
119 240 1
86 240 1
73 240 1
74 240 1
87 240 1
39 240 1
21 240 1
26 240 1
49 240 1
89 240 1
83 240 1
18 240 1
62 240 1
65 240 1
35 240 1
6 240 1
84 240 1
69 240 1
70 240 1
72 240 1
76 240 1
77 240 1
139 240 1
31 240 1
79 240 1
9 240 1
21 241 1
18 241 1
51 242 1
21 243 1
28 243 1
14 243 1
18 243 1
62 243 1
29 243 1
69 243 1
18 244 1
67 244 1
17 245 1
20 245 1
82 245 1
87 245 1
21 245 1
26 245 1
18 245 1
35 245 1
84 245 1
85 245 1
36 245 1
60 246 1
24 247 1
93 247 1
40 247 1
22 247 1
13 247 1
17 247 1
43 247 1
111 247 1
44 247 1
95 247 1
0 247 1
2 247 1
3 247 1
46 247 1
47 247 1
97 247 1
98 247 1
99 247 1
143 247 1
48 247 1
117 247 1
50 247 1
23 247 1
51 247 1
102 247 1
52 247 1
103 247 1
54 247 1
55 247 1
127 247 1
56 247 1
131 247 1
57 247 1
58 247 1
20 247 1
60 247 1
15 247 1
82 247 1
1 247 1
86 247 1
11 247 1
12 247 1
73 247 1
87 247 1
128 247 1
39 247 1
144 247 1
137 247 1
28 247 1
26 247 1
41 247 1
14 247 1
145 247 1
129 247 1
123 247 1
115 247 1
49 247 1
110 247 1
53 247 1
122 247 1
124 247 1
59 247 1
125 247 1
146 247 1
61 247 1
62 247 1
4 247 1
16 247 1
63 247 1
142 247 1
19 247 1
65 247 1
27 247 1
67 247 1
105 247 1
29 247 1
35 247 1
8 247 1
6 247 1
84 247 1
69 247 1
85 247 1
147 247 1
107 247 1
36 247 1
71 247 1
30 247 1
5 247 1
72 247 1
108 247 1
139 247 1
31 247 1
148 247 1
80 247 1
149 247 1
9 247 1
141 247 1
81 247 1
150 247 1
24 248 1
40 248 1
7 248 1
22 248 1
13 248 1
111 248 1
44 248 1
94 248 1
95 248 1
3 248 1
99 248 1
33 248 1
34 248 1
100 248 1
117 248 1
55 248 1
127 248 1
60 248 1
132 248 1
66 248 1
32 248 1
1 248 1
86 248 1
21 248 1
28 248 1
14 248 1
42 248 1
96 248 1
89 248 1
83 248 1
18 248 1
65 248 1
29 248 1
8 248 1
6 248 1
69 248 1
70 248 1
36 248 1
71 248 1
91 248 1
72 248 1
76 248 1
31 248 1
79 248 1
9 248 1
102 249 1
1 250 1
17 251 1
48 251 1
20 251 1
14 251 1
18 251 1
36 251 1
72 251 1
2 252 1
51 252 1
18 252 1
5 252 1
138 252 1
81 252 1
13 253 1
17 253 1
50 253 1
20 253 1
124 253 1
18 253 1
29 253 1
6 253 1
5 253 1
72 253 1
9 253 1
141 253 1
21 254 1
18 254 1
21 255 1
41 255 1
96 255 1
18 255 1
70 255 1
24 256 1
40 256 1
3 256 1
1 256 1
26 256 1
88 256 1
85 256 1
36 256 1
151 256 1
9 256 1
51 257 1
104 257 1
119 257 1
78 257 1
85 257 1
36 257 1
24 258 1
1 258 1
68 259 1
18 259 1
70 259 1
50 260 1
23 260 1
31 260 1
2 261 1
99 261 1
18 261 1
19 261 1
51 262 1
26 262 1
40 263 1
17 263 1
43 263 1
2 263 1
50 263 1
51 263 1
1 263 1
86 263 1
115 263 1
49 263 1
18 263 1
29 263 1
36 263 1
71 263 1
72 263 1
9 263 1
21 264 1
35 264 1
11 265 1
29 265 1
35 265 1
37 265 1
24 266 1
13 266 1
109 266 1
17 266 1
45 266 1
95 266 1
2 266 1
3 266 1
46 266 1
34 266 1
48 266 1
10 266 1
50 266 1
51 266 1
102 266 1
52 266 1
54 266 1
58 266 1
20 266 1
32 266 1
1 266 1
119 266 1
118 266 1
26 266 1
14 266 1
4 266 1
88 266 1
16 266 1
142 266 1
67 266 1
29 266 1
37 266 1
38 266 1
138 266 1
148 266 1
25 267 1
85 267 1
13 268 1
17 268 1
43 268 1
44 268 1
45 268 1
0 268 1
2 268 1
3 268 1
46 268 1
97 268 1
48 268 1
50 268 1
23 268 1
51 268 1
102 268 1
52 268 1
103 268 1
54 268 1
55 268 1
56 268 1
58 268 1
152 268 1
133 268 1
1 268 1
11 268 1
12 268 1
136 268 1
39 268 1
116 268 1
145 268 1
129 268 1
59 268 1
18 268 1
121 268 1
61 268 1
88 268 1
63 268 1
64 268 1
19 268 1
27 268 1
67 268 1
29 268 1
8 268 1
84 268 1
69 268 1
36 268 1
5 268 1
72 268 1
108 268 1
138 268 1
80 268 1
9 268 1
92 268 1
119 269 1
85 269 1
36 269 1
24 270 1
47 270 1
33 270 1
55 270 1
60 270 1
82 270 1
73 270 1
49 270 1
83 270 1
18 270 1
61 270 1
65 270 1
35 270 1
69 270 1
72 270 1
76 270 1
77 270 1
31 270 1
79 270 1
9 270 1
24 271 1
93 271 1
40 271 1
7 271 1
13 271 1
109 271 1
17 271 1
111 271 1
44 271 1
94 271 1
45 271 1
95 271 1
2 271 1
3 271 1
46 271 1
47 271 1
97 271 1
99 271 1
33 271 1
34 271 1
48 271 1
10 271 1
117 271 1
50 271 1
23 271 1
51 271 1
52 271 1
55 271 1
127 271 1
56 271 1
131 271 1
58 271 1
20 271 1
60 271 1
132 271 1
66 271 1
32 271 1
68 271 1
11 271 1
12 271 1
73 271 1
87 271 1
21 271 1
116 271 1
28 271 1
26 271 1
41 271 1
14 271 1
96 271 1
115 271 1
124 271 1
59 271 1
83 271 1
18 271 1
61 271 1
62 271 1
4 271 1
63 271 1
65 271 1
27 271 1
67 271 1
29 271 1
35 271 1
6 271 1
69 271 1
85 271 1
113 271 1
70 271 1
107 271 1
36 271 1
151 271 1
5 271 1
91 271 1
72 271 1
37 271 1
76 271 1
77 271 1
31 271 1
79 271 1
9 271 1
92 271 1
81 271 1
24 272 1
17 272 1
20 272 1
60 272 1
66 272 1
21 272 1
83 272 1
18 272 1
35 272 1
6 272 1
85 272 1
70 272 1
36 272 1
79 272 1
9 272 1
24 273 1
13 273 1
17 273 1
43 273 1
44 273 1
2 273 1
3 273 1
46 273 1
51 273 1
102 273 1
52 273 1
103 273 1
54 273 1
58 273 1
20 273 1
15 273 1
133 273 1
1 273 1
86 273 1
11 273 1
21 273 1
14 273 1
115 273 1
122 273 1
124 273 1
125 273 1
88 273 1
16 273 1
64 273 1
67 273 1
29 273 1
147 273 1
36 273 1
72 273 1
108 273 1
9 273 1
141 273 1
150 273 1
51 274 1
18 274 1
17 275 1
2 275 1
1 275 1
21 275 1
18 275 1
69 275 1
36 275 1
91 275 1
79 275 1
9 275 1
21 276 1
26 276 1
18 276 1
24 277 1
40 277 1
17 277 1
60 277 1
1 277 1
78 277 1
116 277 1
18 277 1
29 277 1
6 277 1
36 277 1
9 277 1
70 278 1
18 279 1
109 280 1
43 280 1
10 280 1
21 280 1
89 280 1
18 280 1
36 280 1
151 280 1
9 280 1
51 281 1
104 281 1
119 281 1
36 281 1
24 282 1
26 282 1
18 282 1
91 282 1
72 282 1
51 283 1
68 283 1
18 283 1
85 283 1
70 283 1
24 284 1
22 284 1
13 284 1
17 284 1
3 284 1
10 284 1
23 284 1
15 284 1
118 284 1
89 284 1
18 284 1
29 284 1
6 284 1
113 284 1
36 284 1
37 284 1
38 284 1
79 284 1
9 284 1
13 285 1
17 285 1
26 285 1
35 285 1
6 285 1
36 285 1
72 285 1
31 285 1
29 286 1
69 286 1
72 286 1
31 286 1
9 286 1
22 287 1
13 287 1
17 287 1
51 287 1
20 287 1
82 287 1
21 287 1
41 287 1
18 287 1
35 287 1
36 287 1
24 288 1
20 288 1
1 288 1
119 288 1
87 288 1
26 288 1
36 288 1
24 289 1
40 289 1
13 289 1
17 289 1
43 289 1
111 289 1
45 289 1
95 289 1
2 289 1
3 289 1
47 289 1
97 289 1
48 289 1
50 289 1
23 289 1
51 289 1
52 289 1
55 289 1
57 289 1
58 289 1
60 289 1
15 289 1
68 289 1
1 289 1
119 289 1
74 289 1
59 289 1
18 289 1
16 289 1
19 289 1
65 289 1
27 289 1
67 289 1
105 289 1
29 289 1
35 289 1
8 289 1
126 289 1
6 289 1
69 289 1
5 289 1
72 289 1
31 289 1
79 289 1
140 289 1
9 289 1
92 289 1
24 290 1
22 290 1
3 290 1
1 290 1
87 290 1
21 290 1
115 290 1
49 290 1
35 290 1
7 291 1
83 291 1
36 291 1
37 291 1
24 292 1
7 292 1
13 292 1
17 292 1
44 292 1
45 292 1
95 292 1
0 292 1
2 292 1
3 292 1
47 292 1
99 292 1
33 292 1
48 292 1
50 292 1
51 292 1
102 292 1
103 292 1
54 292 1
55 292 1
56 292 1
20 292 1
60 292 1
66 292 1
1 292 1
21 292 1
26 292 1
153 292 1
18 292 1
16 292 1
63 292 1
142 292 1
19 292 1
65 292 1
105 292 1
29 292 1
126 292 1
69 292 1
70 292 1
5 292 1
91 292 1
72 292 1
37 292 1
108 292 1
76 292 1
77 292 1
148 292 1
79 292 1
9 292 1
92 292 1
51 293 1
18 293 1
36 293 1
36 294 1
17 295 1
0 295 1
3 295 1
18 295 1
88 295 1
105 295 1
29 295 1
85 295 1
31 295 1
9 295 1
20 296 1
26 296 1
13 297 1
57 298 1
