5553 59755
0 148 1
1 148 1
2 148 1
3 148 1
4 148 1
5 148 1
6 148 1
7 148 1
8 148 1
9 148 1
10 148 1
11 148 1
12 148 1
13 148 1
14 148 1
15 148 1
16 148 1
17 148 1
18 149 1
17 150 1
1 150 1
19 150 1
20 151 1
21 151 1
22 151 1
23 151 1
1 151 1
24 151 1
25 152 1
26 152 1
27 152 1
7 152 1
11 152 1
15 152 1
3 152 1
10 152 1
19 152 1
28 153 1
15 153 1
29 153 1
30 153 1
6 154 1
23 154 1
15 154 1
1 154 1
8 154 1
9 154 1
31 154 1
32 154 1
33 154 1
17 154 1
34 155 1
6 155 1
11 155 1
15 155 1
35 155 1
36 155 1
2 155 1
3 155 1
37 155 1
38 155 1
8 155 1
39 155 1
19 155 1
40 155 1
41 155 1
42 155 1
43 155 1
44 155 1
17 155 1
24 155 1
14 155 1
45 155 1
46 155 1
25 155 1
47 155 1
27 155 1
7 155 1
23 155 1
1 155 1
9 155 1
10 155 1
31 155 1
5 155 1
48 155 1
32 155 1
33 155 1
49 155 1
1 156 1
34 157 1
20 158 1
50 158 1
51 159 1
27 159 1
23 159 1
52 159 1
20 160 1
53 160 1
1 160 1
52 160 1
54 161 1
6 161 1
3 161 1
55 161 1
29 161 1
30 161 1
56 161 1
17 161 1
24 161 1
57 161 1
23 161 1
58 161 1
1 161 1
50 161 1
59 161 1
31 161 1
60 161 1
48 161 1
18 161 1
61 161 1
62 161 1
63 161 1
20 162 1
26 162 1
64 162 1
12 162 1
11 162 1
15 162 1
35 162 1
65 162 1
2 162 1
3 162 1
37 162 1
66 162 1
67 162 1
68 162 1
29 162 1
30 162 1
38 162 1
69 162 1
39 162 1
19 162 1
40 162 1
70 162 1
41 162 1
71 162 1
42 162 1
43 162 1
44 162 1
13 162 1
14 162 1
46 162 1
16 162 1
47 162 1
72 162 1
27 162 1
7 162 1
23 162 1
1 162 1
9 162 1
73 162 1
31 162 1
5 162 1
74 162 1
52 162 1
63 162 1
20 163 1
6 163 1
22 163 1
11 163 1
15 163 1
35 163 1
65 163 1
2 163 1
3 163 1
37 163 1
30 163 1
38 163 1
39 163 1
19 163 1
40 163 1
70 163 1
41 163 1
71 163 1
44 163 1
17 163 1
4 163 1
53 163 1
14 163 1
46 163 1
16 163 1
28 163 1
27 163 1
1 163 1
32 163 1
52 163 1
23 164 1
20 165 1
22 165 1
11 165 1
75 165 1
15 165 1
37 165 1
29 165 1
76 165 1
53 165 1
1 165 1
9 165 1
50 165 1
5 165 1
52 165 1
20 166 1
77 166 1
36 166 1
65 166 1
66 166 1
19 166 1
40 166 1
78 166 1
10 166 1
79 166 1
60 166 1
62 166 1
80 167 1
54 167 1
34 167 1
6 167 1
81 167 1
75 167 1
15 167 1
82 167 1
0 167 1
3 167 1
29 167 1
8 167 1
83 167 1
53 167 1
23 167 1
1 167 1
31 167 1
60 167 1
48 167 1
32 167 1
33 167 1
62 167 1
20 168 1
75 168 1
19 168 1
27 168 1
20 169 1
22 169 1
11 169 1
84 169 1
17 169 1
1 169 1
50 169 1
79 169 1
31 169 1
54 170 1
85 170 1
22 170 1
11 170 1
15 170 1
35 170 1
3 170 1
86 170 1
19 170 1
17 170 1
27 170 1
7 170 1
1 170 1
20 171 1
80 171 1
34 171 1
81 171 1
87 171 1
36 171 1
88 171 1
82 171 1
40 171 1
24 171 1
89 171 1
90 171 1
91 171 1
23 171 1
92 171 1
48 171 1
54 172 1
75 172 1
15 172 1
39 172 1
56 172 1
91 172 1
23 172 1
18 172 1
49 172 1
62 172 1
34 173 1
60 173 1
48 173 1
6 174 1
23 174 1
38 175 1
39 175 1
1 175 1
93 176 1
8 176 1
23 176 1
94 176 1
31 176 1
34 177 1
81 177 1
87 177 1
82 177 1
2 177 1
3 177 1
68 177 1
39 177 1
95 177 1
90 177 1
91 177 1
27 177 1
92 177 1
96 177 1
18 177 1
22 178 1
15 178 1
8 178 1
19 178 1
32 178 1
34 179 1
3 179 1
38 179 1
39 179 1
19 179 1
41 179 1
90 179 1
16 179 1
25 179 1
97 179 1
31 179 1
32 179 1
20 180 1
22 180 1
12 180 1
11 180 1
15 180 1
77 180 1
35 180 1
3 180 1
55 180 1
29 180 1
38 180 1
84 180 1
19 180 1
17 180 1
4 180 1
98 180 1
53 180 1
28 180 1
23 180 1
1 180 1
9 180 1
50 180 1
60 180 1
48 180 1
39 181 1
19 181 1
94 181 1
26 182 1
11 182 1
15 182 1
44 182 1
99 182 1
27 182 1
7 182 1
1 182 1
22 183 1
17 183 1
23 183 1
1 183 1
50 183 1
31 183 1
20 184 1
26 185 1
72 185 1
17 186 1
50 186 1
60 186 1
48 186 1
63 186 1
17 187 1
52 187 1
20 188 1
75 188 1
15 188 1
2 188 1
37 188 1
29 188 1
30 188 1
8 188 1
39 188 1
40 188 1
14 188 1
25 188 1
50 188 1
73 188 1
31 188 1
5 188 1
32 188 1
33 188 1
62 188 1
22 189 1
11 189 1
15 189 1
19 189 1
17 189 1
7 189 1
1 189 1
10 189 1
20 190 1
11 190 1
15 190 1
77 190 1
2 190 1
3 190 1
37 190 1
66 190 1
29 190 1
38 190 1
86 190 1
19 190 1
40 190 1
41 190 1
71 190 1
42 190 1
44 190 1
17 190 1
24 190 1
13 190 1
28 190 1
23 190 1
1 190 1
9 190 1
10 190 1
52 190 1
12 190 1
100 190 1
84 190 1
101 190 1
102 190 1
4 190 1
14 190 1
53 190 1
16 190 1
27 190 1
7 190 1
103 190 1
50 190 1
79 190 1
48 190 1
34 191 1
75 191 1
15 191 1
82 191 1
0 191 1
2 191 1
3 191 1
29 191 1
30 191 1
19 191 1
17 191 1
13 191 1
28 191 1
1 191 1
9 191 1
10 191 1
52 191 1
22 191 1
12 191 1
101 191 1
99 191 1
4 191 1
53 191 1
27 191 1
31 191 1
32 191 1
40 192 1
102 192 1
31 192 1
11 193 1
15 193 1
17 193 1
23 193 1
94 193 1
9 193 1
20 194 1
80 194 1
54 194 1
11 194 1
36 194 1
0 194 1
2 194 1
3 194 1
29 194 1
30 194 1
38 194 1
8 194 1
39 194 1
19 194 1
40 194 1
41 194 1
44 194 1
17 194 1
24 194 1
89 194 1
90 194 1
13 194 1
23 194 1
1 194 1
10 194 1
52 194 1
62 194 1
26 194 1
55 194 1
84 194 1
53 194 1
14 194 1
16 194 1
25 194 1
47 194 1
27 194 1
7 194 1
