6166 119061
0 443 1
1 443 1
2 443 1
3 443 1
4 443 1
5 443 1
6 443 1
7 443 1
8 443 1
9 443 1
10 443 1
11 443 1
12 443 1
13 443 1
14 443 1
15 443 1
16 443 1
17 443 1
18 444 1
19 444 1
20 445 1
17 445 1
21 445 1
1 445 1
22 445 1
23 445 1
24 446 1
25 446 1
26 446 1
27 447 1
28 447 1
29 447 1
30 447 1
31 447 1
32 447 1
1 447 1
33 447 1
19 447 1
34 447 1
35 447 1
36 447 1
37 447 1
38 447 1
39 448 1
40 448 1
41 448 1
7 448 1
11 448 1
15 448 1
3 448 1
10 448 1
23 448 1
42 449 1
43 450 1
15 450 1
44 450 1
45 450 1
46 450 1
6 451 1
15 451 1
1 451 1
8 451 1
9 451 1
47 451 1
48 451 1
49 451 1
50 451 1
17 451 1
51 452 1
52 452 1
6 452 1
11 452 1
18 452 1
15 452 1
53 452 1
54 452 1
55 452 1
2 452 1
33 452 1
3 452 1
19 452 1
56 452 1
57 452 1
58 452 1
59 452 1
8 452 1
60 452 1
61 452 1
23 452 1
62 452 1
63 452 1
46 452 1
64 452 1
65 452 1
66 452 1
67 452 1
17 452 1
68 452 1
26 452 1
14 452 1
69 452 1
70 452 1
39 452 1
71 452 1
41 452 1
7 452 1
1 452 1
9 452 1
10 452 1
72 452 1
47 452 1
24 452 1
73 452 1
5 452 1
49 452 1
50 452 1
74 452 1
75 452 1
22 452 1
76 452 1
77 453 1
59 453 1
67 453 1
38 453 1
1 453 1
78 454 1
27 455 1
18 455 1
79 455 1
80 455 1
22 455 1
68 456 1
81 456 1
31 456 1
82 456 1
83 457 1
84 457 1
68 457 1
38 457 1
41 457 1
31 457 1
85 457 1
86 457 1
87 457 1
88 457 1
89 457 1
22 457 1
27 458 1
90 458 1
34 458 1
91 458 1
1 458 1
89 458 1
92 459 1
93 459 1
94 459 1
6 459 1
3 459 1
44 459 1
45 459 1
60 459 1
95 459 1
96 459 1
17 459 1
97 459 1
98 459 1
1 459 1
99 459 1
100 459 1
42 459 1
80 459 1
35 459 1
101 459 1
47 459 1
24 459 1
73 459 1
102 459 1
103 459 1
104 459 1
105 459 1
106 459 1
107 459 1
27 460 1
40 460 1
108 460 1
12 460 1
11 460 1
18 460 1
15 460 1
53 460 1
109 460 1
2 460 1
3 460 1
56 460 1
110 460 1
111 460 1
44 460 1
45 460 1
58 460 1
112 460 1
61 460 1
23 460 1
62 460 1
113 460 1
63 460 1
114 460 1
64 460 1
65 460 1
20 460 1
66 460 1
68 460 1
26 460 1
13 460 1
14 460 1
70 460 1
16 460 1
71 460 1
115 460 1
41 460 1
7 460 1
1 460 1
9 460 1
116 460 1
117 460 1
47 460 1
73 460 1
5 460 1
118 460 1
89 460 1
22 460 1
107 460 1
27 461 1
51 461 1
119 461 1
120 461 1
6 461 1
121 461 1
122 461 1
29 461 1
123 461 1
11 461 1
124 461 1
15 461 1
125 461 1
126 461 1
21 461 1
53 461 1
109 461 1
55 461 1
77 461 1
90 461 1
2 461 1
33 461 1
3 461 1
19 461 1
127 461 1
56 461 1
83 461 1
128 461 1
129 461 1
130 461 1
131 461 1
132 461 1
57 461 1
45 461 1
58 461 1
59 461 1
133 461 1
134 461 1
61 461 1
23 461 1
62 461 1
113 461 1
63 461 1
114 461 1
135 461 1
66 461 1
67 461 1
136 461 1
17 461 1
137 461 1
4 461 1
26 461 1
91 461 1
14 461 1
70 461 1
16 461 1
138 461 1
139 461 1
43 461 1
41 461 1
140 461 1
141 461 1
81 461 1
142 461 1
31 461 1
32 461 1
1 461 1
143 461 1
144 461 1
42 461 1
25 461 1
145 461 1
146 461 1
147 461 1
86 461 1
87 461 1
24 461 1
73 461 1
148 461 1
49 461 1
103 461 1
104 461 1
149 461 1
74 461 1
89 461 1
82 461 1
150 461 1
76 461 1
85 462 1
27 463 1
29 463 1
11 463 1
151 463 1
15 463 1
56 463 1
44 463 1
152 463 1
91 463 1
1 463 1
9 463 1
80 463 1
87 463 1
5 463 1
89 463 1
27 464 1
153 464 1
154 464 1
21 464 1
54 464 1
109 464 1
33 464 1
19 464 1
34 464 1
110 464 1
155 464 1
156 464 1
59 464 1
23 464 1
62 464 1
84 464 1
157 464 1
67 464 1
136 464 1
68 464 1
158 464 1
138 464 1
159 464 1
139 464 1
32 464 1
160 464 1
161 464 1
162 464 1
144 464 1
10 464 1
72 464 1
146 464 1
163 464 1
117 464 1
85 464 1
48 464 1
24 464 1
73 464 1
102 464 1
164 464 1
22 464 1
92 465 1
93 465 1
52 465 1
6 465 1
122 465 1
18 465 1
151 465 1
15 465 1
125 465 1
0 465 1
3 465 1
165 465 1
166 465 1
44 465 1
8 465 1
60 465 1
135 465 1
167 465 1
97 465 1
168 465 1
169 465 1
91 465 1
98 465 1
1 465 1
99 465 1
144 465 1
42 465 1
35 465 1
85 465 1
87 465 1
47 465 1
24 465 1
73 465 1
102 465 1
148 465 1
49 465 1
103 465 1
104 465 1
50 465 1
22 465 1
170 465 1
171 465 1
27 466 1
151 466 1
33 466 1
60 466 1
23 466 1
41 466 1
31 466 1
27 467 1
29 467 1
11 467 1
33 467 1
172 467 1
17 467 1
26 467 1
1 467 1
80 467 1
163 467 1
173 467 1
47 467 1
174 468 1
175 468 1
29 468 1
11 468 1
15 468 1
53 468 1
33 468 1
3 468 1
156 468 1
176 468 1
23 468 1
67 468 1
17 468 1
26 468 1
168 468 1
41 468 1
7 468 1
1 468 1
144 468 1
42 468 1
72 468 1
146 468 1
86 468 1
87 468 1
177 468 1
27 469 1
54 469 1
62 469 1
42 469 1
72 469 1
178 470 1
151 470 1
15 470 1
59 470 1
60 470 1
61 470 1
26 470 1
42 470 1
24 470 1
75 470 1
178 471 1
26 471 1
25 471 1
24 471 1
73 471 1
102 471 1
22 471 1
6 472 1
140 472 1
33 473 1
58 473 1
60 473 1
61 473 1
179 473 1
180 473 1
181 473 1
1 473 1
25 473 1
182 474 1
8 474 1
183 474 1
47 474 1
178 475 1
92 475 1
93 475 1
184 475 1
120 475 1
122 475 1
123 475 1
185 475 1
124 475 1
186 475 1
55 475 1
2 475 1
33 475 1
3 475 1
127 475 1
128 475 1
129 475 1
130 475 1
131 475 1
34 475 1
132 475 1
187 475 1
57 475 1
188 475 1
59 475 1
189 475 1
134 475 1
61 475 1
36 475 1
95 475 1
135 475 1
67 475 1
37 475 1
179 475 1
26 475 1
38 475 1
98 475 1
41 475 1
190 475 1
81 475 1
191 475 1
99 475 1
192 475 1
144 475 1
42 475 1
25 475 1
193 475 1
173 475 1
147 475 1
24 475 1
148 475 1
104 475 1
177 475 1
194 475 1
195 475 1
196 475 1
170 475 1
122 476 1
29 476 1
15 476 1
77 476 1
33 476 1
59 476 1
8 476 1
134 476 1
23 476 1
135 476 1
179 476 1
26 476 1
38 476 1
144 476 1
42 476 1
147 476 1
87 476 1
148 476 1
49 476 1
74 476 1
78 476 1
123 477 1
3 477 1
58 477 1
59 477 1
61 477 1
23 477 1
63 477 1
16 477 1
39 477 1
197 477 1
47 477 1
49 477 1
27 478 1
52 478 1
29 478 1
12 478 1
11 478 1
15 478 1
154 478 1
53 478 1
90 478 1
