5585 69416
0 186 1
1 186 1
2 186 1
3 186 1
4 186 1
5 186 1
6 186 1
7 186 1
8 186 1
9 186 1
10 186 1
11 186 1
12 186 1
13 186 1
14 186 1
15 186 1
16 186 1
17 186 1
18 186 1
19 186 1
20 186 1
21 186 1
22 186 1
22 187 1
2 187 1
23 187 1
24 188 1
25 188 1
26 188 1
2 188 1
27 188 1
4 188 1
28 188 1
29 189 1
30 189 1
7 189 1
31 189 1
11 189 1
15 189 1
19 189 1
5 189 1
14 189 1
23 189 1
32 189 1
33 189 1
34 189 1
35 189 1
36 189 1
37 189 1
38 189 1
1 189 1
39 189 1
20 189 1
40 190 1
19 190 1
41 190 1
42 190 1
43 190 1
10 191 1
19 191 1
2 191 1
12 191 1
13 191 1
44 191 1
45 191 1
46 191 1
22 191 1
10 192 1
15 192 1
19 192 1
47 192 1
48 192 1
49 192 1
3 192 1
5 192 1
50 192 1
51 192 1
12 192 1
52 192 1
53 192 1
23 192 1
54 192 1
55 192 1
56 192 1
57 192 1
58 192 1
59 192 1
60 192 1
36 192 1
22 192 1
1 192 1
61 192 1
4 192 1
39 192 1
18 192 1
62 192 1
63 192 1
20 192 1
6 192 1
29 192 1
64 192 1
65 192 1
7 192 1
31 192 1
11 192 1
2 192 1
66 192 1
13 192 1
14 192 1
67 192 1
68 192 1
69 192 1
70 192 1
44 192 1
9 192 1
45 192 1
71 192 1
46 192 1
27 192 1
37 192 1
72 192 1
73 192 1
74 193 1
60 193 1
2 193 1
27 193 1
4 194 1
24 195 1
47 195 1
4 195 1
75 195 1
31 196 1
76 196 1
43 196 1
77 196 1
24 197 1
78 197 1
2 197 1
77 197 1
10 198 1
5 198 1
41 198 1
42 198 1
52 198 1
22 198 1
2 198 1
75 198 1
44 198 1
79 198 1
80 198 1
24 199 1
30 199 1
81 199 1
16 199 1
15 199 1
19 199 1
48 199 1
82 199 1
3 199 1
5 199 1
50 199 1
83 199 1
84 199 1
41 199 1
42 199 1
51 199 1
85 199 1
53 199 1
23 199 1
86 199 1
54 199 1
87 199 1
55 199 1
88 199 1
89 199 1
57 199 1
58 199 1
59 199 1
4 199 1
17 199 1
18 199 1
63 199 1
20 199 1
21 199 1
65 199 1
90 199 1
31 199 1
11 199 1
2 199 1
13 199 1
91 199 1
44 199 1
9 199 1
92 199 1
27 199 1
77 199 1
80 199 1
24 200 1
10 200 1
26 200 1
15 200 1
19 200 1
48 200 1
82 200 1
3 200 1
5 200 1
50 200 1
93 200 1
42 200 1
51 200 1
53 200 1
23 200 1
54 200 1
87 200 1
55 200 1
88 200 1
59 200 1
60 200 1
22 200 1
4 200 1
8 200 1
78 200 1
18 200 1
63 200 1
21 200 1
40 200 1
31 200 1
2 200 1
45 200 1
71 200 1
77 200 1
24 201 1
26 201 1
15 201 1
94 201 1
19 201 1
50 201 1
41 201 1
95 201 1
78 201 1
2 201 1
13 201 1
75 201 1
9 201 1
77 201 1
24 202 1
96 202 1
49 202 1
82 202 1
83 202 1
23 202 1
54 202 1
74 202 1
60 202 1
4 202 1
97 202 1
14 202 1
98 202 1
79 202 1
10 203 1
94 203 1
19 203 1
0 203 1
5 203 1
41 203 1
12 203 1
52 203 1
89 203 1
78 203 1
2 203 1
44 203 1
79 203 1
45 203 1
46 203 1
27 203 1
24 204 1
94 204 1
52 204 1
23 204 1
74 204 1
4 204 1
31 204 1
99 204 1
71 204 1
24 205 1
26 205 1
15 205 1
100 205 1
22 205 1
2 205 1
75 205 1
98 205 1
44 205 1
101 206 1
26 206 1
15 206 1
19 206 1
48 206 1
5 206 1
102 206 1
23 206 1
103 206 1
60 206 1
36 206 1
22 206 1
39 206 1
104 206 1
20 206 1
7 206 1
31 206 1
11 206 1
2 206 1
71 206 1
37 206 1
24 207 1
49 207 1
54 207 1
94 208 1
19 208 1
52 208 1
53 208 1
105 208 1
4 208 1
70 208 1
27 208 1
72 208 1
79 209 1
71 209 1
10 210 1
74 210 1
47 211 1
51 211 1
52 211 1
53 211 1
56 211 1
105 211 1
2 211 1
68 211 1
106 212 1
12 212 1
107 212 1
44 212 1
27 212 1
37 212 1
108 213 1
3 213 1
5 213 1
53 213 1
109 213 1
110 213 1
60 213 1
36 213 1
1 213 1
4 213 1
39 213 1
20 213 1
7 213 1
31 213 1
111 213 1
112 213 1
37 213 1
26 214 1
19 214 1
12 214 1
23 214 1
4 214 1
104 214 1
20 214 1
45 214 1
113 215 1
5 215 1
51 215 1
53 215 1
23 215 1
55 215 1
114 215 1
74 215 1
56 215 1
109 215 1
115 215 1
1 215 1
61 215 1
4 215 1
39 215 1
20 215 1
21 215 1
116 215 1
6 215 1
29 215 1
7 215 1
117 215 1
118 215 1
66 215 1
68 215 1
70 215 1
44 215 1
45 215 1
71 215 1
119 215 1
24 216 1
26 216 1
16 216 1
15 216 1
19 216 1
96 216 1
48 216 1
5 216 1
41 216 1
51 216 1
100 216 1
23 216 1
60 216 1
22 216 1
8 216 1
78 216 1
40 216 1
120 216 1
2 216 1
13 216 1
75 216 1
79 216 1
119 216 1
27 216 1
53 217 1
23 217 1
36 217 1
39 217 1
107 217 1
70 217 1
37 217 1
30 218 1
15 218 1
19 218 1
59 218 1
121 218 1
39 218 1
31 218 1
11 218 1
2 218 1
37 218 1
26 219 1
22 219 1
2 219 1
75 219 1
44 219 1
24 220 1
114 220 1
4 220 1
112 220 1
30 221 1
90 221 1
74 222 1
22 222 1
4 222 1
75 222 1
79 222 1
71 222 1
80 222 1
22 223 1
77 223 1
24 224 1
94 224 1
19 224 1
47 224 1
3 224 1
50 224 1
93 224 1
41 224 1
42 224 1
12 224 1
52 224 1
53 224 1
86 224 1
54 224 1
122 224 1
4 224 1
18 224 1
20 224 1
29 224 1
75 224 1
91 224 1
123 224 1
44 224 1
34 224 1
9 224 1
45 224 1
71 224 1
46 224 1
27 224 1
26 225 1
15 225 1
19 225 1
52 225 1
23 225 1
124 225 1
122 225 1
22 225 1
1 225 1
39 225 1
20 225 1
116 225 1
11 225 1
2 225 1
99 225 1
14 225 1
112 225 1
70 225 1
125 225 1
24 226 1
15 226 1
19 226 1
96 226 1
47 226 1
3 226 1
5 226 1
50 226 1
83 226 1
41 226 1
51 226 1
102 226 1
23 226 1
86 226 1
54 226 1
55 226 1
114 226 1
88 226 1
74 226 1
126 226 1
57 226 1
105 226 1
59 226 1
22 226 1
1 226 1
4 226 1
39 226 1
17 226 1
40 226 1
120 226 1
2 226 1
13 226 1
14 226 1
70 226 1
123 226 1
77 226 1
16 226 1
93 226 1
127 226 1
100 226 1
128 226 1
60 226 1
129 226 1
8 226 1
130 226 1
18 226 1
78 226 1
20 226 1
21 226 1
7 226 1
31 226 1
11 226 1
131 226 1
66 226 1
75 226 1
98 226 1
68 226 1
69 226 1
71 226 1
94 227 1
19 227 1
0 227 1
3 227 1
5 227 1
41 227 1
42 227 1
23 227 1
22 227 1
17 227 1
40 227 1
2 227 1
13 227 1
14 227 1
77 227 1
26 227 1
16 227 1
128 227 1
121 227 1
8 227 1
78 227 1
31 227 1
44 227 1
45 227 1
47 228 1
54 228 1
129 228 1
44 228 1
15 229 1
19 229 1
22 229 1
107 229 1
13 229 1
24 230 1
15 230 1
49 230 1
0 230 1
3 230 1
5 230 1
41 230 1
42 230 1
51 230 1
12 230 1
53 230 1
23 230 1
54 230 1
55 230 1
114 230 1
126 230 1
105 230 1
59 230 1
22 230 1
1 230 1
4 230 1
39 230 1
17 230 1
2 230 1
76 230 1
14 230 1
67 230 1
77 230 1
30 230 1
113 230 1
93 230 1
100 230 1
52 230 1
132 230 1
32 230 1
133 230 1
89 230 1
60 230 1
38 230 1
78 230 1
18 230 1
20 230 1
21 230 1
29 230 1
64 230 1
65 230 1
7 230 1
31 230 1
11 230 1
99 230 1
75 230 1
98 230 1
44 230 1
34 230 1
79 230 1
27 230 1
37 230 1
28 230 1
80 230 1
56 231 1
22 231 1
22 232 1
8 232 1
78 232 1
15 233 1
19 233 1
22 233 1
2 233 1
31 233 1
25 234 1
47 234 1
0 234 1
41 234 1
106 234 1
52 234 1
44 234 1
27 234 1
72 234 1
10 235 1
48 235 1
82 235 1
0 235 1
3 235 1
5 235 1
50 235 1
41 235 1
42 235 1
51 235 1
54 235 1
87 235 1
88 235 1
74 235 1
56 235 1
103 235 1
22 235 1
4 235 1
113 235 1
52 235 1
89 235 1
60 235 1
18 235 1
131 235 1
98 235 1
44 235 1
9 235 1
79 235 1
71 235 1
80 235 1
0 236 1
53 236 1
54 236 1
74 236 1
56 236 1
124 236 1
105 236 1
1 236 1
4 236 1
39 236 1
116 236 1
6 236 1
117 236 1
70 236 1
108 236 1
52 236 1
134 236 1
115 236 1
36 236 1
38 236 1
135 236 1
20 236 1
7 236 1
112 236 1
68 236 1
136 236 1
71 236 1
119 236 1
37 236 1
137 236 1
19 237 1
2 237 1
128 238 1
24 239 1
3 239 1
50 239 1
54 239 1
56 239 1
39 239 1
120 239 1
70 239 1
52 239 1
32 239 1
138 239 1
134 239 1
60 239 1
36 239 1
21 239 1
7 239 1
131 239 1
66 239 1
69 239 1
9 239 1
71 239 1
119 239 1
37 239 1
24 240 1
22 240 1
26 240 1
78 240 1
44 240 1
139 241 1
26 241 1
24 242 1
15 242 1
19 242 1
5 242 1
114 242 1
103 242 1
22 242 1
71 242 1
47 243 1
0 243 1
52 243 1
27 243 1
47 244 1
19 245 1
51 245 1
12 245 1
56 245 1
2 245 1
140 245 1
52 245 1
36 245 1
66 245 1
44 245 1
24 246 1
22 246 1
2 246 1
77 246 1
26 246 1
44 246 1
27 246 1
28 247 1
10 248 1
19 248 1
23 248 1
114 248 1
59 248 1
103 248 1
2 248 1
26 248 1
52 248 1
20 248 1
98 248 1
44 248 1
45 248 1
56 249 1
20 249 1
66 249 1
136 249 1
81 250 1
15 250 1
19 250 1
96 250 1
48 250 1
0 250 1
3 250 1
5 250 1
50 250 1
83 250 1
84 250 1
51 250 1
12 250 1
102 250 1
53 250 1
23 250 1
86 250 1
54 250 1
87 250 1
55 250 1
88 250 1
57 250 1
58 250 1
141 250 1
59 250 1
22 250 1
4 250 1
142 250 1
17 250 1
143 250 1
2 250 1
107 250 1
144 250 1
13 250 1
14 250 1
123 250 1
145 250 1
77 250 1
146 250 1
30 250 1
16 250 1
127 250 1
100 250 1
121 250 1
129 250 1
8 250 1
78 250 1
18 250 1
63 250 1
20 250 1
21 250 1
29 250 1
65 250 1
90 250 1
31 250 1
11 250 1
91 250 1
44 250 1
9 250 1
45 250 1
92 250 1
46 250 1
27 250 1
147 250 1
148 250 1
149 250 1
150 250 1
10 251 1
19 251 1
12 251 1
2 251 1
26 251 1
45 251 1
46 251 1
26 252 1
44 252 1
15 253 1
19 253 1
47 253 1
0 253 1
3 253 1
139 253 1
51 253 1
12 253 1
53 253 1
23 253 1
55 253 1
124 253 1
105 253 1
59 253 1
22 253 1
1 253 1
61 253 1
4 253 1
17 253 1
6 253 1
117 253 1
2 253 1
107 253 1
14 253 1
70 253 1
123 253 1
32 253 1
151 253 1
134 253 1
115 253 1
36 253 1
38 253 1
135 253 1
18 253 1
152 253 1
21 253 1
29 253 1
64 253 1
65 253 1
7 253 1
31 253 1
99 253 1
111 253 1
34 253 1
119 253 1
27 253 1
153 253 1
49 254 1
107 254 1
129 254 1
19 255 1
0 255 1
139 255 1
22 255 1
2 255 1
13 255 1
14 255 1
8 255 1
31 255 1
11 255 1
41 256 1
109 256 1
153 256 1
24 257 1
49 257 1
102 257 1
22 257 1
2 257 1
107 257 1
77 257 1
26 257 1
148 257 1
54 258 1
30 259 1
113 259 1
16 259 1
7 259 1
31 259 1
37 259 1
65 260 1
19 261 1
139 261 1
22 261 1
76 261 1
77 261 1
26 261 1
75 261 1
44 261 1
27 261 1
66 262 1
24 263 1
81 263 1
15 263 1
19 263 1
96 263 1
47 263 1
48 263 1
82 263 1
0 263 1
3 263 1
5 263 1
50 263 1
83 263 1
84 263 1
51 263 1
102 263 1
53 263 1
23 263 1
86 263 1
154 263 1
54 263 1
87 263 1
55 263 1
88 263 1
126 263 1
57 263 1
124 263 1
58 263 1
105 263 1
141 263 1
59 263 1
103 263 1
22 263 1
1 263 1
4 263 1
39 263 1
104 263 1
17 263 1
2 263 1
13 263 1
14 263 1
70 263 1
123 263 1
77 263 1
146 263 1
30 263 1
26 263 1
113 263 1
16 263 1
108 263 1
155 263 1
127 263 1
100 263 1
52 263 1
95 263 1
33 263 1
89 263 1
128 263 1
36 263 1
135 263 1
129 263 1
156 263 1
8 263 1
18 263 1
62 263 1
152 263 1
20 263 1
21 263 1
29 263 1
64 263 1
65 263 1
90 263 1
7 263 1
31 263 1
11 263 1
99 263 1
112 263 1
75 263 1
68 263 1
157 263 1
91 263 1
43 263 1
44 263 1
34 263 1
9 263 1
92 263 1
27 263 1
37 263 1
148 263 1
158 263 1
72 263 1
159 263 1
150 263 1
160 263 1
24 264 1
10 264 1
15 264 1
96 264 1
48 264 1
82 264 1
5 264 1
41 264 1
42 264 1
102 264 1
142 264 1
40 264 1
2 264 1
30 264 1
16 264 1
31 264 1
11 264 1
44 264 1
79 264 1
87 265 1
27 265 1
2 266 1
43 266 1
19 267 1
51 267 1
22 267 1
4 267 1
16 267 1
20 267 1
44 267 1
3 268 1
54 268 1
109 268 1
