5941 83430
0 208 1
1 208 1
2 208 1
3 208 1
4 208 1
5 208 1
6 208 1
7 208 1
8 208 1
9 208 1
10 208 1
11 208 1
12 208 1
13 208 1
14 208 1
15 208 1
16 208 1
17 208 1
18 209 1
19 209 1
20 209 1
18 210 1
17 210 1
1 210 1
21 210 1
22 211 1
23 211 1
24 211 1
25 211 1
26 211 1
27 211 1
1 211 1
28 211 1
29 211 1
30 211 1
31 211 1
32 211 1
33 212 1
34 212 1
35 212 1
7 212 1
11 212 1
15 212 1
3 212 1
10 212 1
21 212 1
18 213 1
36 214 1
15 214 1
37 214 1
38 214 1
28 214 1
39 214 1
40 214 1
41 214 1
6 215 1
25 215 1
15 215 1
1 215 1
8 215 1
9 215 1
42 215 1
43 215 1
44 215 1
17 215 1
18 216 1
45 216 1
6 216 1
11 216 1
15 216 1
46 216 1
47 216 1
48 216 1
2 216 1
3 216 1
49 216 1
50 216 1
8 216 1
28 216 1
51 216 1
21 216 1
52 216 1
53 216 1
54 216 1
55 216 1
56 216 1
57 216 1
17 216 1
31 216 1
58 216 1
14 216 1
59 216 1
60 216 1
33 216 1
61 216 1
35 216 1
7 216 1
25 216 1
1 216 1
9 216 1
10 216 1
42 216 1
5 216 1
43 216 1
44 216 1
62 216 1
63 217 1
1 217 1
29 217 1
32 217 1
45 218 1
22 219 1
18 219 1
41 219 1
64 219 1
65 219 1
66 219 1
41 220 1
18 221 1
19 221 1
26 221 1
67 221 1
28 221 1
68 221 1
69 221 1
70 221 1
71 221 1
35 221 1
25 221 1
65 221 1
72 221 1
73 221 1
29 221 1
74 221 1
75 221 1
32 221 1
76 221 1
20 221 1
77 221 1
22 222 1
48 222 1
78 222 1
1 222 1
76 222 1
6 223 1
26 223 1
3 223 1
79 223 1
37 223 1
38 223 1
80 223 1
81 223 1
17 223 1
31 223 1
82 223 1
58 223 1
25 223 1
83 223 1
1 223 1
66 223 1
42 223 1
84 223 1
85 223 1
22 224 1
18 224 1
34 224 1
86 224 1
12 224 1
11 224 1
15 224 1
46 224 1
87 224 1
2 224 1
3 224 1
49 224 1
88 224 1
89 224 1
63 224 1
37 224 1
38 224 1
50 224 1
90 224 1
51 224 1
21 224 1
52 224 1
91 224 1
53 224 1
92 224 1
54 224 1
55 224 1
57 224 1
41 224 1
13 224 1
14 224 1
60 224 1
16 224 1
61 224 1
93 224 1
35 224 1
64 224 1
7 224 1
25 224 1
1 224 1
9 224 1
94 224 1
39 224 1
42 224 1
5 224 1
95 224 1
75 224 1
32 224 1
76 224 1
85 224 1
22 225 1
18 225 1
6 225 1
24 225 1
11 225 1
26 225 1
15 225 1
46 225 1
87 225 1
2 225 1
3 225 1
49 225 1
38 225 1
50 225 1
51 225 1
21 225 1
52 225 1
91 225 1
53 225 1
92 225 1
57 225 1
17 225 1
4 225 1
78 225 1
14 225 1
60 225 1
16 225 1
96 225 1
36 225 1
35 225 1
64 225 1
1 225 1
73 225 1
29 225 1
74 225 1
43 225 1
76 225 1
20 225 1
97 225 1
18 226 1
25 226 1
22 227 1
24 227 1
11 227 1
98 227 1
15 227 1
49 227 1
37 227 1
99 227 1
78 227 1
1 227 1
9 227 1
66 227 1
74 227 1
5 227 1
76 227 1
22 228 1
18 228 1
100 228 1
101 228 1
26 228 1
102 228 1
47 228 1
87 228 1
88 228 1
21 228 1
52 228 1
70 228 1
103 228 1
96 228 1
104 228 1
72 228 1
10 228 1
105 228 1
29 228 1
84 228 1
32 228 1
20 228 1
18 229 1
45 229 1
6 229 1
26 229 1
98 229 1
15 229 1
0 229 1
48 229 1
3 229 1
37 229 1
8 229 1
106 229 1
56 229 1
81 229 1
107 229 1
108 229 1
58 229 1
78 229 1
25 229 1
72 229 1
1 229 1
74 229 1
42 229 1
109 229 1
84 229 1
43 229 1
44 229 1
75 229 1
22 230 1
18 230 1
98 230 1
21 230 1
35 230 1
22 231 1
24 231 1
11 231 1
26 231 1
110 231 1
17 231 1
1 231 1
66 231 1
105 231 1
42 231 1
18 232 1
111 232 1
101 232 1
24 232 1
11 232 1
15 232 1
46 232 1
3 232 1
67 232 1
112 232 1
69 232 1
21 232 1
17 232 1
113 232 1
35 232 1
7 232 1
65 232 1
72 232 1
1 232 1
114 232 1
39 232 1
73 232 1
74 232 1
20 232 1
77 232 1
22 233 1
45 233 1
47 233 1
52 233 1
31 233 1
25 233 1
115 233 1
18 234 1
98 234 1
15 234 1
51 234 1
80 234 1
56 234 1
116 234 1
25 234 1
62 234 1
45 235 1
84 235 1
6 236 1
41 236 1
25 236 1
18 237 1
117 237 1
48 237 1
50 237 1
