6616 231602
0 586 1
1 586 1
2 586 1
3 586 1
4 586 1
5 586 1
6 586 1
7 586 1
8 586 1
9 586 1
10 586 1
11 586 1
12 586 1
13 586 1
14 586 1
15 586 1
16 586 1
17 586 1
18 586 1
19 586 1
20 587 1
21 587 1
22 587 1
23 587 1
24 587 1
25 587 1
26 587 1
27 587 1
28 587 1
29 587 1
30 587 1
31 587 1
32 587 1
33 587 1
34 587 1
35 587 1
36 587 1
37 587 1
38 587 1
39 587 1
40 587 1
41 587 1
42 587 1
43 587 1
44 587 1
45 587 1
46 587 1
47 587 1
48 587 1
49 587 1
50 587 1
51 588 1
18 588 1
52 588 1
1 588 1
40 588 1
53 588 1
54 588 1
55 588 1
56 589 1
57 589 1
58 589 1
59 589 1
60 590 1
61 590 1
62 590 1
63 590 1
20 590 1
25 590 1
64 590 1
65 590 1
66 590 1
67 590 1
68 590 1
69 590 1
70 590 1
71 590 1
72 590 1
73 590 1
52 590 1
74 590 1
36 590 1
75 590 1
1 590 1
40 590 1
42 590 1
76 590 1
77 590 1
19 590 1
78 590 1
79 590 1
80 590 1
81 590 1
82 590 1
83 590 1
84 590 1
85 590 1
86 590 1
87 590 1
88 590 1
89 590 1
90 590 1
91 590 1
92 590 1
15 590 1
93 590 1
94 591 1
95 591 1
96 591 1
7 591 1
11 591 1
16 591 1
74 591 1
3 591 1
10 591 1
55 591 1
97 591 1
98 591 1
99 592 1
20 592 1
25 592 1
34 592 1
72 592 1
52 592 1
74 592 1
36 592 1
42 592 1
49 592 1
100 592 1
101 592 1
83 592 1
29 592 1
48 592 1
61 593 1
20 593 1
102 593 1
27 593 1
31 593 1
32 593 1
34 593 1
16 593 1
52 593 1
74 593 1
42 593 1
103 593 1
104 593 1
105 593 1
46 593 1
106 593 1
107 593 1
108 593 1
19 593 1
100 593 1
29 593 1
84 593 1
30 593 1
85 593 1
109 593 1
88 593 1
110 593 1
92 593 1
111 593 1
112 593 1
48 593 1
113 593 1
99 594 1
6 594 1
66 594 1
27 594 1
68 594 1
31 594 1
16 594 1
73 594 1
114 594 1
74 594 1
38 594 1
75 594 1
1 594 1
40 594 1
42 594 1
115 594 1
49 594 1
8 594 1
9 594 1
77 594 1
19 594 1
116 594 1
117 594 1
118 594 1
119 594 1
120 594 1
85 594 1
121 594 1
18 594 1
88 594 1
89 594 1
122 594 1
123 594 1
48 594 1
15 594 1
124 595 1
125 595 1
6 595 1
126 595 1
127 595 1
11 595 1
34 595 1
16 595 1
128 595 1
129 595 1
