6184 111225
0 244 1
1 244 1
2 244 1
3 244 1
4 244 1
5 244 1
6 244 1
7 244 1
8 244 1
9 244 1
10 244 1
11 244 1
12 244 1
13 244 1
14 244 1
15 244 1
16 244 1
17 244 1
18 244 1
19 244 1
20 245 1
21 245 1
22 245 1
23 245 1
24 245 1
25 245 1
18 245 1
26 245 1
27 245 1
28 245 1
29 245 1
30 245 1
31 245 1
32 245 1
33 245 1
21 246 1
19 246 1
29 246 1
1 246 1
34 246 1
21 247 1
18 247 1
29 247 1
35 248 1
36 248 1
37 248 1
38 248 1
39 248 1
28 248 1
1 248 1
40 248 1
18 248 1
33 248 1
41 249 1
42 249 1
43 249 1
8 249 1
12 249 1
16 249 1
3 249 1
11 249 1
34 249 1
21 249 1
44 249 1
45 249 1
46 249 1
31 249 1
29 250 1
44 250 1
24 250 1
18 250 1
47 251 1
48 251 1
16 251 1
28 251 1
49 251 1
50 251 1
7 251 1
51 251 1
52 251 1
53 251 1
21 251 1
24 251 1
18 251 1
45 251 1
6 252 1
16 252 1
1 252 1
7 252 1
9 252 1
10 252 1
54 252 1
21 252 1
55 252 1
56 252 1
40 252 1
18 252 1
19 252 1
46 252 1
57 252 1
31 252 1
36 253 1
6 253 1
58 253 1
12 253 1
16 253 1
59 253 1
26 253 1
60 253 1
27 253 1
29 253 1
2 253 1
3 253 1
61 253 1
62 253 1
9 253 1
63 253 1
64 253 1
34 253 1
65 253 1
66 253 1
67 253 1
68 253 1
69 253 1
23 253 1
70 253 1
71 253 1
72 253 1
19 253 1
46 253 1
31 253 1
32 253 1
15 253 1
73 253 1
74 253 1
33 253 1
75 253 1
41 253 1
76 253 1
43 253 1
8 253 1
1 253 1
7 253 1
10 253 1
11 253 1
77 253 1
78 253 1
79 253 1
54 253 1
21 253 1
5 253 1
55 253 1
24 253 1
80 253 1
56 253 1
81 253 1
57 253 1
82 253 1
83 254 1
33 254 1
1 254 1
24 254 1
84 254 1
57 255 1
35 256 1
85 256 1
29 256 1
32 256 1
7 256 1
86 256 1
78 256 1
21 256 1
24 256 1
18 256 1
57 256 1
87 257 1
29 258 1
50 258 1
45 258 1
32 258 1
33 258 1
43 258 1
88 258 1
28 258 1
7 258 1
21 258 1
44 258 1
24 258 1
80 258 1
18 258 1
89 258 1
35 259 1
45 259 1
90 259 1
1 259 1
89 259 1
6 260 1
26 260 1
29 260 1
3 260 1
51 260 1
52 260 1
66 260 1
68 260 1
19 260 1
32 260 1
33 260 1
1 260 1
91 260 1
7 260 1
77 260 1
86 260 1
54 260 1
21 260 1
92 260 1
24 260 1
18 260 1
93 260 1
35 261 1
42 261 1
94 261 1
13 261 1
12 261 1
16 261 1
59 261 1
26 261 1
95 261 1
29 261 1
2 261 1
3 261 1
61 261 1
83 261 1
96 261 1
97 261 1
51 261 1
52 261 1
62 261 1
98 261 1
64 261 1
34 261 1
65 261 1
99 261 1
67 261 1
100 261 1
69 261 1
70 261 1
71 261 1
45 261 1
31 261 1
32 261 1
14 261 1
15 261 1
101 261 1
74 261 1
17 261 1
102 261 1
103 261 1
104 261 1
76 261 1
105 261 1
43 261 1
8 261 1
1 261 1
7 261 1
10 261 1
77 261 1
79 261 1
106 261 1
107 261 1
54 261 1
21 261 1
44 261 1
5 261 1
108 261 1
24 261 1
18 261 1
89 261 1
109 261 1
82 261 1
93 261 1
110 261 1
35 262 1
6 262 1
39 262 1
12 262 1
16 262 1
59 262 1
85 262 1
95 262 1
29 262 1
2 262 1
3 262 1
61 262 1
52 262 1
62 262 1
64 262 1
34 262 1
65 262 1
99 262 1
67 262 1
100 262 1
68 262 1
71 262 1
19 262 1
4 262 1
90 262 1
15 262 1
74 262 1
17 262 1
33 262 1
47 262 1
43 262 1
1 262 1
7 262 1
77 262 1
21 262 1
55 262 1
24 262 1
18 262 1
89 262 1
30 262 1
44 263 1
24 263 1
18 263 1
35 264 1
39 264 1
12 264 1
111 264 1
16 264 1
61 264 1
51 264 1
112 264 1
113 264 1
90 264 1
1 264 1
10 264 1
86 264 1
21 264 1
5 264 1
89 264 1
35 265 1
114 265 1
26 265 1
60 265 1
95 265 1
29 265 1
50 265 1
96 265 1
34 265 1
65 265 1
32 265 1
115 265 1
104 265 1
11 265 1
77 265 1
116 265 1
107 265 1
21 265 1
44 265 1
92 265 1
117 265 1
24 265 1
118 265 1
82 265 1
6 266 1
111 266 1
16 266 1
119 266 1
0 266 1
29 266 1
3 266 1
50 266 1
51 266 1
9 266 1
66 266 1
120 266 1
32 266 1
90 266 1
1 266 1
77 266 1
78 266 1
54 266 1
92 266 1
55 266 1
118 266 1
56 266 1
30 266 1
82 266 1
35 267 1
111 267 1
87 267 1
83 267 1
34 267 1
45 267 1
46 267 1
31 267 1
43 267 1
7 267 1
24 267 1
18 267 1
30 267 1
109 267 1
35 268 1
39 268 1
12 268 1
121 268 1
29 268 1
122 268 1
123 268 1
19 268 1
32 268 1
104 268 1
1 268 1
86 268 1
116 268 1
54 268 1
21 268 1
44 268 1
117 268 1
24 268 1
18 268 1
82 268 1
124 269 1
39 269 1
12 269 1
16 269 1
59 269 1
29 269 1
125 269 1
3 269 1
83 269 1
50 269 1
126 269 1
34 269 1
127 269 1
19 269 1
32 269 1
33 269 1
103 269 1
104 269 1
43 269 1
8 269 1
1 269 1
107 269 1
80 269 1
40 269 1
84 269 1
30 269 1
35 270 1
36 270 1
85 270 1
60 270 1
65 270 1
72 270 1
46 270 1
78 270 1
22 270 1
111 271 1
16 271 1
29 271 1
64 271 1
45 271 1
46 271 1
7 271 1
77 271 1
128 271 1
21 271 1
129 271 1
81 271 1
130 272 1
85 272 1
29 272 1
68 272 1
46 272 1
131 272 1
25 272 1
77 272 1
78 272 1
132 272 1
79 272 1
21 272 1
44 272 1
92 272 1
24 272 1
133 272 1
118 272 1
110 272 1
6 273 1
7 273 1
18 273 1
83 274 1
62 274 1
64 274 1
33 274 1
134 274 1
1 274 1
21 274 1
133 274 1
135 275 1
36 275 1
9 275 1
45 275 1
136 275 1
128 275 1
54 275 1
18 275 1
36 276 1
137 276 1
87 276 1
29 276 1
2 276 1
3 276 1
138 276 1
64 276 1
68 276 1
72 276 1
139 276 1
140 276 1
46 276 1
131 276 1
43 276 1
7 276 1
77 276 1
141 276 1
132 276 1
79 276 1
128 276 1
21 276 1
24 276 1
133 276 1
118 276 1
30 276 1
109 276 1
39 277 1
16 277 1
29 277 1
9 277 1
34 277 1
33 277 1
55 277 1
137 278 1
142 278 1
26 278 1
29 278 1
3 278 1
138 278 1
62 278 1
64 278 1
34 278 1
67 278 1
72 278 1
46 278 1
17 278 1
41 278 1
143 278 1
144 278 1
79 278 1
54 278 1
21 278 1
22 278 1
55 278 1
145 278 1
109 278 1
35 279 1
20 279 1
36 279 1
39 279 1
13 279 1
12 279 1
16 279 1
114 279 1
59 279 1
26 279 1
29 279 1
125 279 1
3 279 1
83 279 1
50 279 1
138 279 1
51 279 1
62 279 1
122 279 1
34 279 1
68 279 1
23 279 1
139 279 1
146 279 1
19 279 1
46 279 1
4 279 1
32 279 1
90 279 1
101 279 1
33 279 1
75 279 1
47 279 1
147 279 1
1 279 1
7 279 1
10 279 1
77 279 1
86 279 1
79 279 1
128 279 1
107 279 1
21 279 1
44 279 1
92 279 1
145 279 1
24 279 1
80 279 1
133 279 1
40 279 1
18 279 1
148 279 1
149 279 1
57 279 1
30 279 1
109 279 1
82 279 1
64 280 1
34 280 1
46 280 1
31 280 1
33 280 1
136 280 1
21 280 1
109 280 1
42 281 1
137 281 1
12 281 1
16 281 1
71 281 1
150 281 1
33 281 1
43 281 1
8 281 1
1 281 1
39 282 1
19 282 1
1 282 1
86 282 1
54 282 1
44 282 1
35 283 1
119 283 1
85 283 1
29 283 1
125 283 1
151 283 1
50 283 1
138 283 1
63 283 1
66 283 1
68 283 1
123 283 1
152 283 1
72 283 1
146 283 1
153 283 1
140 283 1
46 283 1
154 283 1
31 283 1
32 283 1
102 283 1
33 283 1
131 283 1
75 283 1
104 283 1
155 283 1
91 283 1
141 283 1
78 283 1
132 283 1
79 283 1
156 283 1
128 283 1
107 283 1
21 283 1
157 283 1
133 283 1
158 283 1
148 283 1
82 283 1
110 283 1
42 284 1
27 284 1
29 284 1
105 284 1
21 284 1
24 284 1
29 285 1
151 285 1
83 285 1
66 285 1
68 285 1
19 285 1
32 285 1
33 285 1
7 285 1
77 285 1
86 285 1
79 285 1
21 285 1
92 285 1
118 285 1
93 285 1
19 286 1
33 286 1
89 286 1
35 287 1
111 287 1
48 287 1
16 287 1
29 287 1
2 287 1
61 287 1
51 287 1
52 287 1
9 287 1
64 287 1
65 287 1
72 287 1
46 287 1
31 287 1
32 287 1
15 287 1
41 287 1
7 287 1
86 287 1
79 287 1
106 287 1
54 287 1
21 287 1
5 287 1
55 287 1
56 287 1
39 288 1
12 288 1
16 288 1
83 288 1
34 288 1
19 288 1
45 288 1
31 288 1
159 288 1
8 288 1
1 288 1
7 288 1
11 288 1
141 288 1
79 288 1
7 289 1
128 289 1
35 290 1
20 290 1
36 290 1
58 290 1
137 290 1
12 290 1
16 290 1
114 290 1
26 290 1
85 290 1
27 290 1
29 290 1
2 290 1
3 290 1
61 290 1
96 290 1
51 290 1
62 290 1
126 290 1
34 290 1
65 290 1
67 290 1
100 290 1
69 290 1
71 290 1
72 290 1
19 290 1
46 290 1
31 290 1
32 290 1
14 290 1
103 290 1
131 290 1
104 290 1
159 290 1
47 290 1
147 290 1
88 290 1
28 290 1
1 290 1
49 290 1
10 290 1
11 290 1
79 290 1
24 290 1
89 290 1
160 290 1
82 290 1
13 290 1
48 290 1
83 290 1
50 290 1
161 290 1
122 290 1
63 290 1
162 290 1
146 290 1
153 290 1
140 290 1
163 290 1
164 290 1
45 290 1
165 290 1
4 290 1
15 290 1
90 290 1
17 290 1
33 290 1
43 290 1
8 290 1
25 290 1
166 290 1
167 290 1
7 290 1
77 290 1
86 290 1
78 290 1
116 290 1
132 290 1
128 290 1
107 290 1
21 290 1
44 290 1
118 290 1
40 290 1
18 290 1
57 290 1
30 290 1
110 290 1
111 291 1
16 291 1
26 291 1
0 291 1
29 291 1
2 291 1
3 291 1
51 291 1
52 291 1
34 291 1
19 291 1
32 291 1
14 291 1
47 291 1
1 291 1
10 291 1
11 291 1
89 291 1
82 291 1
39 291 1
13 291 1
162 291 1
150 291 1
4 291 1
90 291 1
43 291 1
7 291 1
77 291 1
78 291 1
54 291 1
21 291 1
55 291 1
18 291 1
110 291 1
65 292 1
45 292 1
165 292 1
54 292 1
12 293 1
16 293 1
19 293 1
136 293 1
10 293 1
26 294 1
32 294 1
24 294 1
82 294 1
7 294 1
18 294 1
57 294 1
35 295 1
168 295 1
12 295 1
26 295 1
60 295 1
0 295 1
29 295 1
2 295 1
3 295 1
138 295 1
51 295 1
52 295 1
62 295 1
9 295 1
64 295 1
34 295 1
65 295 1
67 295 1
71 295 1
72 295 1
139 295 1
19 295 1
46 295 1
120 295 1
113 295 1
31 295 1
32 295 1
14 295 1
102 295 1
104 295 1
88 295 1
1 295 1
11 295 1
79 295 1
148 295 1
89 295 1
169 295 1
82 295 1
42 295 1
83 295 1
122 295 1
68 295 1
146 295 1
90 295 1
15 295 1
101 295 1
17 295 1
33 295 1
41 295 1
76 295 1
43 295 1
8 295 1
25 295 1
77 295 1
86 295 1
116 295 1
128 295 1
54 295 1
21 295 1
92 295 1
118 295 1
40 295 1
18 295 1
84 295 1
30 295 1
109 295 1
93 295 1
110 295 1
19 296 1
170 296 1
19 297 1
46 297 1
24 297 1
4 297 1
90 297 1
33 297 1
7 297 1
137 298 1
12 298 1
16 298 1
26 298 1
19 298 1
28 298 1
1 298 1
24 298 1
48 298 1
50 298 1
43 298 1
7 298 1
40 298 1
18 298 1
38 299 1
0 299 1
29 299 1
51 299 1
135 299 1
54 299 1
44 299 1
40 299 1
81 299 1
30 299 1
110 299 1
36 300 1
6 300 1
59 300 1
26 300 1
95 300 1
0 300 1
29 300 1
2 300 1
3 300 1
61 300 1
51 300 1
52 300 1
62 300 1
65 300 1
99 300 1
66 300 1
100 300 1
72 300 1
127 300 1
19 300 1
46 300 1
31 300 1
32 300 1
102 300 1
104 300 1
79 300 1
24 300 1
80 300 1
82 300 1
48 300 1
83 300 1
68 300 1
15 300 1
101 300 1
33 300 1
25 300 1
166 300 1
7 300 1
77 300 1
78 300 1
132 300 1
116 300 1
128 300 1
54 300 1
21 300 1
5 300 1
92 300 1
22 300 1
118 300 1
40 300 1
129 300 1
18 300 1
30 300 1
93 300 1
110 300 1
36 301 1
137 301 1
27 301 1
0 301 1
138 301 1
64 301 1
65 301 1
66 301 1
46 301 1
31 301 1
171 301 1
144 301 1
79 301 1
157 301 1
24 301 1
172 301 1
173 301 1
101 301 1
37 301 1
174 301 1
175 301 1
176 301 1
141 301 1
78 301 1
128 301 1
22 301 1
129 301 1
18 301 1
57 301 1
109 301 1
16 302 1
123 302 1
75 302 1
1 302 1
82 302 1
33 302 1
162 303 1
44 303 1
35 304 1
58 304 1
26 304 1
85 304 1
87 304 1
27 304 1
29 304 1
2 304 1
61 304 1
65 304 1
66 304 1
72 304 1
139 304 1
46 304 1
177 304 1
31 304 1
32 304 1
49 304 1
144 304 1
79 304 1
24 304 1
83 304 1
172 304 1
163 304 1
17 304 1
178 304 1
166 304 1
128 304 1
53 304 1
21 304 1
5 304 1
145 304 1
118 304 1
18 304 1
30 304 1
109 304 1
110 304 1
35 305 1
66 305 1
19 305 1
46 305 1
28 305 1
39 305 1
90 305 1
54 305 1
44 305 1
109 305 1
24 306 1
39 306 1
21 306 1
18 306 1
35 307 1
36 307 1
12 307 1
16 307 1
29 307 1
3 307 1
72 307 1
127 307 1
19 307 1
32 307 1
75 307 1
79 307 1
80 307 1
83 307 1
146 307 1
33 307 1
21 307 1
44 307 1
18 307 1
30 307 1
109 307 1
0 308 1
29 308 1
138 308 1
24 308 1
33 308 1
44 308 1
18 308 1
30 308 1
36 309 1
26 309 1
87 309 1
27 309 1
138 309 1
23 309 1
179 309 1
163 309 1
109 309 1
58 310 1
16 310 1
62 310 1
9 310 1
31 310 1
1 310 1
54 310 1
137 311 1
29 311 1
50 311 1
33 311 1
40 311 1
18 311 1
57 311 1
35 312 1
19 312 1
113 312 1
1 312 1
89 312 1
39 312 1
54 312 1
44 312 1
36 313 1
33 314 1
21 314 1
44 314 1
18 314 1
6 315 1
16 315 1
29 315 1
34 315 1
71 315 1
127 315 1
120 315 1
32 315 1
102 315 1
1 315 1
24 315 1
82 315 1
39 315 1
83 315 1
33 315 1
77 315 1
116 315 1
107 315 1
54 315 1
21 315 1
44 315 1
55 315 1
118 315 1
180 315 1
18 315 1
181 315 1
33 316 1
44 316 1
94 317 1
12 317 1
16 317 1
114 317 1
59 317 1
0 317 1
29 317 1
2 317 1
3 317 1
61 317 1
96 317 1
97 317 1
62 317 1
9 317 1
126 317 1
64 317 1
34 317 1
65 317 1
99 317 1
67 317 1
100 317 1
69 317 1
70 317 1
182 317 1
71 317 1
19 317 1
183 317 1
32 317 1
14 317 1
104 317 1
184 317 1
1 317 1
136 317 1
185 317 1
10 317 1
11 317 1
186 317 1
89 317 1
187 317 1
42 317 1
13 317 1
161 317 1
122 317 1
150 317 1
165 317 1
4 317 1
90 317 1
15 317 1
74 317 1
17 317 1
41 317 1
76 317 1
105 317 1
43 317 1
8 317 1
106 317 1
54 317 1
21 317 1
5 317 1
55 317 1
108 317 1
56 317 1
188 317 1
189 317 1
190 317 1
191 317 1
6 318 1
16 318 1
9 318 1
1 318 1
39 318 1
44 318 1
55 318 1
56 318 1
40 318 1
57 318 1
113 319 1
39 319 1
54 319 1
44 319 1
12 320 1
16 320 1
0 320 1
2 320 1
62 320 1
9 320 1
64 320 1
34 320 1
66 320 1
67 320 1
71 320 1
19 320 1
14 320 1
1 320 1
136 320 1
11 320 1
172 320 1
15 320 1
192 320 1
17 320 1
33 320 1
41 320 1
76 320 1
43 320 1
60 321 1
136 321 1
165 321 1
16 322 1
26 322 1
0 322 1
19 322 1
31 322 1
28 322 1
1 322 1
10 322 1
11 322 1
24 322 1
4 322 1
33 322 1
43 322 1
8 322 1
7 322 1
21 322 1
18 322 1
193 323 1
87 323 1
29 323 1
51 323 1
66 323 1
72 323 1
139 323 1
46 323 1
175 323 1
176 323 1
21 323 1
133 323 1
129 323 1
18 323 1
57 323 1
137 324 1
32 324 1
24 324 1
50 324 1
33 324 1
7 324 1
44 324 1
35 325 1
60 325 1
29 325 1
126 325 1
19 325 1
1 325 1
136 325 1
89 325 1
39 325 1
189 325 1
29 326 1
66 326 1
24 326 1
33 326 1
7 326 1
77 326 1
21 326 1
118 326 1
18 326 1
65 327 1
18 327 1
31 328 1
42 328 1
13 328 1
43 328 1
21 328 1
26 329 1
29 329 1
131 329 1
24 329 1
76 329 1
18 329 1
36 330 1
139 330 1
46 330 1
24 330 1
7 330 1
128 330 1
18 330 1
30 330 1
31 331 1
7 331 1
18 331 1
20 332 1
36 332 1
16 332 1
19 332 1
32 332 1
104 332 1
28 332 1
24 332 1
80 332 1
89 332 1
39 332 1
33 332 1
7 332 1
86 332 1
54 332 1
18 332 1
84 332 1
57 332 1
23 333 1
72 333 1
46 333 1
31 333 1
79 333 1
24 333 1
35 334 1
94 334 1
