6399 151727
0 451 1
1 451 1
2 451 1
3 451 1
4 451 1
5 451 1
6 451 1
7 451 1
8 451 1
9 451 1
10 451 1
11 451 1
12 451 1
13 451 1
14 451 1
15 451 1
16 451 1
17 451 1
18 451 1
19 451 1
20 451 1
21 451 1
22 452 1
23 452 1
24 452 1
25 452 1
26 452 1
27 452 1
28 452 1
29 452 1
30 452 1
31 452 1
32 452 1
33 452 1
20 453 1
1 453 1
34 453 1
8 454 1
16 454 1
23 455 1
35 455 1
36 455 1
37 455 1
38 455 1
39 455 1
40 455 1
41 455 1
42 455 1
1 455 1
43 455 1
44 455 1
45 455 1
21 455 1
46 455 1
47 455 1
24 455 1
48 455 1
49 455 1
50 455 1
51 455 1
52 455 1
53 455 1
54 455 1
3 455 1
16 455 1
55 455 1
56 456 1
57 456 1
58 456 1
59 456 1
39 456 1
7 456 1
11 456 1
15 456 1
4 456 1
10 456 1
34 456 1
60 456 1
61 456 1
62 456 1
63 456 1
64 456 1
17 456 1
55 456 1
41 457 1
65 457 1
23 458 1
35 458 1
66 458 1
67 458 1
39 458 1
27 458 1
15 458 1
68 458 1
21 458 1
69 458 1
24 458 1
70 458 1
71 458 1
72 458 1
73 458 1
16 458 1
23 459 1
35 459 1
56 459 1
74 459 1
38 459 1
40 459 1
27 459 1
15 459 1
42 459 1
1 459 1
43 459 1
75 459 1
9 459 1
21 459 1
76 459 1
24 459 1
48 459 1
65 459 1
20 459 1
52 459 1
16 459 1
77 460 1
78 460 1
79 460 1
11 460 1
80 460 1
15 460 1
81 460 1
82 460 1
83 460 1
84 460 1
85 460 1
2 460 1
4 460 1
86 460 1
87 460 1
88 460 1
89 460 1
90 460 1
91 460 1
92 460 1
34 460 1
60 460 1
93 460 1
94 460 1
95 460 1
96 460 1
97 460 1
98 460 1
99 460 1
100 460 1
101 460 1
20 460 1
102 460 1
3 460 1
103 460 1
104 460 1
105 460 1
106 460 1
107 460 1
108 460 1
14 460 1
109 460 1
110 460 1
17 460 1
111 460 1
57 460 1
112 460 1
113 460 1
59 460 1
74 460 1
7 460 1
40 460 1
1 460 1
9 460 1
10 460 1
114 460 1
115 460 1
33 460 1
116 460 1
117 460 1
76 460 1
118 460 1
6 460 1
119 460 1
120 460 1
121 460 1
65 460 1
51 460 1
29 460 1
122 460 1
123 460 1
124 460 1
8 460 1
125 460 1
126 460 1
127 460 1
128 460 1
129 460 1
130 460 1
78 461 1
44 461 1
131 461 1
38 461 1
42 461 1
1 461 1
19 461 1
21 461 1
24 461 1
132 461 1
51 461 1
52 461 1
53 461 1
133 462 1
3 462 1
108 462 1
65 462 1
73 462 1
134 462 1
135 462 1
77 463 1
81 463 1
82 463 1
85 463 1
96 463 1
101 463 1
102 463 1
3 463 1
136 463 1
111 463 1
25 463 1
39 463 1
42 463 1
137 463 1
33 463 1
116 463 1
119 463 1
8 463 1
135 463 1
129 463 1
16 464 1
39 464 1
21 464 1
26 465 1
41 465 1
48 465 1
96 465 1
138 465 1
139 465 1
23 465 1
35 465 1
140 465 1
56 465 1
25 465 1
59 465 1
74 465 1
38 465 1
39 465 1
40 465 1
27 465 1
42 465 1
75 465 1
141 465 1
114 465 1
115 465 1
33 465 1
142 465 1
117 465 1
143 465 1
24 465 1
50 465 1
144 465 1
145 465 1
146 465 1
147 465 1
148 465 1
53 465 1
149 465 1
150 466 1
151 466 1
152 466 1
153 466 1
1 466 1
154 467 1
4 467 1
155 467 1
88 467 1
99 467 1
20 467 1
156 467 1
106 467 1
107 467 1
157 467 1
55 467 1
23 467 1
140 467 1
158 467 1
36 467 1
56 467 1
159 467 1
39 467 1
40 467 1
160 467 1
42 467 1
1 467 1
45 467 1
76 467 1
24 467 1
50 467 1
30 467 1
161 467 1
8 467 1
162 467 1
163 467 1
129 467 1
164 467 1
58 468 1
165 468 1
166 468 1
77 468 1
78 468 1
79 468 1
12 468 1
11 468 1
80 468 1
15 468 1
81 468 1
82 468 1
167 468 1
83 468 1
168 468 1
169 468 1
85 468 1
2 468 1
4 468 1
86 468 1
87 468 1
88 468 1
170 468 1
171 468 1
90 468 1
172 468 1
92 468 1
34 468 1
60 468 1
173 468 1
93 468 1
174 468 1
94 468 1
175 468 1
131 468 1
176 468 1
177 468 1
178 468 1
48 468 1
95 468 1
96 468 1
97 468 1
99 468 1
100 468 1
179 468 1
180 468 1
181 468 1
102 468 1
3 468 1
182 468 1
13 468 1
14 468 1
139 468 1
110 468 1
136 468 1
17 468 1
18 468 1
111 468 1
55 468 1
22 468 1
23 468 1
140 468 1
113 468 1
183 468 1
25 468 1
59 468 1
74 468 1
38 468 1
39 468 1
7 468 1
40 468 1
27 468 1
42 468 1
1 468 1
141 468 1
184 468 1
9 468 1
114 468 1
115 468 1
33 468 1
116 468 1
185 468 1
19 468 1
186 468 1
69 468 1
117 468 1
76 468 1
187 468 1
188 468 1
6 468 1
119 468 1
189 468 1
190 468 1
191 468 1
120 468 1
49 468 1
51 468 1
72 468 1
52 468 1
147 468 1
148 468 1
53 468 1
149 468 1
192 468 1
124 468 1
8 468 1
193 468 1
162 468 1
135 468 1
194 468 1
163 468 1
11 469 1
150 469 1
15 469 1
83 469 1
168 469 1
85 469 1
2 469 1
4 469 1
86 469 1
87 469 1
90 469 1
151 469 1
92 469 1
34 469 1
93 469 1
174 469 1
94 469 1
175 469 1
100 469 1
20 469 1
156 469 1
3 469 1
5 469 1
107 469 1
108 469 1
153 469 1
14 469 1
110 469 1
16 469 1
18 469 1
55 469 1
56 469 1
66 469 1
59 469 1
38 469 1
1 469 1
114 469 1
115 469 1
33 469 1
45 469 1
143 469 1
119 469 1
195 469 1
124 469 1
8 469 1
43 470 1
56 470 1
38 470 1
40 470 1
142 470 1
11 471 1
15 471 1
86 471 1
196 471 1
153 471 1
1 471 1
9 471 1
143 471 1
6 471 1
77 472 1
78 472 1
79 472 1
84 472 1
168 472 1
85 472 1
170 472 1
34 472 1
197 472 1
93 472 1
198 472 1
96 472 1
199 472 1
102 472 1
3 472 1
32 472 1
108 472 1
111 472 1
200 472 1
25 472 1
38 472 1
39 472 1
10 472 1
116 472 1
201 472 1
186 472 1
21 472 1
142 472 1
117 472 1
119 472 1
190 472 1
191 472 1
202 472 1
203 472 1
72 472 1
52 472 1
53 472 1
149 472 1
8 472 1
162 472 1
135 472 1
129 472 1
164 472 1
204 473 1
154 473 1
77 473 1
205 473 1
206 473 1
15 473 1
81 473 1
41 473 1
0 473 1
85 473 1
43 473 1
4 473 1
88 473 1
207 473 1
208 473 1
91 473 1
131 473 1
209 473 1
48 473 1
98 473 1
101 473 1
156 473 1
32 473 1
106 473 1
107 473 1
108 473 1
153 473 1
16 473 1
111 473 1
55 473 1
23 473 1
140 473 1
158 473 1
36 473 1
210 473 1
211 473 1
159 473 1
74 473 1
38 473 1
39 473 1
40 473 1
27 473 1
42 473 1
1 473 1
212 473 1
137 473 1
114 473 1
213 473 1
116 473 1
21 473 1
214 473 1
142 473 1
143 473 1
76 473 1
47 473 1
24 473 1
119 473 1
49 473 1
50 473 1
65 473 1
215 473 1
216 473 1
51 473 1
72 473 1
52 473 1
148 473 1
73 473 1
54 473 1
149 473 1
217 473 1
124 473 1
8 473 1
193 473 1
162 473 1
218 473 1
164 473 1
82 474 1
85 474 1
34 474 1
209 474 1
102 474 1
3 474 1
108 474 1
16 474 1
59 474 1
39 474 1
42 474 1
115 474 1
21 474 1
24 474 1
119 474 1
71 474 1
65 474 1
219 475 1
11 475 1
220 475 1
20 475 1
16 475 1
56 475 1
1 475 1
201 475 1
76 475 1
190 475 1
154 476 1
221 476 1
222 476 1
77 476 1
223 476 1
133 476 1
78 476 1
11 476 1
15 476 1
83 476 1
85 476 1
4 476 1
224 476 1
91 476 1
34 476 1
60 476 1
138 476 1
20 476 1
156 476 1
182 476 1
104 476 1
225 476 1
17 476 1
23 476 1
59 476 1
7 476 1
1 476 1
68 476 1
226 476 1
227 476 1
228 476 1
69 476 1
229 476 1
117 476 1
143 476 1
187 476 1
188 476 1
119 476 1
144 476 1
230 476 1
29 476 1
8 476 1
194 476 1
204 477 1
205 477 1
231 477 1
