5776 80096
0 360 1
1 360 1
2 360 1
3 360 1
4 360 1
5 360 1
6 360 1
7 360 1
8 360 1
9 360 1
10 360 1
11 360 1
12 360 1
13 360 1
14 360 1
15 360 1
16 360 1
17 360 1
18 360 1
19 360 1
19 361 1
1 361 1
20 361 1
8 362 1
21 363 1
22 363 1
23 363 1
24 363 1
1 363 1
25 363 1
26 363 1
27 363 1
28 363 1
3 363 1
29 363 1
30 363 1
31 364 1
32 364 1
33 364 1
7 364 1
11 364 1
15 364 1
4 364 1
10 364 1
20 364 1
34 364 1
35 364 1
36 364 1
37 364 1
38 364 1
16 364 1
30 364 1
39 365 1
15 365 1
40 365 1
15 366 1
1 366 1
25 366 1
9 366 1
41 366 1
19 366 1
42 366 1
43 367 1
44 367 1
45 367 1
11 367 1
46 367 1
15 367 1
47 367 1
48 367 1
49 367 1
2 367 1
4 367 1
50 367 1
51 367 1
52 367 1
53 367 1
54 367 1
55 367 1
20 367 1
34 367 1
56 367 1
57 367 1
58 367 1
59 367 1
60 367 1
61 367 1
62 367 1
63 367 1
64 367 1
19 367 1
3 367 1
65 367 1
66 367 1
67 367 1
68 367 1
14 367 1
69 367 1
70 367 1
71 367 1
16 367 1
72 367 1
31 367 1
73 367 1
74 367 1
33 367 1
7 367 1
1 367 1
9 367 1
10 367 1
75 367 1
41 367 1
76 367 1
6 367 1
77 367 1
78 367 1
79 367 1
80 367 1
28 367 1
81 367 1
82 367 1
8 367 1
83 367 1
84 367 1
85 367 1
86 367 1
87 367 1
88 367 1
44 368 1
89 368 1
90 368 1
1 368 1
18 368 1
91 368 1
92 368 1
28 368 1
3 369 1
43 370 1
47 370 1
59 370 1
64 370 1
3 370 1
93 370 1
72 370 1
94 370 1
75 370 1
77 370 1
8 370 1
87 370 1
59 371 1
33 371 1
95 371 1
96 372 1
97 372 1
98 372 1
1 372 1
4 373 1
25 373 1
51 373 1
62 373 1
19 373 1
68 373 1
30 373 1
1 373 1
41 373 1
8 373 1
99 373 1
87 373 1
32 374 1
100 374 1
101 374 1
43 374 1
44 374 1
45 374 1
12 374 1
11 374 1
46 374 1
15 374 1
47 374 1
102 374 1
48 374 1
103 374 1
104 374 1
2 374 1
4 374 1
50 374 1
51 374 1
105 374 1
106 374 1
53 374 1
107 374 1
55 374 1
20 374 1
34 374 1
108 374 1
56 374 1
109 374 1
57 374 1
110 374 1
90 374 1
111 374 1
112 374 1
113 374 1
58 374 1
59 374 1
60 374 1
62 374 1
63 374 1
114 374 1
115 374 1
116 374 1
3 374 1
117 374 1
13 374 1
14 374 1
70 374 1
93 374 1
16 374 1
17 374 1
72 374 1
30 374 1
74 374 1
118 374 1
33 374 1
7 374 1
1 374 1
95 374 1
9 374 1
75 374 1
119 374 1
