5945 90447
0 294 1
1 294 1
2 294 1
3 294 1
4 294 1
5 294 1
6 294 1
7 294 1
8 294 1
9 294 1
10 294 1
11 294 1
12 294 1
13 294 1
14 294 1
15 294 1
16 294 1
17 294 1
18 294 1
19 294 1
20 295 1
19 296 1
1 296 1
21 296 1
8 297 1
22 298 1
23 298 1
24 298 1
1 298 1
25 298 1
26 298 1
27 298 1
3 298 1
28 298 1
29 299 1
30 299 1
31 299 1
7 299 1
11 299 1
15 299 1
4 299 1
10 299 1
21 299 1
32 299 1
33 299 1
34 299 1
35 299 1
36 299 1
16 299 1
28 299 1
37 300 1
15 300 1
38 300 1
24 301 1
15 301 1
1 301 1
9 301 1
39 301 1
19 301 1
40 302 1
41 302 1
42 302 1
43 302 1
11 302 1
44 302 1
15 302 1
45 302 1
46 302 1
47 302 1
2 302 1
4 302 1
48 302 1
49 302 1
50 302 1
51 302 1
52 302 1
53 302 1
21 302 1
32 302 1
54 302 1
55 302 1
56 302 1
57 302 1
58 302 1
59 302 1
60 302 1
61 302 1
62 302 1
19 302 1
27 302 1
3 302 1
63 302 1
64 302 1
65 302 1
66 302 1
14 302 1
67 302 1
68 302 1
16 302 1
69 302 1
29 302 1
70 302 1
71 302 1
31 302 1
7 302 1
24 302 1
1 302 1
9 302 1
10 302 1
72 302 1
39 302 1
73 302 1
6 302 1
74 302 1
75 302 1
76 302 1
77 302 1
26 302 1
78 302 1
79 302 1
8 302 1
80 302 1
81 302 1
82 302 1
83 302 1
84 302 1
85 302 1
42 303 1
86 303 1
1 303 1
18 303 1
87 303 1
26 303 1
41 304 1
3 304 1
22 305 1
40 305 1
45 305 1
57 305 1
62 305 1
3 305 1
88 305 1
69 305 1
89 305 1
72 305 1
74 305 1
8 305 1
84 305 1
90 306 1
57 306 1
31 306 1
24 306 1
91 306 1
22 307 1
92 307 1
93 307 1
94 307 1
1 307 1
95 308 1
4 308 1
96 308 1
49 308 1
97 308 1
60 308 1
19 308 1
27 308 1
66 308 1
98 308 1
28 308 1
24 308 1
99 308 1
1 308 1
100 308 1
39 308 1
75 308 1
20 308 1
101 308 1
8 308 1
102 308 1
103 308 1
84 308 1
22 309 1
30 309 1
104 309 1
105 309 1
40 309 1
42 309 1
43 309 1
12 309 1
11 309 1
44 309 1
15 309 1
45 309 1
106 309 1
46 309 1
107 309 1
108 309 1
2 309 1
4 309 1
48 309 1
49 309 1
109 309 1
110 309 1
111 309 1
51 309 1
112 309 1
53 309 1
21 309 1
32 309 1
113 309 1
54 309 1
114 309 1
55 309 1
115 309 1
86 309 1
116 309 1
117 309 1
118 309 1
56 309 1
57 309 1
58 309 1
60 309 1
61 309 1
119 309 1
120 309 1
121 309 1
3 309 1
122 309 1
13 309 1
14 309 1
68 309 1
88 309 1
16 309 1
17 309 1
69 309 1
28 309 1
71 309 1
123 309 1
31 309 1
7 309 1
24 309 1
1 309 1
91 309 1
9 309 1
72 309 1
124 309 1
18 309 1
39 309 1
125 309 1
126 309 1
6 309 1
74 309 1
127 309 1
128 309 1
129 309 1
76 309 1
25 309 1
26 309 1
130 309 1
8 309 1
131 309 1
103 309 1
22 310 1
11 310 1
15 310 1
46 310 1
107 310 1
2 310 1
4 310 1
48 310 1
51 310 1
92 310 1
53 310 1
21 310 1
54 310 1
114 310 1
55 310 1
115 310 1
61 310 1
19 310 1
3 310 1
5 310 1
94 310 1
14 310 1
68 310 1
17 310 1
28 310 1
37 310 1
31 310 1
1 310 1
74 310 1
132 310 1
8 310 1
24 311 1
22 312 1
11 312 1
15 312 1
48 312 1
133 312 1
94 312 1
1 312 1
9 312 1
6 312 1
22 313 1
40 313 1
42 313 1
43 313 1
47 313 1
107 313 1
109 313 1
21 313 1
54 313 1
57 313 1
3 313 1
69 313 1
10 313 1
72 313 1
134 313 1
74 313 1
128 313 1
129 313 1
8 313 1
102 313 1
84 313 1
135 314 1
95 314 1
40 314 1
41 314 1
136 314 1
15 314 1
45 314 1
137 314 1
0 314 1
4 314 1
49 314 1
138 314 1
52 314 1
86 314 1
59 314 1
62 314 1
66 314 1
94 314 1
69 314 1
28 314 1
24 314 1
1 314 1
89 314 1
72 314 1
39 314 1
74 314 1
75 314 1
25 314 1
26 314 1
8 314 1
102 314 1
22 315 1
21 315 1
3 315 1
31 315 1
74 315 1
22 316 1
139 316 1
11 316 1
140 316 1
19 316 1
1 316 1
134 316 1
39 316 1
128 316 1
95 317 1
141 317 1
142 317 1
40 317 1
143 317 1
42 317 1
11 317 1
15 317 1
46 317 1
4 317 1
144 317 1
52 317 1
21 317 1
32 317 1
19 317 1
122 317 1
64 317 1
145 317 1
16 317 1
31 317 1
7 317 1
1 317 1
38 317 1
146 317 1
147 317 1
148 317 1
125 317 1
126 317 1
74 317 1
149 317 1
8 317 1
131 317 1
22 318 1
135 318 1
41 318 1
136 318 1
150 318 1
45 318 1
47 318 1
151 318 1
137 318 1
54 318 1
27 318 1
152 318 1
153 318 1
154 318 1
24 318 1
72 318 1
155 318 1
74 318 1
75 318 1
8 318 1
95 319 1
15 319 1
53 319 1
97 319 1
3 319 1
154 319 1
24 319 1
26 319 1
20 319 1
79 319 1
8 319 1
102 319 1
41 320 1
75 320 1
24 321 1
8 321 1
51 322 1
53 322 1
86 322 1
116 322 1
1 322 1
74 322 1
24 323 1
156 323 1
39 323 1
26 323 1
41 324 1
136 324 1
42 324 1
150 324 1
