6203 112147
0 352 1
1 352 1
2 352 1
3 352 1
4 352 1
5 352 1
6 352 1
7 352 1
8 352 1
9 352 1
10 352 1
11 352 1
12 352 1
13 352 1
14 352 1
15 352 1
16 352 1
17 352 1
18 352 1
19 352 1
20 353 1
21 353 1
22 353 1
20 354 1
19 354 1
1 354 1
23 354 1
8 355 1
24 356 1
25 356 1
26 356 1
27 356 1
1 356 1
28 356 1
29 356 1
30 356 1
31 356 1
32 356 1
33 356 1
34 356 1
3 356 1
35 356 1
36 357 1
37 357 1
38 357 1
7 357 1
11 357 1
15 357 1
4 357 1
10 357 1
23 357 1
39 357 1
40 357 1
41 357 1
42 357 1
43 357 1
16 357 1
35 357 1
20 358 1
44 359 1
15 359 1
45 359 1
28 359 1
46 359 1
47 359 1
48 359 1
25 360 1
15 360 1
1 360 1
9 360 1
49 360 1
19 360 1
20 361 1
50 361 1
51 361 1
52 361 1
53 361 1
11 361 1
54 361 1
15 361 1
55 361 1
56 361 1
57 361 1
58 361 1
2 361 1
4 361 1
59 361 1
60 361 1
61 361 1
62 361 1
28 361 1
63 361 1
64 361 1
23 361 1
39 361 1
65 361 1
66 361 1
67 361 1
68 361 1
69 361 1
70 361 1
71 361 1
72 361 1
73 361 1
74 361 1
19 361 1
33 361 1
3 361 1
75 361 1
76 361 1
77 361 1
78 361 1
79 361 1
14 361 1
80 361 1
81 361 1
16 361 1
82 361 1
36 361 1
83 361 1
84 361 1
38 361 1
7 361 1
25 361 1
1 361 1
9 361 1
10 361 1
85 361 1
49 361 1
86 361 1
6 361 1
87 361 1
88 361 1
89 361 1
32 361 1
90 361 1
91 361 1
8 361 1
92 361 1
93 361 1
94 361 1
95 361 1
96 361 1
97 361 1
52 362 1
98 362 1
99 362 1
1 362 1
18 362 1
29 362 1
100 362 1
32 362 1
34 362 1
51 363 1
3 363 1
20 364 1
50 364 1
55 364 1
68 364 1
74 364 1
3 364 1
48 364 1
101 364 1
82 364 1
102 364 1
103 364 1
104 364 1
85 364 1
87 364 1
8 364 1
96 364 1
48 365 1
20 366 1
21 366 1
26 366 1
105 366 1
28 366 1
106 366 1
107 366 1
108 366 1
68 366 1
109 366 1
38 366 1
25 366 1
103 366 1
110 366 1
111 366 1
112 366 1
29 366 1
113 366 1
114 366 1
34 366 1
22 366 1
115 366 1
58 367 1
116 367 1
117 367 1
118 367 1
1 367 1
26 368 1
4 368 1
119 368 1
60 368 1
120 368 1
71 368 1
121 368 1
19 368 1
33 368 1
122 368 1
78 368 1
79 368 1
35 368 1
25 368 1
123 368 1
1 368 1
49 368 1
8 368 1
124 368 1
96 368 1
20 369 1
37 369 1
125 369 1
126 369 1
50 369 1
52 369 1
53 369 1
12 369 1
11 369 1
54 369 1
15 369 1
55 369 1
127 369 1
56 369 1
128 369 1
129 369 1
2 369 1
4 369 1
59 369 1
60 369 1
130 369 1
131 369 1
98 369 1
62 369 1
132 369 1
64 369 1
23 369 1
39 369 1
133 369 1
65 369 1
134 369 1
66 369 1
135 369 1
99 369 1
136 369 1
137 369 1
138 369 1
67 369 1
68 369 1
69 369 1
71 369 1
73 369 1
139 369 1
140 369 1
141 369 1
3 369 1
142 369 1
48 369 1
13 369 1
14 369 1
81 369 1
101 369 1
16 369 1
17 369 1
82 369 1
35 369 1
84 369 1
143 369 1
38 369 1
102 369 1
7 369 1
25 369 1
1 369 1
111 369 1
9 369 1
85 369 1
144 369 1
18 369 1
46 369 1
49 369 1
145 369 1
146 369 1
6 369 1
87 369 1
147 369 1
148 369 1
149 369 1
88 369 1
30 369 1
