6707 216822
0 702 1
1 702 1
2 702 1
3 702 1
4 702 1
5 702 1
6 702 1
7 702 1
8 702 1
9 702 1
10 702 1
11 702 1
12 702 1
13 702 1
14 702 1
15 702 1
16 702 1
17 702 1
18 702 1
19 702 1
20 702 1
21 702 1
22 702 1
23 702 1
24 702 1
25 703 1
26 703 1
27 703 1
28 703 1
29 703 1
30 703 1
31 703 1
32 703 1
33 703 1
34 703 1
35 703 1
36 703 1
37 703 1
38 703 1
39 703 1
40 703 1
41 703 1
42 703 1
43 703 1
44 703 1
45 703 1
46 703 1
47 703 1
48 703 1
26 704 1
24 704 1
35 704 1
2 704 1
3 704 1
45 704 1
49 704 1
26 705 1
11 705 1
20 705 1
50 706 1
51 706 1
52 706 1
53 706 1
54 706 1
55 706 1
56 706 1
57 706 1
58 706 1
59 706 1
60 706 1
61 706 1
2 706 1
62 706 1
63 706 1
64 706 1
65 706 1
66 706 1
67 706 1
12 706 1
68 706 1
69 706 1
31 706 1
70 706 1
71 706 1
72 706 1
73 706 1
5 706 1
74 706 1
75 706 1
20 706 1
76 706 1
77 706 1
78 706 1
47 706 1
79 706 1
80 707 1
81 707 1
82 707 1
83 707 1
84 707 1
85 707 1
10 707 1
29 707 1
15 707 1
19 707 1
86 707 1
61 707 1
6 707 1
87 707 1
88 707 1
89 707 1
14 707 1
90 707 1
45 707 1
49 707 1
91 707 1
92 707 1
93 707 1
26 707 1
94 707 1
95 707 1
96 707 1
97 707 1
98 707 1
99 707 1
100 707 1
101 707 1
33 707 1
102 707 1
103 707 1
104 707 1
1 707 1
105 707 1
106 707 1
38 707 1
107 707 1
108 707 1
109 707 1
42 707 1
110 707 1
111 707 1
21 707 1
78 707 1
61 708 1
41 708 1
68 708 1
50 709 1
112 709 1
113 709 1
114 709 1
19 709 1
35 709 1
61 709 1
115 709 1
116 709 1
117 709 1
40 709 1
118 709 1
119 709 1
64 709 1
120 709 1
121 709 1
122 709 1
45 709 1
25 709 1
123 709 1
26 709 1
12 709 1
30 709 1
124 709 1
31 709 1
100 709 1
101 709 1
125 709 1
36 709 1
126 709 1
38 709 1
127 709 1
20 709 1
112 710 1
19 710 1
35 710 1
61 710 1
2 710 1
63 710 1
87 710 1
128 710 1
129 710 1
13 710 1
120 710 1
130 710 1
26 710 1
131 710 1
12 710 1
97 710 1
24 710 1
104 710 1
132 710 1
133 710 1
127 710 1
42 710 1
20 710 1
134 711 1
135 711 1
136 711 1
85 711 1
137 711 1
138 711 1
139 711 1
15 711 1
140 711 1
141 711 1
19 711 1
142 711 1
143 711 1
144 711 1
145 711 1
32 711 1
146 711 1
147 711 1
148 711 1
34 711 1
35 711 1
149 711 1
3 711 1
4 711 1
6 711 1
150 711 1
87 711 1
151 711 1
152 711 1
153 711 1
154 711 1
155 711 1
49 711 1
91 711 1
156 711 1
25 711 1
157 711 1
158 711 1
159 711 1
27 711 1
160 711 1
161 711 1
162 711 1
28 711 1
163 711 1
164 711 1
165 711 1
99 711 1
24 711 1
166 711 1
167 711 1
102 711 1
104 711 1
1 711 1
168 711 1
169 711 1
5 711 1
170 711 1
171 711 1
172 711 1
173 711 1
108 711 1
109 711 1
42 711 1
18 711 1
174 711 1
175 711 1
21 711 1
176 711 1
177 711 1
47 711 1
79 711 1
178 711 1
179 711 1
81 711 1
82 711 1
180 711 1
181 711 1
84 711 1
10 711 1
182 711 1
183 711 1
115 711 1
2 711 1
184 711 1
118 711 1
64 711 1
13 711 1
185 711 1
14 711 1
120 711 1
186 711 1
187 711 1
45 711 1
188 711 1
189 711 1
190 711 1
191 711 1
192 711 1
130 711 1
26 711 1
193 711 1
8 711 1
194 711 1
195 711 1
12 711 1
196 711 1
124 711 1
197 711 1
71 711 1
33 711 1
103 711 1
38 711 1
107 711 1
198 711 1
199 711 1
200 711 1
201 711 1
133 711 1
11 711 1
202 711 1
203 711 1
204 711 1
205 711 1
206 711 1
207 711 1
48 711 1
29 712 1
137 712 1
138 712 1
35 712 1
3 712 1
87 712 1
128 712 1
208 712 1
209 712 1
210 712 1
102 712 1
211 712 1
212 712 1
47 712 1
79 712 1
213 712 1
2 712 1
118 712 1
214 712 1
23 712 1
195 712 1
215 712 1
216 712 1
71 712 1
38 712 1
133 712 1
217 712 1
46 712 1
5 713 1
48 713 1
136 714 1
143 714 1
3 714 1
37 714 1
160 714 1
165 714 1
218 714 1
5 714 1
219 714 1
220 714 1
176 714 1
112 714 1
221 714 1
41 714 1
222 714 1
187 714 1
45 714 1
26 714 1
223 714 1
194 714 1
68 714 1
33 714 1
224 714 1
11 714 1
206 714 1
225 715 1
226 715 1
20 715 1
227 715 1
60 715 1
38 715 1
228 716 1
138 716 1
141 716 1
229 716 1
35 716 1
128 716 1
230 716 1
231 716 1
27 716 1
160 716 1
100 716 1
212 716 1
47 716 1
79 716 1
84 716 1
183 716 1
60 716 1
115 716 1
41 716 1
232 716 1
88 716 1
120 716 1
45 716 1
192 716 1
26 716 1
233 716 1
38 716 1
39 716 1
234 717 1
228 717 1
229 717 1
235 717 1
225 717 1
236 717 1
230 717 1
231 717 1
237 717 1
100 717 1
238 717 1
239 717 1
2 717 1
240 717 1
241 717 1
32 718 1
35 718 1
6 718 1
40 718 1
151 718 1
242 718 1
27 718 1
163 718 1
24 718 1
173 718 1
243 718 1
47 718 1
78 718 1
53 718 1
244 718 1
245 718 1
2 718 1
130 718 1
26 718 1
33 718 1
224 718 1
38 718 1
11 718 1
246 718 1
247 718 1
206 718 1
52 719 1
83 719 1
248 719 1
249 719 1
136 719 1
137 719 1
139 719 1
16 719 1
15 719 1
140 719 1
250 719 1
19 719 1
143 719 1
251 719 1
145 719 1
32 719 1
252 719 1
253 719 1
3 719 1
37 719 1
4 719 1
6 719 1
150 719 1
254 719 1
40 719 1
151 719 1
255 719 1
256 719 1
257 719 1
258 719 1
259 719 1
153 719 1
260 719 1
208 719 1
155 719 1
49 719 1
91 719 1
261 719 1
156 719 1
262 719 1
25 719 1
157 719 1
263 719 1
209 719 1
264 719 1
265 719 1
266 719 1
159 719 1
27 719 1
160 719 1
161 719 1
28 719 1
163 719 1
164 719 1
267 719 1
97 719 1
268 719 1
218 719 1
269 719 1
100 719 1
101 719 1
270 719 1
5 719 1
271 719 1
42 719 1
272 719 1
17 719 1
18 719 1
175 719 1
220 719 1
21 719 1
22 719 1
176 719 1
76 719 1
78 719 1
181 719 1
273 719 1
84 719 1
10 719 1
61 719 1
2 719 1
184 719 1
41 719 1
232 719 1
64 719 1
13 719 1
120 719 1
187 719 1
45 719 1
188 719 1
189 719 1
274 719 1
23 719 1
67 719 1
130 719 1
26 719 1
275 719 1
276 719 1
8 719 1
194 719 1
277 719 1
278 719 1
279 719 1
12 719 1
30 719 1
196 719 1
69 719 1
