6502 221788
0 510 1
1 510 1
2 510 1
3 510 1
4 510 1
5 510 1
6 510 1
7 510 1
8 510 1
9 510 1
10 510 1
11 510 1
12 510 1
13 510 1
14 510 1
15 510 1
16 510 1
17 510 1
18 510 1
19 510 1
20 510 1
21 510 1
22 511 1
23 511 1
24 511 1
25 511 1
26 511 1
27 511 1
28 511 1
29 511 1
30 511 1
31 511 1
32 511 1
33 511 1
34 511 1
35 511 1
36 511 1
37 511 1
38 511 1
24 512 1
39 512 1
17 512 1
21 512 1
32 512 1
34 512 1
1 512 1
7 512 1
40 512 1
24 513 1
41 513 1
17 513 1
32 513 1
34 513 1
9 513 1
42 513 1
43 513 1
44 513 1
45 514 1
23 514 1
46 514 1
47 514 1
48 514 1
49 514 1
1 514 1
35 514 1
50 514 1
51 514 1
52 514 1
39 514 1
53 514 1
54 514 1
55 514 1
3 514 1
56 514 1
57 514 1
37 514 1
58 514 1
59 514 1
60 515 1
61 515 1
62 515 1
8 515 1
12 515 1
16 515 1
4 515 1
11 515 1
40 515 1
63 515 1
24 515 1
64 515 1
65 515 1
31 515 1
66 515 1
67 515 1
18 515 1
59 515 1
23 516 1
46 516 1
28 516 1
30 516 1
34 516 1
35 516 1
7 516 1
68 516 1
39 516 1
32 516 1
23 517 1
69 517 1
28 517 1
16 517 1
70 517 1
35 517 1
71 517 1
72 517 1
68 517 1
24 517 1
53 517 1
39 517 1
73 517 1
32 517 1
56 517 1
74 517 1
46 518 1
16 518 1
1 518 1
35 518 1
10 518 1
51 518 1
75 518 1
76 518 1
24 518 1
77 518 1
53 518 1
78 518 1
21 518 1
32 518 1
22 519 1
79 519 1
80 519 1
25 519 1
81 519 1
82 519 1
83 519 1
12 519 1
84 519 1
28 519 1
29 519 1
16 519 1
85 519 1
86 519 1
87 519 1
88 519 1
34 519 1
89 519 1
2 519 1
4 519 1
35 519 1
90 519 1
91 519 1
7 519 1
92 519 1
93 519 1
94 519 1
51 519 1
95 519 1
96 519 1
