6768 261635
0 734 1
1 734 1
2 734 1
3 734 1
4 734 1
5 734 1
6 734 1
7 734 1
8 734 1
9 734 1
10 734 1
11 734 1
12 734 1
13 734 1
14 734 1
15 734 1
16 734 1
17 734 1
18 734 1
19 734 1
20 734 1
21 734 1
22 734 1
23 735 1
24 735 1
25 735 1
26 735 1
27 735 1
28 735 1
29 735 1
30 735 1
31 735 1
32 735 1
33 735 1
34 735 1
35 735 1
36 735 1
37 735 1
38 735 1
39 735 1
40 735 1
41 735 1
42 735 1
43 735 1
44 735 1
45 735 1
46 735 1
47 735 1
48 735 1
49 735 1
50 735 1
51 735 1
52 735 1
53 735 1
54 736 1
21 736 1
55 736 1
1 736 1
43 736 1
56 736 1
57 736 1
58 736 1
59 737 1
60 737 1
8 737 1
61 737 1
62 737 1
63 738 1
64 738 1
65 738 1
23 738 1
28 738 1
66 738 1
67 738 1
68 738 1
69 738 1
70 738 1
71 738 1
72 738 1
73 738 1
74 738 1
55 738 1
75 738 1
39 738 1
76 738 1
1 738 1
43 738 1
45 738 1
77 738 1
78 738 1
22 738 1
79 738 1
80 738 1
81 738 1
82 738 1
83 738 1
84 738 1
85 738 1
86 738 1
87 738 1
88 738 1
89 738 1
90 738 1
91 738 1
92 738 1
93 738 1
94 738 1
95 738 1
3 738 1
16 738 1
96 738 1
97 738 1
98 739 1
99 739 1
100 739 1
7 739 1
12 739 1
17 739 1
75 739 1
4 739 1
11 739 1
58 739 1
101 739 1
102 739 1
103 739 1
104 739 1
105 739 1
106 739 1
107 739 1
18 739 1
97 739 1
108 740 1
23 740 1
28 740 1
37 740 1
73 740 1
55 740 1
75 740 1
39 740 1
45 740 1
52 740 1
109 740 1
110 740 1
84 740 1
32 740 1
51 740 1
63 741 1
23 741 1
111 741 1
30 741 1
34 741 1
35 741 1
37 741 1
17 741 1
55 741 1
75 741 1
112 741 1
45 741 1
113 741 1
114 741 1
115 741 1
49 741 1
116 741 1
117 741 1
22 741 1
109 741 1
32 741 1
85 741 1
33 741 1
86 741 1
118 741 1
90 741 1
119 741 1
95 741 1
120 741 1
121 741 1
51 741 1
122 741 1
108 742 1
68 742 1
30 742 1
69 742 1
34 742 1
17 742 1
74 742 1
123 742 1
75 742 1
41 742 1
76 742 1
1 742 1
43 742 1
45 742 1
124 742 1
52 742 1
9 742 1
10 742 1
78 742 1
22 742 1
125 742 1
126 742 1
127 742 1
128 742 1
86 742 1
21 742 1
90 742 1
92 742 1
129 742 1
130 742 1
51 742 1
16 742 1
131 743 1
132 743 1
133 743 1
134 743 1
135 743 1
136 743 1
137 743 1
12 743 1
138 743 1
37 743 1
17 743 1
139 743 1
140 743 1
141 743 1
142 743 1
2 743 1
4 743 1
45 743 1
143 743 1
144 743 1
145 743 1
146 743 1
9 743 1
78 743 1
147 743 1
148 743 1
58 743 1
101 743 1
149 743 1
150 743 1
151 743 1
152 743 1
153 743 1
154 743 1
155 743 1
156 743 1
157 743 1
158 743 1
21 743 1
3 743 1
159 743 1
160 743 1
161 743 1
162 743 1
163 743 1
164 743 1
15 743 1
16 743 1
165 743 1
166 743 1
18 743 1
167 743 1
98 743 1
168 743 1
169 743 1
100 743 1
29 743 1
7 743 1
31 743 1
69 743 1
1 743 1
77 743 1
170 743 1
10 743 1
11 743 1
171 743 1
172 743 1
173 743 1
109 743 1
126 743 1
174 743 1
59 743 1
6 743 1
175 743 1
176 743 1
86 743 1
177 743 1
178 743 1
179 743 1
91 743 1
180 743 1
181 743 1
8 743 1
56 743 1
182 743 1
183 743 1
62 743 1
184 743 1
185 743 1
186 743 1
187 743 1
135 744 1
136 744 1
43 744 1
125 744 1
82 744 1
188 744 1
189 744 1
16 744 1
68 744 1
74 744 1
1 744 1
116 744 1
20 744 1
22 744 1
80 744 1
81 744 1
109 744 1
128 744 1
176 744 1
190 744 1
91 744 1
191 744 1
92 744 1
94 744 1
133 745 1
43 745 1
3 745 1
118 745 1
132 746 1
37 746 1
139 746 1
42 746 1
43 746 1
45 746 1
50 746 1
152 746 1
158 746 1
192 746 1
38 746 1
3 746 1
51 746 1
193 746 1
167 746 1
23 746 1
28 746 1
31 746 1
194 746 1
74 746 1
77 746 1
170 746 1
195 746 1
52 746 1
172 746 1
57 746 1
175 746 1
84 746 1
32 746 1
8 746 1
56 746 1
186 746 1
129 747 1
160 747 1
16 747 1
22 747 1
27 748 1
66 748 1
196 748 1
197 748 1
136 748 1
35 748 1
70 748 1
198 748 1
73 748 1
55 748 1
123 748 1
43 748 1
45 748 1
199 748 1
115 748 1
124 748 1
200 748 1
201 748 1
202 748 1
203 748 1
204 748 1
205 748 1
152 748 1
206 748 1
207 748 1
89 748 1
38 748 1
129 748 1
160 748 1
120 748 1
16 748 1
208 748 1
209 748 1
210 748 1
211 748 1
212 748 1
213 748 1
23 748 1
100 748 1
28 748 1
68 748 1
54 748 1
30 748 1
214 748 1
69 748 1
34 748 1
74 748 1
215 748 1
216 748 1
52 748 1
217 748 1
218 748 1
81 748 1
219 748 1
128 748 1
26 748 1
32 748 1
220 748 1
221 748 1
222 748 1
223 748 1
94 748 1
224 748 1
48 748 1
225 748 1
56 748 1
142 749 1
226 749 1
227 749 1
228 749 1
229 749 1
230 749 1
122 749 1
231 749 1
1 749 1
232 750 1
233 750 1
234 750 1
66 750 1
37 750 1
70 750 1
123 750 1
43 750 1
4 750 1
45 750 1
235 750 1
49 750 1
236 750 1
144 750 1
124 750 1
117 750 1
78 750 1
61 750 1
237 750 1
238 750 1
125 750 1
155 750 1
21 750 1
38 750 1
130 750 1
163 750 1
164 750 1
16 750 1
97 750 1
65 750 1
23 750 1
28 750 1
239 750 1
30 750 1
240 750 1
69 750 1
74 750 1
1 750 1
241 750 1
242 750 1
243 750 1
77 750 1
170 750 1
116 750 1
52 750 1
171 750 1
173 750 1
244 750 1
245 750 1
109 750 1
126 750 1
128 750 1
59 750 1
32 750 1
246 750 1
86 750 1
119 750 1
221 750 1
40 750 1
95 750 1
247 750 1
8 750 1
248 750 1
249 750 1
62 750 1
250 750 1
186 750 1
64 751 1
99 751 1
251 751 1
252 751 1
132 751 1
135 751 1
137 751 1
13 751 1
12 751 1
138 751 1
37 751 1
17 751 1
139 751 1
253 751 1
140 751 1
254 751 1
255 751 1
42 751 1
2 751 1
4 751 1
143 751 1
49 751 1
144 751 1
256 751 1
257 751 1
258 751 1
117 751 1
146 751 1
61 751 1
259 751 1
148 751 1
58 751 1
101 751 1
260 751 1
149 751 1
261 751 1
150 751 1
262 751 1
203 751 1
188 751 1
263 751 1
264 751 1
265 751 1
151 751 1
152 751 1
153 751 1
155 751 1
157 751 1
266 751 1
267 751 1
268 751 1
192 751 1
269 751 1
270 751 1
129 751 1
3 751 1
271 751 1
160 751 1
272 751 1
14 751 1
15 751 1
208 751 1
209 751 1
166 751 1
193 751 1
18 751 1
19 751 1
167 751 1
96 751 1
97 751 1
63 751 1
23 751 1
169 751 1
273 751 1
60 751 1
100 751 1
274 751 1
29 751 1
68 751 1
7 751 1
69 751 1
31 751 1
34 751 1
74 751 1
75 751 1
41 751 1
1 751 1
116 751 1
216 751 1
10 751 1
171 751 1
275 751 1
172 751 1
276 751 1
20 751 1
126 751 1
277 751 1
278 751 1
6 751 1
175 751 1
279 751 1
280 751 1
281 751 1
33 751 1
177 751 1
87 751 1
91 751 1
92 751 1
223 751 1
94 751 1
224 751 1
44 751 1
282 751 1
283 751 1
8 751 1
248 751 1
56 751 1
284 751 1
62 751 1
250 751 1
234 752 1
197 752 1
35 752 1
12 752 1
37 752 1
70 752 1
17 752 1
285 752 1
140 752 1
254 752 1
55 752 1
123 752 1
226 752 1
43 752 1
2 752 1
4 752 1
45 752 1
143 752 1
199 752 1
50 752 1
146 752 1
227 752 1
61 752 1
148 752 1
58 752 1
149 752 1
261 752 1
150 752 1
262 752 1
203 752 1
24 752 1
286 752 1
157 752 1
192 752 1
21 752 1
38 752 1
129 752 1
3 752 1
5 752 1
230 752 1
15 752 1
16 752 1
166 752 1
19 752 1
122 752 1
97 752 1
211 752 1
287 752 1
213 752 1
60 752 1
111 752 1
100 752 1
28 752 1
68 752 1
75 752 1
288 752 1
39 752 1
41 752 1
1 752 1
77 752 1
289 752 1
52 752 1
171 752 1
245 752 1
290 752 1
218 752 1
81 752 1
219 752 1
109 752 1
59 752 1
291 752 1
175 752 1
84 752 1
246 752 1
118 752 1
119 752 1
93 752 1
48 752 1
292 752 1
8 752 1
293 752 1
62 752 1
234 753 1
37 753 1
45 753 1
61 753 1
68 753 1
69 753 1
52 753 1
217 753 1
62 753 1
12 754 1
17 754 1
143 754 1
117 754 1
294 754 1
230 754 1
1 754 1
10 754 1
219 754 1
6 754 1
295 755 1
296 755 1
25 755 1
297 755 1
132 755 1
135 755 1
136 755 1
137 755 1
35 755 1
37 755 1
70 755 1
141 755 1
254 755 1
55 755 1
42 755 1
45 755 1
46 755 1
114 755 1
115 755 1
49 755 1
50 755 1
256 755 1
78 755 1
61 755 1
298 755 1
58 755 1
299 755 1
149 755 1
125 755 1
204 755 1
24 755 1
205 755 1
300 755 1
152 755 1
301 755 1
85 755 1
192 755 1
269 755 1
89 755 1
90 755 1
38 755 1
3 755 1
302 755 1
160 755 1
47 755 1
121 755 1
303 755 1
16 755 1
208 755 1
167 755 1
96 755 1
122 755 1
304 755 1
63 755 1
211 755 1
287 755 1
23 755 1
305 755 1
60 755 1
306 755 1
29 755 1
68 755 1
214 755 1
31 755 1
194 755 1
307 755 1
75 755 1
215 755 1
41 755 1
308 755 1
309 755 1
77 755 1
289 755 1
116 755 1
52 755 1
11 755 1
171 755 1
172 755 1
310 755 1
22 755 1
217 755 1
81 755 1
109 755 1
127 755 1
59 755 1
175 755 1
176 755 1
280 755 1
110 755 1
281 755 1
33 755 1
86 755 1
118 755 1
311 755 1
92 755 1
94 755 1
224 755 1
44 755 1
95 755 1
48 755 1
8 755 1
248 755 1
56 755 1
249 755 1
62 755 1
186 755 1
312 756 1
313 756 1
314 756 1
232 756 1
233 756 1
131 756 1
132 756 1
133 756 1
315 756 1
316 756 1
37 756 1
70 756 1
17 756 1
139 756 1
317 756 1
73 756 1
285 756 1
123 756 1
318 756 1
0 756 1
142 756 1
43 756 1
4 756 1
45 756 1
319 756 1
115 756 1
320 756 1
144 756 1
124 756 1
117 756 1
9 756 1
228 756 1
200 756 1
61 756 1
147 756 1
237 756 1
188 756 1
189 756 1
286 756 1
154 756 1
321 756 1
156 756 1
85 756 1
322 756 1
158 756 1
269 756 1
90 756 1
323 756 1
324 756 1
325 756 1
326 756 1
47 756 1
163 756 1
327 756 1
164 756 1
328 756 1
329 756 1
230 756 1
16 756 1
167 756 1
122 756 1
97 756 1
65 756 1
23 756 1
330 756 1
60 756 1
28 756 1
239 756 1
68 756 1
30 756 1
331 756 1
69 756 1
31 756 1
34 756 1
74 756 1
75 756 1
215 756 1
1 756 1
242 756 1
77 756 1
332 756 1
170 756 1
289 756 1
195 756 1
52 756 1
171 756 1
172 756 1
57 756 1
173 756 1
22 756 1
217 756 1
245 756 1
219 756 1
109 756 1
126 756 1
333 756 1
83 756 1
59 756 1
334 756 1
291 756 1
175 756 1
32 756 1
246 756 1
86 756 1
118 756 1
87 756 1
335 756 1
336 756 1
91 756 1
119 756 1
92 756 1
223 756 1
224 756 1
337 756 1
8 756 1
248 756 1
56 756 1
107 756 1
249 756 1
62 756 1
338 756 1
43 757 1
58 757 1
125 757 1
3 757 1
100 757 1
74 757 1
22 757 1
175 757 1
107 757 1
196 758 1
134 758 1
339 758 1
35 758 1
12 758 1
70 758 1
45 758 1
46 758 1
340 758 1
78 758 1
207 758 1
269 758 1
21 758 1
129 758 1
28 758 1
