6352 140118
0 389 1
1 389 1
2 389 1
3 389 1
4 389 1
5 389 1
6 389 1
7 389 1
8 389 1
9 389 1
10 389 1
11 389 1
12 389 1
13 389 1
14 389 1
15 389 1
16 389 1
17 389 1
18 389 1
19 389 1
20 389 1
21 389 1
22 390 1
23 390 1
24 390 1
25 390 1
26 390 1
27 390 1
19 390 1
28 390 1
29 390 1
30 390 1
31 390 1
32 390 1
33 390 1
34 390 1
35 390 1
23 391 1
21 391 1
31 391 1
1 391 1
36 391 1
23 392 1
19 392 1
31 392 1
9 392 1
37 393 1
38 393 1
39 393 1
30 393 1
1 393 1
40 393 1
41 393 1
19 393 1
42 393 1
3 393 1
43 393 1
35 393 1
44 394 1
45 394 1
46 394 1
8 394 1
12 394 1
16 394 1
4 394 1
11 394 1
36 394 1
47 394 1
23 394 1
48 394 1
49 394 1
50 394 1
51 394 1
52 394 1
53 394 1
33 394 1
54 394 1
17 394 1
43 394 1
31 395 1
48 395 1
26 395 1
19 395 1
55 396 1
56 396 1
16 396 1
30 396 1
57 396 1
58 396 1
59 396 1
7 396 1
60 396 1
23 396 1
26 396 1
19 396 1
51 396 1
16 397 1
1 397 1
7 397 1
10 397 1
61 397 1
23 397 1
41 397 1
19 397 1
21 397 1
52 397 1
62 397 1
33 397 1
37 398 1
63 398 1
64 398 1
65 398 1
66 398 1
12 398 1
67 398 1
16 398 1
68 398 1
69 398 1
28 398 1
70 398 1
29 398 1
31 398 1
2 398 1
4 398 1
71 398 1
72 398 1
73 398 1
74 398 1
75 398 1
76 398 1
77 398 1
36 398 1
47 398 1
78 398 1
79 398 1
80 398 1
81 398 1
82 398 1
25 398 1
83 398 1
84 398 1
85 398 1
86 398 1
87 398 1
88 398 1
89 398 1
21 398 1
52 398 1
3 398 1
90 398 1
91 398 1
92 398 1
93 398 1
33 398 1
34 398 1
15 398 1
94 398 1
95 398 1
17 398 1
96 398 1
35 398 1
97 398 1
44 398 1
98 398 1
99 398 1
46 398 1
8 398 1
1 398 1
7 398 1
10 398 1
11 398 1
100 398 1
101 398 1
102 398 1
103 398 1
61 398 1
23 398 1
104 398 1
6 398 1
105 398 1
26 398 1
106 398 1
107 398 1
108 398 1
42 398 1
109 398 1
110 398 1
62 398 1
9 398 1
111 398 1
112 398 1
113 398 1
114 398 1
115 398 1
116 398 1
117 398 1
65 399 1
118 399 1
119 399 1
35 399 1
1 399 1
20 399 1
26 399 1
120 399 1
42 399 1
121 399 1
3 400 1
62 400 1
63 401 1
68 401 1
122 401 1
31 401 1
83 401 1
89 401 1
3 401 1
34 401 1
123 401 1
96 401 1
7 401 1
124 401 1
101 401 1
102 401 1
23 401 1
105 401 1
26 401 1
19 401 1
62 401 1
9 401 1
116 401 1
125 402 1
31 403 1
59 403 1
83 403 1
51 403 1
34 403 1
35 403 1
46 403 1
126 403 1
30 403 1
7 403 1
127 403 1
23 403 1
48 403 1
26 403 1
108 403 1
19 403 1
128 404 1
51 404 1
129 404 1
130 404 1
1 404 1
28 405 1
31 405 1
4 405 1
72 405 1
79 405 1
81 405 1
86 405 1
21 405 1
93 405 1
34 405 1
35 405 1
43 405 1
1 405 1
131 405 1
7 405 1
100 405 1
61 405 1
23 405 1
26 405 1
19 405 1
9 405 1
132 405 1
116 405 1
45 406 1
133 406 1
134 406 1
63 406 1
65 406 1
66 406 1
13 406 1
12 406 1
67 406 1
16 406 1
68 406 1
135 406 1
69 406 1
28 406 1
136 406 1
31 406 1
137 406 1
2 406 1
4 406 1
71 406 1
118 406 1
72 406 1
138 406 1
139 406 1
74 406 1
140 406 1
77 406 1
36 406 1
47 406 1
141 406 1
78 406 1
142 406 1
80 406 1
143 406 1
119 406 1
144 406 1
145 406 1
146 406 1
82 406 1
83 406 1
84 406 1
86 406 1
87 406 1
147 406 1
148 406 1
149 406 1
51 406 1
3 406 1
150 406 1
33 406 1
34 406 1
14 406 1
15 406 1
151 406 1
95 406 1
123 406 1
17 406 1
18 406 1
96 406 1
152 406 1
43 406 1
153 406 1
154 406 1
99 406 1
155 406 1
46 406 1
8 406 1
1 406 1
7 406 1
127 406 1
10 406 1
100 406 1
101 406 1
103 406 1
156 406 1
20 406 1
157 406 1
61 406 1
23 406 1
48 406 1
158 406 1
159 406 1
6 406 1
105 406 1
160 406 1
161 406 1
162 406 1
26 406 1
106 406 1
40 406 1
19 406 1
42 406 1
163 406 1
164 406 1
9 406 1
111 406 1
165 406 1
132 406 1
166 406 1
12 407 1
16 407 1
69 407 1
122 407 1
136 407 1
31 407 1
2 407 1
4 407 1
71 407 1
74 407 1
128 407 1
77 407 1
36 407 1
78 407 1
142 407 1
80 407 1
143 407 1
81 407 1
