5917 92528
0 315 1
1 315 1
2 315 1
3 315 1
4 315 1
5 315 1
6 315 1
7 315 1
8 315 1
9 315 1
10 315 1
11 315 1
12 315 1
13 315 1
14 315 1
15 315 1
16 315 1
17 315 1
18 315 1
19 315 1
20 316 1
21 316 1
22 316 1
19 317 1
23 317 1
22 317 1
1 317 1
24 317 1
25 317 1
26 317 1
27 317 1
28 317 1
29 318 1
8 318 1
30 318 1
31 319 1
1 319 1
32 319 1
33 319 1
3 319 1
34 319 1
35 319 1
36 320 1
37 320 1
38 320 1
21 320 1
7 320 1
39 320 1
40 320 1
11 320 1
15 320 1
22 320 1
4 320 1
41 320 1
10 320 1
28 320 1
42 320 1
43 320 1
44 320 1
45 320 1
46 320 1
47 320 1
48 320 1
16 320 1
34 320 1
49 321 1
15 321 1
50 321 1
46 321 1
15 322 1
22 322 1
1 322 1
9 322 1
51 322 1
19 322 1
52 323 1
53 323 1
54 323 1
11 323 1
55 323 1
15 323 1
56 323 1
57 323 1
58 323 1
22 323 1
2 323 1
4 323 1
59 323 1
60 323 1
61 323 1
62 323 1
63 323 1
64 323 1
28 323 1
42 323 1
65 323 1
66 323 1
67 323 1
68 323 1
69 323 1
70 323 1
71 323 1
72 323 1
73 323 1
74 323 1
75 323 1
19 323 1
3 323 1
76 323 1
77 323 1
78 323 1
79 323 1
14 323 1
80 323 1
81 323 1
16 323 1
82 323 1
36 323 1
83 323 1
84 323 1
38 323 1
21 323 1
7 323 1
1 323 1
9 323 1
10 323 1
30 323 1
27 323 1
85 323 1
51 323 1
86 323 1
87 323 1
6 323 1
88 323 1
89 323 1
90 323 1
33 323 1
91 323 1
26 323 1
92 323 1
8 323 1
93 323 1
94 323 1
95 323 1
96 323 1
97 323 1
98 323 1
53 324 1
22 324 1
99 324 1
1 324 1
18 324 1
100 324 1
33 324 1
3 325 1
52 326 1
56 326 1
22 326 1
69 326 1
75 326 1
3 326 1
101 326 1
102 326 1
82 326 1
21 326 1
103 326 1
85 326 1
88 326 1
8 326 1
97 326 1
69 327 1
46 327 1
38 327 1
21 327 1
104 327 1
105 327 1
106 328 1
107 328 1
46 328 1
108 328 1
109 328 1
1 328 1
22 329 1
4 329 1
60 329 1
73 329 1
19 329 1
79 329 1
34 329 1
1 329 1
51 329 1
110 329 1
8 329 1
111 329 1
97 329 1
37 330 1
112 330 1
113 330 1
52 330 1
106 330 1
53 330 1
54 330 1
12 330 1
11 330 1
55 330 1
15 330 1
56 330 1
114 330 1
57 330 1
115 330 1
22 330 1
116 330 1
2 330 1
4 330 1
59 330 1
60 330 1
117 330 1
118 330 1
62 330 1
119 330 1
64 330 1
28 330 1
42 330 1
120 330 1
65 330 1
121 330 1
67 330 1
122 330 1
99 330 1
123 330 1
124 330 1
125 330 1
68 330 1
69 330 1
71 330 1
73 330 1
74 330 1
126 330 1
127 330 1
128 330 1
46 330 1
24 330 1
25 330 1
3 330 1
129 330 1
13 330 1
14 330 1
81 330 1
101 330 1
102 330 1
16 330 1
17 330 1
82 330 1
34 330 1
84 330 1
130 330 1
38 330 1
21 330 1
7 330 1
1 330 1
104 330 1
9 330 1
30 330 1
85 330 1
131 330 1
18 330 1
51 330 1
29 330 1
132 330 1
133 330 1
6 330 1
88 330 1
134 330 1
135 330 1
136 330 1
89 330 1
32 330 1
33 330 1
137 330 1
8 330 1
138 330 1
111 330 1
11 331 1
15 331 1
57 331 1
115 331 1
2 331 1
4 331 1
59 331 1
62 331 1
107 331 1
64 331 1
28 331 1
65 331 1
121 331 1
67 331 1
122 331 1
74 331 1
19 331 1
3 331 1
5 331 1
109 331 1
14 331 1
81 331 1
17 331 1
34 331 1
49 331 1
38 331 1
21 331 1
1 331 1
88 331 1
110 331 1
139 331 1
8 331 1
106 332 1
11 332 1
15 332 1
59 332 1
140 332 1
109 332 1
1 332 1
9 332 1
6 332 1
52 333 1
53 333 1
54 333 1
58 333 1
115 333 1
117 333 1
28 333 1
65 333 1
69 333 1
70 333 1
3 333 1
82 333 1
21 333 1
10 333 1
85 333 1
141 333 1
86 333 1
88 333 1
135 333 1
136 333 1
8 333 1
142 333 1
97 333 1
52 334 1
15 334 1
56 334 1
0 334 1
4 334 1
60 334 1
63 334 1
99 334 1
72 334 1
75 334 1
79 334 1
109 334 1
82 334 1
34 334 1
1 334 1
103 334 1
85 334 1
51 334 1
86 334 1
88 334 1
110 334 1
32 334 1
33 334 1
8 334 1
22 335 1
143 335 1
28 335 1
46 335 1
3 335 1
38 335 1
88 335 1
144 336 1
11 336 1
145 336 1
19 336 1
1 336 1
141 336 1
51 336 1
86 336 1
135 336 1
146 337 1
147 337 1
52 337 1
148 337 1
106 337 1
53 337 1
11 337 1
15 337 1
57 337 1
4 337 1
143 337 1
149 337 1
63 337 1
28 337 1
42 337 1
19 337 1
129 337 1
77 337 1
150 337 1
151 337 1
16 337 1
152 337 1
38 337 1
21 337 1
7 337 1
1 337 1
50 337 1
153 337 1
30 337 1
154 337 1
155 337 1
86 337 1
132 337 1
133 337 1
88 337 1
156 337 1
157 337 1
8 337 1
138 337 1
56 338 1
58 338 1
65 338 1
20 338 1
70 338 1
85 338 1
88 338 1
8 338 1
15 339 1
23 339 1
64 339 1
46 339 1
3 339 1
27 339 1
33 339 1
92 339 1
8 339 1
29 340 1
110 340 1
26 340 1
8 341 1
62 342 1
64 342 1
99 342 1
123 342 1
70 342 1
21 342 1
158 342 1
1 342 1
27 342 1
88 342 1
26 342 1
46 343 1
159 343 1
51 343 1
33 343 1
53 344 1
23 344 1
22 344 1
2 344 1
4 344 1
64 344 1
66 344 1
99 344 1
123 344 1
124 344 1
126 344 1
3 344 1
76 344 1
160 344 1
79 344 1
101 344 1
16 344 1
34 344 1
38 344 1
161 344 1
158 344 1
30 344 1
27 344 1
29 344 1
162 344 1
43 344 1
32 344 1
26 344 1
8 344 1
48 344 1
52 345 1
15 345 1
28 345 1
163 345 1
3 345 1
16 345 1
34 345 1
153 345 1
8 345 1
142 345 1
40 346 1
164 346 1
165 346 1
23 346 1
4 346 1
62 346 1
64 346 1
28 346 1
66 346 1
67 346 1
166 346 1
20 346 1
3 346 1
129 346 1
16 346 1
17 346 1
36 346 1
39 346 1
161 346 1
158 346 1
30 346 1
27 346 1
51 346 1
29 346 1
162 346 1
142 346 1
12 347 1
11 347 1
15 347 1
57 347 1
23 347 1
4 347 1
62 347 1
145 347 1
28 347 1
66 347 1
70 347 1
19 347 1
5 347 1
109 347 1
34 347 1
49 347 1
21 347 1
1 347 1
9 347 1
30 347 1
27 347 1
86 347 1
29 347 1
110 347 1
33 347 1
105 347 1
8 347 1
64 348 1
28 348 1
125 348 1
159 348 1
37 349 1
148 349 1
53 349 1
11 349 1
15 349 1
42 349 1
74 349 1
167 349 1
34 349 1
38 349 1
7 349 1
1 349 1
153 349 1
18 349 1
19 350 1
168 350 1
1 350 1
51 350 1
52 351 1
56 351 1
22 351 1
143 351 1
169 351 1
69 351 1
3 351 1
160 351 1
102 351 1
103 351 1
170 351 1
88 351 1
37 352 1
130 352 1
18 352 1
60 353 1
63 353 1
69 353 1
19 353 1
3 353 1
79 353 1
34 353 1
30 353 1
86 353 1
87 353 1
88 353 1
110 353 1
26 353 1
8 353 1
111 353 1
19 354 1
52 355 1
144 355 1
15 355 1
56 355 1
22 355 1
2 355 1
59 355 1
60 355 1
61 355 1
63 355 1
64 355 1
120 355 1
65 355 1
99 355 1
123 355 1
124 355 1
69 355 1
171 355 1
3 355 1
14 355 1
16 355 1
82 355 1
34 355 1
36 355 1
172 355 1
131 355 1
173 355 1
51 355 1
44 355 1
6 355 1
88 355 1
33 355 1
91 355 1
26 355 1
8 355 1
95 355 1
97 355 1
113 356 1
52 356 1
53 356 1
11 356 1
15 356 1
174 356 1
63 356 1
28 356 1
70 356 1
19 356 1
46 356 1
175 356 1
78 356 1
176 356 1
16 356 1
177 356 1
34 356 1
7 356 1
1 356 1
10 356 1
27 356 1
86 356 1
87 356 1
26 356 1
178 356 1
