7248 380478
0 1212 1
1 1212 1
2 1212 1
3 1212 1
4 1212 1
5 1212 1
6 1212 1
7 1212 1
8 1212 1
9 1212 1
10 1212 1
11 1212 1
12 1212 1
13 1212 1
14 1212 1
15 1212 1
16 1213 1
17 1213 1
18 1213 1
19 1213 1
20 1213 1
21 1213 1
22 1213 1
23 1213 1
24 1213 1
25 1213 1
26 1213 1
27 1213 1
28 1213 1
29 1213 1
30 1213 1
31 1213 1
32 1213 1
6 1213 1
33 1213 1
34 1213 1
35 1213 1
36 1213 1
37 1213 1
38 1213 1
39 1213 1
40 1213 1
41 1214 1
42 1214 1
43 1214 1
44 1214 1
45 1214 1
46 1214 1
47 1214 1
48 1214 1
49 1214 1
50 1214 1
22 1214 1
51 1214 1
52 1214 1
53 1214 1
13 1214 1
25 1214 1
15 1214 1
54 1214 1
55 1214 1
26 1214 1
0 1214 1
1 1214 1
56 1214 1
57 1214 1
58 1214 1
59 1214 1
7 1214 1
60 1214 1
61 1214 1
37 1214 1
62 1214 1
63 1214 1
13 1215 1
8 1215 1
64 1216 1
65 1216 1
66 1216 1
67 1216 1
68 1216 1
50 1216 1
69 1216 1
70 1216 1
71 1216 1
25 1216 1
72 1216 1
73 1216 1
0 1216 1
74 1216 1
27 1216 1
75 1216 1
76 1216 1
28 1216 1
77 1216 1
78 1216 1
79 1216 1
80 1216 1
81 1216 1
82 1216 1
83 1216 1
84 1216 1
85 1216 1
52 1216 1
86 1216 1
87 1216 1
88 1216 1
89 1216 1
90 1216 1
91 1216 1
92 1216 1
93 1216 1
94 1216 1
95 1216 1
96 1216 1
97 1216 1
98 1216 1
99 1216 1
100 1216 1
101 1216 1
102 1216 1
103 1216 1
104 1216 1
105 1216 1
106 1216 1
107 1216 1
108 1216 1
109 1216 1
110 1216 1
111 1216 1
39 1216 1
112 1216 1
113 1217 1
114 1217 1
115 1217 1
21 1217 1
23 1217 1
11 1217 1
12 1217 1
25 1217 1
116 1217 1
117 1217 1
118 1217 1
10 1217 1
119 1217 1
63 1217 1
120 1217 1
121 1217 1
44 1217 1
122 1217 1
123 1217 1
124 1217 1
125 1217 1
126 1217 1
127 1217 1
128 1217 1
129 1217 1
29 1217 1
130 1217 1
6 1217 1
131 1217 1
132 1217 1
133 1217 1
14 1217 1
111 1217 1
33 1218 1
7 1218 1
52 1218 1
65 1219 1
134 1219 1
135 1219 1
12 1219 1
136 1219 1
25 1219 1
26 1219 1
137 1219 1
138 1219 1
139 1219 1
140 1219 1
52 1219 1
141 1219 1
29 1219 1
142 1219 1
143 1219 1
104 1219 1
144 1219 1
145 1220 1
146 1220 1
12 1220 1
25 1220 1
147 1220 1
26 1220 1
0 1220 1
116 1220 1
148 1220 1
149 1220 1
9 1220 1
80 1220 1
36 1220 1
150 1220 1
151 1220 1
84 1220 1
152 1220 1
85 1220 1
153 1220 1
154 1220 1
24 1220 1
125 1220 1
155 1220 1
15 1220 1
156 1220 1
157 1220 1
143 1220 1
158 1221 1
17 1221 1
159 1221 1
160 1221 1
161 1221 1
48 1221 1
162 1221 1
163 1221 1
134 1221 1
164 1221 1
114 1221 1
50 1221 1
22 1221 1
51 1221 1
165 1221 1
166 1221 1
167 1221 1
168 1221 1
11 1221 1
169 1221 1
146 1221 1
170 1221 1
12 1221 1
171 1221 1
172 1221 1
173 1221 1
174 1221 1
175 1221 1
147 1221 1
176 1221 1
177 1221 1
178 1221 1
26 1221 1
179 1221 1
1 1221 1
75 1221 1
28 1221 1
116 1221 1
180 1221 1
181 1221 1
182 1221 1
7 1221 1
183 1221 1
184 1221 1
185 1221 1
186 1221 1
187 1221 1
9 1221 1
34 1221 1
188 1221 1
80 1221 1
189 1221 1
190 1221 1
36 1221 1
191 1221 1
192 1221 1
193 1221 1
63 1221 1
120 1221 1
194 1221 1
2 1221 1
195 1221 1
196 1221 1
197 1221 1
198 1221 1
84 1221 1
152 1221 1
19 1221 1
20 1221 1
199 1221 1
200 1221 1
201 1221 1
202 1221 1
203 1221 1
204 1221 1
205 1221 1
206 1221 1
207 1221 1
208 1221 1
209 1221 1
210 1221 1
211 1221 1
13 1221 1
15 1221 1
212 1221 1
89 1221 1
127 1221 1
92 1221 1
213 1221 1
214 1221 1
215 1221 1
216 1221 1
141 1221 1
217 1221 1
218 1221 1
219 1221 1
101 1221 1
220 1221 1
221 1221 1
6 1221 1
222 1221 1
143 1221 1
223 1221 1
131 1221 1
224 1221 1
225 1221 1
14 1221 1
226 1221 1
227 1221 1
39 1221 1
112 1221 1
228 1221 1
229 1221 1
230 1221 1
43 1221 1
68 1221 1
3 1221 1
231 1221 1
145 1221 1
115 1221 1
21 1221 1
232 1221 1
25 1221 1
233 1221 1
234 1221 1
235 1221 1
236 1221 1
0 1221 1
237 1221 1
238 1221 1
30 1221 1
239 1221 1
240 1221 1
4 1221 1
241 1221 1
242 1221 1
243 1221 1
5 1221 1
244 1221 1
245 1221 1
246 1221 1
247 1221 1
10 1221 1
248 1221 1
249 1221 1
250 1221 1
251 1221 1
35 1221 1
252 1221 1
61 1221 1
253 1221 1
254 1221 1
255 1221 1
256 1221 1
257 1221 1
258 1221 1
62 1221 1
259 1221 1
260 1221 1
261 1221 1
262 1221 1
263 1221 1
264 1221 1
45 1221 1
265 1221 1
266 1221 1
151 1221 1
267 1221 1
268 1221 1
269 1221 1
270 1221 1
271 1221 1
272 1221 1
153 1221 1
273 1221 1
49 1221 1
274 1221 1
24 1221 1
275 1221 1
52 1221 1
276 1221 1
277 1221 1
278 1221 1
279 1221 1
280 1221 1
155 1221 1
281 1221 1
282 1221 1
88 1221 1
283 1221 1
29 1221 1
130 1221 1
284 1221 1
285 1221 1
286 1221 1
59 1221 1
287 1221 1
288 1221 1
157 1221 1
289 1221 1
290 1221 1
8 1221 1
60 1221 1
291 1221 1
292 1221 1
293 1221 1
294 1221 1
295 1221 1
296 1221 1
108 1221 1
297 1221 1
298 1222 1
299 1222 1
50 1222 1
22 1222 1
23 1222 1
300 1222 1
166 1222 1
167 1222 1
176 1222 1
26 1222 1
301 1222 1
1 1222 1
137 1222 1
116 1222 1
302 1222 1
303 1222 1
148 1222 1
187 1222 1
80 1222 1
36 1222 1
304 1222 1
2 1222 1
195 1222 1
82 1222 1
305 1222 1
306 1222 1
152 1222 1
307 1222 1
208 1222 1
211 1222 1
127 1222 1
213 1222 1
58 1222 1
99 1222 1
308 1222 1
309 1222 1
142 1222 1
6 1222 1
310 1222 1
311 1222 1
225 1222 1
312 1222 1
313 1222 1
314 1222 1
39 1222 1
112 1222 1
315 1222 1
316 1222 1
43 1222 1
3 1222 1
231 1222 1
317 1222 1
318 1222 1
232 1222 1
25 1222 1
319 1222 1
320 1222 1
0 1222 1
74 1222 1
27 1222 1
30 1222 1
4 1222 1
243 1222 1
138 1222 1
244 1222 1
321 1222 1
62 1222 1
262 1222 1
45 1222 1
322 1222 1
273 1222 1
24 1222 1
323 1222 1
281 1222 1
88 1222 1
94 1222 1
324 1222 1
325 1222 1
29 1222 1
289 1222 1
157 1222 1
326 1222 1
106 1222 1
38 1222 1
327 1223 1
328 1223 1
329 1223 1
2 1223 1
330 1223 1
42 1223 1
331 1223 1
17 1224 1
161 1224 1
22 1224 1
171 1224 1
173 1224 1
1 1224 1
200 1224 1
209 1224 1
332 1224 1
13 1224 1
156 1224 1
215 1224 1
32 1224 1
226 1224 1
333 1224 1
21 1224 1
334 1224 1
33 1224 1
335 1224 1
35 1224 1
253 1224 1
263 1224 1
270 1224 1
52 1224 1
282 1224 1
55 1224 1
286 1224 1
8 1224 1
336 1224 1
60 1224 1
50 1225 1
337 1225 1
338 1225 1
339 1225 1
340 1225 1
37 1225 1
25 1225 1
29 1225 1
41 1226 1
341 1226 1
342 1226 1
50 1226 1
51 1226 1
300 1226 1
167 1226 1
343 1226 1
170 1226 1
344 1226 1
147 1226 1
26 1226 1
303 1226 1
148 1226 1
345 1226 1
80 1226 1
346 1226 1
36 1226 1
44 1226 1
347 1226 1
306 1226 1
152 1226 1
85 1226 1
19 1226 1
200 1226 1
348 1226 1
13 1226 1
99 1226 1
349 1226 1
220 1226 1
102 1226 1
221 1226 1
6 1226 1
313 1226 1
350 1226 1
340 1226 1
37 1226 1
39 1226 1
112 1226 1
68 1226 1
351 1226 1
352 1226 1
145 1226 1
21 1226 1
25 1226 1
236 1226 1
76 1226 1
149 1226 1
33 1226 1
353 1226 1
117 1226 1
250 1226 1
251 1226 1
35 1226 1
354 1226 1
259 1226 1
261 1226 1
262 1226 1
45 1226 1
52 1226 1
355 1226 1
356 1226 1
357 1226 1
94 1226 1
324 1226 1
29 1226 1
358 1226 1
359 1227 1
360 1227 1
341 1227 1
344 1227 1
179 1227 1
361 1227 1
362 1227 1
337 1227 1
363 1227 1
79 1227 1
345 1227 1
346 1227 1
364 1227 1
365 1227 1
99 1227 1
144 1227 1
68 1227 1
0 1227 1
366 1227 1
263 1227 1
367 1227 1
368 1227 1
146 1228 1
26 1228 1
31 1228 1
181 1228 1
7 1228 1
80 1228 1
189 1228 1
369 1228 1
84 1228 1
338 1228 1
19 1228 1
204 1228 1
13 1228 1
15 1228 1
370 1228 1
371 1228 1
219 1228 1
6 1228 1
39 1228 1
111 1228 1
229 1228 1
333 1228 1
372 1228 1
25 1228 1
373 1228 1
0 1228 1
74 1228 1
77 1228 1
263 1228 1
266 1228 1
151 1228 1
269 1228 1
374 1228 1
52 1228 1
279 1228 1
375 1228 1
29 1228 1
286 1228 1
8 1228 1
336 1228 1
376 1228 1
377 1228 1
158 1229 1
17 1229 1
378 1229 1
161 1229 1
22 1229 1
51 1229 1
166 1229 1
168 1229 1
11 1229 1
169 1229 1
12 1229 1
171 1229 1
173 1229 1
175 1229 1
379 1229 1
380 1229 1
1 1229 1
381 1229 1
302 1229 1
180 1229 1
382 1229 1
181 1229 1
383 1229 1
384 1229 1
385 1229 1
386 1229 1
387 1229 1
183 1229 1
79 1229 1
388 1229 1
36 1229 1
193 1229 1
63 1229 1
120 1229 1
194 1229 1
46 1229 1
305 1229 1
389 1229 1
390 1229 1
391 1229 1
392 1229 1
85 1229 1
19 1229 1
200 1229 1
204 1229 1
393 1229 1
125 1229 1
394 1229 1
332 1229 1
13 1229 1
395 1229 1
215 1229 1
56 1229 1
57 1229 1
220 1229 1
396 1229 1
14 1229 1
226 1229 1
37 1229 1
111 1229 1
230 1229 1
