7240 374836
0 1206 1
1 1206 1
2 1206 1
3 1206 1
4 1206 1
5 1206 1
6 1206 1
7 1206 1
8 1206 1
9 1206 1
10 1206 1
11 1206 1
12 1206 1
13 1206 1
14 1207 1
15 1207 1
16 1207 1
17 1207 1
18 1207 1
19 1207 1
20 1207 1
21 1207 1
22 1207 1
23 1207 1
24 1207 1
25 1207 1
26 1207 1
27 1207 1
28 1207 1
29 1207 1
30 1207 1
6 1207 1
31 1207 1
32 1207 1
33 1207 1
34 1207 1
35 1207 1
36 1207 1
37 1207 1
38 1207 1
39 1208 1
40 1208 1
41 1208 1
42 1208 1
43 1208 1
44 1208 1
45 1208 1
46 1208 1
47 1208 1
48 1208 1
19 1208 1
49 1208 1
50 1208 1
22 1208 1
13 1208 1
51 1208 1
52 1208 1
23 1208 1
0 1208 1
1 1208 1
53 1208 1
54 1208 1
55 1208 1
56 1208 1
7 1208 1
57 1208 1
58 1208 1
35 1208 1
59 1208 1
60 1208 1
61 1209 1
62 1209 1
63 1209 1
64 1209 1
65 1209 1
66 1209 1
48 1209 1
67 1209 1
68 1209 1
69 1209 1
70 1209 1
22 1209 1
71 1209 1
72 1209 1
0 1209 1
73 1209 1
25 1209 1
74 1209 1
75 1209 1
26 1209 1
76 1209 1
77 1209 1
78 1209 1
79 1209 1
80 1209 1
81 1209 1
82 1209 1
83 1209 1
84 1209 1
49 1209 1
85 1209 1
86 1209 1
87 1209 1
88 1209 1
89 1209 1
90 1209 1
91 1209 1
92 1209 1
93 1209 1
94 1209 1
95 1209 1
96 1209 1
97 1209 1
98 1209 1
99 1209 1
100 1209 1
101 1209 1
102 1209 1
103 1209 1
104 1209 1
105 1209 1
106 1209 1
107 1209 1
108 1209 1
109 1209 1
110 1209 1
111 1209 1
37 1209 1
112 1209 1
113 1210 1
114 1210 1
115 1210 1
18 1210 1
20 1210 1
10 1210 1
11 1210 1
22 1210 1
116 1210 1
117 1210 1
118 1210 1
9 1210 1
119 1210 1
60 1210 1
120 1210 1
121 1210 1
42 1210 1
122 1210 1
123 1210 1
124 1210 1
125 1210 1
126 1210 1
127 1210 1
128 1210 1
27 1210 1
129 1210 1
6 1210 1
130 1210 1
131 1210 1
132 1210 1
12 1210 1
111 1210 1
31 1211 1
7 1211 1
49 1211 1
63 1212 1
133 1212 1
134 1212 1
11 1212 1
135 1212 1
22 1212 1
23 1212 1
136 1212 1
137 1212 1
138 1212 1
139 1212 1
49 1212 1
140 1212 1
27 1212 1
141 1212 1
142 1212 1
104 1212 1
143 1212 1
144 1213 1
68 1213 1
145 1213 1
11 1213 1
22 1213 1
146 1213 1
23 1213 1
0 1213 1
116 1213 1
147 1213 1
148 1213 1
8 1213 1
79 1213 1
34 1213 1
149 1213 1
150 1213 1
83 1213 1
151 1213 1
84 1213 1
152 1213 1
153 1213 1
21 1213 1
124 1213 1
154 1213 1
13 1213 1
155 1213 1
156 1213 1
142 1213 1
157 1214 1
158 1214 1
159 1214 1
160 1214 1
161 1214 1
46 1214 1
162 1214 1
163 1214 1
133 1214 1
164 1214 1
114 1214 1
48 1214 1
19 1214 1
165 1214 1
166 1214 1
167 1214 1
10 1214 1
145 1214 1
168 1214 1
11 1214 1
169 1214 1
170 1214 1
171 1214 1
172 1214 1
146 1214 1
173 1214 1
174 1214 1
23 1214 1
175 1214 1
1 1214 1
74 1214 1
26 1214 1
116 1214 1
176 1214 1
177 1214 1
7 1214 1
178 1214 1
179 1214 1
180 1214 1
181 1214 1
182 1214 1
8 1214 1
32 1214 1
183 1214 1
79 1214 1
184 1214 1
185 1214 1
34 1214 1
186 1214 1
187 1214 1
188 1214 1
60 1214 1
120 1214 1
2 1214 1
189 1214 1
190 1214 1
191 1214 1
192 1214 1
83 1214 1
151 1214 1
16 1214 1
17 1214 1
193 1214 1
194 1214 1
195 1214 1
196 1214 1
197 1214 1
198 1214 1
199 1214 1
200 1214 1
201 1214 1
202 1214 1
13 1214 1
203 1214 1
88 1214 1
126 1214 1
91 1214 1
204 1214 1
92 1214 1
205 1214 1
206 1214 1
207 1214 1
140 1214 1
208 1214 1
209 1214 1
101 1214 1
210 1214 1
6 1214 1
211 1214 1
142 1214 1
212 1214 1
130 1214 1
213 1214 1
214 1214 1
12 1214 1
215 1214 1
37 1214 1
112 1214 1
216 1214 1
217 1214 1
41 1214 1
66 1214 1
3 1214 1
218 1214 1
144 1214 1
115 1214 1
18 1214 1
68 1214 1
219 1214 1
22 1214 1
220 1214 1
221 1214 1
222 1214 1
0 1214 1
223 1214 1
224 1214 1
28 1214 1
225 1214 1
226 1214 1
4 1214 1
227 1214 1
228 1214 1
229 1214 1
5 1214 1
230 1214 1
231 1214 1
232 1214 1
233 1214 1
9 1214 1
234 1214 1
235 1214 1
236 1214 1
237 1214 1
33 1214 1
238 1214 1
58 1214 1
239 1214 1
240 1214 1
241 1214 1
242 1214 1
59 1214 1
243 1214 1
244 1214 1
245 1214 1
246 1214 1
247 1214 1
248 1214 1
43 1214 1
249 1214 1
250 1214 1
150 1214 1
251 1214 1
252 1214 1
253 1214 1
254 1214 1
255 1214 1
256 1214 1
257 1214 1
152 1214 1
258 1214 1
47 1214 1
259 1214 1
21 1214 1
49 1214 1
260 1214 1
261 1214 1
154 1214 1
262 1214 1
87 1214 1
263 1214 1
27 1214 1
129 1214 1
264 1214 1
56 1214 1
265 1214 1
266 1214 1
156 1214 1
267 1214 1
268 1214 1
57 1214 1
269 1214 1
270 1214 1
271 1214 1
272 1214 1
273 1214 1
108 1214 1
274 1214 1
275 1215 1
276 1215 1
48 1215 1
19 1215 1
20 1215 1
277 1215 1
166 1215 1
167 1215 1
173 1215 1
23 1215 1
278 1215 1
1 1215 1
136 1215 1
116 1215 1
279 1215 1
280 1215 1
147 1215 1
182 1215 1
79 1215 1
34 1215 1
281 1215 1
2 1215 1
189 1215 1
81 1215 1
282 1215 1
283 1215 1
151 1215 1
284 1215 1
200 1215 1
202 1215 1
126 1215 1
204 1215 1
55 1215 1
99 1215 1
285 1215 1
286 1215 1
141 1215 1
6 1215 1
287 1215 1
288 1215 1
214 1215 1
289 1215 1
290 1215 1
291 1215 1
37 1215 1
112 1215 1
292 1215 1
293 1215 1
41 1215 1
3 1215 1
218 1215 1
294 1215 1
295 1215 1
219 1215 1
22 1215 1
296 1215 1
297 1215 1
0 1215 1
73 1215 1
25 1215 1
28 1215 1
4 1215 1
229 1215 1
137 1215 1
230 1215 1
298 1215 1
59 1215 1
246 1215 1
43 1215 1
299 1215 1
258 1215 1
21 1215 1
300 1215 1
262 1215 1
87 1215 1
94 1215 1
301 1215 1
302 1215 1
27 1215 1
267 1215 1
156 1215 1
303 1215 1
106 1215 1
36 1215 1
161 1216 1
304 1216 1
305 1216 1
306 1216 1
2 1216 1
307 1216 1
40 1216 1
308 1216 1
61 1217 1
160 1217 1
19 1217 1
170 1217 1
1 1217 1
155 1217 1
206 1217 1
30 1217 1
309 1217 1
18 1217 1
310 1217 1
31 1217 1
33 1217 1
247 1217 1
254 1217 1
49 1217 1
52 1217 1
311 1217 1
57 1217 1
48 1218 1
312 1218 1
313 1218 1
314 1218 1
315 1218 1
35 1218 1
22 1218 1
27 1218 1
39 1219 1
316 1219 1
317 1219 1
48 1219 1
277 1219 1
167 1219 1
318 1219 1
168 1219 1
319 1219 1
146 1219 1
23 1219 1
280 1219 1
147 1219 1
320 1219 1
79 1219 1
321 1219 1
322 1219 1
34 1219 1
42 1219 1
323 1219 1
283 1219 1
151 1219 1
84 1219 1
16 1219 1
324 1219 1
99 1219 1
325 1219 1
102 1219 1
210 1219 1
6 1219 1
290 1219 1
326 1219 1
315 1219 1
35 1219 1
37 1219 1
112 1219 1
66 1219 1
327 1219 1
328 1219 1
144 1219 1
18 1219 1
68 1219 1
22 1219 1
222 1219 1
75 1219 1
148 1219 1
31 1219 1
329 1219 1
117 1219 1
236 1219 1
237 1219 1
33 1219 1
330 1219 1
243 1219 1
245 1219 1
246 1219 1
43 1219 1
49 1219 1
331 1219 1
332 1219 1
333 1219 1
94 1219 1
301 1219 1
27 1219 1
334 1219 1
61 1220 1
335 1220 1
336 1220 1
316 1220 1
319 1220 1
175 1220 1
337 1220 1
338 1220 1
312 1220 1
339 1220 1
78 1220 1
320 1220 1
321 1220 1
340 1220 1
341 1220 1
99 1220 1
143 1220 1
66 1220 1
0 1220 1
342 1220 1
247 1220 1
343 1220 1
344 1220 1
345 1221 1
145 1221 1
23 1221 1
29 1221 1
346 1221 1
7 1221 1
79 1221 1
184 1221 1
347 1221 1
83 1221 1
313 1221 1
16 1221 1
13 1221 1
92 1221 1
348 1221 1
6 1221 1
349 1221 1
37 1221 1
111 1221 1
217 1221 1
309 1221 1
350 1221 1
68 1221 1
351 1221 1
22 1221 1
352 1221 1
0 1221 1
73 1221 1
76 1221 1
353 1221 1
247 1221 1
250 1221 1
150 1221 1
253 1221 1
256 1221 1
354 1221 1
49 1221 1
355 1221 1
24 1221 1
27 1221 1
356 1221 1
311 1221 1
357 1221 1
358 1221 1
359 1221 1
61 1222 1
157 1222 1
360 1222 1
160 1222 1
19 1222 1
166 1222 1
10 1222 1
11 1222 1
170 1222 1
172 1222 1
1 1222 1
361 1222 1
279 1222 1
176 1222 1
362 1222 1
363 1222 1
364 1222 1
365 1222 1
366 1222 1
178 1222 1
78 1222 1
367 1222 1
34 1222 1
188 1222 1
60 1222 1
120 1222 1
44 1222 1
282 1222 1
368 1222 1
369 1222 1
370 1222 1
371 1222 1
84 1222 1
16 1222 1
372 1222 1
124 1222 1
373 1222 1
374 1222 1
206 1222 1
53 1222 1
54 1222 1
375 1222 1
12 1222 1
35 1222 1
111 1222 1
376 1222 1
144 1222 1
18 1222 1
68 1222 1
22 1222 1
0 1222 1
377 1222 1
5 1222 1
31 1222 1
329 1222 1
236 1222 1
237 1222 1
33 1222 1
378 1222 1
379 1222 1
138 1222 1
380 1222 1
245 1222 1
247 1222 1
248 1222 1
150 1222 1
381 1222 1
382 1222 1
253 1222 1
254 1222 1
21 1222 1
49 1222 1
85 1222 1
87 1222 1
52 1222 1
383 1222 1
94 1222 1
384 1222 1
129 1222 1
266 1222 1
357 1222 1
57 1222 1
385 1222 1
61 1223 1
39 1223 1
157 1223 1
275 1223 1
67 1223 1
19 1223 1
20 1223 1
10 1223 1
145 1223 1
11 1223 1
146 1223 1
51 1223 1
386 1223 1
23 1223 1
1 1223 1
337 1223 1
74 1223 1
26 1223 1
387 1223 1
176 1223 1
388 1223 1
7 1223 1
178 1223 1
182 1223 1
339 1223 1
188 1223 1
60 1223 1
83 1223 1
45 1223 1
200 1223 1
389 1223 1
13 1223 1
55 1223 1
99 1223 1
6 1223 1
142 1223 1
390 1223 1
391 1223 1
392 1223 1
315 1223 1
143 1223 1
37 1223 1
111 1223 1
393 1223 1
394 1223 1
66 1223 1
3 1223 1
18 1223 1
22 1223 1
221 1223 1
0 1223 1
395 1223 1
396 1223 1
31 1223 1
397 1223 1
398 1223 1
236 1223 1
237 1223 1
33 1223 1
399 1223 1
246 1223 1
247 1223 1
400 1223 1
253 1223 1
254 1223 1
152 1223 1
343 1223 1
401 1223 1
49 1223 1
261 1223 1
262 1223 1
263 1223 1
156 1223 1
266 1223 1
273 1223 1
79 1224 1
402 1224 1
68 1224 1
22 1224 1
330 1224 1
61 1225 1
67 1225 1
403 1225 1
10 1225 1
11 1225 1
0 1225 1
404 1225 1
405 1225 1
61 1226 1
158 1226 1
276 1226 1
406 1226 1
159 1226 1
160 1226 1
46 1226 1
162 1226 1
48 1226 1
19 1226 1
403 1226 1
166 1226 1
167 1226 1
145 1226 1
172 1226 1
407 1226 1
408 1226 1
51 1226 1
386 1226 1
23 1226 1
278 1226 1
1 1226 1
74 1226 1
26 1226 1
312 1226 1
280 1226 1
363 1226 1
177 1226 1
7 1226 1
181 1226 1
182 1226 1
409 1226 1
410 1226 1
367 1226 1
79 1226 1
411 1226 1
185 1226 1
187 1226 1
412 1226 1
60 1226 1
413 1226 1
281 1226 1
189 1226 1
323 1226 1
192 1226 1
151 1226 1
414 1226 1
313 1226 1
194 1226 1
415 1226 1
195 1226 1
416 1226 1
417 1226 1
200 1226 1
389 1226 1
202 1226 1
126 1226 1
418 1226 1
91 1226 1
204 1226 1
419 1226 1
206 1226 1
420 1226 1
55 1226 1
325 1226 1
101 1226 1
421 1226 1
210 1226 1
6 1226 1
422 1226 1
142 1226 1
213 1226 1
214 1226 1
143 1226 1
423 1226 1
393 1226 1
113 1226 1
63 1226 1
424 1226 1
376 1226 1
394 1226 1
41 1226 1
3 1226 1
328 1226 1
425 1226 1
426 1226 1
427 1226 1
428 1226 1
18 1226 1
134 1226 1
22 1226 1
220 1226 1
221 1226 1
75 1226 1
28 1226 1
4 1226 1
429 1226 1
430 1226 1
229 1226 1
5 1226 1
31 1226 1
397 1226 1
431 1226 1
9 1226 1
238 1226 1
399 1226 1
59 1226 1
379 1226 1
330 1226 1
432 1226 1
380 1226 1
244 1226 1
245 1226 1
246 1226 1
433 1226 1
43 1226 1
250 1226 1
251 1226 1
253 1226 1
254 1226 1
257 1226 1
258 1226 1
434 1226 1
153 1226 1
259 1226 1
21 1226 1
49 1226 1
435 1226 1
262 1226 1
383 1226 1
94 1226 1
98 1226 1
27 1226 1
129 1226 1
265 1226 1
268 1226 1
303 1226 1
357 1226 1
57 1226 1
106 1226 1
359 1226 1
436 1226 1
437 1227 1
345 1227 1
158 1227 1
160 1227 1
161 1227 1
48 1227 1
20 1227 1
438 1227 1
439 1227 1
11 1227 1
386 1227 1
23 1227 1
440 1227 1
175 1227 1
441 1227 1
29 1227 1
442 1227 1
443 1227 1
181 1227 1
444 1227 1
8 1227 1
183 1227 1
445 1227 1
184 1227 1
34 1227 1
186 1227 1
282 1227 1
83 1227 1
371 1227 1
446 1227 1
84 1227 1
16 1227 1
447 1227 1
448 1227 1
449 1227 1
450 1227 1
91 1227 1
451 1227 1
204 1227 1
205 1227 1
452 1227 1
453 1227 1
102 1227 1
30 1227 1
103 1227 1
422 1227 1
375 1227 1
454 1227 1
290 1227 1
455 1227 1
143 1227 1
111 1227 1
112 1227 1
217 1227 1
63 1227 1
218 1227 1
309 1227 1
456 1227 1
144 1227 1
68 1227 1
22 1227 1
71 1227 1
0 1227 1
457 1227 1
76 1227 1
28 1227 1
5 1227 1
397 1227 1
236 1227 1
458 1227 1
149 1227 1
330 1227 1
247 1227 1
250 1227 1
150 1227 1
251 1227 1
253 1227 1
254 1227 1
256 1227 1
152 1227 1
354 1227 1
153 1227 1
49 1227 1
85 1227 1
154 1227 1
87 1227 1
95 1227 1
97 1227 1
98 1227 1
27 1227 1
459 1227 1
129 1227 1
265 1227 1
460 1227 1
266 1227 1
357 1227 1
106 1227 1
359 1227 1
108 1227 1
109 1227 1
110 1227 1
61 1228 1
461 1228 1
19 1228 1
462 1228 1
403 1228 1
170 1228 1
386 1228 1
23 1228 1
1 1228 1
74 1228 1
116 1228 1
279 1228 1
147 1228 1
463 1228 1
365 1228 1
7 1228 1
78 1228 1
367 1228 1
184 1228 1
34 1228 1
60 1228 1
281 1228 1
189 1228 1
464 1228 1
446 1228 1
195 1228 1
417 1228 1
314 1228 1
126 1228 1
465 1228 1
204 1228 1
374 1228 1
206 1228 1
55 1228 1
99 1228 1
453 1228 1
288 1228 1
391 1228 1
455 1228 1
35 1228 1
113 1228 1
217 1228 1
41 1228 1
466 1228 1
3 1228 1
328 1228 1
426 1228 1
115 1228 1
22 1228 1
467 1228 1
222 1228 1
468 1228 1
4 1228 1
229 1228 1
469 1228 1
5 1228 1
31 1228 1
119 1228 1
237 1228 1
243 1228 1
470 1228 1
247 1228 1
123 1228 1
254 1228 1
47 1228 1
259 1228 1
49 1228 1
261 1228 1
471 1228 1
27 1228 1
129 1228 1
264 1228 1
156 1228 1
61 1229 1
67 1229 1
472 1229 1
10 1229 1
145 1229 1
473 1229 1
74 1229 1
387 1229 1
7 1229 1
2 1229 1
474 1229 1
13 1229 1
99 1229 1
