7268 380385
0 1235 1
1 1235 1
2 1235 1
3 1235 1
4 1235 1
5 1235 1
6 1235 1
7 1235 1
8 1235 1
9 1235 1
10 1235 1
11 1235 1
12 1235 1
13 1235 1
14 1235 1
15 1235 1
16 1235 1
17 1235 1
18 1235 1
19 1235 1
20 1235 1
21 1235 1
22 1235 1
23 1235 1
24 1235 1
25 1236 1
26 1236 1
27 1236 1
28 1236 1
29 1236 1
30 1236 1
31 1236 1
32 1236 1
33 1236 1
34 1236 1
35 1236 1
36 1236 1
37 1236 1
38 1236 1
39 1236 1
40 1236 1
13 1236 1
41 1236 1
42 1236 1
43 1236 1
44 1236 1
45 1236 1
46 1236 1
47 1236 1
48 1236 1
49 1237 1
50 1237 1
51 1237 1
52 1237 1
53 1237 1
54 1237 1
55 1237 1
56 1237 1
57 1237 1
58 1237 1
30 1237 1
59 1237 1
60 1237 1
33 1237 1
24 1237 1
61 1237 1
62 1237 1
34 1237 1
2 1237 1
3 1237 1
63 1237 1
64 1237 1
65 1237 1
66 1237 1
14 1237 1
67 1237 1
68 1237 1
45 1237 1
69 1237 1
70 1237 1
71 1238 1
72 1238 1
73 1238 1
74 1238 1
75 1238 1
58 1238 1
76 1238 1
77 1238 1
78 1238 1
33 1238 1
79 1238 1
80 1238 1
2 1238 1
81 1238 1
35 1238 1
82 1238 1
83 1238 1
36 1238 1
84 1238 1
85 1238 1
86 1238 1
87 1238 1
88 1238 1
89 1238 1
90 1238 1
91 1238 1
92 1238 1
59 1238 1
93 1238 1
94 1238 1
95 1238 1
96 1238 1
97 1238 1
98 1238 1
99 1238 1
100 1238 1
101 1238 1
102 1238 1
103 1238 1
104 1238 1
6 1238 1
105 1238 1
106 1238 1
107 1238 1
108 1238 1
109 1238 1
110 1238 1
111 1238 1
112 1238 1
113 1238 1
114 1238 1
115 1238 1
116 1238 1
117 1238 1
118 1238 1
119 1238 1
47 1238 1
120 1238 1
121 1239 1
122 1239 1
123 1239 1
10 1239 1
