7247 369349
0 1213 1
1 1213 1
2 1213 1
3 1213 1
4 1213 1
5 1213 1
6 1213 1
7 1213 1
8 1213 1
9 1213 1
10 1213 1
11 1213 1
12 1213 1
13 1213 1
14 1214 1
15 1214 1
16 1214 1
17 1214 1
18 1214 1
19 1214 1
20 1214 1
21 1214 1
22 1214 1
23 1214 1
24 1214 1
25 1214 1
26 1214 1
27 1214 1
28 1214 1
29 1214 1
30 1214 1
6 1214 1
31 1214 1
32 1214 1
33 1214 1
34 1214 1
35 1214 1
36 1214 1
37 1214 1
38 1214 1
39 1215 1
40 1215 1
41 1215 1
42 1215 1
43 1215 1
44 1215 1
45 1215 1
46 1215 1
47 1215 1
48 1215 1
19 1215 1
49 1215 1
50 1215 1
22 1215 1
13 1215 1
51 1215 1
52 1215 1
23 1215 1
53 1215 1
24 1215 1
0 1215 1
1 1215 1
54 1215 1
55 1215 1
56 1215 1
57 1215 1
7 1215 1
58 1215 1
59 1215 1
35 1215 1
60 1215 1
61 1215 1
62 1216 1
63 1216 1
64 1217 1
65 1217 1
66 1217 1
67 1217 1
68 1217 1
48 1217 1
69 1217 1
70 1217 1
71 1217 1
22 1217 1
72 1217 1
73 1217 1
0 1217 1
74 1217 1
25 1217 1
75 1217 1
76 1217 1
26 1217 1
77 1217 1
78 1217 1
79 1217 1
80 1217 1
81 1217 1
82 1217 1
83 1217 1
84 1217 1
85 1217 1
49 1217 1
86 1217 1
87 1217 1
88 1217 1
89 1217 1
90 1217 1
91 1217 1
92 1217 1
93 1217 1
94 1217 1
95 1217 1
96 1217 1
97 1217 1
98 1217 1
99 1217 1
100 1217 1
101 1217 1
102 1217 1
103 1217 1
104 1217 1
105 1217 1
106 1217 1
107 1217 1
108 1217 1
109 1217 1
110 1217 1
111 1217 1
37 1217 1
112 1217 1
113 1217 1
114 1218 1
115 1218 1
116 1218 1
18 1218 1
117 1218 1
20 1218 1
118 1218 1
10 1218 1
11 1218 1
22 1218 1
24 1218 1
119 1218 1
120 1218 1
121 1218 1
122 1218 1
9 1218 1
123 1218 1
61 1218 1
124 1218 1
125 1218 1
42 1218 1
126 1218 1
127 1218 1
128 1218 1
129 1218 1
130 1218 1
131 1218 1
132 1218 1
133 1218 1
134 1218 1
27 1218 1
135 1218 1
6 1218 1
136 1218 1
137 1218 1
138 1218 1
12 1218 1
111 1218 1
31 1219 1
7 1219 1
49 1219 1
65 1220 1
139 1220 1
140 1220 1
11 1220 1
141 1220 1
22 1220 1
23 1220 1
142 1220 1
143 1220 1
144 1220 1
145 1220 1
49 1220 1
131 1220 1
146 1220 1
27 1220 1
147 1220 1
148 1220 1
104 1220 1
149 1220 1
150 1221 1
151 1221 1
11 1221 1
22 1221 1
152 1221 1
23 1221 1
24 1221 1
0 1221 1
119 1221 1
153 1221 1
154 1221 1
8 1221 1
80 1221 1
34 1221 1
155 1221 1
156 1221 1
84 1221 1
157 1221 1
85 1221 1
158 1221 1
159 1221 1
21 1221 1
129 1221 1
160 1221 1
13 1221 1
161 1221 1
162 1221 1
148 1221 1
163 1222 1
164 1222 1
165 1222 1
